
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:06.320]   My name is Rick Ferry and I'm the president
[00:00:06.320 --> 00:00:09.060]   of the John C. Vogel Center for Financial Literacy.
[00:00:09.060 --> 00:00:13.620]   We are a non-profit organization, a 501(c)(3) organization.
[00:00:13.620 --> 00:00:16.060]   You can go to vogelcenter.net.
[00:00:16.060 --> 00:00:18.420]   That means your tax-deductible contributions
[00:00:18.420 --> 00:00:21.060]   are greatly appreciated.
[00:00:21.060 --> 00:00:24.540]   And today we feature Bob Pisani
[00:00:24.540 --> 00:00:27.980]   as CNBC's Senior Markets Correspondent
[00:00:27.980 --> 00:00:31.980]   who has covered Wall Street for 25 years.
[00:00:31.980 --> 00:00:35.500]   Today he'll be interviewing Dr. Bill Bernstein
[00:00:35.500 --> 00:00:38.380]   about his new book, "The Delusions of Crowds."
[00:00:38.380 --> 00:00:42.740]   And if you missed this or can't watch the whole thing,
[00:00:42.740 --> 00:00:44.780]   we are recording it and it will be available
[00:00:44.780 --> 00:00:48.780]   on vogelheads.org as well as the Vogel Center site,
[00:00:48.780 --> 00:00:51.660]   vogelcenter.net within a few days.
[00:00:51.660 --> 00:00:56.060]   So with no further ado, I'm going to turn it over to Bob.
[00:00:56.060 --> 00:00:59.740]   - I can't tell you how honored I am to be here.
[00:00:59.740 --> 00:01:02.740]   I am a Markets Correspondent, as you heard.
[00:01:02.740 --> 00:01:04.500]   I've been with CNBC for 31 years.
[00:01:04.500 --> 00:01:09.380]   I've been the Markets Correspondent since 1997.
[00:01:09.380 --> 00:01:12.980]   I met Jack Vogel in 1997 at that time
[00:01:12.980 --> 00:01:15.540]   and had a phone conversation with him
[00:01:15.540 --> 00:01:18.540]   and was profoundly influenced by him so much.
[00:01:18.540 --> 00:01:20.220]   So I opened a Vanguard account for my wife
[00:01:20.220 --> 00:01:22.220]   in that year in 1997.
[00:01:22.220 --> 00:01:27.220]   I'm a Vogelhead in certainly maybe not officially a member,
[00:01:27.220 --> 00:01:31.860]   I'd like to be, but I have been for 24 or 25 years.
[00:01:31.860 --> 00:01:34.660]   So it's a great honor and I'm a big fan of Rick Ferry
[00:01:34.660 --> 00:01:36.980]   and William Bernstein.
[00:01:36.980 --> 00:01:39.380]   We're gonna try to keep to the time here.
[00:01:39.380 --> 00:01:41.180]   It's a Saturday afternoon, it's beautiful.
[00:01:41.180 --> 00:01:43.380]   Spend a lot of your time.
[00:01:43.380 --> 00:01:45.780]   We're gonna try to keep it to one hour.
[00:01:45.780 --> 00:01:50.020]   Bill Bernstein, when I, I've known Jim for many years,
[00:01:50.020 --> 00:01:51.940]   when Jim took this over and said,
[00:01:51.940 --> 00:01:53.380]   "I'm gonna do something with the Vogelheads."
[00:01:53.380 --> 00:01:54.460]   I said, "I want in on this."
[00:01:54.460 --> 00:01:56.580]   And he said, "Well, Bill Bernstein's doing it."
[00:01:56.580 --> 00:01:59.940]   And I said, "I've known Bill Bernstein's work for years."
[00:01:59.940 --> 00:02:02.900]   "The Birth of Plenty" is one of my favorite
[00:02:02.900 --> 00:02:04.620]   economics history books.
[00:02:04.620 --> 00:02:06.780]   And I read the new one, "The Delusion of Crowds"
[00:02:06.780 --> 00:02:08.020]   and "Why People Go Mad in Groups."
[00:02:08.020 --> 00:02:10.660]   And that's what we wanna at least start out talking about.
[00:02:10.660 --> 00:02:12.500]   I wanna remind everyone, if you have a question,
[00:02:12.500 --> 00:02:13.660]   you can put it on the right side.
[00:02:13.660 --> 00:02:17.860]   I will do my very best to make sure Bill hears about it.
