
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:13.360]   - Hi, welcome back to another episode of Curious Mike.
[00:00:13.360 --> 00:00:15.520]   I'm here with my friend Kat.
[00:00:15.520 --> 00:00:16.960]   Really excited to have you on.
[00:00:16.960 --> 00:00:20.320]   You know, this topic is something that I believe
[00:00:20.320 --> 00:00:23.200]   needs to be kind of like spoke about more,
[00:00:23.200 --> 00:00:25.600]   brought into the light a little bit more.
[00:00:25.600 --> 00:00:27.700]   So I appreciate your bravery like in everything
[00:00:27.700 --> 00:00:30.680]   and sharing your story and being vulnerable.
[00:00:30.680 --> 00:00:33.220]   So why don't we start like early childhood,
[00:00:33.220 --> 00:00:35.380]   like what was your first memories growing up?
[00:00:35.380 --> 00:00:38.020]   How was your childhood and all that?
[00:00:38.020 --> 00:00:39.820]   - My childhood was kind of spotty.
[00:00:39.820 --> 00:00:42.580]   My memories are a little spotty back then.
[00:00:42.580 --> 00:00:44.580]   My dad wasn't around much.
[00:00:44.580 --> 00:00:47.100]   So I think that's sort of what led me
[00:00:47.100 --> 00:00:49.620]   to what we're going to speak about.
[00:00:49.620 --> 00:00:54.060]   I was super emotional as a kid, very needy for affection.
[00:00:54.060 --> 00:00:59.020]   And my mom had went through like domestic violence situation
[00:00:59.020 --> 00:00:59.840]   while I was growing up.
[00:00:59.840 --> 00:01:00.680]   I was like a baby.
[00:01:00.680 --> 00:01:02.420]   My sister was a little older.
[00:01:02.420 --> 00:01:05.520]   My dad used to like abuse my mom and hit her.
[00:01:05.520 --> 00:01:10.340]   And my mom had a daughter after my older sister.
[00:01:10.340 --> 00:01:13.860]   So my sister, Mary Kay, was a little bit older than me.
[00:01:13.860 --> 00:01:16.780]   My mom was pregnant with me when she passed away,
[00:01:16.780 --> 00:01:20.140]   which made my mom decide to finally leave my dad
[00:01:20.140 --> 00:01:21.780]   because he wasn't like supportive.
[00:01:21.780 --> 00:01:24.020]   And she was dealing with domestic violence.
[00:01:24.020 --> 00:01:27.460]   So after that happened.
[00:01:27.460 --> 00:01:29.380]   - What age were you around this time?
[00:01:29.380 --> 00:01:31.060]   - My mom was pregnant with me.
[00:01:31.060 --> 00:01:31.900]   - Oh, around this time with her?
[00:01:31.900 --> 00:01:33.220]   - When she passed, yeah.
[00:01:33.220 --> 00:01:36.060]   So that's why everyone says I'm super emotional
[00:01:36.060 --> 00:01:39.320]   because my mom was so sad, her whole pregnancy.
[00:01:39.320 --> 00:01:42.560]   But yeah, she passed and my mom left.
[00:01:42.560 --> 00:01:45.180]   And then she was a single mom for a while.
[00:01:45.180 --> 00:01:47.080]   She got remarried a couple of times.
[00:01:47.080 --> 00:01:49.300]   It just, it was a little inconsistent.
[00:01:49.300 --> 00:01:50.420]   We moved a lot.
[00:01:50.420 --> 00:01:52.980]   We didn't stay in one place for a long time.
[00:01:52.980 --> 00:01:56.060]   And she sent me to live with my aunt and uncle
[00:01:56.060 --> 00:01:57.740]   once or twice.
[00:01:57.740 --> 00:02:00.660]   And because they had like a nuclear family,
[00:02:00.660 --> 00:02:02.860]   like a traditional mom, dad.
[00:02:02.860 --> 00:02:05.620]   They were more well off than we were.
[00:02:05.620 --> 00:02:07.220]   So I had experiences there.
[00:02:07.220 --> 00:02:10.420]   And then they told me that I had to go back to my mom's
[00:02:10.420 --> 00:02:13.860]   because my cousin got pregnant at 15.
[00:02:13.860 --> 00:02:15.380]   So I went back to my mom's
[00:02:15.380 --> 00:02:18.500]   and that's kind of where everything started.
[00:02:18.500 --> 00:02:20.260]   - And you went back there around what age?
[00:02:20.260 --> 00:02:21.420]   What age is this?
[00:02:21.420 --> 00:02:22.900]   - 13, 14. - Around 13?
[00:02:22.900 --> 00:02:23.900]   - Yeah. - Gotcha.
[00:02:23.900 --> 00:02:24.960]   - Yeah.
[00:02:24.960 --> 00:02:27.240]   So yeah, I moved back with my mom
[00:02:27.240 --> 00:02:28.700]   and she worked all the time.
[00:02:28.700 --> 00:02:30.140]   She was never home.
[00:02:30.140 --> 00:02:32.980]   So I wasn't getting the emotional support
[00:02:32.980 --> 00:02:34.660]   that I needed at that age.
[00:02:34.660 --> 00:02:37.060]   Like I very much needed guidance
[00:02:37.060 --> 00:02:39.780]   and she didn't have a choice but to work, obviously.
[00:02:39.780 --> 00:02:43.980]   So that's when everything kind of went left.
[00:02:43.980 --> 00:02:45.220]   - So, okay.
[00:02:45.220 --> 00:02:47.920]   So you said you were around 13 or so.
[00:02:47.920 --> 00:02:51.620]   You know, mom's working and you're kind of independent
[00:02:51.620 --> 00:02:53.100]   at a very young age for the most part.
[00:02:53.100 --> 00:02:54.540]   - Yeah.
[00:02:54.540 --> 00:02:57.420]   - So like when was the first time
[00:02:57.420 --> 00:03:02.420]   you got approached by a man inappropriately?
[00:03:02.420 --> 00:03:04.340]   - I was young.
[00:03:04.340 --> 00:03:06.380]   I was like, that was up with my aunt and uncle.
[00:03:06.380 --> 00:03:07.380]   It started happening. - Back in the day.
[00:03:07.380 --> 00:03:08.700]   - Like 11, 12.
[00:03:08.700 --> 00:03:11.220]   - So this is just something that like all of childhood
[00:03:11.220 --> 00:03:12.900]   you were kind of exposed to a little bit.
[00:03:12.900 --> 00:03:14.300]   - Yeah, it was kind of like,
[00:03:14.300 --> 00:03:16.140]   I remember like construction workers
[00:03:16.140 --> 00:03:17.500]   like hitting on me and my friends
[00:03:17.500 --> 00:03:18.740]   when we were like 11.
[00:03:18.740 --> 00:03:19.900]   - Just 'cause you guys were,
[00:03:19.900 --> 00:03:20.740]   had so much freedom. - We were just out.
[00:03:20.740 --> 00:03:21.780]   - We were just out doing your thing.
[00:03:21.780 --> 00:03:23.620]   - Yeah, wearing shorts and like a tank top
[00:03:23.620 --> 00:03:24.460]   in the summertime.
[00:03:24.460 --> 00:03:27.400]   And it was very sexualized from a very young age.
[00:03:27.400 --> 00:03:29.060]   I don't know if it's just where I'm from.
[00:03:29.060 --> 00:03:32.180]   Like, I don't know if it's like small town syndrome
[00:03:32.180 --> 00:03:33.660]   but it was crazy.
[00:03:33.660 --> 00:03:36.580]   So I think, and then not having a dad.
[00:03:36.580 --> 00:03:38.300]   - Right, just for the protection
[00:03:38.300 --> 00:03:39.940]   or brothers for their protection.
[00:03:39.940 --> 00:03:42.900]   - Yeah, like I just wanted acceptance, I think.
[00:03:42.900 --> 00:03:43.740]   - Yeah.
[00:03:43.740 --> 00:03:45.460]   - So I started like running away from home
[00:03:45.460 --> 00:03:46.920]   because my mom wasn't around
[00:03:46.920 --> 00:03:50.260]   and she wouldn't listen to what I needed.
[00:03:50.260 --> 00:03:51.860]   So I started running away,
[00:03:51.860 --> 00:03:54.540]   like first started running away to Southwest Detroit
[00:03:54.540 --> 00:03:57.060]   with like friends that I'd met in school
[00:03:57.060 --> 00:03:59.820]   and skipped school all the time.
[00:03:59.820 --> 00:04:03.460]   And eventually ended up moving from Southwest Detroit
[00:04:03.460 --> 00:04:04.980]   out to the West side.
[00:04:04.980 --> 00:04:05.980]   - With your mom?
[00:04:05.980 --> 00:04:08.140]   - No, just running away.
[00:04:08.140 --> 00:04:08.980]   - Oh wow.
[00:04:08.980 --> 00:04:10.180]   - Like I would just hop on a bus
[00:04:10.180 --> 00:04:13.660]   and go into the city by myself.
[00:04:13.660 --> 00:04:15.540]   - And your mom, is she reaching out?
[00:04:15.540 --> 00:04:17.840]   - She had no idea cause she was at work all the time.
[00:04:17.840 --> 00:04:18.680]   - That's crazy.
[00:04:18.680 --> 00:04:20.320]   Okay, so you're doing that,
[00:04:20.320 --> 00:04:23.160]   you're running away from home and things like that.
[00:04:23.160 --> 00:04:25.000]   So now kind of you're in your teenage years,
[00:04:25.000 --> 00:04:28.600]   get into kind of the whole story about everything.
[00:04:28.600 --> 00:04:31.280]   - Yeah, running away to the West side,
[00:04:31.280 --> 00:04:33.760]   I suck out like a sore thumb.
[00:04:33.760 --> 00:04:36.840]   So I made a friend there,
[00:04:36.840 --> 00:04:39.440]   me and her ended up like becoming friends
[00:04:39.440 --> 00:04:42.760]   and just like hanging out with people in the neighborhood.
[00:04:42.760 --> 00:04:45.400]   I stayed with her and her boyfriend at the time.
[00:04:45.400 --> 00:04:48.420]   And I thought it was just like, I'm free,
[00:04:48.420 --> 00:04:50.700]   like I have what I can do whatever I want.
[00:04:50.700 --> 00:04:52.680]   Like I thought it was cool.
[00:04:52.680 --> 00:04:54.620]   And in the neighborhood,
