
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.500]   - Welcome to Weights & Biases
[00:00:06.500 --> 00:00:08.760]   fully connected user conference.
[00:00:08.760 --> 00:00:10.860]   I'm Lucas Biewald, the CEO and co-founder
[00:00:10.860 --> 00:00:12.640]   of Weights & Biases.
[00:00:12.640 --> 00:00:14.400]   And our goal with Weights & Biases
[00:00:14.400 --> 00:00:17.080]   is to build useful tools to support you,
[00:00:17.080 --> 00:00:19.560]   the ML engineers building and deploying
[00:00:19.560 --> 00:00:21.480]   machine learning models.
[00:00:21.480 --> 00:00:24.400]   Now, the most important and toughest part
[00:00:24.400 --> 00:00:27.360]   of building great products for people like you,
[00:00:27.360 --> 00:00:30.480]   especially in 2023, is anticipating
[00:00:30.480 --> 00:00:33.360]   where the machine learning industry is moving.
[00:00:33.360 --> 00:00:34.980]   And so my goal with this presentation
[00:00:34.980 --> 00:00:38.060]   is actually to take you through our big predictions
[00:00:38.060 --> 00:00:41.480]   and our thinking around how machine learning is changing
[00:00:41.480 --> 00:00:44.000]   and what new problems we are anticipating
[00:00:44.000 --> 00:00:45.440]   and what we can do together
[00:00:45.440 --> 00:00:47.400]   to push forward the state of the art
[00:00:47.400 --> 00:00:50.600]   and have as much positive impact on the world as possible.
[00:00:50.600 --> 00:00:52.840]   Let me start by walking you through
[00:00:52.840 --> 00:00:54.800]   the data that we're looking at.
[00:00:54.800 --> 00:00:56.680]   And then I wanna take you through
[00:00:56.680 --> 00:00:58.840]   the big trends that we've identified
[00:00:58.840 --> 00:01:01.180]   starting at the beginning of 2023.
[00:01:01.180 --> 00:01:03.860]   This is rapid growth in production ML deployments,
[00:01:03.860 --> 00:01:06.080]   rapid growth in the size of machine learning teams,
[00:01:06.080 --> 00:01:07.960]   and rapid growth in the volume
[00:01:07.960 --> 00:01:10.600]   of meaningful applied research.
[00:01:10.600 --> 00:01:14.160]   As Weights & Biases has become an industry standard tool,
[00:01:14.160 --> 00:01:16.640]   we've started to collect more and more data.
[00:01:16.640 --> 00:01:20.240]   And for the first time, I'm gonna walk you through
[00:01:20.240 --> 00:01:23.140]   some of the things that we're seeing on our platform.
[00:01:23.140 --> 00:01:26.340]   First of all, you might expect this,
[00:01:26.340 --> 00:01:28.720]   we track a ton of compute hours
[00:01:28.720 --> 00:01:31.720]   and the volume of compute hours is accelerating.
[00:01:31.720 --> 00:01:33.580]   At first, this growth is probably due
[00:01:33.580 --> 00:01:35.200]   to adoption of Weights & Biases,
[00:01:35.200 --> 00:01:38.520]   but now this growth mainly comes from the general trend
[00:01:38.520 --> 00:01:41.640]   towards longer and bigger training runs.
[00:01:41.640 --> 00:01:44.520]   We started tracking library use at the end of 2019
[00:01:44.520 --> 00:01:47.560]   in order to understand which integrations to prioritize.
[00:01:47.560 --> 00:01:50.220]   And since the beginning, and this might surprise you,
[00:01:50.220 --> 00:01:54.280]   PyTorch has been the clear number one ML framework.
[00:01:54.280 --> 00:01:56.100]   Lately though, we see some changes.
[00:01:56.100 --> 00:01:57.780]   We see the amount of hugging face,
[00:01:57.780 --> 00:02:01.100]   which is obviously complimentary with PyTorch growing.
[00:02:01.100 --> 00:02:04.340]   Maybe more surprising, we see that XGBoost,
[00:02:04.340 --> 00:02:06.040]   the famous boosted tree library,
[00:02:06.040 --> 00:02:08.200]   and Lightning, a newer research framework
[00:02:08.200 --> 00:02:10.480]   built on top of PyTorch, alternating,
[00:02:10.480 --> 00:02:13.260]   holding the number three spot for most of 2022.
[00:02:13.260 --> 00:02:17.120]   So Jonathan Geifman asked us a great question,
[00:02:17.120 --> 00:02:19.920]   what are the most popular random seeds on Weights & Biases?
[00:02:19.920 --> 00:02:21.620]   And so we pulled the data for him.
[00:02:22.720 --> 00:02:26.380]   The top random seed, the number one, makes total sense,
[00:02:26.380 --> 00:02:29.360]   but the next three might be a little harder to explain.
[00:02:29.360 --> 00:02:34.360]   42, 920, 3,407, serious nerd points
[00:02:34.360 --> 00:02:36.660]   if you know why this is happening.
[00:02:36.660 --> 00:02:38.680]   We can also look at more practical things,
[00:02:38.680 --> 00:02:40.560]   like what are the most popular optimizers,
[00:02:40.560 --> 00:02:43.520]   which turn out to be L, BFGS, and Atom,
[00:02:43.520 --> 00:02:45.440]   but we sort of suspect that that has more to do
[00:02:45.440 --> 00:02:46.920]   with the framework defaults
[00:02:46.920 --> 00:02:50.060]   than the real efficacy of these techniques.
[00:02:50.060 --> 00:02:51.980]   We also see a strong correlation
