
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:09.000]   Today we look at one of John Piper's favorite Bible texts on the Christian life.
[00:00:09.000 --> 00:00:14.000]   The text that I'm thinking of is 2 Thessalonians 1:11-12.
[00:00:14.000 --> 00:00:20.000]   Pastor John doesn't talk about this text a lot, but when he does, you immediately sense its significance.
[00:00:20.000 --> 00:00:23.000]   He has mentioned it here on the podcast a few times.
[00:00:23.000 --> 00:00:27.000]   A while back, speaking of 2 Thessalonians 1:11-12, he said,
[00:00:27.000 --> 00:00:35.000]   "I encourage everybody to meditate on every single phrase in those two verses."
[00:00:35.000 --> 00:00:39.000]   That was in APJ 1473 that he said that.
[00:00:39.000 --> 00:00:45.000]   And the text pops up on the podcast annually in early January whenever we talk about New Year's resolutions.
[00:00:45.000 --> 00:00:52.000]   That's because Pastor John calls it "the most important text in the Bible on resolutions."
[00:00:52.000 --> 00:01:03.000]   That's a claim he made in APJ 1415, and way back in APJ 246, he called it "a theology of resolutions in two verses."
[00:01:03.000 --> 00:01:08.000]   But this same text has year-round value because it offers us eight steps of sanctification,
[00:01:08.000 --> 00:01:12.000]   or eight indispensables for Christian living.
[00:01:12.000 --> 00:01:16.000]   As we see in today's episode in a great little sermon clip from 2012,
[00:01:16.000 --> 00:01:23.000]   here's Pastor John to explain 2 Thessalonians 1:11-12. Here he is.
[00:01:23.000 --> 00:01:27.000]   So let's read these two verses again. Verse 11.
[00:01:27.000 --> 00:01:33.000]   "To this end," and what he means by that in the preceding verses is,
[00:01:33.000 --> 00:01:40.000]   "so that you will be able to marvel at the Lord when he comes."
[00:01:40.000 --> 00:01:47.000]   "To this end, we always pray for you that our God may make you worthy of his calling
[00:01:47.000 --> 00:01:52.000]   and may fulfill every resolve for good," or good resolve,
[00:01:52.000 --> 00:02:01.000]   "and every work of faith by his power, so that the name of our Lord Jesus may be glorified in you,
[00:02:01.000 --> 00:02:10.000]   and you in him, according to the grace of our God and the Lord Jesus Christ."
[00:02:10.000 --> 00:02:15.000]   So, eight crucial things in those two verses.
[00:02:15.000 --> 00:02:25.000]   Number one, there is a calling of God on and in every believer. A calling.
[00:02:25.000 --> 00:02:30.000]   Verse 11, "that our God may make you worthy of his calling,"
[00:02:30.000 --> 00:02:35.000]   that is, the glorious destiny that he has for you.
[00:02:35.000 --> 00:02:45.000]   A destiny to be a part of his kingdom and to be a part of and shaped by, glorified by, his glory.
[00:02:45.000 --> 00:02:51.000]   Easiest place to see that's what it means is 1 Thessalonians 2.12, which goes like this.
[00:02:51.000 --> 00:03:03.000]   "We charge you to walk in a manner worthy of God, who calls you to his own kingdom and glory."
[00:03:03.000 --> 00:03:09.000]   So the calling of every Christian is that we will be destined, we are destined,
[00:03:09.000 --> 00:03:15.000]   and we'll be there in God's kingdom and in his glory perfectly someday.
[00:03:15.000 --> 00:03:21.000]   So, your calling is to be in the kingdom of God, your calling is to share the glory of God,
[00:03:21.000 --> 00:03:25.000]   as will be increasingly clear as we get to that part of these two verses.
[00:03:25.000 --> 00:03:27.000]   That's number one, the calling of God.
[00:03:27.000 --> 00:03:34.000]   Number two, there is a being made worthy of the calling.
