
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:05.080]   - Hello, this is Pastor John.
[00:00:05.080 --> 00:00:07.440]   I get to start this episode by talking
[00:00:07.440 --> 00:00:10.440]   about another Pastor John, John Newton.
[00:00:10.440 --> 00:00:15.260]   Newton was a key leader in England in the 18th century,
[00:00:15.260 --> 00:00:19.680]   as you know, the author of the incredibly popular hymn,
[00:00:19.680 --> 00:00:21.220]   "Amazing Grace."
[00:00:21.220 --> 00:00:25.120]   Newton was a former captain of a slave trading ship
[00:00:25.120 --> 00:00:29.080]   and was dramatically converted from this life of sin
[00:00:29.080 --> 00:00:31.880]   and eventually helped William Wilberforce
[00:00:31.880 --> 00:00:33.760]   in the British slave trade.
[00:00:33.760 --> 00:00:36.760]   So I wanted to take a moment to introduce you
[00:00:36.760 --> 00:00:39.580]   to a new book about a part of Newton's life
[00:00:39.580 --> 00:00:41.000]   that goes overlooked.
[00:00:41.000 --> 00:00:45.720]   His 40 plus years in pastoral ministry
[00:00:45.720 --> 00:00:49.100]   and the amazing ministry of writing letters
[00:00:49.100 --> 00:00:50.900]   to people in need.
[00:00:50.900 --> 00:00:52.600]   The book is written by Tony Reinke,
[00:00:52.600 --> 00:00:54.740]   the host of this podcast.
[00:00:54.740 --> 00:00:58.400]   Tony calls his book "Pastoral Synthesis."
[00:00:58.400 --> 00:01:01.080]   He wants you to be pastored by John Newton.
[00:01:01.080 --> 00:01:05.480]   And so he gathered up all of Newton's many published letters
[00:01:05.480 --> 00:01:09.120]   about a thousand of them in various collections,
[00:01:09.120 --> 00:01:13.140]   many of them preserved in old, rare, fragile volumes
[00:01:13.140 --> 00:01:14.800]   in libraries around the world.
[00:01:14.800 --> 00:01:17.240]   He found them, studied them,
[00:01:17.240 --> 00:01:20.820]   and then identified Newton's key answers
[00:01:20.820 --> 00:01:24.360]   to the perennial questions of the Christian life.
[00:01:24.360 --> 00:01:27.040]   And then Tony wrote all his findings
[00:01:27.040 --> 00:01:30.660]   into a guided tour of Newton's thought.
[00:01:30.660 --> 00:01:34.840]   It's a kind of "Ask Pastor John Newton."
[00:01:34.840 --> 00:01:36.720]   The book releases this week.
[00:01:36.720 --> 00:01:41.640]   It's titled "Newton on the Christian Life to Live as Christ."
[00:01:41.640 --> 00:01:44.000]   I commend it very highly.
[00:01:44.000 --> 00:01:50.460]   (upbeat music)
[00:01:53.200 --> 00:01:55.600]   - Levi, a podcast listener in Indiana,
[00:01:55.600 --> 00:01:57.320]   writes in, "Pastor John,
[00:01:57.320 --> 00:01:58.800]   on whether or not to listen to music
[00:01:58.800 --> 00:02:01.000]   that includes themes of sexual immorality,
[00:02:01.000 --> 00:02:03.880]   materialism, and other forms of worldliness,
[00:02:03.880 --> 00:02:06.460]   is this a decision of individual conviction
[00:02:06.460 --> 00:02:09.720]   or is this music categorically sinful?"
[00:02:09.720 --> 00:02:12.140]   I know many people who say that it is a matter of conscience
[00:02:12.140 --> 00:02:15.040]   for individuals to determine for themselves.
[00:02:15.040 --> 00:02:17.680]   I would love your biblical thoughts on this.
[00:02:17.680 --> 00:02:19.400]   - The first thing that comes to my mind
[00:02:19.400 --> 00:02:23.400]   that needs to be addressed is a cynic,
[00:02:23.400 --> 00:02:26.360]   maybe, or I don't know what you'd call them,
[00:02:26.360 --> 00:02:29.000]   a Christian who thinks good grief.
[00:02:29.000 --> 00:02:31.480]   Don't we have bigger fish to fry
[00:02:31.480 --> 00:02:34.960]   than talking about what kind of music we listen to?
[00:02:34.960 --> 00:02:39.320]   Don't you guys know that people are suffering in the world?
[00:02:39.320 --> 00:02:43.160]   And here we are squabbling about music.
[00:02:43.160 --> 00:02:47.400]   So that person is looking over my shoulder
[00:02:47.400 --> 00:02:50.160]   as I contemplate whether even to answer this question.
[00:02:50.160 --> 00:02:53.000]   And my answer to that person,
[00:02:53.000 --> 00:02:56.080]   as a means to getting toward an answer to the question,
[00:02:56.080 --> 00:03:00.600]   is we always deal with lesser things
[00:03:00.600 --> 00:03:02.760]   for the sake of greater things.
[00:03:02.760 --> 00:03:06.440]   A little leaven leavens the whole lump.
[00:03:06.440 --> 00:03:09.520]   That's why you're concerned about a little leaven.
[00:03:09.520 --> 00:03:10.720]   - Right, exactly.
[00:03:10.720 --> 00:03:12.720]   - You don't say, "Oh, little leavens don't matter."
[00:03:12.720 --> 00:03:15.720]   Well, Paul says, "They matter because big lumps matter."
[00:03:15.720 --> 00:03:18.080]   So yeah, I'm all into big lumps.
[00:03:18.080 --> 00:03:21.880]   I want my life to count for big things and not little things.
[00:03:21.880 --> 00:03:24.960]   Little things affect big things,
[00:03:24.960 --> 00:03:27.200]   especially when kids are growing up.
[00:03:27.200 --> 00:03:30.320]   Most things feel little at one level.
[00:03:30.320 --> 00:03:33.000]   What's the root?
[00:03:33.000 --> 00:03:35.280]   Here's a second question I would ask to this person
[00:03:35.280 --> 00:03:37.920]   who just told me, "Don't waste your time on this question."
[00:03:37.920 --> 00:03:42.920]   What's the root of Christ dishonoring indifference
[00:03:43.120 --> 00:03:46.440]   to the poor and the suffering,
[00:03:46.440 --> 00:03:48.120]   temporal suffering, eternal suffering?
[00:03:48.120 --> 00:03:53.120]   What's the root of that in adults or kids, wherever?
[00:03:53.120 --> 00:03:54.440]   'Cause that's what this person
[00:03:54.440 --> 00:03:55.800]   presumes to be concerned about.
[00:03:55.800 --> 00:03:58.840]   And I wanna know, what's the root of that kind of Christ
[00:03:58.840 --> 00:04:03.880]   dishonoring indifference?
[00:04:03.880 --> 00:04:06.800]   And the root is Christlessness,
[00:04:06.800 --> 00:04:08.720]   the absence of Christ
[00:04:08.720 --> 00:04:11.720]   as the supreme treasure of our affections,
[00:04:11.720 --> 00:04:15.840]   the absence of His word as a controlling force in our lives.
[00:04:15.840 --> 00:04:19.880]   That's the source of Christ dishonoring indifference
[00:04:19.880 --> 00:04:21.240]   to suffering.
[00:04:21.240 --> 00:04:26.000]   And where does that kind of non-Christ-treasuring heart
[00:04:26.000 --> 00:04:27.440]   come from?
[00:04:27.440 --> 00:04:29.200]   Well, it doesn't come from anywhere.
[00:04:29.200 --> 00:04:30.440]   We're born with it.
[00:04:30.440 --> 00:04:34.600]   Jesus' out-of-the-heart-come murder, adultery,
[00:04:34.600 --> 00:04:37.600]   sexual immorality, theft, false witness, slander,
[00:04:37.600 --> 00:04:40.480]   all that stuff is selfishness.
[00:04:40.480 --> 00:04:43.320]   And big acts of selfishness
[00:04:43.320 --> 00:04:46.560]   grow in the soil of selfishness.
[00:04:46.560 --> 00:04:48.880]   So what about music?
[00:04:48.880 --> 00:04:53.600]   What about tending the garden of your heart with music?
[00:04:53.600 --> 00:04:58.040]   What about the ways we tend the soil of our soul
[00:04:58.040 --> 00:05:02.240]   that determine what kinds of things grow in it?
