
[00:00:00.000 --> 00:00:05.020]   [ Music ]
[00:00:05.020 --> 00:00:06.820]   >> Hi, everybody, and welcome
[00:00:06.820 --> 00:00:09.800]   to the Fastbook reading session with Jeremy Howard.
[00:00:09.800 --> 00:00:11.400]   Hi, Jeremy.
[00:00:11.400 --> 00:00:14.040]   >> Hello there.
[00:00:14.040 --> 00:00:16.600]   >> Thank you for joining us today.
[00:00:16.600 --> 00:00:19.960]   It's really, and I think it's the,
[00:00:19.960 --> 00:00:22.480]   it's a super exciting moment for me today.
[00:00:22.480 --> 00:00:24.360]   I've always been a big fan of you,
[00:00:24.360 --> 00:00:26.680]   and I've been following your work for quite a few years,
[00:00:26.680 --> 00:00:28.600]   and having you with us today.
[00:00:28.600 --> 00:00:30.720]   It's a big, big moment, and thank you
[00:00:30.720 --> 00:00:33.400]   for finding the time for joining us today.
[00:00:33.400 --> 00:00:36.000]   >> All right.
[00:00:36.000 --> 00:00:40.840]   >> Cool. So I'll go quickly into the outline for today.
[00:00:40.840 --> 00:00:42.920]   So for the agenda for today looks like this.
[00:00:42.920 --> 00:00:45.680]   The session will run for 60 minutes.
[00:00:45.680 --> 00:00:48.120]   I will spend the first five minutes or so
[00:00:48.120 --> 00:00:49.600]   in the bulk of an introduction.
[00:00:49.600 --> 00:00:52.280]   Then we have an introduction to Fast AI,
[00:00:52.280 --> 00:00:54.240]   Faster AI by Jeremy.
[00:00:54.240 --> 00:00:56.920]   Then I will spend about 10 minutes just looking
[00:00:56.920 --> 00:00:59.600]   into the Fastbook session, and this will be more
[00:00:59.600 --> 00:01:02.560]   to provide an outline for everybody who's here today
[00:01:02.560 --> 00:01:05.400]   and what they can expect for the next 20 weeks.
[00:01:05.400 --> 00:01:07.360]   How is each session going to run?
[00:01:07.360 --> 00:01:09.760]   Then there's a special section which I've called
[00:01:09.760 --> 00:01:11.760]   "In Conversation with Jeremy," because I couldn't come
[00:01:11.760 --> 00:01:13.280]   up with a better name.
[00:01:13.280 --> 00:01:15.720]   So I just called it "In Conversation with Jeremy."
[00:01:15.720 --> 00:01:19.000]   And in the end, we go for the AMA with Jeremy,
[00:01:19.000 --> 00:01:21.320]   which is "Ask Me Anything."
[00:01:21.320 --> 00:01:25.560]   So the timelines are only rough timelines, but we do hope to,
[00:01:25.560 --> 00:01:29.320]   we do plan on having this whole session for 60 minutes.
[00:01:29.320 --> 00:01:33.240]   So going into the, very quickly, I just want to share
[00:01:33.240 --> 00:01:36.560]   for the AMA towards the end, I'll share this again as well.
[00:01:36.560 --> 00:01:39.200]   For the AMA, we have this URL,
[00:01:39.200 --> 00:01:42.600]   which is called 1db.me/jeremy.
[00:01:42.600 --> 00:01:46.560]   So if we go to this URL, 1db.me/jeremy,
[00:01:46.560 --> 00:01:48.720]   are you able to see my Google Chrome?
[00:01:48.720 --> 00:01:50.920]   - Yep.
[00:01:50.920 --> 00:01:51.760]   - Excellent. So that should be-
[00:01:51.760 --> 00:01:54.480]   - I just put that link into the chat, by the way.
[00:01:54.480 --> 00:01:56.080]   - Thank you, Jeremy.
[00:01:56.080 --> 00:02:02.720]   So that URL will bring us to this page.
[00:02:02.720 --> 00:02:04.560]   And the reason why we go into this page
[00:02:04.560 --> 00:02:06.560]   towards the "Ask Me Anything" towards the end
[00:02:06.560 --> 00:02:10.480]   is we're also live on YouTube and we're also live on Zoom
[00:02:10.480 --> 00:02:12.160]   and a couple other platforms.
[00:02:12.160 --> 00:02:14.720]   So what I've been doing, and when we do host
[00:02:14.720 --> 00:02:18.000]   our paper reading groups, what we do is we use the reports
[00:02:18.000 --> 00:02:20.000]   as comments, as live comments.
[00:02:20.000 --> 00:02:22.560]   So as you can see, all the questions get asked.
[00:02:22.560 --> 00:02:24.240]   And towards the end of the presentation,
[00:02:24.240 --> 00:02:25.920]   I'll come here and the comments are live
[00:02:25.920 --> 00:02:29.120]   and we'll be asking those questions to Jeremy.
[00:02:29.120 --> 00:02:30.720]   So that's that.
[00:02:30.720 --> 00:02:34.480]   So very quickly, why are we hosting
[00:02:34.480 --> 00:02:36.880]   FAST Book reading sessions at Weights & Biases?
[00:02:36.880 --> 00:02:39.200]   Why are we all here today?
[00:02:39.200 --> 00:02:42.480]   And something I do want to clarify,
[00:02:42.480 --> 00:02:44.080]   when I mentioned FAST Book,
[00:02:44.080 --> 00:02:48.240]   there's a book that's available on Amazon to be purchased
[00:02:48.240 --> 00:02:50.640]   that's called "Deep Learning for Coders"
[00:02:50.640 --> 00:02:52.160]   with Fast.ai and PyTorch.
[00:02:52.160 --> 00:02:55.040]   And it's written by Jeremy Howard and Sylvain Gouger.
[00:02:55.040 --> 00:02:56.880]   And when I'm referring to FAST Book,
[00:02:56.880 --> 00:02:59.120]   I'm referring to the free version of this book.
[00:02:59.120 --> 00:03:01.280]   So that's also available as Jupyter Notebooks.
[00:03:01.280 --> 00:03:03.760]   It's a thanks to O'Reilly, thanks to Jeremy,
[00:03:03.760 --> 00:03:06.560]   and thanks to Sylvain for making this book
[00:03:06.560 --> 00:03:08.160]   available to everybody for free.
[00:03:08.160 --> 00:03:11.120]   And we'll be going through the free version of the book
[00:03:11.120 --> 00:03:12.800]   for the next 20 weeks.
[00:03:12.800 --> 00:03:15.600]   So why are we here today?
[00:03:15.600 --> 00:03:18.480]   Why is everybody at Weights & Biases?
[00:03:18.480 --> 00:03:20.240]   And what is Weights & Biases doing
[00:03:20.240 --> 00:03:23.520]   with FAST Book and you know?
[00:03:23.520 --> 00:03:27.040]   So something--so this is more of a personal thing
[00:03:27.040 --> 00:03:28.320]   and this is more of a journey.
[00:03:28.320 --> 00:03:32.880]   Not very long ago, I was on a very similar journey.
[00:03:32.880 --> 00:03:37.040]   I was getting started with deep learning.
[00:03:37.040 --> 00:03:39.120]   And I had paid money to do courses.
[00:03:39.120 --> 00:03:41.040]   I had tried a few different things.
[00:03:41.040 --> 00:03:43.680]   I had tried on my own and I had failed every time.
[00:03:43.680 --> 00:03:49.440]   And what came to my help was one of my colleagues mentioned,
[00:03:49.440 --> 00:03:52.080]   "Oh, have you heard of the FAST AI course?"
[00:03:52.080 --> 00:03:53.440]   The FAST AI course.
[00:03:53.440 --> 00:03:56.480]   And it's taught by Jeremy Howard and it's really good.
[00:03:56.480 --> 00:03:58.800]   And you will get straight into doing things.
[00:03:58.800 --> 00:04:00.320]   It will be really easy.
[00:04:00.320 --> 00:04:04.080]   And I say this out of utmost honesty.
[00:04:04.080 --> 00:04:05.600]   And from my experience, when I went in
[00:04:05.600 --> 00:04:06.960]   and then did the first lesson,
[00:04:06.960 --> 00:04:10.080]   within the first 10 minutes of starting out,
[00:04:10.080 --> 00:04:11.920]   I was training in Image Classifier.
[00:04:11.920 --> 00:04:13.200]   This is back in 2018.
[00:04:13.200 --> 00:04:17.600]   And at the time in 2018, we were doing cats versus dogs
[00:04:17.600 --> 00:04:18.960]   as the first lesson.
[00:04:18.960 --> 00:04:20.640]   And I was training an image classifier
[00:04:20.640 --> 00:04:22.640]   that would classify cats from dogs.
[00:04:22.640 --> 00:04:25.600]   And it could also classify various different pet breeds
[00:04:25.600 --> 00:04:29.520]   at 99% accuracy in about the first 10 minutes
[00:04:29.520 --> 00:04:30.640]   of ever starting a course.
[00:04:30.640 --> 00:04:35.200]   And that got me hooked to deep learning in a way
[00:04:35.200 --> 00:04:38.240]   that nobody else has ever had an impact like that.
[00:04:38.240 --> 00:04:43.200]   And I feel as someone who's benefited
[00:04:43.200 --> 00:04:47.600]   from the FAST AI library, from the FAST AI community so much
[00:04:47.600 --> 00:04:50.240]   that I feel it's as if my moral duty
[00:04:50.240 --> 00:04:52.800]   and it's as if my duty to pass the baton
[00:04:52.800 --> 00:04:54.800]   to everybody who's here today
[00:04:54.800 --> 00:04:57.040]   and everybody who will be joining us
[00:04:57.040 --> 00:04:59.120]   for the journey for the next 20 weeks.
[00:04:59.120 --> 00:05:02.160]   So this is not something you'd ever hear me saying,
[00:05:02.160 --> 00:05:04.320]   but because of the love for the library,
[00:05:04.320 --> 00:05:09.360]   I do wanna say that I take it as my personal duty
[00:05:09.360 --> 00:05:13.760]   to make sure that all questions get answered
[00:05:13.760 --> 00:05:16.320]   and we all learn for the next 20 weeks.
[00:05:16.800 --> 00:05:20.240]   And so that's the reason that we're here today.
[00:05:20.240 --> 00:05:26.160]   And the one person who's been at the center of it all
[00:05:26.160 --> 00:05:29.120]   and the center of pretty much all my learnings
[00:05:29.120 --> 00:05:30.960]   has been Jeremy Howard.
[00:05:30.960 --> 00:05:34.080]   We all know of him as a data scientist,
[00:05:34.080 --> 00:05:37.360]   researcher, developer, educator, and an entrepreneur.
[00:05:37.360 --> 00:05:41.840]   Jeremy was the founding CEO of Enlytic,
[00:05:41.840 --> 00:05:43.040]   which was the first company
[00:05:43.040 --> 00:05:44.960]   to apply deep learning to medicine
[00:05:44.960 --> 00:05:46.720]   and was selected as one of the world's
[00:05:46.720 --> 00:05:49.440]   top 50 smartest companies by MIT Tech Review
[00:05:49.440 --> 00:05:50.480]   for two years in a row.
[00:05:50.480 --> 00:05:53.600]   He was the president and chief scientist
[00:05:53.600 --> 00:05:57.040]   of data science platform that we all love today, Kaggle.
[00:05:57.040 --> 00:05:58.160]   And he was top ranked.
[00:05:58.160 --> 00:06:00.320]   He was ranked number one for two years in a row
[00:06:00.320 --> 00:06:04.400]   when he was doing and working with Kaggle.
[00:06:04.400 --> 00:06:06.560]   And he was also the founding CEO
[00:06:06.560 --> 00:06:09.040]   of two very successful Australian startups,
[00:06:09.040 --> 00:06:11.520]   Fastmail and Optimal Decisions Group.
[00:06:11.520 --> 00:06:13.360]   And before that, he spent eight years
[00:06:13.360 --> 00:06:15.600]   in management consulting and McKinsey & Co.
[00:06:15.600 --> 00:06:16.400]   and AP & Co.
