
[00:00:00.000 --> 00:00:10.320]   all right everyone welcome to the official unofficial grace point podcast good to have
[00:00:10.320 --> 00:00:18.880]   you guys back i'm steven i'm isaiah and we are your co-hosts um so we are um we realized we
[00:00:18.880 --> 00:00:24.780]   jumped into this podcast i mean we don't know what we're doing clearly no yeah no idea um getting a
[00:00:24.780 --> 00:00:29.940]   lot of great tips and stuff like that but um we realized that we kind of jumped to this whole
[00:00:29.940 --> 00:00:34.440]   thing talking about how we're a weird church and that makes sense if you've been to our church and
[00:00:34.440 --> 00:00:37.920]   or you've been our church a long time stuff like that but actually you don't really know our church
[00:00:37.920 --> 00:00:43.420]   you're just getting kind of wow this is a weird church yeah you only saw all the weird aspects of
[00:00:43.420 --> 00:00:49.280]   us so yeah my brother was like i think you made us seem weirder than we actually are which was not our
[00:00:49.280 --> 00:00:53.600]   intention but looking back i can see how that's the case not a good first impression yeah so we felt
[00:00:53.600 --> 00:00:58.100]   like okay let's let's just go back a little bit backtrack zoom out a little bit yeah what the
[00:00:58.100 --> 00:01:03.480]   heck is this thing called grace point yeah who are we yeah and uh what makes us tick i think what we
[00:01:03.480 --> 00:01:08.600]   wanted to focus on so last episode was what makes us weird this episode is what makes us tick you know
[00:01:08.600 --> 00:01:15.540]   what are we passionate about and i think um if there's one slogan that really captures it um it's
[00:01:15.540 --> 00:01:21.320]   an axe to church in every college town yeah i mean that's that that motto slogan whatever it is that
[00:01:21.320 --> 00:01:25.920]   tagline is what's sort of animated us the last 10 years and yeah if you come to our building it's
[00:01:25.920 --> 00:01:30.780]   like it's posted on the walls website everything watch a video isaiah yells it at you in his
[00:01:30.780 --> 00:01:35.780]   narrations book words yeah i don't i don't do that because i want to really it's very stirring though
[00:01:35.780 --> 00:01:41.620]   i'm very thankful you thank you thank you steven you're welcome okay anyway moving on so we're just
[00:01:41.620 --> 00:01:45.760]   gonna um we're just gonna unpack that slogan and just kind of talk about like each part of it or
[00:01:45.760 --> 00:01:51.320]   aspects of it um that really kind of explain and capture who we are yeah yeah um and so actually
[00:01:51.320 --> 00:01:55.400]   maybe go backwards like acts two church in every college town okay so college and usually we think
[00:01:55.400 --> 00:01:59.640]   about college ministries reaching college students thinking about parachurch ministries like intervarsity
[00:01:59.640 --> 00:02:04.720]   crew you know navigators like all great great ministries um you don't think about a church though
[00:02:04.720 --> 00:02:10.000]   so how did that happen how did we end up was it like a grand strategy you know like yeah college you
[00:02:10.000 --> 00:02:14.700]   know that's how it was for those parachurch organizations you know not quite like that for
[00:02:14.700 --> 00:02:21.880]   us yeah so well so i can take this um this section of it because i was here for a while um so i i think
[00:02:21.880 --> 00:02:28.160]   most of the people even people who are like kind of staff a lot of them don't fully know the history of
[00:02:28.160 --> 00:02:31.560]   our church so it might be helpful to just tell it let's just tell the story and i i've heard it like a
[00:02:31.560 --> 00:02:38.240]   a million times and i still tell you i still ask you like yeah yeah yeah so um so yeah just to be
[00:02:38.240 --> 00:02:45.560]   up front this is our history so the story begins in 1981 when a korean couple um their names were
[00:02:45.560 --> 00:02:50.060]   becky and paul they started a church called berkland and it was called berkland because it was on the
[00:02:50.060 --> 00:02:55.300]   border of berkeley and oakland so henson and berkland berkland baptist church so bbc so you hear that phrase
[00:02:55.300 --> 00:03:00.520]   sometimes and they started a church on the berkeley campus for college students and that was always their
[00:03:00.520 --> 00:03:06.940]   vision they came out of another group that was also about college ministry um and so yeah they
[00:03:06.940 --> 00:03:12.360]   they they founded so the founders were not pastor and kelly yeah that surprised me when yeah oh i didn't
[00:03:12.360 --> 00:03:17.760]   know that yeah contrary to uh common uh belief they my parents actually didn't come to our church i think
[00:03:17.760 --> 00:03:23.900]   until like 1986 your dad knew like people but then he didn't even go there as an undergrad yeah so back
[00:03:23.900 --> 00:03:27.860]   in the day the korean christian community at berkeley was pretty small so they were all kind of friends so
[00:03:27.860 --> 00:03:31.860]   like his best friend was part of berkeley as well as like his best friend's younger brother who he was
[00:03:31.860 --> 00:03:38.420]   also very close to and a bunch of others um and so but my dad uh for just various reasons started coming
[00:03:38.420 --> 00:03:45.300]   to berkeley after graduation and um him and those other friends and and the leader couple were kind of
[00:03:45.300 --> 00:03:48.980]   the first generation of leaders of that church a lot of them became pastors a lot of them are still
[00:03:48.980 --> 00:03:56.500]   pastors this day at other berkeley churches bbc churches um but around 2006 not around 2006 2006
[00:03:56.500 --> 00:04:02.340]   um the whole bbc which by that time was kind of a network of churches kind of similar to what grace
[00:04:02.340 --> 00:04:08.980]   point is today um decided to split go autonomous um so that it wouldn't be a network anymore and so our
[00:04:08.980 --> 00:04:15.940]   church became grace point what it is today incorporated as a new organization um and that became kind of i don't
[00:04:15.940 --> 00:04:20.820]   know in some ways that's the start i guess of our like modern history as grace point um so that was
[00:04:20.820 --> 00:04:25.380]   when i was in high school right right yeah and i came in i didn't know any of this as a freshman right
[00:04:25.380 --> 00:04:31.620]   when did you find out about them just curious when and how do you remember gosh uh i think it was like
[00:04:31.620 --> 00:04:39.220]   my freshman year and like your this q a session which we do all the time and your dad started talking
[00:04:39.220 --> 00:04:43.060]   about like our history and then started talking about some of the online criticism and stuff and i was like
[00:04:43.060 --> 00:04:47.860]   like oh what the you know and i went on a like i've said in other uh episodes um i i went on the
[00:04:47.860 --> 00:04:54.260]   you know saw all this online stuff and i was like whoa this is not my experience whatever yeah and then
