
[00:00:00.000 --> 00:00:19.760]   We are talking about GraphRack today. That's the GraphRack track, of course. And we want to look
[00:00:19.760 --> 00:00:26.400]   at patterns for successful GraphRack applications for making LLMs a little bit smarter by putting
[00:00:26.400 --> 00:00:34.720]   knowledge graph into the picture. My name is Michael Hunger. I lead the developer relations
[00:00:34.720 --> 00:00:41.680]   at Neo4j. Actually, we are both co-authoring. This is fun because we are both already authors
[00:00:41.680 --> 00:00:47.560]   and finally we have been friends for years. We are co-authoring GraphRack, the definitive
[00:00:47.560 --> 00:00:52.800]   guide for O'Reilly. Basically, we didn't sleep this past weekend because we had a book deadline.
[00:00:52.800 --> 00:01:01.120]   I am going to talk a little bit about at a high level, what GraphRack is, why it is important,
[00:01:01.120 --> 00:01:05.880]   what we are seeing in the media. And then Michael is going to drill down into all of the details
[00:01:05.880 --> 00:01:10.480]   and patterns and give you a bunch of takeaways and things you can do. This is probably, if
[00:01:10.480 --> 00:01:17.640]   you want to know how to do GraphRack, Michael's quick deep dive on this is the best introduction
[00:01:17.640 --> 00:01:20.600]   you can get. So, I'm also excited. Awesome. That's good going.
[00:01:20.600 --> 00:01:27.000]   Okay. So, the case for GraphRack is where we are going to start. And the challenge with
[00:01:27.000 --> 00:01:32.600]   using LLMs and using other patterns for this is basically they don't have the enterprise domain
[00:01:32.600 --> 00:01:37.160]   knowledge. They don't verify or explain the answers. They are subject to hallucinations.
[00:01:37.160 --> 00:01:43.640]   And they have ethical and data bias concerns. And you can see that very much like our friendly
[00:01:43.640 --> 00:01:49.640]   parrot here. They are all the things which parrots behave and act like, except a cute bird.
[00:01:49.640 --> 00:01:55.560]   So, we want to do better than this with GraphRack and figure out how we can use domain-specific
[00:01:55.560 --> 00:02:02.760]   knowledge, accurate, contextual, and explainable answers. And really, I think what a lot of companies
[00:02:02.760 --> 00:02:08.120]   and what the industry is figuring out is it's really a data problem. You need good data. You need to have
[00:02:08.120 --> 00:02:13.480]   data you can power your system with. One of the patterns you can do this with is RAG. So, you can
[00:02:13.480 --> 00:02:21.080]   stick your external data into a RAG system. You can get stuff back from a database for the pattern.
[00:02:21.080 --> 00:02:29.400]   But vector databases and RAG fall short because it's lacking kind of your full data set. It's only
[00:02:29.400 --> 00:02:34.280]   pulling back a fraction of the information by vector-similar algorithms. Typically, a lot of the,
[00:02:34.280 --> 00:02:38.920]   especially modern vector databases, which everyone's using, they're easy to start with, but they're not
[00:02:38.920 --> 00:02:44.520]   robust. They're not mature. They're not something which has scalability and fallback and gives you
[00:02:44.520 --> 00:02:50.840]   that, what you need to get into, build a strong, robust enterprise system. And vector similarity is not
[00:02:50.840 --> 00:02:57.720]   the same as relevance. So, results you get back from using a basic RAG system. They give you back things
[00:02:57.720 --> 00:03:04.040]   which are related to the topic, but it's not complete, and it's typically also not very relevant.
[00:03:04.040 --> 00:03:10.520]   And then it's very hard to explain what's coming out of the system. So, we need to answer. Lifeline.
[00:03:10.520 --> 00:03:14.920]   Yeah. Graphrag. And what Graphrag is, is we're bringing
[00:03:14.920 --> 00:03:22.360]   the knowledge and the context and the environment to what LLMs are good at. So, you can think of this kind of like the
[00:03:22.360 --> 00:03:30.280]   the human brain. Our left brain is, our right brain is more creative. It does more like building things. It
[00:03:30.280 --> 00:03:35.880]   does more extrapolation of information. Whereas our left brain is the logical part. That's what actually
