
[00:00:00.040 --> 00:00:09.420]   disproportionately
[00:00:09.420 --> 00:00:10.320]   at the,
[00:00:54.440 --> 00:00:54.440]   The,
[00:00:54.440 --> 00:00:54.440]   the,
[00:00:54.440 --> 00:00:54.440]   the,
[00:01:21.700 --> 00:01:31.780]   Mad
[00:01:31.780 --> 00:01:35.200]   or back Это
[00:01:35.200 --> 00:01:47.000]   ", lot of. They®. 맛있 buy seven as,cend, .,,,,,,,,,,,,,ечениеplan Spider�ivesse capitalize on pueda courts have the head is the grelet and get the re get the creed and the takes the bounty and the one that's the family and the為什麼後 the Kimcries. I'm the control the end the � ROMI's the
[00:01:47.000 --> 00:01:50.240]   "G,
[00:01:50.280 --> 00:02:15.600]   Wilbur: "You're thinking the universe is a kind of machine that designs beautiful things and multiple scales. I do. And I think of nature in that way in general. In the context of design specifically, I think of nature as everything that isn't anthropomath. Everything that is not produced by humankind. The birds and the rocks and everything in between. Fungi, elephants, whales.
[00:02:15.600 --> 00:02:15.600]   "G,
[00:02:15.600 --> 00:02:15.600]   Wilbur: "Do you think that nature is not a machine that can create beautiful things and multiple scales?" I do. And I think of nature in that way in general. In the context of design specifically, I think of nature as everything that isn't anthropomath. Everything that is not produced by humankind. The birds and the rocks and everything in between. Fungi, elephants, whales. "G,
[00:02:15.600 --> 00:02:15.600]   "G,
[00:02:15.640 --> 00:02:26.500]   de
[00:02:26.500 --> 00:02:38.860]  � don the Fest M G Que...,,,,, another
[00:02:38.860 --> 00:02:42.460]   Freunde or politically and questo orang sign in you is, . . . . . . . . . . . . . . . .. might play is. was only텐 for a around only in butts closer Barあと
[00:02:42.460 --> 00:02:43.120]   N. I think that's
[00:02:44.000 --> 00:02:45.020]   a good question.
[00:02:45.020 --> 00:02:46.020]   I think that's a good question.
[00:02:46.020 --> 00:02:47.020]   I think that's a good question.
[00:02:47.020 --> 00:02:48.020]   I think that's a good question.
[00:02:48.020 --> 00:02:49.020]   I think that's a good question.
[00:02:49.020 --> 00:02:50.020]   I think that's a good question.
[00:02:50.020 --> 00:02:51.020]   I think that's a good question.
[00:02:51.020 --> 00:02:52.020]   I think that's a good question.
[00:02:52.020 --> 00:02:53.020]   I think that's a good question.
[00:02:53.020 --> 00:02:54.020]   I think that's a good question.
[00:02:54.020 --> 00:02:55.020]   I think that's a good question.
[00:02:55.020 --> 00:02:56.020]   I think that's a good question.
[00:02:56.020 --> 00:02:57.020]   I think that's a good question.
[00:02:57.020 --> 00:02:58.020]   I think that's a good question.
[00:02:58.020 --> 00:02:59.020]   I think that's a good question.
[00:02:59.020 --> 00:03:00.020]   I think that's a good question.
[00:03:00.020 --> 00:03:01.020]   I think that's a good question.
[00:03:01.020 --> 00:03:02.020]   I think that's a good question.
[00:03:02.020 --> 00:03:03.020]   I think that's a good question.
