
[00:00:00.000 --> 00:00:04.660]   [MUSIC]
[00:00:04.660 --> 00:00:08.480]   Marilynne Robinson has written a novel titled Gilead, a beautiful novel of hers
[00:00:08.480 --> 00:00:10.600]   that you readily recommend, Pastor John.
[00:00:10.600 --> 00:00:14.440]   And at one place in the novel, this is what she writes, quote,
[00:00:14.440 --> 00:00:17.920]   in eternity, this world will be Troy, I believe.
[00:00:17.920 --> 00:00:20.840]   And all that has passed here will be the epic of the universe,
[00:00:20.840 --> 00:00:23.000]   the ballad they sing in the streets.
[00:00:23.000 --> 00:00:27.480]   Because I don't imagine any reality putting this one in the shade entirely, and
[00:00:27.480 --> 00:00:31.080]   I think piety forbids me to try, end quote.
[00:00:31.080 --> 00:00:32.040]   What do you think, Pastor John?
[00:00:32.040 --> 00:00:35.240]   Will this life be a ballad of eternity?
[00:00:35.240 --> 00:00:37.720]   Obviously, there will be no tears and no regrets in heaven, but
[00:00:37.720 --> 00:00:41.320]   are there any biblical clues on the place of history in eternity?
[00:00:41.320 --> 00:00:48.560]   >> I would love to know what she means by piety forbids me to try.
[00:00:48.560 --> 00:00:55.480]   I know what I mean when I say yes to your question, because I agree with her.
[00:00:55.480 --> 00:00:58.680]   At least insofar as I understand her, I agree with her.
[00:00:58.680 --> 00:01:02.280]   When Troy is mentioned, not everybody might get that.
[00:01:02.280 --> 00:01:09.600]   Troy was the city that the Greek states were attacking to try to capture,
[00:01:09.600 --> 00:01:15.280]   and it was a ten year conquest, and Homer wrote the Iliad about it.
[00:01:15.280 --> 00:01:16.680]   And the Iliad, I think,
[00:01:16.680 --> 00:01:20.200]   focuses pretty much on the last several weeks of that conquest.
[00:01:20.280 --> 00:01:28.680]   And Troy is captured, and so the bravery is heralded for generations to come.
[00:01:28.680 --> 00:01:32.640]   And the Odyssey is about the coming home of Odysseus.
[00:01:32.640 --> 00:01:39.320]   And so in other words, a great historical exploit that is told and
[00:01:39.320 --> 00:01:41.880]   written in poems for generations to come.
