
[00:00:00.000 --> 00:00:21.140]   Hey, everybody. I'm Paul. I'm the founder of BrowserBase, and I am obsessed with browsers,
[00:00:21.140 --> 00:00:25.880]   specifically one type of browsers, headless browsers. And I'm here to talk about how the
[00:00:25.880 --> 00:00:32.460]   browser is all you need. It's not attention. It's not MCP. It's the browser, or specifically
[00:00:32.460 --> 00:00:36.840]   the browser MCP server is all you need. And I'm going to try and keep it light on slides.
[00:00:36.840 --> 00:00:41.000]   We only have 100 to get through in 20 minutes, but you and I, we can do it together. Just
[00:00:41.000 --> 00:00:45.480]   stay with me for 20 more minutes, okay? So, first of all, a little about BrowserBase. This
[00:00:45.480 --> 00:00:48.540]   is what it looks like to build your own browser infrastructure. It's messy, and it breaks all
[00:00:48.540 --> 00:00:53.000]   the time. With BrowserBase, we can let you run thousands of headless browsers in the cloud
[00:00:53.000 --> 00:00:57.780]   for agents to control. And you might be wondering, well, why do I need a browser? Well, every
[00:00:57.780 --> 00:01:02.340]   AI agent needs a web browser. That's the point of this whole talk. So, of course, you know,
[00:01:02.340 --> 00:01:05.720]   I can talk to you about how to scale browser infrastructure and all that interesting stuff,
[00:01:05.720 --> 00:01:09.660]   but that's too pluggy. We'll save that for later. But I do know quite a bit about, you
[00:01:09.660 --> 00:01:14.580]   know, how customers are using browsers as part of their AI agent applications, specifically
[00:01:14.580 --> 00:01:19.980]   with MCP. We have the most popular browser automation MCP server out there. And the reason
[00:01:19.980 --> 00:01:24.100]   why people choose BrowserBase to run their headless browser MCP is that we make it really nice
[00:01:24.100 --> 00:01:29.320]   and really can help you scale your infrastructure. And when you think about why do I need a browser?
[00:01:29.320 --> 00:01:34.420]   Well, I like to think about two things. You have AI agents and the legacy internet. You know,
[00:01:34.420 --> 00:01:39.760]   the DMV is not going to have an MCP server anytime soon. My barber shop is not going to open a
[00:01:39.760 --> 00:01:46.400]   GraphQL API for me to schedule a haircut. As much as I keep begging John to do it, he's got better
[00:01:46.400 --> 00:01:50.640]   things to do. So if we want AI agents to interact with the rest of the legacy internet, they need
[00:01:50.640 --> 00:01:55.780]   a bridge. And I really do believe that the browser is that bridge between AI and the rest of the
[00:01:55.780 --> 00:02:00.020]   internet. And this is the unsexy internet, I might add. It's the internet that's not going to get a lot
