
[00:00:00.000 --> 00:00:24.000]   So, I'm Cédric Vidal. I'm a Principal AI Advocate at Microsoft. And today, we're going to do quite
[00:00:24.000 --> 00:00:33.440]   cool stuff. We're going to talk about many things. Multi-models, multi-modality, multi-lingual,
[00:00:33.440 --> 00:00:41.520]   multi-agents, all of this with Azure AI. So, yeah. And also, one particularity is apart from a few
[00:00:41.520 --> 00:00:48.960]   slides at the beginning, it's only demos. And to be honest, bear with me in case one of them or all
[00:00:48.960 --> 00:00:58.560]   of them don't work. But it's going to be fun. We'll see how it goes. So, as you know, you know,
[00:00:58.560 --> 00:01:08.480]   Azure AI is the best AI platform out there. We have a lot of AI services. We can do machine learning.
[00:01:08.480 --> 00:01:17.360]   And we also do all of that responsibly with the whole Responsible AI framework. And we encapsulate
[00:01:17.360 --> 00:01:25.760]   all of this in the Azure AI Studio. And I'm going to do a lot of demos of Azure AI Studio today.
[00:01:25.760 --> 00:01:36.160]   And since now almost a year, a bit more than a year, we've been partnering with OpenAI, of course.
[00:01:36.160 --> 00:01:44.880]   And we have all of the OpenAI models available on Azure platform. But we're going to see that in addition
[00:01:44.880 --> 00:01:49.840]   to all the OpenAI models that we have and all the modalities that we can get using those,
[00:01:49.840 --> 00:01:58.400]   we also have many more models available on the platform for text, of course, vision and speech.
[00:02:01.760 --> 00:02:08.480]   And many organizations trust us today to use AI and build their products.
[00:02:08.480 --> 00:02:18.480]   So without further ado, so I'm going to jump in the demos very quickly. But before I do,
[00:02:18.480 --> 00:02:23.440]   so we've had many things announced at Build a couple of months ago.
[00:02:23.440 --> 00:02:30.560]   We've had the GA version of Azure AI Studio. We've had the latest model from OpenAI,
[00:02:30.560 --> 00:02:40.400]   GPT for Omni, which supports text, vision and soon speech. We've had the new smaller language model
[00:02:41.120 --> 00:02:48.640]   from Microsoft for my master search called Fi3. Now, we have also announced GPT-4 Turbo Vision,
[00:02:48.640 --> 00:02:58.880]   daily three and Whisper. We've announced the Assistant API that allows to build agents. And I'm going to
[00:02:58.880 --> 00:03:10.400]   demo it. We've announced fine tuning for GPT-4, the new inference batch API. And also, another very cool thing,
[00:03:10.400 --> 00:03:16.400]   I'm going to demo it today. And you had a glimpse of it. I mean, I guess the surprise is kind of out.
[00:03:16.400 --> 00:03:20.000]   But the video translation service that I'm going to demo.
[00:03:20.000 --> 00:03:29.680]   And Azure AI Studio. Oh, yeah. So, let's go straight to the demos now. So, apart from those slides,
[00:03:29.680 --> 00:03:39.040]   now it's only demos. So, the fun begins. Okay. The first demo. So, we've had
[00:03:39.680 --> 00:03:52.240]   A year ago, when everything started, you didn't have many choices. It was basically GPT or GPT. The only
[00:03:52.240 --> 00:04:00.160]   modality available was text. But now things have changed dramatically. Now, we support also multimodal
[00:04:00.160 --> 00:04:07.840]   vision, mixing text and vision. And this opens a completely new era of use cases. For example, here,
[00:04:07.840 --> 00:04:17.280]   here. And let me zoom. So, I'm going to demo GPT-4.0. And actually, I selected vision here. But what I
[00:04:17.280 --> 00:04:25.840]   wanted to select was GPT-4.0. And I'm going to demonstrate a use case where -- so, it is kind of
[00:04:25.840 --> 00:04:35.360]   small right now. But this is a menu from a restaurant. And I'm going to ask what's began on the menu today.
[00:04:35.360 --> 00:04:45.600]   Okay. So, here, we can see the menu a bit better. So, as you can see, we have winter, chicory salad,
[00:04:45.600 --> 00:04:56.320]   duck, sea bass, et cetera. And what's very interesting here is that the menu that you just saw was -- the
[00:04:56.320 --> 00:05:05.360]   the font is funny, but it's printed. So, it's a font from a computer. And GPT-4.0 does a very good job at
[00:05:05.360 --> 00:05:13.120]   reading what's on the menu. And let me zoom here so that we can see what's -- so, I asked whether there
[00:05:13.120 --> 00:05:20.480]   were vegan options today on the menu. And what's interesting is that it looks -- it mixes vision. So, it
[00:05:20.480 --> 00:05:27.600]   extracted all the text from the image. But not only that, but it resounds on it. So, it analyzed
[00:05:27.600 --> 00:05:33.760]   all the items on the menu today. And for each one of them, looked at which ones were vegan. And as you
[00:05:33.760 --> 00:05:46.880]   can see here, the cauliflower soup and winter chicory salad. Let me zoom up. Okay. So,
