
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:14.520]   - Welcome to Google Heads on Investing podcast number 46.
[00:00:14.520 --> 00:00:16.520]   Today we focus on ESG,
[00:00:16.520 --> 00:00:19.380]   Environmental, Social and Governance Investing.
[00:00:19.380 --> 00:00:22.440]   Our two guests are Larry Suedro,
[00:00:22.440 --> 00:00:25.600]   talking about his new book, "Sustainable Investing",
[00:00:25.600 --> 00:00:27.320]   and Dr. Ellen Quigley,
[00:00:27.320 --> 00:00:29.800]   a Senior Research Associate in Climate Risk
[00:00:29.800 --> 00:00:31.300]   and Sustainable Finance,
[00:00:31.300 --> 00:00:34.920]   and also a Special Advisor to the Chief Financial Officer
[00:00:34.920 --> 00:00:36.520]   at the University of Cambridge.
[00:00:36.520 --> 00:00:49.120]   Hi everyone, my name is Rick Ferry
[00:00:49.120 --> 00:00:51.440]   and I'm the host of "Google Heads on Investing".
[00:00:51.440 --> 00:00:53.480]   This episode, as with all episodes,
[00:00:53.480 --> 00:00:55.440]   is brought to you by the John C. Bogle
[00:00:55.440 --> 00:00:57.440]   Center for Financial Literacy,
[00:00:57.440 --> 00:01:00.840]   a 501(c)(3) nonprofit organization
[00:01:00.840 --> 00:01:04.280]   that you can find at boglecenter.net.
[00:01:04.280 --> 00:01:07.960]   Your tax deductible contributions are greatly appreciated.
[00:01:07.960 --> 00:01:10.680]   And don't forget about our Bogle Heads Conference
[00:01:10.680 --> 00:01:13.800]   coming up this October 12th through the 14th
[00:01:13.800 --> 00:01:15.520]   in a suburb of Chicago.
[00:01:15.520 --> 00:01:17.240]   There are a few tickets left
[00:01:17.240 --> 00:01:19.300]   and we would love to see you there.
[00:01:19.300 --> 00:01:23.240]   Our focus today is on ESG investing.
[00:01:23.240 --> 00:01:27.600]   ESG stands for environmental, social, and governance.
[00:01:27.600 --> 00:01:28.920]   It's the hottest thing
[00:01:28.920 --> 00:01:30.680]   in the investment industry right now.
[00:01:30.680 --> 00:01:34.160]   Hundreds of mutual funds and ETFs have been created
[00:01:34.160 --> 00:01:36.000]   clamoring for your dollars,
[00:01:36.000 --> 00:01:39.320]   enticing you to invest with your conscience
[00:01:39.320 --> 00:01:41.840]   in addition to with your money.
[00:01:41.840 --> 00:01:46.260]   But is this really a strategy to take seriously?
[00:01:46.260 --> 00:01:51.080]   Does it actually achieve the goal of environmentally friendly,
[00:01:51.080 --> 00:01:54.260]   socially responsible, and better governance
[00:01:54.260 --> 00:01:57.640]   in how corporations behave and make decisions?
[00:01:57.640 --> 00:02:02.640]   Or is ESG a scam, as Elon Musk said recently?
[00:02:02.640 --> 00:02:06.600]   That's my discussion today with two special guests,
[00:02:06.600 --> 00:02:09.440]   Larry Swedrow, chief research officer
[00:02:09.440 --> 00:02:11.480]   for Buckingham Strategic Wealth
[00:02:11.480 --> 00:02:14.800]   and the co-author of a new book called "Sustainable Investing"
[00:02:14.800 --> 00:02:19.040]   and Dr. Ellen Quigley, who is a senior research associate
[00:02:19.040 --> 00:02:22.000]   in climate risk and sustainable finance
[00:02:22.000 --> 00:02:25.280]   at the Center for the Study of Existential Risk
[00:02:25.280 --> 00:02:29.600]   and also a special advisor to the chief financial officer
[00:02:29.600 --> 00:02:31.920]   at the University of Cambridge.
[00:02:31.920 --> 00:02:36.000]   I promise you this will be an interesting podcast.
[00:02:36.000 --> 00:02:38.400]   First up is Larry Swedrow.
[00:02:38.400 --> 00:02:44.600]   With no further ado, let me introduce Larry Swedrow.
[00:02:44.600 --> 00:02:48.200]   Welcome again to the Bogleheads on Investing podcast, Larry.
[00:02:48.200 --> 00:02:50.400]   - Good to be back with you, Rick.
[00:02:50.400 --> 00:02:53.320]   - Larry, your latest book with Samuel Adams
[00:02:53.320 --> 00:02:57.900]   is titled "Your Sensible Guide to Sustainable Investing,
[00:02:57.900 --> 00:03:00.680]   "How to Live Your Lives and Achieve Your Financial Goals
[00:03:00.680 --> 00:03:05.680]   "with ESG, SRI, and Impact Investing."
[00:03:05.680 --> 00:03:08.920]   But before we begin, I just wanna remind people
[00:03:08.920 --> 00:03:10.640]   of who you are.
[00:03:10.640 --> 00:03:12.200]   You're the chief research officer
[00:03:12.200 --> 00:03:14.480]   for Buckingham Strategic Wealth
[00:03:14.480 --> 00:03:19.480]   and has published 10 books and has co-authored seven books,
