
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:09.480]   Our next speaker is gonna be Adam Grossman.
[00:00:09.480 --> 00:00:11.120]   If you don't know who Adam Grossman is,
[00:00:11.120 --> 00:00:13.680]   you may not be following along very well
[00:00:13.680 --> 00:00:16.640]   on the website started not that long ago
[00:00:16.640 --> 00:00:19.480]   by Jonathan Clements, Humble Dollar.
[00:00:19.480 --> 00:00:21.360]   But he is a regular on that website.
[00:00:21.360 --> 00:00:22.900]   He's also the founder of Mayport,
[00:00:22.900 --> 00:00:25.320]   a flat fee wealth management firm.
[00:00:25.320 --> 00:00:26.960]   And he's gonna be talking to us today
[00:00:26.960 --> 00:00:31.960]   about an important concept that he calls the center lane.
[00:00:31.960 --> 00:00:34.260]   Now we'll be doing the same thing with questions.
[00:00:34.260 --> 00:00:36.140]   He's gonna try to save a few minutes for us
[00:00:36.140 --> 00:00:37.360]   at the end to ask questions,
[00:00:37.360 --> 00:00:39.520]   but if not, catch him afterward
[00:00:39.520 --> 00:00:41.920]   and ask your question directly to him.
[00:00:41.920 --> 00:00:43.360]   All right, he'll go out in the hallway
[00:00:43.360 --> 00:00:45.440]   and you can step out there and ask question afterward
[00:00:45.440 --> 00:00:46.680]   if you don't get it answered.
[00:00:46.680 --> 00:00:48.640]   But let's give it up for Adam Grossman.
[00:00:48.640 --> 00:00:52.680]   - Great, thank you, Jim, for that kind introduction.
[00:00:52.680 --> 00:00:54.080]   And thank you all for being here.
[00:00:54.080 --> 00:00:56.280]   I feel like I'm among family,
[00:00:56.280 --> 00:00:59.320]   except that one difference is that I don't disagree
[00:00:59.320 --> 00:01:01.720]   with anything that anybody else has said.
[00:01:01.720 --> 00:01:04.240]   So I think there will be some overlap
[00:01:04.240 --> 00:01:05.440]   in a lot of the topics
[00:01:05.440 --> 00:01:07.840]   that Christine and Jonathan talked about,
[00:01:07.840 --> 00:01:10.680]   but maybe a little bit of a different perspective.
[00:01:10.680 --> 00:01:14.040]   So the title of the session is the center lane.
[00:01:14.040 --> 00:01:16.160]   And what do I mean by that?
[00:01:16.160 --> 00:01:19.640]   When I first started in the industry on the first day,
[00:01:19.640 --> 00:01:21.920]   the boss of the firm sat me down
[00:01:21.920 --> 00:01:25.100]   and he talked to me about how the firm worked
[00:01:25.100 --> 00:01:25.940]   with the clients.
[00:01:25.940 --> 00:01:29.620]   And what I was expecting was formulas,
[00:01:29.620 --> 00:01:32.400]   investment frameworks, growth versus value,
[00:01:32.400 --> 00:01:36.500]   irrevocable trust, nuts and bolts, things like that.
[00:01:36.500 --> 00:01:39.060]   But instead, the first thing that he talked about
[00:01:39.060 --> 00:01:41.160]   was the recency bias.
[00:01:41.160 --> 00:01:42.200]   And I was kind of floored.
[00:01:42.200 --> 00:01:44.840]   I thought, I've spent all this time in school,
[00:01:44.840 --> 00:01:45.800]   all these textbooks,
