
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.080]   - Welcome to the Bogleheads Chapter Series.
[00:00:06.080 --> 00:00:07.600]   This episode was hosted by
[00:00:07.600 --> 00:00:10.320]   the Pre and Early Retirement Life States Chapter
[00:00:10.320 --> 00:00:13.480]   and recorded July 29th, 2021.
[00:00:13.480 --> 00:00:17.120]   It features Sean Mullaney, a CPA, financial planner,
[00:00:17.120 --> 00:00:20.560]   and president of Mullaney Financial and Tax Incorporated.
[00:00:20.560 --> 00:00:23.620]   He also blogs at fitaxguy.com.
[00:00:23.620 --> 00:00:26.240]   Bogleheads are investors who follow
[00:00:26.240 --> 00:00:28.020]   John Bogle's investing philosophy
[00:00:28.020 --> 00:00:30.600]   for attaining financial independence.
[00:00:30.600 --> 00:00:33.020]   This recording is for informational purposes only
[00:00:33.020 --> 00:00:35.680]   and should not be construed as investment advice.
[00:00:35.680 --> 00:00:44.680]   - Then I'm gonna speak about tax topics relevant
[00:00:44.680 --> 00:00:48.220]   for the most part to those ages 50 to 70,
[00:00:48.220 --> 00:00:50.040]   those thinking about retirement
[00:00:50.040 --> 00:00:52.080]   and those beginning retirement.
[00:00:52.080 --> 00:00:54.600]   Now there's gonna be some nuggets in there for all ages,
[00:00:54.600 --> 00:00:55.440]   right?
[00:00:55.440 --> 00:00:58.140]   Obviously all of us, even if we're under 50 years old
[00:00:58.140 --> 00:00:59.940]   are thinking about retirement.
[00:00:59.940 --> 00:01:03.160]   So we're hopefully gonna get to ages 50 to 70.
[00:01:03.160 --> 00:01:04.560]   And there will be some things in there
[00:01:04.560 --> 00:01:06.540]   for those who are a little further along
[00:01:06.540 --> 00:01:08.000]   in their retirement journey.
[00:01:08.000 --> 00:01:11.660]   Again, my name is Sean Mullaney.
[00:01:11.660 --> 00:01:13.820]   Carol, Jim, thanks so much for the introduction.
[00:01:13.820 --> 00:01:14.940]   And I wanna, first of all,
[00:01:14.940 --> 00:01:17.820]   say it's an honor to be presenting tonight.
[00:01:17.820 --> 00:01:19.820]   Really glad to have this opportunity
[00:01:19.820 --> 00:01:22.060]   to be in front of the Bogleheads group.
[00:01:22.060 --> 00:01:23.900]   Real honor to be here.
[00:01:23.900 --> 00:01:26.400]   And thanks so much to Carol, Jim, Miriam,
[00:01:26.400 --> 00:01:28.360]   the entire team for putting this together.
[00:01:28.360 --> 00:01:30.740]   I know there's a lot of work that goes on into it.
[00:01:30.740 --> 00:01:33.440]   So thank you so very much for that.
[00:01:33.440 --> 00:01:38.800]   Just a little bit about me and sort of my background there.
[00:01:38.800 --> 00:01:41.480]   Just, you know, we always do disclaimers, right?
[00:01:41.480 --> 00:01:43.560]   So this is for educational
[00:01:43.560 --> 00:01:45.420]   and hopefully entertainment purposes.
[00:01:45.420 --> 00:01:48.000]   It's not investment advice, tax advice,
[00:01:48.000 --> 00:01:49.800]   legal advice for any one person,
[00:01:49.800 --> 00:01:51.840]   but hopefully this gives you some knowledge.
[00:01:51.840 --> 00:01:54.300]   This gives you some resources
[00:01:54.300 --> 00:01:56.860]   and some more information and some more power.
[00:01:56.860 --> 00:01:58.900]   Let's see here.
[00:01:58.900 --> 00:02:02.100]   So doing a tax presentation,
[00:02:02.100 --> 00:02:04.060]   every now and then it can be a little dry.
[00:02:04.060 --> 00:02:05.020]   So I wanted to think about,
[00:02:05.020 --> 00:02:07.780]   well, what's sort of in the news in the tax world,
[00:02:07.780 --> 00:02:12.580]   especially as it applies to pre-retirees, early retirees.
[00:02:12.580 --> 00:02:15.540]   And to my mind in this investing environment,
[00:02:15.540 --> 00:02:17.500]   it's capital gains, right?
[00:02:17.500 --> 00:02:19.940]   There are so many people out there right now
[00:02:19.940 --> 00:02:23.520]   with an old dog or cat in their investment portfolio.
[00:02:23.520 --> 00:02:24.420]   It did well.
[00:02:24.420 --> 00:02:26.680]   They essentially have the good problem, right?
[00:02:26.680 --> 00:02:29.240]   They have the problem of years ago,
[00:02:29.240 --> 00:02:32.680]   I bought a stock or a mutual fund
[00:02:32.680 --> 00:02:34.840]   and that thing is shot through the roof.
[00:02:34.840 --> 00:02:37.560]   Oh no, how do I access it, right?
[00:02:37.560 --> 00:02:39.840]   Because capital gains are subject
[00:02:39.840 --> 00:02:43.280]   to federal income tax rates of potentially 0%.
[00:02:43.280 --> 00:02:47.120]   We'll talk about that, 15% or 20%.
[00:02:47.120 --> 00:02:48.300]   And that's today's rates.
[00:02:48.300 --> 00:02:50.480]   You never know what the future is gonna hold.
[00:02:50.480 --> 00:02:54.960]   And then also for some of the higher income people,
[00:02:54.960 --> 00:02:56.720]   you're gonna add on to that
[00:02:56.720 --> 00:03:00.360]   a 3.8% net investment income tax, right?
[00:03:00.360 --> 00:03:05.360]   If your AGI is over 200,000 for single people,
[00:03:05.360 --> 00:03:07.720]   250,000 married filing joint,
[00:03:07.720 --> 00:03:11.480]   we've got this 3.8% net investment income tax to tackle.
[00:03:11.480 --> 00:03:14.080]   And then there's just the whole issue of AGI, right?
[00:03:14.080 --> 00:03:16.520]   As I'm sure most of you are aware.
[00:03:16.520 --> 00:03:18.260]   AGI is one of those things
[00:03:18.260 --> 00:03:22.740]   that really limits other benefits in the tax code.
[00:03:22.740 --> 00:03:24.940]   So, maybe we're not even so much worried
[00:03:24.940 --> 00:03:26.500]   about this particular tax,
[00:03:26.500 --> 00:03:28.860]   but we're worried about spiking our AGI
[00:03:28.860 --> 00:03:30.940]   because of a potential capital gain.
[00:03:30.940 --> 00:03:32.500]   But we wanna access that money.
[00:03:32.500 --> 00:03:35.180]   And I just give you a very simple example.
[00:03:35.180 --> 00:03:38.980]   1995, Candace purchased 200 shares of Acme Corp
[00:03:38.980 --> 00:03:41.840]   for $100 a share.
[00:03:41.840 --> 00:03:46.840]   That means her stock basis for tax purposes is $20,000.
[00:03:46.840 --> 00:03:50.160]   Today, that stock has gone from $100 a share
[00:03:50.160 --> 00:03:52.120]   to $500 a share.
[00:03:52.120 --> 00:03:55.520]   So, we're talking about $100,000 of total value.
[00:03:55.520 --> 00:03:59.080]   And we're talking about an $80,000 capital gain,
[00:03:59.080 --> 00:04:00.720]   but Candace wants to access that.
[00:04:00.720 --> 00:04:02.000]   That's her money.
[00:04:02.000 --> 00:04:06.360]   How can she access that money in a tax efficient manner?
[00:04:06.360 --> 00:04:10.480]   And so, there are exit strategies out there.
[00:04:10.480 --> 00:04:12.120]   I'm actually gonna just lead off
[00:04:12.120 --> 00:04:14.520]   before I get into the ones that I tend to favor.
[00:04:14.520 --> 00:04:18.200]   I'm gonna mention two quickly that I tend not to favor.
[00:04:18.200 --> 00:04:20.160]   And look, your mileage may vary, right?
[00:04:20.160 --> 00:04:22.080]   Just because it's not my favorite technique
[00:04:22.080 --> 00:04:23.160]   doesn't mean it couldn't work
[00:04:23.160 --> 00:04:25.520]   in your specific circumstances.
[00:04:25.520 --> 00:04:28.960]   One of them is the like-kind exchange, right?
[00:04:28.960 --> 00:04:31.720]   1031 exchange, like-kind exchange.
[00:04:31.720 --> 00:04:34.060]   However, it doesn't apply to Candace, right?
[00:04:34.060 --> 00:04:38.080]   Because it only applies today to rental real estate.
[00:04:38.080 --> 00:04:41.000]   1031 exchanges can work out really well,
[00:04:41.000 --> 00:04:42.660]   but a couple of drawbacks.
[00:04:42.660 --> 00:04:45.440]   One is it's not really an exit, right?
[00:04:45.440 --> 00:04:47.400]   All it is is a deferral, right?
[00:04:47.400 --> 00:04:49.760]   So, the idea behind a 1031 exchange
[00:04:49.760 --> 00:04:52.240]   is I have rental real estate property.
[00:04:52.240 --> 00:04:55.840]   I exchange it for another piece of rental real estate.
[00:04:55.840 --> 00:04:57.360]   It could even be something called
[00:04:57.360 --> 00:04:59.720]   a Delaware Statutory Trust.
[00:04:59.720 --> 00:05:03.860]   But all I've done is I've deferred the reckoning on that,
[00:05:03.860 --> 00:05:04.700]   right?
[00:05:04.700 --> 00:05:08.600]   So, now instead of rental property A,
[00:05:08.600 --> 00:05:13.120]   I either own rental property B or rental properties C and D,
[00:05:13.120 --> 00:05:13.960]   right?
[00:05:13.960 --> 00:05:14.780]   It doesn't have to be one for one.
[00:05:14.780 --> 00:05:17.320]   It could be two for one or one for two.
[00:05:17.320 --> 00:05:20.980]   Or I own something called the Delaware Statutory Trust.
[00:05:20.980 --> 00:05:23.240]   There are issues with 1031 exchanges.
[00:05:23.240 --> 00:05:26.000]   And like I said, they only apply to rental real estate,
[00:05:26.000 --> 00:05:26.840]   right?
[00:05:26.840 --> 00:05:28.360]   So, limited subsection there.
[00:05:28.360 --> 00:05:30.280]   The other potential exit is something called
[00:05:30.280 --> 00:05:32.080]   a Qualified Opportunity Zone, right?
[00:05:32.080 --> 00:05:34.980]   So, Candace could sell this stock
[00:05:34.980 --> 00:05:37.060]   and then roll the gain into something called
[00:05:37.060 --> 00:05:39.460]   a Qualified Opportunity Zone Fund.
[00:05:39.460 --> 00:05:40.940]   These are new to the tax law.
[00:05:40.940 --> 00:05:43.220]   They came in in late 2017.
[00:05:43.220 --> 00:05:46.860]   And to my mind, they're not optimal
[00:05:46.860 --> 00:05:49.560]   because they are an investment product
[00:05:49.560 --> 00:05:53.460]   that is very designed around tax rules, right?
[00:05:53.460 --> 00:05:55.580]   They have to invest in certain assets
[00:05:55.580 --> 00:05:57.900]   in these Qualified Opportunity Zones.
[00:05:57.900 --> 00:06:01.800]   And it's a very tax-motivated investment.
[00:06:01.800 --> 00:06:04.160]   And it has a bunch of tax rules, right?
[00:06:04.160 --> 00:06:06.720]   So, I don't wanna spend any time on those.
[00:06:06.720 --> 00:06:08.400]   We could talk about those a little bit.
[00:06:08.400 --> 00:06:10.180]   Frankly, it's not something I believe
[00:06:10.180 --> 00:06:11.920]   I've ever recommended to a client.
[00:06:11.920 --> 00:06:13.680]   So, you sort of see where I am
[00:06:13.680 --> 00:06:15.720]   on these Qualified Opportunity Zones.
[00:06:15.720 --> 00:06:18.440]   In the right set of circumstances, maybe it could work,
[00:06:18.440 --> 00:06:20.880]   but certainly not my go-to solution.
[00:06:20.880 --> 00:06:24.280]   But what are some things that I tend to favor?
[00:06:24.280 --> 00:06:25.800]   Well, the first one is something
[00:06:25.800 --> 00:06:27.280]   called tax gain harvesting.
[00:06:27.280 --> 00:06:29.280]   You'll see why I favor this in a second.
[00:06:29.280 --> 00:06:33.520]   The idea here is that if Candace
[00:06:33.520 --> 00:06:38.520]   can keep her taxable income below $40,401 if she's single,
[00:06:38.520 --> 00:06:42.920]   $80,801 if she's married, filing joint,
[00:06:42.920 --> 00:06:45.960]   she can dispose of some of this stock
[00:06:45.960 --> 00:06:50.280]   and be in that 0% federal capital gains tax rate, right?
[00:06:50.280 --> 00:06:54.200]   So, capital gains tax rates right now are progressive
[00:06:54.200 --> 00:06:57.320]   and below these levels of taxable income,
[00:06:57.320 --> 00:06:59.540]   it's actually a 0% rate.
[00:06:59.540 --> 00:07:02.640]   There is a drawback on that.
[00:07:02.640 --> 00:07:04.980]   One, she's gonna manage her taxable income,
[00:07:04.980 --> 00:07:07.180]   not gonna be available to everybody,
[00:07:07.180 --> 00:07:09.480]   but if she is otherwise low income,
[00:07:09.480 --> 00:07:12.960]   this could be a great way of slowly getting out
[00:07:12.960 --> 00:07:15.440]   of this stock in a tax-efficient manner.
[00:07:15.440 --> 00:07:17.280]   She does need to remember, though,
[00:07:17.280 --> 00:07:20.080]   she's subject to state income tax on that sale.
[00:07:20.080 --> 00:07:22.960]   Now, look, if she lives in Florida, Texas,
[00:07:22.960 --> 00:07:25.800]   believe there are nine states without a capital gains tax,
[00:07:25.800 --> 00:07:28.800]   not a problem at all, and in many states,
[00:07:28.800 --> 00:07:30.800]   it's gonna only be a little bit of leakage, right?
[00:07:30.800 --> 00:07:33.560]   Because state income taxes tend to be progressive.
[00:07:33.560 --> 00:07:36.040]   So, tax gain harvesting,
[00:07:36.040 --> 00:07:38.320]   if she's got the right level of income,
[00:07:38.320 --> 00:07:39.920]   could be a great answer,
[00:07:39.920 --> 00:07:41.880]   maybe a little bit of state tax leakage,
[00:07:41.880 --> 00:07:43.720]   but no big deal there.
[00:07:43.720 --> 00:07:47.920]   I like tax gain harvesting for two reasons, right?
