
[00:00:00.000 --> 00:00:04.380]   What if the way you've been thinking about points and miles is the very thing holding you back?
[00:00:04.380 --> 00:00:08.600]   Today I'm talking to Devin Gimbel who has a perspective that as soon as I heard it I knew
[00:00:08.600 --> 00:00:12.460]   I needed to have her on the show. So we're going to break down her four-step framework for points
[00:00:12.460 --> 00:00:17.700]   and miles. We'll explore some tactical ways to overcome analysis paralysis and why using points
[00:00:17.700 --> 00:00:23.040]   for maximum personal value beats trying to optimize the wrong things. We'll also cover a
[00:00:23.040 --> 00:00:28.360]   few new tactics for accumulating points, scaling point strategies for families, and a lot more.
[00:00:28.360 --> 00:00:32.620]   The best part about this conversation is that I think it will be just as valuable to someone early
[00:00:32.620 --> 00:00:37.240]   in their points journey or a little bit further along feeling stuck as it is to someone who's as
[00:00:37.240 --> 00:00:42.060]   far down the rabbit hole as I am. Speaking of me I'm Chris Hutchins and if you enjoy this episode
[00:00:42.060 --> 00:00:46.560]   please share it with a friend or leave a comment or review and if you want to keep upgrading your life
[00:00:46.560 --> 00:00:52.580]   money and travel click follow or subscribe. Devin how do you think you think about points and miles
[00:00:52.580 --> 00:00:57.580]   differently than others in the space? I think that there is an absolute use for looking at points
[00:00:57.580 --> 00:01:03.040]   and miles as how do we use these to essentially get free or as close to free travel as possible.
[00:01:03.040 --> 00:01:07.420]   I think that's an amazing use of points and miles. So I'm not necessarily looking at how can points
[00:01:07.420 --> 00:01:13.160]   and miles keep my travel costs as low as possible. What I'm looking at is how can I take this travel
[00:01:13.160 --> 00:01:19.760]   budget that I've allocated? How can I expand it at exponentially using points? And when that's the
[00:01:19.760 --> 00:01:24.200]   actual question then I think that automatically informs kind of everything that comes downstream of it.
[00:01:24.200 --> 00:01:29.960]   So some of the I think mainstream advice about how to earn points while I think that it's useful and
[00:01:29.960 --> 00:01:35.960]   valid depending on what your background is it's not applicable necessarily anymore for me. So I'll just
[00:01:35.960 --> 00:01:40.440]   give you one example. When I was learning about points and miles I felt like a lot of the information out
[00:01:40.440 --> 00:01:45.140]   there was essentially always be working on a new welcome bonus offer. Allocate all of your expenses
[00:01:45.140 --> 00:01:50.120]   to a brand new credit card and then just rinse and repeat. And again I think that there are scenarios where
[00:01:50.120 --> 00:01:55.000]   that makes amazing sense. And there are scenarios where it doesn't, you know, fast forward a couple
[00:01:55.000 --> 00:02:00.780]   years. My husband is self-employed. I am now self-employed. We have businesses that have expenses.
[00:02:00.780 --> 00:02:06.980]   Our expenses are now at the level where it is not practical for us to have an approach where all of
[00:02:06.980 --> 00:02:11.420]   our expenses should automatically go on a brand new card in order to earn a sub. The number of cards that
[00:02:11.420 --> 00:02:17.580]   we would have to be applying for on any given day makes me even as a points enthusiast start to sweat.
[00:02:17.580 --> 00:02:22.020]   It is just not possible. And so I think there are areas where a lot of traditional points and miles
[00:02:22.020 --> 00:02:28.160]   advice and education are phenomenal. And then depending on what your background is, your context is that may
[00:02:28.160 --> 00:02:34.820]   not hold true anymore. I will gladly and enthusiastically pay a processing fee in order to pay certain expenses
[00:02:34.820 --> 00:02:40.640]   with a rewards credit card to earn points, even if I'm not earning a welcome bonus on that specific
[00:02:40.640 --> 00:02:47.580]   expense. And it's only because I have run the math and it makes sense given my kind of specific scenario
[00:02:47.580 --> 00:02:53.380]   is that there's no one right way to do points or miles. There's no one right way to earn them or to use
[00:02:53.380 --> 00:02:58.860]   them. And once you have kind of a foundational amount of knowledge and experience, then you can start
[00:02:58.860 --> 00:03:04.060]   getting really critical and curious about, okay, but what about me, right? What about the way I want to earn
[00:03:04.060 --> 00:03:09.940]   points and use points or what about my specific situation might actually call for a deviation from
[00:03:09.940 --> 00:03:14.660]   what is actually really conventional and sometimes amazing education and advice out there?
[00:03:14.660 --> 00:03:18.260]   This reminds me of an email I got and I shared it with you where someone said,
[00:03:18.260 --> 00:03:23.400]   Chris, you give so much information, but it's really hard, at least on the point side for me to put it to
[00:03:23.400 --> 00:03:28.180]   use. I feel like I've unlocked this magic. But now when I think about trying to maximize it,
[00:03:28.180 --> 00:03:33.020]   you've taught me the scope of everything that can be done. And now I'm convinced I'm just going to screw it
[00:03:33.300 --> 00:03:38.480]   up and I'm almost paralyzed. And I feel like the reason that I first thought I had to invite you on
[00:03:39.180 --> 00:03:44.900]   You've got a way of thinking about this that I think would be really helpful to people, not just at that
[00:03:44.900 --> 00:03:50.740]   stage, but throughout the journey that would make it a little easier to think about how to get out of
[00:03:50.740 --> 00:03:56.500]   some of that paralysis, how to feel better about learning a lot. I know as a podcast host, I like
[00:03:56.500 --> 00:04:00.840]   dumping lots of information. I don't want that to be too overwhelming. So I thought we could walk
[00:04:00.840 --> 00:04:05.680]   through that framework you have and then talk about a bunch of tactics that people can fit into it at
[00:04:05.680 --> 00:04:10.240]   different stages. Let me talk about what is this framework? Some people may be familiar with it,
[00:04:10.240 --> 00:04:16.380]   people might want to Google it. So there's this one very specific graphic. It's a curve. It's called
[00:04:16.380 --> 00:04:21.160]   the Dunning-Kruger curve. So we can link to that in the episode show notes. You can, like I said,
[00:04:21.160 --> 00:04:25.720]   pull this up on Google. And kind of where this comes from is that they wanted to see was,
[00:04:25.720 --> 00:04:32.440]   okay, how do people experience kind of themselves based on how much knowledge or skill they have in a
[00:04:32.440 --> 00:04:36.960]   specific area. So they ran these participants through, you know, the study, all of these tests
[00:04:36.960 --> 00:04:42.200]   to assess competency in certain areas. And then they also surveyed the participants and actually asked
[00:04:42.200 --> 00:04:47.720]   them, okay, how well do you think you did? And a lot of us, when we know nothing about something,
[00:04:47.720 --> 00:04:51.900]   we're like, yeah, I don't feel very good about that. And once we know a lot about it, we feel very
[00:04:51.900 --> 00:04:56.940]   confident. But what was really interesting that Dunning and Kruger found is that this very kind
[00:04:56.940 --> 00:05:01.840]   of first stage of learning their first stage of competence in something, where you're actually very
[00:05:01.840 --> 00:05:07.040]   bad at something, or your level of knowledge in it is very, very small, a lot of us tend to have a lot
[00:05:07.040 --> 00:05:14.160]   of confidence at this time. Now they have a term for this kind of phase of learning or this phase of
[00:05:14.160 --> 00:05:19.120]   competence. And I don't know exactly what they say. But I call this sort of the peak of Mount
[00:05:19.120 --> 00:05:23.460]   ignorance. Because when you look at this curve, if you want to pull it up online, you'll see that with
[00:05:23.460 --> 00:05:28.460]   just a tiny, tiny little bit of movement in terms of your knowledge or skill, your confidence skyrockets.
[00:05:28.460 --> 00:05:33.700]   So it goes way, way up. And I think when this relates to award travel or credit cards, I think
[00:05:33.700 --> 00:05:39.360]   we've probably all gone through this experience at some point. You know, we laugh now when I talk to
[00:05:39.360 --> 00:05:42.360]   friends who know about points and miles, someone will text me and be like, Oh, you're not going to
[00:05:42.360 --> 00:05:47.000]   believe this. You know, I was out at dinner. I was treating, you know, my family to this dinner,
[00:05:47.080 --> 00:05:53.420]   the guy next to me made a big show about pulling out his Amex personal platinum card to pay for
[00:05:53.420 --> 00:05:57.480]   dinner. Basically, wow, there's so many other credit cards out there, you know, that are so
[00:05:57.480 --> 00:06:02.380]   much more valuable in terms of earning points for dining than this one specific one. But that guy in
[00:06:02.380 --> 00:06:06.940]   that moment is like, I have this amazing credit card, you know, I'm earning all these points is
[00:06:06.940 --> 00:06:10.860]   probably only because he doesn't actually know what he doesn't know yet, right? Maybe he doesn't know
[00:06:10.860 --> 00:06:15.540]   that there are other amazing rewards credit cards that are going to get him so much more points for
[00:06:15.540 --> 00:06:20.780]   dining than an Amex personal platinum card is. But when you don't know what you don't know that
[00:06:20.780 --> 00:06:26.680]   really, really fascinating thing about this is that you don't feel bad about it, right? You the amount
[00:06:26.680 --> 00:06:32.280]   of knowledge and skill that you possess, you're feeling pretty, pretty good about it. And that is
[00:06:32.280 --> 00:06:37.020]   the fascinating thing about this first phase, there's a different way to do this. And that's where
[00:06:37.020 --> 00:06:41.400]   actually I encounter so many people in this hobby, which is they're no longer at that first stage of
[00:06:41.400 --> 00:06:46.580]   learning where their confidence is really high, even though their competence does not match it
[00:06:46.580 --> 00:06:51.800]   yet. Instead, they've already moved on to the next phase of what happens when we tend to learn, which
[00:06:51.800 --> 00:06:56.660]   is that as high as you get with your confidence initially, when you don't have a tremendous amount
[00:06:56.660 --> 00:07:02.060]   of knowledge or skill in this area, you get just a little bit more knowledge, you gain a little bit
[00:07:02.060 --> 00:07:06.620]   more skill. And what Dunning and Kruger found happened confidence in the second phase is that it
[00:07:06.620 --> 00:07:13.640]   plummets, like it goes very sharply downward, very, very fast. So many of us, I think, go very quickly
[00:07:13.640 --> 00:07:19.460]   from Oh, my gosh, this sounds so amazing. Or I want to dive in, I want to learn about this, to I am
[00:07:19.460 --> 00:07:25.380]   doing it all wrong, right? They realize, wow, I've missed so many opportunities. I signed up for a credit
[00:07:25.380 --> 00:07:29.220]   card and didn't even earn the welcome bonus, because I didn't realize that was a thing, right? People tell
[00:07:29.220 --> 00:07:33.780]   me, you know, I used all my points, and I redeemed them for what I now realize was incredibly,
[00:07:34.120 --> 00:07:39.000]   incredibly low value. Like, the refrain of this phase of learning is basically, I did it all wrong.
[00:07:39.000 --> 00:07:46.060]   And this is why I think when you understand the way that we learn, and you realize, Oh, no, this is
[00:07:46.060 --> 00:07:50.480]   just a phase. My hope is that people will realize like, No, no, this is not the end. This is not where
[00:07:50.480 --> 00:07:56.160]   you say, Oh, yeah, it's too hard. And they give up. When you understand this is how we learn. This is how
[00:07:56.160 --> 00:08:02.340]   we experience building skill. Then you can understand, Oh, wait a minute. Now there's more that comes next
[00:08:02.340 --> 00:08:07.680]   and not give up. You've also talked about this as like unconscious incompetence. And now you've moved
[00:08:07.680 --> 00:08:14.300]   to conscious incompetence. It's like now you know what you don't know. And I feel like I've been there.
[00:08:14.300 --> 00:08:22.000]   The email I got was about someone who was there. And honestly, I feel I'm sorry to everyone who I have,
[00:08:22.000 --> 00:08:27.060]   you know, introduced from their unconscious incompetence to their conscious incompetence.
[00:08:27.340 --> 00:08:32.540]   But I will say that for every email I've gotten every story I've heard of someone who feels
[00:08:32.540 --> 00:08:38.540]   overwhelmed. There's five more emails of people who made it through this this kind of valley of despair,
[00:08:38.540 --> 00:08:45.780]   and have started to master these things have started to apply them and gotten one win. And
[00:08:45.780 --> 00:08:53.720]   the knowledge of I now can do this better. The knowledge of that one win is it brings you up this
[00:08:53.720 --> 00:09:00.140]   this journey to amazing things. And I know it can feel tough. I know it can feel hard at the beginning
[00:09:00.140 --> 00:09:04.440]   because we've all been there. But but but how do you get out of this valley of despair? And what does
[00:09:04.440 --> 00:09:05.000]   that look like?
[00:09:05.120 --> 00:09:10.300]   Yeah, this is I think the question that everybody wants answered. Okay, what now is like, you could
[00:09:10.300 --> 00:09:14.300]   give up? Hopefully you don't. And Chris and I are here to tell you, you know, so many people have
[00:09:14.300 --> 00:09:19.200]   learned how to do this, you absolutely can learn how to do this. But what do you do when especially you
[00:09:19.200 --> 00:09:25.320]   notice that you're in this phase of feeling like there's too much to learn, or you don't have enough
[00:09:25.320 --> 00:09:29.900]   time? One is when you actually do just allow yourself that moment to recognize, wait a minute,
[00:09:29.900 --> 00:09:36.580]   what's actually going on, is that I have learned more than I knew before. It's just that my confidence
[00:09:36.580 --> 00:09:43.560]   has gone down actually no more than I did a month ago, a year ago, 10 years ago. It helps to reframe
[00:09:43.560 --> 00:09:47.760]   and remind you, wait a minute, no, I am actually getting better at this in terms of my knowledge
[00:09:47.760 --> 00:09:53.520]   base. And what follows knowledge is skill. So as long as you keep learning, you keep practicing,
[00:09:53.520 --> 00:09:58.440]   you keep trying, your skill is going to catch up with that knowledge. And so in the beginning,
[00:09:58.440 --> 00:10:03.580]   it really is just reminding yourself, no, no, no, no, no, it doesn't feel easy right now. But there
[00:10:03.580 --> 00:10:09.480]   is value in continuing to work on this. Because what happens next is that as you continue to gain
[00:10:09.480 --> 00:10:14.680]   knowledge or skill or competence, you know, in this specific area, your confidence actually does start
[00:10:14.680 --> 00:10:19.420]   going back up. So it doesn't shoot straight up the way that we initially see kind of at the beginning
[00:10:19.420 --> 00:10:25.180]   zone of learning. But now it starts a really strong and steady climb upwards. And this correlates with
[00:10:25.180 --> 00:10:29.340]   a transition between becoming what's called consciously incompetent. So you stink at this,
[00:10:29.340 --> 00:10:34.460]   but you realize how bad you are at it, to actually transitioning into conscious competence, meaning
[00:10:34.460 --> 00:10:40.980]   that now you're actually getting better at this thing, even if it takes concentration and hard work.
[00:10:40.980 --> 00:10:45.460]   And what this means is that, you know, I think you if you're in the world of points and miles,
[00:10:45.460 --> 00:10:49.300]   if you listen to Chris talk about all of the amazing things that he does with points and miles,
[00:10:49.940 --> 00:10:53.620]   he doesn't probably seem like he has to work very hard for it, right? He could probably walk
[00:10:53.620 --> 00:10:57.820]   around with 10 credit cards in his wallet, and know off the top of his head for any given expense,
[00:10:57.820 --> 00:11:02.520]   what's the best card that he wants to use for that expense. I bet if you asked him,
[00:11:02.520 --> 00:11:07.440]   hey, I want to take a trip, I have a family of three, and I want to travel from the East Coast of
[00:11:07.440 --> 00:11:14.540]   the United States. And I want to visit any major city in Europe, what should I do? I bet that off the
[00:11:14.540 --> 00:11:18.140]   top of his head, he could probably rattle, oh, here are a couple airlines you might want to check or
[00:11:18.140 --> 00:11:23.780]   here's the first step, right? The only reason he can do that is because he continued to learn
[00:11:23.780 --> 00:11:29.200]   and practice and he moved out of conscious incompetence into conscious competence. And so
[00:11:29.200 --> 00:11:33.540]   all you really have to do, and I'm not trying to minimize this at all, I'm really trying to break it
[00:11:33.540 --> 00:11:39.380]   down and make it simple is that you just learn one thing at a time, you just try one thing at a time.
[00:11:39.380 --> 00:11:44.380]   I think one of the biggest mistakes we can make in this hobby is thinking, I need to try to learn it
[00:11:44.380 --> 00:11:51.280]   all immediately, or I need to try to implement 20 things at once. You don't start with where you are
[00:11:51.280 --> 00:11:55.100]   for some of you that's going to be saying, look at the credit cards that are already in your wallet,
[00:11:55.100 --> 00:12:00.280]   how confident are you that you're using them very well to their highest advantage right now?
[00:12:00.280 --> 00:12:04.520]   Maybe you're walking around with points earning credit cards that you didn't even know are earning
[00:12:04.520 --> 00:12:08.620]   points. And so where you want to start is familiarize yourself with the cards that you have,
[00:12:08.620 --> 00:12:13.560]   how can you use those cards a little bit better. And I think when you look at it that way of what
[00:12:13.560 --> 00:12:19.840]   is just the one next skill or one next aspect of earning points or redeeming points, that is going
[00:12:19.840 --> 00:12:25.260]   to be the highest value for me. Once you start there, then you've removed that expectation that you're
[00:12:25.260 --> 00:12:31.280]   going to try to learn or execute or be expert at 100 things all at once. And then every time you take a
[00:12:31.280 --> 00:12:37.560]   step forward, I think it's so important to really, really acknowledge for yourself. Wow, I just learned
[00:12:37.560 --> 00:12:41.400]   one thing. I think we have this tendency to downplay it, right? Like, oh, well,
[00:12:41.400 --> 00:12:47.380]   I learned how to use an Amex personal gold card to get more points on my grocery spend than what I was
[00:12:47.380 --> 00:12:51.600]   getting before. And we say, but that's not that big a deal. Because look at all these other things I
[00:12:51.600 --> 00:12:55.580]   don't know yet. And I think that that's a really big mistake. And I think what we need to do is not
[00:12:55.580 --> 00:13:00.920]   compare where are we standing today with what is that ideal goal? What if I was like Chris, you know,
[00:13:00.920 --> 00:13:06.420]   with my points and miles? Instead, you have to compare yourself to where you are coming from. And I think that is
[00:13:06.420 --> 00:13:11.600]   one of the ways that you can really, really actionably begin to move from that valley of
[00:13:11.600 --> 00:13:16.720]   despair from feeling terrible, or overwhelmed about points and miles to really truly beginning to build
[00:13:16.720 --> 00:13:21.240]   up your skill. And as a byproduct of that your confidence and how you feel about it is naturally
[00:13:21.240 --> 00:13:25.900]   going to increase. This episode is brought to you by Delete Me. And if you prefer not to have your
[00:13:25.900 --> 00:13:30.340]   identity stolen or have your phone number, home address or email showing up all over the internet,
[00:13:30.340 --> 00:13:35.760]   you really need to check out Delete Me this year. Unfortunately, there's hundreds of data brokers online that are
[00:13:35.760 --> 00:13:40.680]   constantly sharing and selling your personal info. And keeping track of all of them is like playing
[00:13:40.680 --> 00:13:45.520]   whack-a-mole. But fortunately, if you go to them one by one, you can get them to remove your data.
[00:13:45.520 --> 00:13:52.080]   However, that process can take hours and hours to do yourself. I know I tried it two years ago. And
[00:13:52.080 --> 00:13:57.600]   after spending more than 10 hours and not even getting close to finishing, I gave up and started using
[00:13:57.600 --> 00:14:03.280]   Delete Me. And I haven't looked back. Since then, I've signed up my entire family. Because Delete Me will not just
[00:14:03.280 --> 00:14:08.800]   find and remove your personal info from hundreds of data broker websites, they'll continuously scan for
[00:14:08.800 --> 00:14:14.960]   new data that shows up, which sadly happens all the time, and get that removed as well. On average,
[00:14:14.960 --> 00:14:20.880]   they find and remove over 2000 pieces of personal info for a customer in their first two years. And to
[00:14:20.880 --> 00:14:26.800]   date, they've done over 100 million data removals for customers. So if you want your personal information
[00:14:26.800 --> 00:14:32.320]   removed from the web, go to chrishutchins.com/deleteme and get 20% off a plan for
[00:14:32.320 --> 00:14:38.480]   you or your entire family. Again, that's chrishutchins.com/deleteme or click the link in the description.
[00:14:38.480 --> 00:14:43.360]   This episode is brought to you by Upwork. If you're like me, you are always looking for ways
[00:14:43.360 --> 00:14:48.000]   to be more efficient, whether it's about optimizing your travel, your finances, your time. And when it
[00:14:48.000 --> 00:14:52.800]   comes to scaling your business and getting help with big projects or areas outside your expertise,
[00:14:52.800 --> 00:14:58.480]   one of the best hacks out there is Upwork. Upwork is how good companies find great and trusted freelance
[00:14:58.480 --> 00:15:03.680]   talent. With more than two decades of experience, they've pioneered a better way of working, helping
[00:15:03.680 --> 00:15:10.000]   businesses scale by connecting them with top flexible freelance talent in IT, web development, AI, design,
[00:15:10.000 --> 00:15:15.680]   admin support, marketing, you name it. The best part? It is incredibly easy to get started. You can register
[00:15:15.680 --> 00:15:22.640]   for free, browse freelancer profiles, even get help drafting a job post or booking a consultation. Upwork makes
[00:15:22.640 --> 00:15:29.520]   the entire process easier, simpler and more affordable with industry low fees. Post a job today and hire tomorrow
