
[00:00:00.000 --> 00:00:02.000]   [music playing]
[00:00:02.000 --> 00:00:06.700]   Hey, Cal, my name is Matthew,
[00:00:06.700 --> 00:00:09.340]   and I currently work in information security.
[00:00:09.340 --> 00:00:13.280]   This is an industry right now that's rife with burnout,
[00:00:13.280 --> 00:00:16.600]   and certainly doesn't help that my current employer
[00:00:16.600 --> 00:00:19.940]   employs the hyperactive hive mind workflow,
[00:00:19.940 --> 00:00:24.340]   which of course has only gotten worse since the pandemic began.
[00:00:24.340 --> 00:00:28.480]   So as you can imagine, there's a sabbatical on the horizon for me.
[00:00:29.420 --> 00:00:32.780]   But my question is, once I'm ready to get back to it,
[00:00:32.780 --> 00:00:34.720]   what are some tips to find companies
[00:00:34.720 --> 00:00:37.720]   that aren't utilizing the hyperactive hive mind?
[00:00:37.720 --> 00:00:40.120]   Or maybe the better question would be,
[00:00:40.120 --> 00:00:43.220]   how do I make sure my next boss is a Cal Newport fan?
[00:00:43.220 --> 00:00:45.760]   Thanks.
[00:00:45.760 --> 00:00:48.620]   Well, yeah, I mean, you certainly should demand that
[00:00:48.620 --> 00:00:50.360]   of any boss that you talk to.
[00:00:50.360 --> 00:00:52.560]   You're like, are you a Cal Newport fan?
[00:00:52.560 --> 00:00:55.320]   And if not, may God have mercy on your soul.
[00:00:55.320 --> 00:00:57.620]   I think that's the way you should talk about it.
[00:00:58.260 --> 00:00:59.660]   Or it's a good question.
[00:00:59.660 --> 00:01:01.660]   It's a good question because it's the issue here,
[00:01:01.660 --> 00:01:03.800]   the boss or the job.
[00:01:03.800 --> 00:01:06.120]   There's not a lot of people right now
[00:01:06.120 --> 00:01:09.860]   that are aggressively trying to bypass the hyperactive
[00:01:09.860 --> 00:01:11.760]   hive mind as a specific goal.
[00:01:11.760 --> 00:01:13.860]   There's more. There's more.
[00:01:13.860 --> 00:01:15.860]   I have been talking about my latest book,
[00:01:15.860 --> 00:01:18.960]   A World Without Email, a lot of C-suite events.
[00:01:18.960 --> 00:01:21.200]   There's definitely a shift going on out there,
[00:01:21.200 --> 00:01:23.260]   but it's still pretty rare.
[00:01:23.260 --> 00:01:24.460]   So if you're looking for a boss,
[00:01:24.460 --> 00:01:27.660]   who's going to talk in terms of how do we avoid unpaid work,
[00:01:27.800 --> 00:01:30.200]   how do we avoid unnecessary context shifts,
[00:01:30.200 --> 00:01:32.060]   how do we build out better systems
[00:01:32.060 --> 00:01:35.160]   to avoid hyperactive hive mind style ad hoc coordination?
[00:01:35.160 --> 00:01:36.720]   There's not that many people talking about it.
[00:01:36.720 --> 00:01:41.860]   So what you might be looking for is a job description
[00:01:41.860 --> 00:01:44.920]   that allows you to bypass the hyperactive hive mind.
[00:01:44.920 --> 00:01:47.260]   And really what you're probably looking for there is autonomy.
