
[00:00:00.000 --> 00:00:02.240]   (upbeat music)
[00:00:02.240 --> 00:00:03.760]   - We have to be faced with this concept
[00:00:03.760 --> 00:00:05.840]   that technology is not value neutral.
[00:00:05.840 --> 00:00:08.080]   And if you think about what machine learning really is,
[00:00:08.080 --> 00:00:10.560]   it is the application of massive amounts of compute,
[00:00:10.560 --> 00:00:12.280]   you know, rent a supercomputer in the cloud,
[00:00:12.280 --> 00:00:13.860]   kind of massive amounts of compute,
[00:00:13.860 --> 00:00:15.280]   to massive amounts of data,
[00:00:15.280 --> 00:00:17.680]   that's even deeper and creepier than ever before,
[00:00:17.680 --> 00:00:19.120]   'cause they have sensors everywhere,
[00:00:19.120 --> 00:00:22.240]   to achieve business ends and to optimize business outcomes.
[00:00:22.240 --> 00:00:25.200]   And we know just how good businesses are at capturing
[00:00:25.200 --> 00:00:27.360]   and self-regulating about externalities, right,
[00:00:27.360 --> 00:00:28.560]   to their business outcomes.
[00:00:28.560 --> 00:00:30.800]   So just as a human looking at this,
[00:00:30.800 --> 00:00:32.720]   I would say, wow, I've got a chance to actually speak
[00:00:32.720 --> 00:00:34.760]   to this practitioner crowd about,
[00:00:34.760 --> 00:00:36.000]   if you're doing your job well,
[00:00:36.000 --> 00:00:38.720]   you'll be forced to drive a lot of conversations
[00:00:38.720 --> 00:00:41.800]   about ethics and the practice of your thing,
[00:00:41.800 --> 00:00:44.440]   about what you're doing within your business,
[00:00:44.440 --> 00:00:47.400]   as it goes through this data transformation.
[00:00:47.400 --> 00:00:50.160]   And you should be ready for that, steal yourself for that.
[00:00:50.160 --> 00:00:52.480]   Don't punt, don't punt on it.
[00:00:52.480 --> 00:00:54.040]   We can't afford to punt.
[00:00:54.040 --> 00:00:56.000]   - You're listening to Gradient Dissent,
[00:00:56.000 --> 00:00:58.400]   a show where we learn about making machine learning models
[00:00:58.400 --> 00:00:59.680]   work in the real world.
[00:00:59.680 --> 00:01:01.520]   I'm your host, Lucas Biewald.
[00:01:01.520 --> 00:01:04.080]   Peter Wang is the co-founder, CEO,
[00:01:04.080 --> 00:01:06.000]   and creator of Anaconda.
[00:01:06.000 --> 00:01:08.920]   He's been developing commercial scientific computing
[00:01:08.920 --> 00:01:12.480]   and visualization software for over 15 years.
[00:01:12.480 --> 00:01:14.680]   He created the PyData community and conferences
[00:01:14.680 --> 00:01:15.960]   and devotes his time and energy
[00:01:15.960 --> 00:01:18.600]   to growing the Python data science community
[00:01:18.600 --> 00:01:21.400]   and teaching Python at conferences around the world.
[00:01:21.400 --> 00:01:23.880]   Couldn't be more excited to talk to him.
[00:01:23.880 --> 00:01:27.320]   So, maybe for starters, I guess I know of you
[00:01:27.320 --> 00:01:28.560]   because of your product, Conda,
[00:01:28.560 --> 00:01:30.240]   which I've used for many years.
[00:01:30.240 --> 00:01:32.000]   I have a feeling most of the people listening to this
[00:01:32.000 --> 00:01:33.120]   will know what Conda is,
[00:01:33.120 --> 00:01:35.560]   but maybe could you describe it in your words,
[00:01:35.560 --> 00:01:37.920]   just to make sure we're all on the same page here?
[00:01:37.920 --> 00:01:41.960]   - Yeah, so Conda is a package manager
[00:01:41.960 --> 00:01:44.440]   that we built as part of the overall
[00:01:44.440 --> 00:01:46.760]   Anaconda Python distribution.
[00:01:46.760 --> 00:01:51.480]   And it started as a way just to get people package updates
[00:01:51.480 --> 00:01:53.720]   of the binary builds that we do.
[00:01:53.720 --> 00:01:57.600]   And it's expanded to then manage virtual environments.
[00:01:57.600 --> 00:02:00.320]   So we could have different versions of libraries
[00:02:00.320 --> 00:02:04.400]   and different, in fact, versions of Python in user land,
[00:02:04.400 --> 00:02:07.000]   on any of the platforms we support.
[00:02:07.000 --> 00:02:09.520]   And then we also created a space
[00:02:09.520 --> 00:02:11.200]   for people to upload their own packages.
[00:02:11.200 --> 00:02:15.560]   And so that's the anaconda.org service.
[00:02:15.560 --> 00:02:18.040]   Around that, a community has grown up called CondaForge,
[00:02:18.040 --> 00:02:22.280]   where they make recipes, maintain recipes, upload packages.
[00:02:22.280 --> 00:02:26.480]   But lots of other people like NVIDIA folks or like PyTorch,
[00:02:26.480 --> 00:02:29.280]   they will upload their own official builds
[00:02:29.280 --> 00:02:31.160]   into the anaconda.org system.
[00:02:31.160 --> 00:02:33.680]   So we run all of that infrastructure.
[00:02:33.680 --> 00:02:36.000]   We pay the bills for the CDN
[00:02:36.000 --> 00:02:37.480]   and for all the storage and everything.
[00:02:37.480 --> 00:02:41.720]   And then we do have a community
[00:02:41.720 --> 00:02:44.040]   around the Conda package manager itself.
[00:02:44.040 --> 00:02:46.160]   So people making tools and extensions for it.
[00:02:46.160 --> 00:02:48.640]   So that's in a nutshell what Conda is.
[00:02:48.640 --> 00:02:49.960]   So you can think of it as like an RPM
[00:02:49.960 --> 00:02:51.000]   or something like that.
[00:02:51.000 --> 00:02:53.880]   But primarily for data science
[00:02:53.880 --> 00:02:56.640]   and numerical-oriented computing.
[00:02:56.640 --> 00:02:57.800]   - And what's your original background?
[00:02:57.800 --> 00:03:00.520]   Like, were you always making software,
[00:03:00.520 --> 00:03:02.360]   running a successful software company?
[00:03:02.360 --> 00:03:03.280]   (laughing)
[00:03:03.280 --> 00:03:07.280]   - No, so I've always been programming pretty much
[00:03:07.280 --> 00:03:09.160]   since I was like, I think eight years old.
[00:03:09.160 --> 00:03:11.240]   I've been programming in something.
[00:03:11.240 --> 00:03:13.920]   But I ended up going to college for physics.
[00:03:13.920 --> 00:03:16.040]   And so I graduated with a degree of physics
[00:03:16.040 --> 00:03:20.360]   and I decided to join kind of the dot-com kind of boom
[00:03:20.360 --> 00:03:21.640]   by going and joining a startup.
[00:03:21.640 --> 00:03:24.600]   And I've been in software ever since then.
[00:03:24.600 --> 00:03:28.000]   But I spent a number of years working in consulting,
[00:03:28.000 --> 00:03:31.320]   using the scientific Python and the Python stack
[00:03:31.320 --> 00:03:32.240]   in the 2000s.
[00:03:32.240 --> 00:03:34.800]   And that's really where I started seeing the possibilities
[00:03:34.800 --> 00:03:37.880]   for using Python for a broader set of data analysis
[00:03:37.880 --> 00:03:41.760]   use cases than just kind of sort of niche scientific
[00:03:41.760 --> 00:03:44.680]   and engineering computing kinds of use cases.
[00:03:44.680 --> 00:03:47.560]   - Cool, and can you explain to me kind of what was going on
[00:03:47.560 --> 00:03:49.240]   that you started this project
