
[00:00:00.000 --> 00:00:04.200]   [Intro Music]
[00:00:04.200 --> 00:00:11.900]   Speaking of storms, picking up the theme from last time, in the fall of 2012, Hurricane Sandy churned in the Atlantic Ocean
[00:00:11.900 --> 00:00:18.100]   and rolled over Jamaica, eastern Cuba, and the Bahamas, before turning northeast out into the ocean
[00:00:18.100 --> 00:00:21.900]   and then curving west for a direct hit of New Jersey.
[00:00:21.900 --> 00:00:26.500]   Storm surge and high tide occurred at the same time, leading to massive flooding.
[00:00:26.500 --> 00:00:34.000]   Before it was over, 233 lives were lost, with damages tallying nearly $70 billion,
[00:00:34.000 --> 00:00:38.800]   $32.8 billion in damages in New York State alone.
[00:00:38.800 --> 00:00:46.200]   Just a few days later, on November 3rd, 2012, John Piper took to the pulpit to talk about God's sovereignty over the natural world,
[00:00:46.200 --> 00:00:51.900]   over hurricanes, tornadoes, even over murderous viruses.
[00:00:51.900 --> 00:00:58.100]   After a spring like the one we've experienced, it's a good time to rehearse the sovereignty of God over the natural world.
[00:00:58.100 --> 00:01:02.800]   For this reminder, here's Pastor John from November of 2012.
[00:01:02.800 --> 00:01:04.900]   Sovereignty over nature.
[00:01:04.900 --> 00:01:10.900]   God is sovereign over the most random things you can imagine.
[00:01:10.900 --> 00:01:20.600]   Proverbs 16, 33, "The lot is cast in the lap, and every decision is from the Lord."
[00:01:20.600 --> 00:01:22.400]   Now, how would we say that today?
[00:01:22.400 --> 00:01:34.200]   We would say, "The dice is rolled in Vegas, and every dopping of the dice with those numbers up is from God."
[00:01:34.200 --> 00:01:35.500]   All of them.
[00:01:35.500 --> 00:01:43.200]   Or if you're playing Scrabble at home and stick your hand into the bag and pull out your letters, God decides what letters you get.
[00:01:43.200 --> 00:01:47.500]   Play Uno, God decides.
[00:01:47.500 --> 00:01:51.600]   And lest you think that's trifling, try this.
[00:01:51.600 --> 00:01:58.600]   "Are not two sparrows," this is Jesus talking, "Are not two sparrows sold for a penny?"
[00:01:58.600 --> 00:02:01.900]   In other words, they are utterly insignificant.
[00:02:01.900 --> 00:02:08.600]   "And not one of them will fall to the ground apart from your father.
[00:02:08.600 --> 00:02:14.300]   Even the hairs of your head are all numbered."
[00:02:14.300 --> 00:02:20.200]   The roll of the dice in Vegas, every one of them, or in your board game at home,
[00:02:20.200 --> 00:02:28.600]   "And the tiny bird dying in a thousand forests are governed by God."
[00:02:28.600 --> 00:02:37.400]   That's Jesus' way and the Proverbs' way of saying there aren't any details too small for his control.
[00:02:37.400 --> 00:02:38.800]   That's his way of saying it.
[00:02:38.800 --> 00:02:41.200]   If he were today, he'd talk in terms of molecules.
[00:02:41.200 --> 00:02:47.800]   He'd say with R.C. Sproul, "There's not one maverick molecule in the universe."
[00:02:47.800 --> 00:02:54.800]   From worms in the ground to stars in the galaxy, God governs.
[00:02:54.800 --> 00:02:57.300]   Take the book of Jonah, all right?
[00:02:57.300 --> 00:03:04.600]   He got a very big fish, and the Bible says that he commanded this fish to swallow Jonah, and the fish obeyed.
[00:03:04.600 --> 00:03:07.000]   So fish do God's bidding.
[00:03:07.000 --> 00:03:10.200]   If he says them to do this, they do it.
[00:03:10.200 --> 00:03:14.800]   And he commanded a plant to grow up to give Jonah some shade.
[00:03:14.800 --> 00:03:17.600]   Plant grow up, it obeyed.
[00:03:17.600 --> 00:03:19.700]   Plants do the bidding of God.
[00:03:19.700 --> 00:03:30.000]   Then he commanded a worm to kill the plant to make Jonah hot and scold him for his bad attitude about Nineveh.
[00:03:30.000 --> 00:03:32.100]   So the worm obeyed.
[00:03:32.100 --> 00:03:45.900]   I take this totally seriously. Bacteria, tsetse flies, murderous viruses do God's bidding.
[00:03:45.900 --> 00:03:48.300]   They're not free.
[00:03:48.300 --> 00:03:57.000]   Any more than the worm or the whale or the plant just happened to grow up.
[00:03:57.000 --> 00:04:06.200]   God sees everything, and if anything is about to happen that he doesn't want to happen, he just says, "Stop!"
[00:04:06.200 --> 00:04:08.400]   And it obeys.
[00:04:08.400 --> 00:04:15.700]   And if it didn't stop, he didn't tell it to stop, which means he's got a plan for it.
[00:04:15.700 --> 00:04:17.700]   Or the stars.
[00:04:17.700 --> 00:04:21.900]   Lift up your eyes and see who created these.
[00:04:21.900 --> 00:04:35.400]   He who brings out their host by number, calling them all by name, by the greatness of his might, and because he is strong in power, not one of them is missing.
[00:04:35.400 --> 00:04:39.500]   Why are stars where they are doing what they do?
[00:04:39.500 --> 00:04:41.700]   He is mighty in power.
[00:04:41.700 --> 00:04:43.100]   That's why.
