
[00:00:00.040 --> 00:00:20.560]   Thank you so much for coming. My name is Gabriela de Queiroz. I work at Microsoft,
[00:00:20.560 --> 00:00:28.520]   as you can tell. I'm director of AI, working with startups and doing events like this,
[00:00:28.520 --> 00:00:34.200]   outreach, talking to founders. And then I have Ash, my colleague. Hi, I'm a senior
[00:00:34.200 --> 00:00:39.160]   advisor with Microsoft for startups. So pretty much spending my day today talking to startup,
[00:00:39.160 --> 00:00:47.320]   helping them build their AI tech stack, primarily on Azure, but no bugs. I'm Pamela. I'm a Python
[00:00:47.320 --> 00:00:56.480]   cloud advocate. And I spend most of my time working on open source repositories, like the ones we'll be
[00:00:56.480 --> 00:01:02.160]   using today. And then also doing live streams and conferences and all that sort of fun stuff like here.
[00:01:02.160 --> 00:01:08.800]   Awesome. So we'll have a lot of like hands-on. But before that, we are going to set the stage,
[00:01:08.800 --> 00:01:12.880]   share a few things, and we have the instructions so everybody will follow.
[00:01:12.880 --> 00:01:20.720]   So today we are going to talk about the AI template. So it's a way for you to run your AI application in
[00:01:20.720 --> 00:01:26.400]   minutes. And the agenda is more or less like this. We are going to talk about Microsoft for startups,
[00:01:26.400 --> 00:01:34.000]   something that we call Founders Hub, and then the partnerships, the AI templates, and then we go to
[00:01:34.000 --> 00:01:42.720]   the hands-on workshop. How many of you have heard of Founders Hub? One, two. Okay. Okay. Well, we have something called Founders Hub, where we offer you a bunch of things.
[00:01:42.720 --> 00:02:00.400]   Not only credits, but a bunch of other things that I'm going to talk about. And the sign-up process is very easy. It takes you like less than five minutes.
[00:02:00.400 --> 00:02:07.760]   It doesn't matter where you are in the stage, if you only have an idea, or if you already have a startup and you are incorporated.
[00:02:07.760 --> 00:02:10.800]   It doesn't matter if you have funding or not funding at all.
[00:02:10.800 --> 00:02:18.000]   And there are like several cool things about this platform, the Founders Hub platform or product.
[00:02:18.000 --> 00:02:24.320]   You have the benefits piece, but you also have one of my favorite pieces, which is like the guidance.
[00:02:24.320 --> 00:02:32.880]   So you have one-on-one calls with experts to ask technical questions to like anything like
[00:02:32.880 --> 00:02:38.640]   go-to-market or like how do I go about my strategy, anything that you can think of that you can leverage.
[00:02:38.640 --> 00:02:45.600]   And then there is something new, and Ash, please chime in if I'm missing something, but there is something
[00:02:45.600 --> 00:02:51.120]   new that we added to the platform, which is called Build with AI. And that's where we are going to be focusing.
[00:02:52.320 --> 00:02:57.760]   It is an open source piece. It's all on GitHub, but you can access through the Founders Hub,
[00:02:57.760 --> 00:03:03.840]   which again is the Microsoft first startup platform that everybody can sign up and join.
[00:03:03.840 --> 00:03:11.600]   One of the cool things is like you get a lot of credits, right? So like everybody likes free credits,
[00:03:11.600 --> 00:03:21.840]   especially when you are trying things out. And we offer up to $150,000 in Azure credits that you can use
[00:03:21.840 --> 00:03:27.280]   across Azure services, including, which not a lot of people know, Azure OpenAI.
[00:03:27.280 --> 00:03:36.560]   So we have the same OpenAI APIs on Azure with the whole security compliance capabilities of Azure.
[00:03:36.560 --> 00:03:44.160]   Plus a lot of like other benefits like GitHub Enterprise products, Microsoft 365, LinkedIn Premium and more.
[00:03:44.960 --> 00:03:50.400]   And then you can use Azure, for example, Azure AI Studio. You can use models from OpenAI,
[00:03:50.400 --> 00:03:58.480]   as I mentioned, by Lama and others. So one of the main slides, if you are looking for credits,
[00:03:58.480 --> 00:04:04.880]   guidance and so on, this is like the place where you take a picture and you get the URL and you apply in minutes.
[00:04:04.880 --> 00:04:12.720]   Do you want to talk about a little bit about more about the cloud credits?
[00:04:12.720 --> 00:04:22.400]   Yeah, I think one of the most important things that I personally like about the entire Microsoft
[00:04:22.400 --> 00:04:27.040]   for startups program, it's not quantitative. It's not just that we're throwing out a bunch
[00:04:27.040 --> 00:04:31.200]   of credits at you and you're like, build it yourself or like, you know, figure it out yourself.
[00:04:31.200 --> 00:04:36.240]   There is a lot of cross collaboration that's happening. So for example, like we spoke about GPT-4,
[00:04:36.240 --> 00:04:42.080]   GPT-3.5, Turbo, etc. Right? Our product team work very closely with the startup. So if there is any
[00:04:42.080 --> 00:04:47.360]   private preview happening, we are working personally with startups to have them on board,
[00:04:47.360 --> 00:04:51.520]   for them to like try out these products, give us feedback that, hey, this is something,
[00:04:51.520 --> 00:04:56.000]   this is one of the feature capabilities I would like to have. And that gets like passed on to the
[00:04:56.000 --> 00:04:59.840]   product team for them to work on. There is my team, which is AI advisors,
[00:04:59.840 --> 00:05:06.560]   which is working with startups one on one. So you're getting like expert advice. And as a startup,
[00:05:06.560 --> 00:05:12.880]   I think like getting advisors, getting time, timely advice, getting like timely resolutions is really,
[00:05:12.880 --> 00:05:18.080]   really important. And those are the qualitative benefits that I personally feel is really important
[00:05:18.080 --> 00:05:23.840]   when you're working with Microsoft for startups. It's not just AI advice, you can get a bunch of
[00:05:23.840 --> 00:05:30.560]   different experts by you, like there is a tool within Founders Hub, which helps you match with
[00:05:30.560 --> 00:05:34.560]   different experts. You have a question about infrastructure, you have a question about Kubernetes,
[00:05:34.560 --> 00:05:40.400]   you have a question about how do I think about like my go to market? How do I price my subscription model?
[00:05:40.400 --> 00:05:44.080]   There could be a ton of different things that a startup is going to be doing, and you don't have
[00:05:44.080 --> 00:05:49.840]   enough resources to help you with that. And that's where you get experts from Microsoft, who are working
[00:05:49.840 --> 00:05:54.960]   in a variety of different products to help you navigate these challenges. So think about the
[00:05:54.960 --> 00:06:00.720]   qualitative benefits and the support that you're getting, apart from just the credits. So that's,
[00:06:00.720 --> 00:06:02.800]   that's something I would like to add.
[00:06:02.800 --> 00:06:08.800]   Yeah, and then we go with you throughout all the stages. If you only have an idea,
[00:06:08.800 --> 00:06:15.200]   or if you are building, if you are in the scale phase as well. So it's for any startup at any stage.
[00:06:15.200 --> 00:06:23.680]   As I mentioned, we are helping with all the cutting edge AI tools and helping you streamline the AI
[00:06:23.680 --> 00:06:30.560]   development. And then we have something like very special as well, which goes beyond the Founders Hub,
[00:06:30.560 --> 00:06:33.280]   which is the partnership that Ash is going to touch a little bit.
[00:06:33.280 --> 00:06:39.120]   So one of the things I was talking about, right, Founders Hub is a platform that becomes like an
[00:06:39.120 --> 00:06:45.040]   intake for all the startups. This becomes your like, if any of you are like familiar with like YC's
[00:06:45.040 --> 00:06:50.560]   platform or like portal, right? Similar to that, like we have Founders Hub as a portal, which has like
[00:06:50.560 --> 00:06:55.040]   end-to-end everything. It keeps track of how much credits you've consumed, what are the products that
[00:06:55.040 --> 00:06:58.960]   you've been using, what are the benefits that you've gotten. It's not just the Azure credits,
[00:06:58.960 --> 00:07:03.760]   there's a ton of like third-party credits that you get, and productivity tools that you get for
[00:07:03.760 --> 00:07:08.320]   free. And as a startup, you need all of these tools to like help you build that ecosystem.
[00:07:08.320 --> 00:07:13.120]   So that's one of the most important things. Now, as a startup, you're getting started at Founders Hub.
