
[00:00:00.000 --> 00:00:19.440]   I'm talking about MCP is all you need. A bit about who I am before we get
[00:00:19.440 --> 00:00:25.000]   started. I'm best known as the creator of Pydantic, data validation library for
[00:00:25.000 --> 00:00:30.280]   Python that is fairly ubiquitous, downloaded about 360 million times a
[00:00:30.280 --> 00:00:35.920]   month. So someone pointed out to me that's like 140 times a second. Pydantic is
[00:00:35.920 --> 00:00:40.120]   used in general Python development everywhere, but also in Gen.ai. So it's
[00:00:40.120 --> 00:00:46.360]   used in all of the SDKs and agent frameworks in Python basically. Pydantic
[00:00:46.360 --> 00:00:52.260]   became a company beginning of 23 and we have built two things beyond Pydantic
[00:00:52.260 --> 00:00:58.100]   since then. Pydantic AI, an agent framework for Python built on the same
[00:00:58.100 --> 00:01:04.740]   principles as Pydantic, and Pydantic Logfire observability platform, which is
[00:01:04.740 --> 00:01:12.100]   the commercial part of what we do. I'm also a somewhat inactive co-maintainer of the
[00:01:12.100 --> 00:01:39.940]   MCP Python SDK. So MCP is all you need. It's obviously a play on Jason Lu's talks, Pydantic is all you need. He gave at AI engineer, I think first of all, nearly two years ago, and then the second one, Pydantic is still all you need, maybe this time last year. And it has the same basic idea that people are overcomplicating something that we can use a single tool for. And I guess also,
[00:01:39.940 --> 00:02:01.940]   similarly, the title is completely unrealistic. Of course, Pydantic is not all you need. And neither is MCP for everything. But it has that we have the I think where where we agree is that there are an awful lot of things that MCP can do and that people are overcomplicating the situation sometimes trying to come up with new ways of doing agent to agent communication.
[00:02:01.940 --> 00:02:29.940]   Um, I'm talking here specifically about autonomous agents or code that you're writing, I'm not talking about the, um, uh, Claude desktop or cursor, uh, Zed, windsurf, etc. Use case of coding agents. Those were what MCP was originally primarily designed for. Um, I don't know whether or not David Pereira would say that, that what we're doing using MCP from Python is that, you know,
[00:02:29.940 --> 00:02:51.940]   he definitely wouldn't say it was the primary, uh, use case for, um, for MCP. So two of the, of the primitives of MCP prompts and resources probably don't come into this use case that much.
[00:02:51.940 --> 00:02:58.940]   They're very useful or should be very useful in the kind of cursor type use case that don't really apply in what we're talking about here.
[00:02:58.940 --> 00:03:05.940]   Um, but tool calling the third primitive is extremely useful for what we're trying to do here.
[00:03:05.940 --> 00:03:10.940]   Um, tool calling is a lot more complicated than you might at first think.
[00:03:10.940 --> 00:03:19.940]   A lot of people say to me about MCP are, but couldn't it just be, uh, open API? Why do we need this, uh, custom protocol for doing it?
[00:03:19.940 --> 00:03:27.940]   Um, and there's a number of reasons. The idea of dynamic tools, the tools that come and go during an agent execution, depending on the state of the server logging.
