
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.680]   - Welcome to the Bogleheads Chapter Series.
[00:00:07.680 --> 00:00:09.440]   This episode was jointly hosted
[00:00:09.440 --> 00:00:11.000]   by the Starting Out Life Stage
[00:00:11.000 --> 00:00:13.040]   and the South Florida Local Chapter
[00:00:13.040 --> 00:00:16.120]   and recorded August 10th, 2021.
[00:00:16.120 --> 00:00:19.040]   It features longtime Boglehead 5K,
[00:00:19.040 --> 00:00:21.360]   discussing investment funding priorities,
[00:00:21.360 --> 00:00:24.360]   including investment locations and tax efficiency.
[00:00:24.360 --> 00:00:26.480]   Bogleheads are investors
[00:00:26.480 --> 00:00:28.640]   who follow John Bogle's investing philosophy
[00:00:28.640 --> 00:00:31.280]   for attaining financial independence.
[00:00:31.280 --> 00:00:33.800]   This recording is for informational purposes only
[00:00:33.800 --> 00:00:36.240]   and should not be construed as investment advice.
[00:00:36.240 --> 00:00:39.200]   - With a presentation by 5K
[00:00:39.200 --> 00:00:42.220]   on prioritizing the investment order,
[00:00:42.220 --> 00:00:46.360]   the Bogleheads is a term intended to honor Jack Bogle.
[00:00:46.360 --> 00:00:48.800]   Mr. Bogle created the first index fund
[00:00:48.800 --> 00:00:52.480]   for retail investors and is the founder of Vanguard.
[00:00:52.480 --> 00:00:54.800]   But Bogleheads are investors who follow
[00:00:54.800 --> 00:00:59.800]   or use the investing advice that Mr. Bogle advocated.
[00:00:59.800 --> 00:01:03.360]   And that investing advice, as you know,
[00:01:03.360 --> 00:01:05.400]   is invest early and often,
[00:01:05.400 --> 00:01:08.720]   develop your workable investing plan,
[00:01:08.720 --> 00:01:11.280]   never trying to time the market,
[00:01:11.280 --> 00:01:14.240]   use index funds when possible,
[00:01:14.240 --> 00:01:17.560]   diversify, keep it simple,
[00:01:17.560 --> 00:01:21.200]   minimize taxes with cost-efficient investing,
[00:01:21.200 --> 00:01:24.840]   and above all, to stay the course with your plan,
[00:01:24.840 --> 00:01:26.360]   both in bull and bear markets,
[00:01:26.360 --> 00:01:29.400]   just keep saving and just keep investing.
[00:01:29.400 --> 00:01:31.920]   And this is where 5K's presentation tonight
[00:01:31.920 --> 00:01:35.080]   will be so useful, developing the plan.
[00:01:35.080 --> 00:01:39.120]   I would also like to introduce my co-moderators tonight.
[00:01:39.120 --> 00:01:43.480]   We have Carol from the pre-retirement chapter
[00:01:43.480 --> 00:01:48.000]   and the Dallas chapter.
[00:01:48.000 --> 00:01:50.940]   And we have Jim, who you just heard from Chicago.
[00:01:50.940 --> 00:01:55.760]   We talked about the recording of the meeting.
[00:01:55.760 --> 00:01:57.980]   When the presentation is over again,
[00:01:57.980 --> 00:01:59.200]   we will stop recording.
[00:01:59.200 --> 00:02:01.240]   We'll have a big question and answer.
[00:02:01.240 --> 00:02:05.960]   However, 5K, if he wants to, he can answer questions.
[00:02:05.960 --> 00:02:07.680]   He has told us he will answer questions
[00:02:07.680 --> 00:02:10.400]   during his presentation if he doesn't feel
[00:02:10.400 --> 00:02:14.120]   that it affects his flow of his presentation.
[00:02:14.120 --> 00:02:16.760]   So you can put your questions in the chat.
[00:02:16.760 --> 00:02:21.760]   And Carol and Jim will, or 5K, will address those questions.
[00:02:21.760 --> 00:02:24.520]   Let me see.
[00:02:24.520 --> 00:02:26.720]   Thank you.
[00:02:26.720 --> 00:02:28.840]   I'd like to introduce Gail Cox, who is here.
[00:02:28.840 --> 00:02:33.840]   Gail is the BOGO head who created the LifeStage investing,
[00:02:33.840 --> 00:02:38.360]   the LifeStage chapters of the BOGO heads.
[00:02:38.360 --> 00:02:39.900]   And we thank her for that.
[00:02:39.900 --> 00:02:43.000]   Okay, on to our presentation.
[00:02:43.000 --> 00:02:46.120]   5K is a long-time BOGO head
[00:02:46.120 --> 00:02:48.120]   who posts regularly on the forum.
[00:02:48.120 --> 00:02:52.560]   He has many, many helpful posts.
[00:02:52.560 --> 00:02:55.720]   He's kind, competent, answering questions
[00:02:55.720 --> 00:02:58.680]   from newbies and oldies, and we appreciate.
[00:02:58.680 --> 00:03:01.640]   And he's especially good on portfolio creation
[00:03:01.640 --> 00:03:05.200]   and tax-efficient fund placement.
[00:03:05.200 --> 00:03:09.600]   He also has his personal financial toolbox,
[00:03:09.600 --> 00:03:11.720]   which is a huge spreadsheet.
[00:03:11.720 --> 00:03:14.640]   And he has also already given a presentation on that,
[00:03:14.640 --> 00:03:18.000]   and you can find it on the BOGO head blog.
