
[00:00:00.000 --> 00:00:22.440]   Hi, everyone. Welcome to my presentation. So, I don't know what's the best way to start
[00:00:22.440 --> 00:00:27.720]   about it. I would probably say something along the lines of, well, you've heard a lot of
[00:00:27.720 --> 00:00:34.100]   really good presentations that are focused on one very specific thing. And this session
[00:00:34.100 --> 00:00:40.040]   itself will more so focus on an overview of domain adaptation and fine-tuning for large
[00:00:40.040 --> 00:00:46.340]   language models. Because there's so much information out there which is like, oh, take this, use
[00:00:46.340 --> 00:00:52.720]   that. So, my goal is to sum up all the literature for you to be able to make an informed decision
[00:00:52.720 --> 00:00:58.040]   on how to be able to do domain adaptation for your particular enterprise use case or for
[00:00:58.040 --> 00:01:07.040]   your hobby use case, however you're using it for. So, about me, this has already been spoken,
[00:01:07.040 --> 00:01:15.100]   so let's skip this. Why do we care? I think the answer to this is pretty obvious, which is,
[00:01:15.100 --> 00:01:21.480]   I mean, chat GPT as a model, or even if you're looking at open source large language models,
[00:01:21.480 --> 00:01:26.480]   they're not trained for every single use case out there. There are some domains that are underrepresented,
[00:01:26.480 --> 00:01:31.420]   there are some domains for which there is not enough data because of compliance or for whatever
[00:01:31.420 --> 00:01:36.480]   reasons. And for that, we need to be able to have some sort of method to be able to fine-tune the models, or use some other strategy and alternative of fine-tuning, whether that's knowledge bases, whether that's rags,
[00:01:36.480 --> 00:01:56.480]   or whether that's prompting. The second is, basically, you don't want to collect new data for every single domain. One of the best things that has happened with large language models, I would say, is the ability of these models to be able to transition to a new domain. So, there's one paper that I would reference.
[00:01:56.480 --> 00:02:24.480]   So, one quick example, I would say, is before, let's say, transformer models, or even while we were having transformer models, to be able to train a model to learn a new language, we needed to collect the data for that particular language, and then, to be able to
[00:02:24.480 --> 00:02:52.480]   to be able to do whatever task that we want to do in that language. One of the best things that has happened is, now, because the models are learning by embeddings, they're able to learn on a new language that they have previously not seen as well, because they're essentially learning the structure of the languages, instead of, like, what is the taxonomy of the language, which means there are some languages which are semantically
[00:02:52.480 --> 00:03:20.480]   semantically similar. So, for example, English is very semantically similar to Latin. I'm not entirely sure, there are a couple of languages that do fall into, like, that one domain, which is, oh, these languages are similar, they have semantic similarities, there are other set of languages that have semantic similarities, so it's very easy to be able to transition between those languages without ever having seen any data or any examples in those languages. The third is, basically, you want the models to be able to be accessible,
