
[00:00:00.000 --> 00:00:08.380]   and you see that manifest itself on D-Day, where you've got 6,939 vessels, of which there are 1,213
[00:00:08.380 --> 00:00:18.480]   warships, 4,127 assault craft, 12,500 aircraft, you know, 155,000 men landed and dropped from the
[00:00:18.480 --> 00:00:27.700]   air in a 24-hour period. It is phenomenal. It is absolutely phenomenal. The following is a
[00:00:27.700 --> 00:00:33.960]   conversation with James Holland, a historian specializing in World War II, who has written
[00:00:33.960 --> 00:00:39.380]   a lot of amazing books on the subject, especially covering the Western Front, often providing
[00:00:39.380 --> 00:00:46.120]   fascinating details at multiple levels of analysis, including strategic, operational, tactical,
[00:00:46.120 --> 00:00:53.820]   technological, and of course, the human side, the personal accounts from the war. He also co-hosts a
[00:00:53.820 --> 00:01:01.320]   great podcast on World War II called We Have Ways of Making You Talk. This is a Lex Freeman
[00:01:01.320 --> 00:01:06.940]   podcast. To support it, please check out our sponsors in the description or at lexfreedman.com
[00:01:06.940 --> 00:01:16.000]   slash sponsors. And now, dear friends, here's James Holland. In Volume 1 of The War in the West,
[00:01:16.600 --> 00:01:22.700]   your book series on World War II, you write, the Second World War witnessed the deaths of more
[00:01:22.700 --> 00:01:31.200]   than 60 million people from over 60 different countries. Entire cities were laid waste. National
[00:01:31.200 --> 00:01:37.900]   borders were redrawn, and many millions more people found themselves displaced. Over the past couple of
[00:01:37.900 --> 00:01:44.500]   decades, many of those living in the Middle East or parts of Africa, the Balkans, Afghanistan, and even the
[00:01:44.500 --> 00:01:51.700]   United States may feel justifiably that these troubled times have already proved the most traumatic in their
[00:01:51.700 --> 00:02:00.780]   recent past. Yet, globally, the Second World War was and remains the single biggest catastrophe of modern
[00:02:00.780 --> 00:02:09.960]   history. In terms of human drama, it is unrivaled. No other war has affected so many lives in such a large
[00:02:09.960 --> 00:02:16.700]   number of countries. So, what to you makes World War II the biggest catastrophe in human drama in modern
[00:02:16.700 --> 00:02:22.220]   history? And maybe from a historian perspective, the most fascinating subject to study?
[00:02:22.220 --> 00:02:26.920]   The thing about World War II is it really is truly global. You know, it's fought in deserts, it's fought
[00:02:26.920 --> 00:02:34.840]   in the Arctic, it's fought across oceans, it's fought in the air, it's in jungle, it's in the hills,
[00:02:35.160 --> 00:02:43.420]   it is on the beaches. It's also on the Russian steppe, and it's also in Ukraine. So, it's that
[00:02:43.420 --> 00:02:48.860]   global nature of it. And I just think, you know, where there's war, there is always incredible human
[00:02:48.860 --> 00:02:54.240]   drama. And I think for most people, and certainly the true in my case, you get drawn to the human
[00:02:54.240 --> 00:02:59.200]   drama of it. It's that thought that, you know, gosh, if I'd been 20 years old, how would I have dealt with it?
[00:02:59.300 --> 00:03:02.880]   You know, would I have been in the Army? Would I have been in the Air Force? Would I have been on a,
[00:03:02.880 --> 00:03:07.040]   you know, Royal Navy destroyer? Or, you know, how would I have coped with it? And how would I have
[00:03:07.040 --> 00:03:11.720]   dealt with that separation? I mean, I've interviewed people who were away for four years. I remember
[00:03:11.720 --> 00:03:18.980]   talking to a tank man from Liverpool in England called Sam Bradshaw. And he went away for four
[00:03:18.980 --> 00:03:23.620]   years. And when he came home, he'd been twice wounded. He'd been very badly wounded in North Africa.
[00:03:23.620 --> 00:03:27.860]   And then he was shot in the neck in Italy, eventually got home. And when he came home,
[00:03:27.860 --> 00:03:34.860]   his mother had turned gray. His little baby sister, who had been, you know, 13 when he left,
[00:03:34.860 --> 00:03:41.000]   was now a young woman. His old school had been destroyed by Luftwaffe bombs. He didn't recognize
[00:03:41.000 --> 00:03:47.340]   the place. And do you know what he did? He joined up again, went back out of Europe and was one of the
[00:03:47.340 --> 00:03:48.900]   first people in Belsen. So, you know.
[00:03:48.900 --> 00:03:52.360]   What was his justification for that, for joining right back?
[00:03:52.420 --> 00:03:58.620]   He just felt completely disconnected to home. He felt that the gulf of time, his experiences
[00:03:58.620 --> 00:04:04.220]   had separated him from all the normalities of life. And he felt that the normalities of the life
[00:04:04.220 --> 00:04:11.000]   that he had known before he'd gone away to war had just been severed in a really kind of cruel way that
[00:04:11.000 --> 00:04:15.800]   he didn't really feel he was able to confront at that particular point. But he decided to rejoin,
[00:04:15.800 --> 00:04:20.160]   couldn't go back to the 3rd Royal Tank Regiment, so went back to a different unit. Went from kind of the
[00:04:20.160 --> 00:04:25.960]   Italian campaign to European theatre. Didn't see so much action at the end. But, you know,
[00:04:25.960 --> 00:04:29.920]   like a lot of British troops, if you were in a certain division at a certain time, you know,
[00:04:29.920 --> 00:04:34.020]   you ended up passing very close to Belsen. And, you know, you suddenly realized, okay,
[00:04:34.020 --> 00:04:38.760]   this was the right thing to do. You know, we did have to get rid of Nazism. We did have to do this
[00:04:38.760 --> 00:04:44.000]   because this is the consequence. It's not just the oppression. It's just not just the secret police. It's not
[00:04:44.000 --> 00:04:49.440]   just the expansionism of Nazism. It is also, you know, the Holocaust, which hadn't been given its
[00:04:49.440 --> 00:04:56.200]   name at that point. But, you know, you're witnessing this kind of untold cruelty. And I always, you know,
[00:04:56.200 --> 00:05:01.440]   I've always sort of, I think a lot about Sam. I mean, he's no longer with us, but he was one of the
[00:05:01.440 --> 00:05:05.580]   kind of first people that I interviewed. And I interviewed him at great length. And I know you like
[00:05:05.580 --> 00:05:12.080]   a long interview, Lex. And I totally, totally get that. Because when you have a long interview,
[00:05:12.080 --> 00:05:16.540]   you really start getting to the nuts and bolts of it. One of the frustrations for me when I'm looking
[00:05:16.540 --> 00:05:22.500]   at oral histories of Second World War vets is usually they're kind of, you know, they're put
[00:05:22.500 --> 00:05:27.600]   on YouTube or they're put on a museum website. They're 30 minutes, you know, an hour if you're
[00:05:27.600 --> 00:05:32.400]   lucky. And they're just scratching the surface. You never really get to know it. You feel that they're
[00:05:32.400 --> 00:05:36.300]   just repeating kind of stuff they've read in books themselves after the war and stuff.
[00:05:36.300 --> 00:05:40.940]   And, you know, I was kind of leave feeling frustrated that I haven't had a chance to kind
[00:05:40.940 --> 00:05:44.200]   of grill them on the kind of stuff that I would grill them on if I was put in front of them.
[00:05:44.200 --> 00:05:51.440]   So Tank Man, what was maybe the most epic, the most intense, or the most interesting story
[00:05:51.440 --> 00:05:52.340]   that he told you?
[00:05:52.340 --> 00:05:59.040]   Well, I do remember him telling me, funny enough, it's not really about the conflict. I remember
[00:05:59.040 --> 00:06:07.900]   him telling me about the importance of letters. And there was this guy who literally every few
[00:06:07.900 --> 00:06:12.440]   weeks, you know, post would arrive intermittently. There was no kind of sort of regular post. So it
[00:06:12.440 --> 00:06:15.880]   was supposed to be regular, but it didn't come out regularly. So you might suddenly get a flurry
[00:06:15.880 --> 00:06:22.920]   of five all in one day. But he said there was this guy and his tank, a member of a different tank
[00:06:22.920 --> 00:06:29.080]   group. He was a good friend of his in the same squadron. He had British have squadrons for their
[00:06:29.080 --> 00:06:32.520]   armor. And which is Americans would have a company.
[00:06:32.520 --> 00:06:36.780]   I should say that in your book, one of the wonderful things you do is you use the correct
