
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:09.440]   - Episode number 500, and who would have thought
[00:00:09.440 --> 00:00:11.720]   that we would make 500 of these?
[00:00:11.720 --> 00:00:13.880]   And there's a lot of work yet to be done, Pastor John,
[00:00:13.880 --> 00:00:15.760]   and the email questions are pouring in
[00:00:15.760 --> 00:00:18.240]   as fast as they ever have before.
[00:00:18.240 --> 00:00:20.200]   But as we near the end of our second year,
[00:00:20.200 --> 00:00:23.160]   and as Pastor John, and as 2014 closes,
[00:00:23.160 --> 00:00:24.360]   we wanna stop and look back,
[00:00:24.360 --> 00:00:26.760]   because there's so much to be grateful for.
[00:00:26.760 --> 00:00:28.660]   There's been much grace poured out
[00:00:28.660 --> 00:00:30.200]   on Desiring God this year.
[00:00:30.200 --> 00:00:34.120]   Pastor John, when you think back over the ministry of DG,
[00:00:34.120 --> 00:00:38.800]   what happened in 2014, and what's to come in 2015,
[00:00:38.800 --> 00:00:40.720]   what excites you the most?
[00:00:40.720 --> 00:00:42.040]   - Well, here's a front burner thing,
[00:00:42.040 --> 00:00:44.540]   because it's always the personal that excites me most,
[00:00:44.540 --> 00:00:47.380]   not just the stats, although I love those too.
[00:00:47.380 --> 00:00:51.080]   I just got a letter just the other day
[00:00:51.080 --> 00:00:55.460]   from a woman who told me that she was at one day
[00:00:55.460 --> 00:00:58.720]   in Tennessee in the year 2000, so that's 14 years ago,
[00:00:58.720 --> 00:01:05.000]   and, 15, I guess, resolved not to die collecting shells.
[00:01:05.000 --> 00:01:09.560]   She went with a team then to China
[00:01:09.560 --> 00:01:12.120]   to a people group that had not had a Christian witness,
[00:01:12.120 --> 00:01:14.460]   she said, since Hudson Taylor.
[00:01:14.460 --> 00:01:16.760]   After a year with the team,
[00:01:16.760 --> 00:01:19.600]   she said the team was discouraged and depressed
[00:01:19.600 --> 00:01:22.280]   with unresponsiveness of the people,
[00:01:22.280 --> 00:01:26.000]   and someone suggested that the team watch the sermons
[00:01:26.000 --> 00:01:29.260]   on Romans 9 from Desiring God.
[00:01:29.260 --> 00:01:32.960]   Nine, not eight, not Romans 8, Romans 9.
[00:01:32.960 --> 00:01:34.500]   This is what surprised me in the letter,
[00:01:34.500 --> 00:01:39.500]   and she said that they did, and that they had never,
[00:01:39.500 --> 00:01:43.660]   she said we had never heard such a vision
[00:01:43.660 --> 00:01:45.980]   of God's absolute sovereignty,
[00:01:45.980 --> 00:01:49.620]   and then she said, to my wonderful amazement,
[00:01:49.620 --> 00:01:53.860]   it was exactly what they needed at the moment.
[00:01:53.860 --> 00:01:55.780]   God strengthened their hands.
[00:01:55.780 --> 00:01:59.440]   Within the next year, a 74-year-old man was converted,
[00:01:59.440 --> 00:02:03.540]   and he became instrumental in making gospel recordings
[00:02:03.540 --> 00:02:05.220]   for the people group.
[00:02:05.220 --> 00:02:08.520]   So one of the things that makes me soar,
[00:02:08.520 --> 00:02:10.580]   whether it's year-end or any other time,
[00:02:10.580 --> 00:02:14.500]   with thankfulness, is the number of missionaries
[00:02:14.500 --> 00:02:18.540]   whose hands are strengthened in their work by Desiring God.
[00:02:18.540 --> 00:02:23.060]   I love these warriors, and it is one of the greatest honors
[00:02:23.060 --> 00:02:28.060]   of my life to be any help I can be in their great cause.
[00:02:28.060 --> 00:02:34.900]   So that's the main and front burner thing for me,
[00:02:34.900 --> 00:02:37.480]   but it may be that some of our listeners
[00:02:37.480 --> 00:02:39.500]   really do like statistics,
[00:02:39.500 --> 00:02:43.740]   so it just might encourage them just about the scope
