
[00:00:00.000 --> 00:00:06.000]   [Music]
[00:00:06.000 --> 00:00:10.000]   Jesus Christ is a real, true, living friend.
[00:00:10.000 --> 00:00:13.000]   He is the Christian's closest friend.
[00:00:13.000 --> 00:00:19.000]   But like any relationship, it's a friendship that must be maintained by mutual knowing.
[00:00:19.000 --> 00:00:24.000]   So how do we come to know Christ and to learn to trust Him more and more over time?
[00:00:24.000 --> 00:00:29.000]   In other words, how does Christ become a more and more real friend in our lives?
[00:00:29.000 --> 00:00:35.000]   That was a question tackled by John Piper in a 2011 sermon on John 8, verse 31.
[00:00:35.000 --> 00:00:37.000]   Here's what Pastor John had to say.
[00:00:37.000 --> 00:00:43.000]   If you want to know Jesus, be much in His Word.
[00:00:43.000 --> 00:00:48.000]   One of the most important convictions I ever developed, and I commend it to you,
[00:00:48.000 --> 00:00:52.000]   one of the most important convictions you could ever form,
[00:00:52.000 --> 00:01:03.000]   is that Jesus, as a real, living, precious, present, experienced friend and person,
[00:01:03.000 --> 00:01:09.000]   is known chiefly through His Word.
[00:01:09.000 --> 00:01:14.000]   And the only reason I use the word "chiefly" instead of "only"--
[00:01:14.000 --> 00:01:16.000]   I first wrote "only" when I wrote this.
[00:01:16.000 --> 00:01:18.000]   Only.
[00:01:18.000 --> 00:01:20.000]   And in a sense, that would be true.
[00:01:20.000 --> 00:01:26.000]   Here's the reason I stepped back from "only" and wrote "chiefly" for this reason.
[00:01:26.000 --> 00:01:28.000]   You know it from Paul in Philippians 3.
[00:01:28.000 --> 00:01:32.000]   You'd know it if you've walked with Jesus a long time,
[00:01:32.000 --> 00:01:36.000]   that as you walk with Him through His Word, by His Word,
[00:01:36.000 --> 00:01:41.000]   communing with Him, trusting His promises, striving to obey His commandments,
[00:01:41.000 --> 00:01:45.000]   and enjoying His fellowship, I will be with you to the end of the age.
[00:01:45.000 --> 00:01:52.000]   As you walk with Jesus hour by hour over 10, 20, 30, 40 years,
[00:01:52.000 --> 00:02:00.000]   you walk through very, very deep valleys, very much suffering, very many hardships.
[00:02:00.000 --> 00:02:08.000]   And in those hardships, Jesus proves Himself in a way that you know Him
[00:02:08.000 --> 00:02:11.000]   in a way you could not any other way.
[00:02:11.000 --> 00:02:13.000]   Any other way.
[00:02:13.000 --> 00:02:17.000]   And therefore, even at those moments, it is by His words.
[00:02:17.000 --> 00:02:21.000]   I'm almost tempted to go back and change it to "only."
[00:02:21.000 --> 00:02:23.000]   But I wanted the chance to say that.
[00:02:23.000 --> 00:02:27.000]   I wanted the chance to just say that experience with Jesus,
[00:02:27.000 --> 00:02:33.000]   experience lived out daily walking, trusting, right now,
[00:02:33.000 --> 00:02:37.000]   in this horrible, horrible, horrible thing,
[00:02:37.000 --> 00:02:45.000]   there's a knowing, there's a knowing there that comes that you don't get anywhere else.
[00:02:45.000 --> 00:02:47.000]   Nowhere else.
[00:02:47.000 --> 00:02:54.000]   And yet, it's by His Word at those very, very moments.
[00:02:54.000 --> 00:02:57.000]   Let me give you a verse to hold on to for this,
[00:02:57.000 --> 00:03:03.000]   because this is just massively important for living your Christian life.
[00:03:03.000 --> 00:03:07.000]   And knowing Jesus moment by moment.
[00:03:07.000 --> 00:03:12.000]   1 Samuel 3, verse 21 goes like this,
[00:03:12.000 --> 00:03:22.000]   "The Lord revealed Himself to Samuel by the Word of the Lord."
[00:03:22.000 --> 00:03:29.000]   The Lord revealed Himself by the Word of the Lord.
[00:03:29.000 --> 00:03:35.000]   That is a structure of reality that controls my whole life.
[00:03:35.000 --> 00:03:37.000]   I want to know Jesus.
[00:03:37.000 --> 00:03:40.000]   Not just books.
[00:03:40.000 --> 00:03:42.000]   Not even just the Bible.
[00:03:42.000 --> 00:03:44.000]   As precious as it is.
[00:03:44.000 --> 00:03:46.000]   I want the person of Christ.
[00:03:46.000 --> 00:03:47.000]   He's risen.
[00:03:47.000 --> 00:03:49.000]   He's risen.
