
[00:00:00.000 --> 00:00:05.840]   Welcome everyone.
[00:00:05.840 --> 00:00:08.600]   This is our first screencast on information retrieval.
[00:00:08.600 --> 00:00:10.200]   Let's start with some guiding ideas.
[00:00:10.200 --> 00:00:12.400]   These will serve both to give you a sense for
[00:00:12.400 --> 00:00:14.840]   the current moment in science and technology,
[00:00:14.840 --> 00:00:17.580]   and also help you build a bridge into the homework,
[00:00:17.580 --> 00:00:21.400]   which is on retrieval augmented in context learning.
[00:00:21.400 --> 00:00:24.440]   You might have noticed by now that NLP
[00:00:24.440 --> 00:00:26.960]   is revolutionizing information retrieval.
[00:00:26.960 --> 00:00:28.700]   This is a story that really begins with
[00:00:28.700 --> 00:00:30.800]   the transformer or maybe more properly,
[00:00:30.800 --> 00:00:33.160]   one of its most famous spokes models, BERT.
[00:00:33.160 --> 00:00:35.120]   Soon after BERT was launched,
[00:00:35.120 --> 00:00:37.600]   Google announced that it was incorporating aspects of
[00:00:37.600 --> 00:00:40.520]   BERT into its core search technologies.
[00:00:40.520 --> 00:00:42.920]   Microsoft made a similar announcement
[00:00:42.920 --> 00:00:45.160]   with Bing at about the same time.
[00:00:45.160 --> 00:00:48.360]   I have a feeling that these two very public announcements were
[00:00:48.360 --> 00:00:50.560]   just a glimpse of the changes that were starting
[00:00:50.560 --> 00:00:53.600]   to happen with major search engines.
[00:00:53.600 --> 00:00:55.840]   A little bit later, we started to see that
[00:00:55.840 --> 00:00:59.000]   large language models would play a direct role in search.
[00:00:59.000 --> 00:01:02.560]   I think the startup u.com was really visionary in this sense.
[00:01:02.560 --> 00:01:05.340]   I like to highlight u.com because its CEO,
[00:01:05.340 --> 00:01:08.900]   Richard Socher, is a distinguished alum of this course.
[00:01:08.900 --> 00:01:11.620]   u.com was way ahead of the curve in seeing that
[00:01:11.620 --> 00:01:13.800]   large language models could be
[00:01:13.800 --> 00:01:17.740]   really interesting and powerful aspects of web search.
[00:01:17.740 --> 00:01:20.420]   We've seen lots of activity in that space since then.
[00:01:20.420 --> 00:01:23.620]   For example, Microsoft has partnered with OpenAI,
[00:01:23.620 --> 00:01:25.640]   and it's now using OpenAI models,
[00:01:25.640 --> 00:01:28.500]   as part of the Bing search experience.
[00:01:28.500 --> 00:01:29.940]   You might have noticed also in
[00:01:29.940 --> 00:01:31.700]   a different perspective on this,
[00:01:31.700 --> 00:01:33.500]   that when GPT-4 was announced,
[00:01:33.500 --> 00:01:35.780]   part of the announcement was a partnership with
[00:01:35.780 --> 00:01:39.380]   Morgan Stanley to help Morgan Stanley employees
[00:01:39.380 --> 00:01:43.540]   use GPT-4 to find things in their own internal documents.
[00:01:43.540 --> 00:01:47.160]   That just shows you that we hear a lot about public web search,
[00:01:47.160 --> 00:01:49.680]   but there are also powerful search applications that
[00:01:49.680 --> 00:01:51.900]   could happen internal to organizations.
[00:01:51.900 --> 00:01:54.160]   Again, powered by, in this case,
[00:01:54.160 --> 00:01:56.820]   throughout this entire story as usual,
[00:01:56.820 --> 00:01:59.060]   powered by the transformer.
[00:01:59.060 --> 00:02:01.740]   You might ask yourself why this is happening,
[00:02:01.740 --> 00:02:04.140]   and I think the fundamental reason is that
[00:02:04.140 --> 00:02:06.260]   information retrieval is simply
[00:02:06.260 --> 00:02:08.740]   a hard natural language understanding problem.
[00:02:08.740 --> 00:02:11.520]   The more powerful our NLU technologies,
[00:02:11.520 --> 00:02:13.580]   the better we can do with retrieval.
[00:02:13.580 --> 00:02:16.220]   Here's an example that brings that point home.
[00:02:16.220 --> 00:02:18.540]   Our query is what compounds protect
[00:02:18.540 --> 00:02:21.100]   the digestive system against viruses?
[00:02:21.100 --> 00:02:23.800]   A relevant document is in the stomach,
[00:02:23.800 --> 00:02:26.500]   gastric acid, and proteases serve as
[00:02:26.500 --> 00:02:30.200]   powerful chemical defenses against ingested pathogens.
[00:02:30.200 --> 00:02:32.820]   The coloring indicates relevance connections.
[00:02:32.820 --> 00:02:35.100]   You'll notice that for the keywords in the query in
[00:02:35.100 --> 00:02:38.200]   the document, there is no string overlap.
[00:02:38.200 --> 00:02:40.460]   The connections that we need to make here are
[00:02:40.460 --> 00:02:43.460]   entirely semantic and that shows you that the more
[00:02:43.460 --> 00:02:46.800]   deeply we understand the language of the query in the document,
[00:02:46.800 --> 00:02:48.860]   the better we're going to be able to do at
[00:02:48.860 --> 00:02:53.060]   finding these relevant passages given queries like this.
[00:02:53.060 --> 00:02:55.960]   That's all mainly about information retrieval,
[00:02:55.960 --> 00:02:57.280]   but I'm an NLP-er,
[00:02:57.280 --> 00:03:00.560]   and for me, the more exciting direction of this is that
[00:03:00.560 --> 00:03:03.640]   information retrieval is now revolutionizing NLP,
[00:03:03.640 --> 00:03:06.140]   and the way it's doing that is by making
[00:03:06.140 --> 00:03:08.720]   our NLP problems more open and
[00:03:08.720 --> 00:03:11.880]   more relevant to actual daily tasks.
[00:03:11.880 --> 00:03:14.800]   Let me use question answering to highlight that.
[00:03:14.800 --> 00:03:17.680]   In the by now standard formulation
[00:03:17.680 --> 00:03:20.080]   of question answering within NLP,
[00:03:20.080 --> 00:03:25.980]   the system is given a title and a context passage and a question,
[00:03:25.980 --> 00:03:28.260]   and the task is to answer that question,
[00:03:28.260 --> 00:03:30.660]   and there is a guarantee that the answer will be
[00:03:30.660 --> 00:03:33.860]   a literal substring of that context passage.
[00:03:33.860 --> 00:03:37.940]   That is standard QA as formulated in tasks like SQUAD,
[00:03:37.940 --> 00:03:40.100]   the Stanford Question Answering Dataset.
[00:03:40.100 --> 00:03:42.260]   Just to repeat, at train time,
[00:03:42.260 --> 00:03:45.740]   you're given a title, context, question, and answer.
[00:03:45.740 --> 00:03:48.660]   At test time, you're given a title, context,
[00:03:48.660 --> 00:03:51.960]   and question, and you have a guarantee that the answer
[00:03:51.960 --> 00:03:55.300]   is a literal substring of that context passage.
[00:03:55.300 --> 00:03:57.780]   That used to be a hard problem for our best models,
[00:03:57.780 --> 00:03:59.820]   but it has grown quite easy,
[00:03:59.820 --> 00:04:01.700]   and I think you can see that it's also pretty
[00:04:01.700 --> 00:04:04.020]   disconnected from actual things that we want to
[00:04:04.020 --> 00:04:06.820]   do with question answering in the world where we very
[00:04:06.820 --> 00:04:12.340]   rarely get this very rich context or that substring guarantee.
[00:04:12.340 --> 00:04:15.320]   We are moving now as a field into
[00:04:15.320 --> 00:04:17.820]   a formulation of QA that I've called OpenQA,
[00:04:17.820 --> 00:04:19.700]   and this will be substantially harder.
[00:04:19.700 --> 00:04:21.920]   In this mode, maybe there's a title,
[00:04:21.920 --> 00:04:23.620]   and a context, and a question,
[00:04:23.620 --> 00:04:25.140]   and the task is to answer.
[00:04:25.140 --> 00:04:30.180]   But now, only the question and answer are given at train time,
[00:04:30.180 --> 00:04:33.180]   and the title and the context passage will need to be
[00:04:33.180 --> 00:04:37.260]   retrieved from somewhere, from a large document corpus,
[00:04:37.260 --> 00:04:38.780]   it could be the web.
[00:04:38.780 --> 00:04:40.980]   Having retrieved it, of course,
[00:04:40.980 --> 00:04:43.220]   we have no guarantee that the answer will be
[00:04:43.220 --> 00:04:47.180]   a literal substring of anything in the context or the title.
[00:04:47.180 --> 00:04:49.140]   This is a substantially harder problem,
[00:04:49.140 --> 00:04:52.780]   but it's also much more relevant because this is simulating,
[00:04:52.780 --> 00:04:56.180]   actually searching on the web where you pose a question and you need to
[00:04:56.180 --> 00:05:00.140]   retrieve relevant information in order to answer the question.
[00:05:00.140 --> 00:05:03.440]   But substantially harder, only the question and answer at train time,
[00:05:03.440 --> 00:05:05.580]   and at test time, all you're given is
[00:05:05.580 --> 00:05:09.300]   the question and all the relevant information needs to be retrieved.
[00:05:09.300 --> 00:05:12.180]   What you see there is to the extent that we can have
[00:05:12.180 --> 00:05:14.780]   really good retrieval technologies find
[00:05:14.780 --> 00:05:17.420]   this really good evidence for answering these questions,
[00:05:17.420 --> 00:05:19.580]   we can develop effective systems,
[00:05:19.580 --> 00:05:24.580]   and that is the crucial role for retrieval in this OpenQA pipeline that you all will
[00:05:24.580 --> 00:05:30.020]   be exploring as part of the associated homework and bake-off for this unit.
[00:05:30.020 --> 00:05:35.560]   Question answering is really just one example of
[00:05:35.560 --> 00:05:38.740]   a family of what you might call knowledge intensive tasks.
[00:05:38.740 --> 00:05:39.980]   I mentioned question answering,
[00:05:39.980 --> 00:05:42.660]   but we also have things like claim verification,
[00:05:42.660 --> 00:05:46.460]   common sense reasoning, long-form reading comprehension,
[00:05:46.460 --> 00:05:48.200]   and information seeking dialogue.
[00:05:48.200 --> 00:05:52.580]   These are all transparently tasks that depend very heavily on having
[00:05:52.580 --> 00:05:57.020]   rich information about the world informing whatever prediction the system makes.
[00:05:57.020 --> 00:06:00.300]   That's pretty clear, but I'm also interested in taking
[00:06:00.300 --> 00:06:05.860]   standard typically closed NLP tasks and expanding them into more open variants.
[00:06:05.860 --> 00:06:09.380]   For example, summarization is standardly just posed as
[00:06:09.380 --> 00:06:12.020]   a task where you take in a long passage and try to
[00:06:12.020 --> 00:06:14.940]   produce a shorter one but couldn't we make that
[00:06:14.940 --> 00:06:17.180]   a knowledge intensive task where we augment
[00:06:17.180 --> 00:06:20.000]   the input with lots of information that we've retrieved?
[00:06:20.000 --> 00:06:24.960]   I think it's a reasonable hypothesis that could improve summarization systems.
[00:06:24.960 --> 00:06:28.860]   Similarly, natural language inference typically just posed as
[00:06:28.860 --> 00:06:31.780]   a closed classification problem premise
[00:06:31.780 --> 00:06:34.540]   hypothesis and you give them one of three labels.
[00:06:34.540 --> 00:06:38.340]   But wouldn't it be interesting to augment the premise with information about
[00:06:38.340 --> 00:06:43.900]   the world that might help the system make better predictions as a classifier?
[00:06:43.900 --> 00:06:47.780]   I think that's just two examples of how we could take classical problems,
[00:06:47.780 --> 00:06:49.600]   even classification problems,
[00:06:49.600 --> 00:06:53.660]   and reformulate them into knowledge intensive tasks that would benefit from
[00:06:53.660 --> 00:06:57.380]   retrieval with the result that they could be made more effective
[00:06:57.380 --> 00:07:01.820]   and also more scalable to real-world problems.
[00:07:01.820 --> 00:07:06.500]   Let's talk a little bit about information retrieval approaches,
[00:07:06.500 --> 00:07:09.140]   and I'll start with classical IR.
[00:07:09.140 --> 00:07:11.900]   In this case, we have a user query coming in,
[00:07:11.900 --> 00:07:14.420]   when was Stanford University founded?
[00:07:14.420 --> 00:07:16.980]   The first thing that we do is term lookup.
[00:07:16.980 --> 00:07:20.940]   What we've done offline presumably is create a large index
[00:07:20.940 --> 00:07:24.780]   that maps terms to associated relevant documents.
[00:07:24.780 --> 00:07:27.420]   It could be a list of documents that contain the term,
[00:07:27.420 --> 00:07:30.980]   but we would probably also do some scoring of those documents with
[00:07:30.980 --> 00:07:35.020]   respect to these query terms to organize them by relevance.
[00:07:35.020 --> 00:07:36.900]   On the basis of that index,
[00:07:36.900 --> 00:07:40.340]   we can do document scoring and give back to the user
[00:07:40.340 --> 00:07:44.540]   a ranked list of documents ordered by relevance.
[00:07:44.540 --> 00:07:47.740]   Then it's up to the user to figure out which of those documents to
[00:07:47.740 --> 00:07:51.740]   check out in looking for an answer to the question.
[00:07:51.740 --> 00:07:57.500]   That is the classical search experience as we all know it.
[00:07:57.500 --> 00:08:02.740]   There is now a movement afoot to replace a lot of that with pure language models.
[00:08:02.740 --> 00:08:05.540]   I've called this the LLMs for everything approach.
[00:08:05.540 --> 00:08:07.780]   In this mode, the user's query comes in,
[00:08:07.780 --> 00:08:09.820]   when was Stanford University founded?
[00:08:09.820 --> 00:08:12.500]   A big language model, totally opaque to us,
[00:08:12.500 --> 00:08:15.660]   does some mysterious work and spits out the answer,
[00:08:15.660 --> 00:08:19.180]   Stanford University was founded in 1891.
[00:08:19.180 --> 00:08:21.780]   A real change to the search experience,
[00:08:21.780 --> 00:08:26.820]   whereas before we had to look through a ranked list of web pages to find our answer,
[00:08:26.820 --> 00:08:30.020]   now the answer is given to us directly.
[00:08:30.020 --> 00:08:32.020]   That could be very exciting.
[00:08:32.020 --> 00:08:34.940]   However, we might start to worry.
[00:08:34.940 --> 00:08:37.340]   We know these models can fabricate evidence,
[00:08:37.340 --> 00:08:40.620]   and so we should be skeptical consumers of their outputs.
[00:08:40.620 --> 00:08:43.220]   Since we don't know where this answer came from,
[00:08:43.220 --> 00:08:46.020]   we have no information about how it was produced.
[00:08:46.020 --> 00:08:50.220]   We might start to wonder about whether our information need was actually met,
[00:08:50.220 --> 00:08:52.420]   whether we should trust this string.
[00:08:52.420 --> 00:08:55.260]   I'm deeply concerned about this model,
[00:08:55.260 --> 00:08:58.220]   enough that I think we should be pushing in a different direction.
[00:08:58.220 --> 00:09:02.060]   That's where you would get neural information retrieval modules
[00:09:02.060 --> 00:09:08.820]   continuing to be important players in open knowledge intensive tasks for NLP.
[00:09:08.820 --> 00:09:11.620]   Neural IR models are going to function a lot like
[00:09:11.620 --> 00:09:15.820]   those classical models except in a much richer semantic space.
[00:09:15.820 --> 00:09:17.980]   We're going to start with a big language model,
[00:09:17.980 --> 00:09:20.420]   just as we did in the LLMs for everything approach,
[00:09:20.420 --> 00:09:22.700]   but we're going to use it somewhat differently.
