
[00:00:00.000 --> 00:00:06.800]   In this chapter we're going to cover streaming and async in Langchain. Now both using async code
[00:00:06.800 --> 00:00:15.700]   and using streaming are incredibly important components of I think almost any conversational
[00:00:15.700 --> 00:00:24.660]   chat interface or at least any good conversational chat interface. For async if your application is
[00:00:24.660 --> 00:00:31.800]   not async and you're spending a load of time in your API whatever else waiting for LLM calls
[00:00:31.800 --> 00:00:37.740]   because a lot of those are behind APIs you are waiting and your application is doing nothing
[00:00:37.740 --> 00:00:43.220]   because you've written synchronous code and that well there are many problems with that
[00:00:43.220 --> 00:00:51.500]   mainly it doesn't scale so async code generally performs much better and especially for AI where
[00:00:51.500 --> 00:00:56.000]   a lot of the time we're kind of waiting for API calls. So async is incredibly important
[00:00:56.000 --> 00:01:04.140]   for that. For streaming now streaming is a slightly different thing so let's say I want to tell
[00:01:04.140 --> 00:01:10.960]   me a story okay I'm using gbt4 here it's a bit slower so we can actually stream we can see
[00:01:10.960 --> 00:01:16.820]   that token by token this text is being produced and sent to us. Now this is not just a visual
[00:01:16.820 --> 00:01:27.260]   thing this is the LLM when it is generating tokens or words it is generating them one by one and that's
[00:01:27.260 --> 00:01:33.060]   because these LLMs literally generate tokens one by one so they're looking at all of the previous
[00:01:33.060 --> 00:01:37.500]   tokens in order to generate the next one and then generate next one generate next one that's how they
[00:01:37.500 --> 00:01:46.260]   work. So when we are implementing streaming we're getting that feed of tokens directly from the LLM
[00:01:46.260 --> 00:01:51.700]   through to our you know our back end or our front end that is what we see when when we see that token
[00:01:51.700 --> 00:01:58.960]   by token interface. All right so that's one thing but what one other thing that I can do that let me switch
[00:01:58.960 --> 00:02:08.860]   across to 4.0 is I can say okay we just got this story I'm going to ask are there any
[00:02:08.860 --> 00:02:19.820]   standard storytelling techniques to follow use above please use search
[00:02:19.820 --> 00:02:32.200]   okay so look we get this very briefly there we saw that it was searching the web and the way it's not
[00:02:32.200 --> 00:02:40.780]   because we told it okay we told the LLM to use the search tool but then the LLM output some tokens to say
[00:02:40.780 --> 00:02:47.360]   use the search tool that is going to use a search tool and it also would have output the token saying
[00:02:47.360 --> 00:02:50.320]   what that search query would have been although we didn't see it there
[00:02:50.320 --> 00:02:58.820]   but what the chat gpt interface is doing there so it received those tokens saying hey I'm going to use
[00:02:58.820 --> 00:03:03.740]   a search tool it doesn't just send us those tokens like it does with the standard tokens here instead
[00:03:03.740 --> 00:03:12.960]   it used those tokens to show us that searching the web little text box so streaming is not just
[00:03:12.960 --> 00:03:22.320]   the streaming of these direct tokens it's also the streaming of these intermediate steps that the LLM may
[00:03:22.320 --> 00:03:30.420]   be thinking through which is particularly important when it comes to agents and agentic interfaces so it's
[00:03:30.420 --> 00:03:37.240]   also a feature thing right streaming doesn't just look nice it's also a feature then finally of course
[00:03:37.240 --> 00:03:49.960]   when we're looking at this okay let's say we go back to gpt4 and i say okay use all of this information
[00:03:49.960 --> 00:04:03.420]   to generate a long story for me right and okay we are getting the first token now so we know something is
[00:04:03.420 --> 00:04:09.160]   happening we need to start reading now imagine if we were not streaming anything here and we're just
[00:04:09.160 --> 00:04:14.760]   waiting right we're still waiting now we're still waiting and we wouldn't see anything we're just like
[00:04:14.760 --> 00:04:18.940]   oh it's just blank or maybe there's a little loading spinner so we'd still be waiting
[00:04:18.940 --> 00:04:32.040]   and even now we're still waiting right this is an extreme example but can you imagine just waiting
[00:04:32.040 --> 00:04:38.980]   for so long and not seeing anything as a user right now just now we would have got our answer if we were
[00:04:38.980 --> 00:04:45.800]   not streaming i mean that that would be painful as a user you you'd not want to wait especially in a chat
[00:04:45.800 --> 00:04:52.460]   interface you don't want to wait that long it's okay with okay for example deep research takes a long
[00:04:52.460 --> 00:04:57.340]   time to process but you know it's going to take a long time to process and it's a different use case
[00:04:57.340 --> 00:05:05.480]   right you're getting a report this is a chat interface and yes most messages are not going to take that long
[00:05:05.480 --> 00:05:12.340]   to generate also probably not going to be using gpt4 depending on i don't know maybe some people still do
[00:05:12.340 --> 00:05:19.940]   but in some scenarios it's painful to need to wait that long okay and it's also the same for agents
[00:05:19.940 --> 00:05:25.180]   it's nice when you're using agents to get an update on okay we're using this tool it's using this tool
[00:05:25.180 --> 00:05:33.000]   this is how it's using them perplexity for example have a very nice example of this so okay what's this
[00:05:33.000 --> 00:05:38.840]   opening eye co-founder joins marati's startup let's see right so we see this is really nice it's we're using
[00:05:38.840 --> 00:05:44.160]   pro search it's searching for news sharing with the results like we're getting all this information
[00:05:44.160 --> 00:05:50.580]   as we're waiting which is really cool and it helps us understand what is actually happening
[00:05:50.580 --> 00:05:55.740]   right it's not needed in all use cases but it's super nice to have those intermediate steps
[00:05:55.740 --> 00:06:01.040]   right so then we're not waiting and i think this bit probably also stream but it was just super fast
[00:06:01.040 --> 00:06:09.380]   so i didn't see it but that's pretty cool so streaming is pretty important let's dive into
[00:06:09.380 --> 00:06:16.340]   our example okay we'll open that in collab and off we go so starting with the prerequisites same as
[00:06:16.340 --> 00:06:23.200]   always langchain optionally langsmith we'll also enter our langchain api key if you'd like to use
[00:06:23.200 --> 00:06:31.480]   langsmith we'll also enter our openai api key so that is platform.openai.com and then as usual we can
[00:06:31.480 --> 00:06:39.000]   just invoke our lm right so we have that it's working now let's see how we would stream with
[00:06:39.000 --> 00:06:46.480]   astream okay so whenever a method so stream is actually a method as well we could use that but
[00:06:46.480 --> 00:06:53.020]   it's not async right so whenever we see a method in linechain has a prefixed onto what would be a
[00:06:53.020 --> 00:07:03.600]   another method that's like the async version of this so we can actually stream using async super easily
[00:07:03.600 --> 00:07:14.180]   using just lm astream okay now this is just a sample and to be completely honest you probably will
[00:07:14.180 --> 00:07:19.200]   not be able to use this in an actual application but it's just an example and we're going to see
[00:07:19.200 --> 00:07:25.840]   how we would use this or how we would stream asynchronously in an application further down in this
[00:07:25.840 --> 00:07:32.700]   notebook so starting with this you can see here that we're getting these tokens right we're just
[00:07:32.700 --> 00:07:36.700]   appending it to tokens here we don't actually need to do that i don't think we're even using this but
[00:07:36.700 --> 00:07:43.240]   maybe we yeah we'll do it here it's fine so we're just appending the tokens as they come back
[00:07:43.240 --> 00:07:49.500]   from our lm penning it to this we'll see what that is in a moment and then i'm just printing
[00:07:49.500 --> 00:07:56.640]   the token content right so the content of the token so in this case that would be l in this case it would
[00:07:56.640 --> 00:08:04.480]   be lp it would be sans for so on and so on so you can see for the most parts it tends to be word level
[00:08:04.480 --> 00:08:11.620]   but it can also be subword level as you see sent immense is one word of course so you know they get
[00:08:11.620 --> 00:08:13.740]   broken up in in various ways
[00:08:13.740 --> 00:08:21.740]   then adding this pipe character onto the end here so we can see okay where are our individual tokens
[00:08:21.740 --> 00:08:27.740]   then we also have flush so flush uh you can actually turn this off and it's still gonna stream you're still gonna see
[00:08:27.740 --> 00:08:34.000]   everything but it's going to be a bit more you can see it's kind of a it's like bit by bit when we use
[00:08:34.000 --> 00:08:42.340]   flush it forces the console to update what is being shown to us immediately all right so we get a much
[00:08:42.340 --> 00:08:49.940]   smoother um when we're looking at this it's much smoother versus when flush is not set to true so
[00:08:49.940 --> 00:08:55.220]   yeah when you're printing that is good to do just so you can see you don't necessarily need to okay
[00:08:55.220 --> 00:09:01.820]   now we added all those tokens to the tokens list so we can have a look at each individual object that
[00:09:01.820 --> 00:09:07.660]   was returned to us right and this is interesting so you see that we have the ai message chunk right
