
[00:00:00.000 --> 00:00:06.160]   Welcome back everyone.
[00:00:06.160 --> 00:00:09.520]   This is part nine in our series on contextual representation.
[00:00:09.520 --> 00:00:13.800]   For part nine, we're going to switch gears a little bit and talk about distillation.
[00:00:13.800 --> 00:00:16.460]   The name of the game here is going to be efficiency.
[00:00:16.460 --> 00:00:21.520]   We are seeking models that are smaller and therefore more efficient to use,
[00:00:21.520 --> 00:00:23.280]   especially at inference time,
[00:00:23.280 --> 00:00:25.780]   but nonetheless very performant,
[00:00:25.780 --> 00:00:29.520]   and distillation is a set of techniques for achieving that.
[00:00:29.520 --> 00:00:32.100]   On the first day of the course,
[00:00:32.100 --> 00:00:36.940]   I had this slide that tracked model size over time for our large language models,
[00:00:36.940 --> 00:00:39.440]   and you saw it going up and up and up all the way to
[00:00:39.440 --> 00:00:42.980]   palm at like 540 billion parameters.
[00:00:42.980 --> 00:00:47.320]   Then I offered a hopeful perspective that models would start getting smaller.
[00:00:47.320 --> 00:00:51.800]   One perspective on why models might get smaller is that we can
[00:00:51.800 --> 00:00:55.740]   distill the essence of these really large models down into
[00:00:55.740 --> 00:01:00.560]   the small ones and therefore get models that are more efficient when deployed.
[00:01:00.560 --> 00:01:06.840]   The name of the game for distillation is that we have a teacher model that is
[00:01:06.840 --> 00:01:12.520]   presumably very good but also very large and therefore very expensive to use.
[00:01:12.520 --> 00:01:16.160]   The goal is to train a student model that has
[00:01:16.160 --> 00:01:19.740]   similar input-output behavior to the teacher,
[00:01:19.740 --> 00:01:23.120]   but is nonetheless much more efficient to use.
[00:01:23.120 --> 00:01:27.060]   We can do that in very lightweight ways that simply depend on having
[00:01:27.060 --> 00:01:31.880]   the student mimic the teacher in terms of its basic input-output behavior.
[00:01:31.880 --> 00:01:36.540]   But we can also think about going deeper and having it be the case that we train
[00:01:36.540 --> 00:01:41.060]   the student to have internal representations that are similar in some sense to
[00:01:41.060 --> 00:01:46.580]   those of the teacher to gain an even deeper distillation of that teacher.
[00:01:46.580 --> 00:01:50.660]   In that context, let's review some distillation objectives.
[00:01:50.660 --> 00:01:55.100]   What I've done here is list them out from least to most heavy duty.
[00:01:55.100 --> 00:01:57.820]   Of course, you'll commonly see that people take
[00:01:57.820 --> 00:02:01.240]   weighted averages of different elements of this list.
[00:02:01.240 --> 00:02:03.800]   For item 0 on the list,
[00:02:03.800 --> 00:02:07.640]   I just mentioned that you will probably distill your student by in
[00:02:07.640 --> 00:02:10.180]   part training it on gold data for the task
[00:02:10.180 --> 00:02:12.440]   if you have it available and can make use of it.
[00:02:12.440 --> 00:02:15.780]   We're talking essentially about supplementing
[00:02:15.780 --> 00:02:20.820]   that core training with additional components of the objective.
[00:02:20.820 --> 00:02:25.380]   The first distillation objective and the most lightweight one is that
[00:02:25.380 --> 00:02:29.880]   we simply train the student to produce the same output as the teacher.
[00:02:29.880 --> 00:02:32.900]   This is very lightweight because at distillation time,
[00:02:32.900 --> 00:02:36.100]   we actually don't require any direct access to the teacher.
[00:02:36.100 --> 00:02:39.620]   We simply run the teacher on all our available training data.
[00:02:39.620 --> 00:02:43.980]   It produces labels and then we train the student on those labels.
[00:02:43.980 --> 00:02:47.260]   It's a bit mysterious why that is useful.
[00:02:47.260 --> 00:02:50.460]   I think the guiding insight here is that there might be
[00:02:50.460 --> 00:02:55.540]   aspects of your training data that are noisy or just very difficult to learn.
[00:02:55.540 --> 00:03:00.660]   The teacher acts as a regularizer and the student benefits from seeing
