
[00:00:00.000 --> 00:00:06.000]   [Music]
[00:00:06.000 --> 00:00:11.000]   Embedded into the Christmas story and in the birth narrative of Jesus into this world
[00:00:11.000 --> 00:00:17.000]   is a dark story of loss and of tragedy, of tears and of pain.
[00:00:17.000 --> 00:00:22.000]   Matthew 2.16 has been traditionally called "The Massacre of the Innocents."
[00:00:22.000 --> 00:00:28.000]   There we're told about the killing of all boys two years old and younger in the region of Bethlehem.
[00:00:28.000 --> 00:00:34.000]   The event is deeply unsettling, but it's also part of the historical record of the birth of Christ.
[00:00:34.000 --> 00:00:35.000]   Or is it?
[00:00:35.000 --> 00:00:43.000]   Did this actually happen historically, or was this massacre of the innocents a story invented by the early Christians?
[00:00:43.000 --> 00:00:48.000]   And if the event is historically real, if such a public slaughter really happened,
[00:00:48.000 --> 00:00:53.000]   why are there no other historical records to corroborate the event?
[00:00:53.000 --> 00:00:58.000]   For answers, we welcome special guest Dr. Paul Meyer, a widely respected historian,
[00:00:58.000 --> 00:01:01.000]   in what will be a little longer of an episode than usual.
[00:01:01.000 --> 00:01:08.000]   Until his retirement, Dr. Meyer served as the Russell H. Seabert Professor of Ancient History at Western Michigan University.
[00:01:08.000 --> 00:01:13.000]   And he is the author of many fictional books and many non-fictional books, including "In the Fullness of Time,"
[00:01:13.000 --> 00:01:17.000]   "A Historian Looks at Christmas, Easter, and the Early Church,"
[00:01:17.000 --> 00:01:21.000]   as well as several books for children, including "The Very First Christmas."
[00:01:21.000 --> 00:01:26.000]   Dr. Meyer, thanks for joining us. I want to ask you if Matthew 2:16 really happened in history.
[00:01:26.000 --> 00:01:28.000]   There's a question mark on this event, of course.
[00:01:28.000 --> 00:01:34.000]   But before we go there, who is this figure we know of in the Christmas story, known as Herod the Great?
[00:01:34.000 --> 00:01:38.000]   Well, Tony, you may be surprised to hear this, but believe it or not,
[00:01:38.000 --> 00:01:46.000]   if you're ever asked which is the one figure from the ancient world on whom we have more primary evidence
[00:01:46.000 --> 00:01:50.000]   from original sources than anyone else in the world,
[00:01:50.000 --> 00:01:57.000]   the answer is not Jesus or St. Paul or Caesar Augustus or Julius Caesar, none of those.
[00:01:57.000 --> 00:02:01.000]   Alexander the Great, no, no. It's Herod the Great, believe it or not.
[00:02:01.000 --> 00:02:08.000]   Why? Because Josephus gives us two whole book scrolls on the life of Herod the Great.
[00:02:08.000 --> 00:02:13.000]   And that's more primary material than anyone else. And I don't think Herod deserved it.
[00:02:13.000 --> 00:02:20.000]   He was a very remarkably successful politician, keeping the peace between Rome,
[00:02:20.000 --> 00:02:28.000]   which had conquered Judea ever since 63 B.C., and he acted really simply as a Roman governor overseas.
[00:02:28.000 --> 00:02:33.000]   He was known as a client king, meaning very often when the Romans conquered a province,
[00:02:33.000 --> 00:02:39.000]   they didn't want to send a governor out. There was a local king doing a good enough job.
[00:02:39.000 --> 00:02:47.000]   And so, yes, he may be called king, but he was definitely deferent to Rome as per his whole administration.
[00:02:47.000 --> 00:02:52.000]   He was in charge from, well, 40 B.C. he was awarded the title king.
[00:02:52.000 --> 00:02:56.000]   He didn't actually take control of the land until, with Roman help,
[00:02:56.000 --> 00:03:02.000]   he drove some adversaries out of Jerusalem and really from about 37 B.C. on,
[00:03:02.000 --> 00:03:06.000]   he's in charge until his death in 4 B.C.
[00:03:06.000 --> 00:03:10.000]   He was remarkably successful in a lot of ways.
[00:03:10.000 --> 00:03:17.000]   He deserves the title Herod the Great if we talk about his accomplishments through much of his life.
[00:03:17.000 --> 00:03:21.000]   He was the one, of course, who rebuilt the great temple in Jerusalem.
[00:03:21.000 --> 00:03:26.000]   He was the one who single-handedly created a city of Caesarea,
[00:03:26.000 --> 00:03:30.000]   where there was no good port in the Holy Land here.
[00:03:30.000 --> 00:03:37.000]   He creates one by sinking some ship hulls and then using it as a base to build a great breakwater
[00:03:37.000 --> 00:03:42.000]   in an otherwise rectilinear sea coast.
[00:03:42.000 --> 00:03:47.000]   So, and he built Caesarea in 12 years and he built other cities like that, too.
[00:03:47.000 --> 00:03:51.000]   In Jerusalem, he facelifted the entire city.
[00:03:51.000 --> 00:03:56.000]   In addition to building a gorgeous palace for himself, he had a hippodrome, a stadium,
[00:03:56.000 --> 00:04:01.000]   and theaters and this kind of thing. He was kind of a Hellenistic monarch.
[00:04:01.000 --> 00:04:05.000]   And he also built seven great fortresses across the land,
[00:04:05.000 --> 00:04:08.000]   strong points at which he could defend his administration.
[00:04:08.000 --> 00:04:16.000]   One of them, of course, most famous was Masada, down along the southwest corner of the Dead Sea.
[00:04:16.000 --> 00:04:19.000]   Everything he touched diplomatically seemed to turn to gold.
[00:04:19.000 --> 00:04:26.000]   He kept peace both with Jerusalem and Rome, and so in that sense he was very successful.
[00:04:26.000 --> 00:04:30.000]   Yeah, politically successful. But there's another side to Herod.
[00:04:30.000 --> 00:04:36.000]   Explain the paranoid side of Herod that begins to emerge later on in his life.
[00:04:36.000 --> 00:04:42.000]   Well, basically, basically, he was responsible for many of the problems back home.
[00:04:42.000 --> 00:04:47.000]   His home was a can of worms, simply because he married ten wives,
[00:04:47.000 --> 00:04:51.000]   and each of those produced princes for him,
[00:04:51.000 --> 00:04:56.000]   and each of those male princes was scheming to succeed as number one,
[00:04:56.000 --> 00:04:58.000]   and there could only be one number one.
[00:04:58.000 --> 00:05:04.000]   And so if there weren't two or three collateral plots taking place before they had orange juice in the morning,
