
[00:00:00.000 --> 00:00:02.440]   [silence]
[00:00:02.440 --> 00:00:04.360]   Exercise snacks.
[00:00:04.360 --> 00:00:07.080]   And as the name suggests, this is a fun one.
[00:00:07.080 --> 00:00:09.200]   And was suggested by Dr. Andy Galpin
[00:00:09.200 --> 00:00:12.840]   as a way to either enhance or maintain your fitness
[00:00:12.840 --> 00:00:14.320]   depending on how your core
[00:00:14.320 --> 00:00:16.800]   or foundational fitness program is going.
[00:00:16.800 --> 00:00:18.620]   So when I say core, I don't mean your abs.
[00:00:18.620 --> 00:00:21.120]   I mean, whether or not you're getting your regular cardio
[00:00:21.120 --> 00:00:23.000]   and your regular resistance training.
[00:00:23.000 --> 00:00:24.520]   If you were to add one
[00:00:24.520 --> 00:00:27.160]   or several of these exercise snacks per week,
[00:00:27.160 --> 00:00:29.600]   it can further improve things like VO2 max,
[00:00:29.600 --> 00:00:31.240]   muscular endurance, et cetera.
[00:00:31.240 --> 00:00:33.120]   I'll talk about the specific snacks
[00:00:33.120 --> 00:00:35.320]   that you will be doing in a moment.
[00:00:35.320 --> 00:00:37.920]   However, as Dr. Andy Galpin also pointed out,
[00:00:37.920 --> 00:00:41.020]   there are times in which we happen to not be following
[00:00:41.020 --> 00:00:42.760]   our foundational fitness program,
[00:00:42.760 --> 00:00:45.880]   either because work demands or family demands
[00:00:45.880 --> 00:00:47.320]   or we're traveling.
[00:00:47.320 --> 00:00:50.240]   We're simply not keeping up with our basic routine.
[00:00:50.240 --> 00:00:51.320]   And under those conditions,
[00:00:51.320 --> 00:00:54.340]   exercise snacks are a terrific way to maintain the fitness
[00:00:54.340 --> 00:00:56.440]   that you've already built and developed.
[00:00:56.440 --> 00:00:59.120]   And you don't lose any ground in a week,
[00:00:59.120 --> 00:01:01.320]   say, where you get particularly busy.
[00:01:01.320 --> 00:01:03.340]   Now, exercise snacks can take on a variety
[00:01:03.340 --> 00:01:04.640]   of different forms,
[00:01:04.640 --> 00:01:07.200]   but for sake of simplicity and clarity,
[00:01:07.200 --> 00:01:10.020]   today we're going to divide them into two major categories.
[00:01:10.020 --> 00:01:12.320]   The first category are exercise snacks
[00:01:12.320 --> 00:01:13.760]   that are going to improve
[00:01:13.760 --> 00:01:16.440]   or maintain your cardiovascular fitness,
[00:01:16.440 --> 00:01:19.120]   so your ability to run or cycle or row
[00:01:19.120 --> 00:01:22.880]   some distance, say, 12 minutes or longer, okay?
[00:01:22.880 --> 00:01:23.720]   But keep in mind,
[00:01:23.720 --> 00:01:25.480]   these exercise snacks are very, very brief.
[00:01:25.480 --> 00:01:26.760]   They don't require that you do them
[00:01:26.760 --> 00:01:28.360]   for 12 minutes or longer.
[00:01:28.360 --> 00:01:30.160]   What they're going to do is either maintain
[00:01:30.160 --> 00:01:32.760]   or enhance the type of endurance
[00:01:32.760 --> 00:01:35.560]   that allows you to continue in an activity
[00:01:35.560 --> 00:01:37.000]   for 12 minutes or longer.
[00:01:37.000 --> 00:01:39.140]   The second category of exercise snack
[00:01:39.140 --> 00:01:41.240]   relates to muscular endurance.
[00:01:41.240 --> 00:01:44.280]   Muscular endurance is a very important aspect of fitness.
[00:01:44.280 --> 00:01:46.020]   And even though some people are already training
[00:01:46.020 --> 00:01:47.360]   for muscular endurance,
[00:01:47.360 --> 00:01:48.700]   it's something that most people
[00:01:48.700 --> 00:01:51.080]   are not doing enough training for.
[00:01:51.080 --> 00:01:53.320]   Muscular endurance is your ability, say,
