
[00:00:00.000 --> 00:00:06.080]   Welcome back everyone.
[00:00:06.080 --> 00:00:08.200]   This is the fifth and final screencast in
[00:00:08.200 --> 00:00:10.620]   our series on analysis methods for NLP.
[00:00:10.620 --> 00:00:12.660]   I'm going to seize this moment to tell you
[00:00:12.660 --> 00:00:15.080]   about a brand new method we've been developing,
[00:00:15.080 --> 00:00:17.000]   distributed alignment search.
[00:00:17.000 --> 00:00:19.800]   I think this overcomes crucial limitations with
[00:00:19.800 --> 00:00:23.140]   causal abstraction as I presented it to you before.
[00:00:23.140 --> 00:00:25.640]   I'm going to give you a high-level overview of
[00:00:25.640 --> 00:00:27.660]   DAS and then use that as
[00:00:27.660 --> 00:00:29.640]   a starting point to think even further
[00:00:29.640 --> 00:00:33.440]   into the future about analysis methods in the field.
[00:00:33.440 --> 00:00:36.220]   To start, let's return to our scorecard.
[00:00:36.220 --> 00:00:37.920]   I've been using this throughout the unit.
[00:00:37.920 --> 00:00:39.820]   I feel I have justified
[00:00:39.820 --> 00:00:42.960]   the three smileys along the interventions row,
[00:00:42.960 --> 00:00:44.940]   but there remain really
[00:00:44.940 --> 00:00:47.740]   pressing issues for this class of methods.
[00:00:47.740 --> 00:00:49.500]   Let me identify two of them.
[00:00:49.500 --> 00:00:52.780]   First, alignment search is expensive.
[00:00:52.780 --> 00:00:54.720]   The name of the game here is to define
[00:00:54.720 --> 00:00:56.920]   a high-level causal model and
[00:00:56.920 --> 00:00:59.540]   then align variables in that model
[00:00:59.540 --> 00:01:02.920]   with sets of neurons in the target neural model.
[00:01:02.920 --> 00:01:05.100]   For a complex causal model
[00:01:05.100 --> 00:01:07.460]   and a modern large language model,
[00:01:07.460 --> 00:01:09.300]   the number of possible alignments
[00:01:09.300 --> 00:01:10.920]   in that mode is enormous.
[00:01:10.920 --> 00:01:14.580]   I mean, to call it astronomical would be to fail to
[00:01:14.580 --> 00:01:18.080]   do justice to just how large the space is.
[00:01:18.080 --> 00:01:20.340]   As a result, we introduced lots of
[00:01:20.340 --> 00:01:22.280]   approximations and we could easily
[00:01:22.280 --> 00:01:25.260]   miss a really good alignment.
[00:01:25.260 --> 00:01:28.120]   The second issue is even deeper.
[00:01:28.120 --> 00:01:30.460]   Causal abstraction could fail to
[00:01:30.460 --> 00:01:32.880]   find genuine causal structure because
[00:01:32.880 --> 00:01:36.280]   we presume that we're doing it in a standard basis.
[00:01:36.280 --> 00:01:39.820]   The central insight behind DAS is that there might be
[00:01:39.820 --> 00:01:42.760]   interpretable structure that we would find if we
[00:01:42.760 --> 00:01:44.340]   simply rotated some of
[00:01:44.340 --> 00:01:47.060]   these representations in various ways.
[00:01:47.060 --> 00:01:49.100]   In fact, the target of DAS is
[00:01:49.100 --> 00:01:51.480]   a rotation matrix that we learn,
[00:01:51.480 --> 00:01:55.600]   and that helps us find optimal alignments.
[00:01:55.600 --> 00:01:58.060]   I'm going to keep this high-level and
[00:01:58.060 --> 00:01:59.780]   intuitive and for that I'll have
[00:01:59.780 --> 00:02:02.260]   a running example of very simple one.
[00:02:02.260 --> 00:02:03.980]   This is Boolean conjunction.
[00:02:03.980 --> 00:02:06.320]   I have the causal model on the left here.
[00:02:06.320 --> 00:02:08.460]   It takes in Boolean variables.
[00:02:08.460 --> 00:02:10.700]   It has intermediate variables for
[00:02:10.700 --> 00:02:13.380]   those inputs and then it outputs true.
[00:02:13.380 --> 00:02:16.960]   If both of the inputs were true, otherwise false.
[00:02:16.960 --> 00:02:20.860]   On the right, I have a very simple neural model.
[00:02:20.860 --> 00:02:23.440]   The neural model perfectly solves
