
[00:00:00.000 --> 00:00:01.000]   Thao Yeager:
[00:00:01.000 --> 00:00:20.400]   So voice is the most natural of interfaces.
[00:00:20.400 --> 00:00:27.520]   Humans are storytellers, talkers, listeners, conversationalists.
[00:00:27.520 --> 00:00:29.660]   We think out aloud.
[00:00:29.660 --> 00:00:33.420]   We learn to talk before we learn to read.
[00:00:33.420 --> 00:00:37.920]   And most of us talk faster than we type.
[00:00:37.920 --> 00:00:40.840]   We express emotion through our voices,
[00:00:40.840 --> 00:00:46.460]   and we use sound to understand the world around us.
[00:00:46.460 --> 00:00:48.960]   We've been working together for the past few months,
[00:00:48.960 --> 00:00:52.140]   Shritshta, from the angle of models and APIs,
[00:00:52.140 --> 00:00:55.320]   and me from the application layer and agent framework direction.
[00:00:55.320 --> 00:00:57.180]   And I think we both believe that voice
[00:00:57.180 --> 00:01:00.940]   is a critical and universal building block for the whole next generation
[00:01:00.940 --> 00:01:04.700]   of Gen AI, especially at the UI level, but more generally as well.
[00:01:04.700 --> 00:01:09.460]   Those of us who are early adopters of personal voice AI talk to our computers all the time.
[00:01:09.460 --> 00:01:12.960]   We think of the LLMs we talk to as sounding boards and coaches
[00:01:12.960 --> 00:01:17.880]   and interfaces to everything that lives on our devices and in the cloud.
[00:01:17.880 --> 00:01:21.640]   And this is not just an early adopter phenomenon.
[00:01:21.640 --> 00:01:26.340]   Like, we already have voice agents deployed at scale.
[00:01:26.340 --> 00:01:30.880]   Language translation apps that translate between a patient and a doctor.
[00:01:30.880 --> 00:01:36.320]   Directed learning apps that a fourth grader can use to learn a topic they want to.
[00:01:36.320 --> 00:01:43.080]   Speech therapy apps and co-pilots that help people navigate complex enterprise software.
[00:01:43.080 --> 00:01:52.080]   One of the things we see in our work with customers at Daily is it's pretty common for people not to realize that they're talking to a voice agent on a phone call,
[00:01:52.080 --> 00:01:57.080]   even when you tell them at the beginning of the phone call that they're talking to an AI.
[00:01:57.080 --> 00:02:00.920]   Yeah, and kids born today will probably take all of this for granted.
[00:02:00.920 --> 00:02:08.040]   But those of us who are living through this evolution of talking computers, this can sometimes feel like magic.
[00:02:08.040 --> 00:02:17.640]   But of course, anybody who's seen a really great magician prepare a magic trick knows that the magic is just the interface.
[00:02:17.640 --> 00:02:21.960]   There's a lot of hard work that goes into creating that magic trick.
