
[00:00:00.000 --> 00:00:07.300]   Almost five million people saw the headline 48 hours ago that OpenAI have a secret large language
[00:00:07.300 --> 00:00:15.780]   model that got gold at the International Math Olympiad. Here though are nine ways to misread
[00:00:15.780 --> 00:00:23.440]   that headline. First, this means that AI is now as good as the best mathematicians and could put
[00:00:23.440 --> 00:00:30.640]   them out of a job. The IMO is extremely difficult but contains human expert written questions, not
[00:00:30.640 --> 00:00:37.500]   questions that no one knows the answer to yet. I am in awe of the high school competitors who get
[00:00:37.500 --> 00:00:43.900]   any medal in it or even qualified to be in the competition truly. But as one UCL math professor
[00:00:43.900 --> 00:00:49.980]   said yesterday, math research is about solving problems no one yet knows how to solve and this
[00:00:49.980 --> 00:00:57.060]   requires significant creativity, something notably absent from OpenAI's IMO solutions.
[00:00:57.060 --> 00:01:04.700]   Now OpenAI's model apparently out around the end of the year did not find a correct proof for the
[00:01:04.700 --> 00:01:12.100]   hardest problem, requiring the most creativity. That's unlike by the way a fair few of the young
[00:01:12.100 --> 00:01:19.380]   human participants. The model did get problem one through five correct. That is bloody impressive
[00:01:19.380 --> 00:01:26.680]   and enough for a gold. Second misreading of the headline though. This means that OpenAI are now
[00:01:26.680 --> 00:01:33.340]   in the lead in AI or maybe language models for mathematics. Well, we actually don't know what
[00:01:33.340 --> 00:01:41.680]   the Google effort got in the IMO. This professor is hearing that Google DeepMind also got gold but has
[00:01:41.680 --> 00:01:47.600]   not yet announced it. We will find out in the coming week apparently whether Google DeepMind got problem
[00:01:47.600 --> 00:01:54.900]   6 correct. Was this why OpenAI rushed the announcement to get there before Google and steal the headlines?
[00:01:54.900 --> 00:02:01.980]   Now one of the Google DeepMind researchers on AI for mathematics and the lead of their famous,
[00:02:01.980 --> 00:02:07.120]   well is actually famous, well famous to me, Alpha Geometry System that I discussed 18 months ago,
[00:02:07.120 --> 00:02:15.620]   True Trin, retweeted this tweet. Apparently AI organisations were asked not to report their results for a week
[00:02:15.620 --> 00:02:21.600]   to give some space for human celebration. Unfortunately, Gnome Brown of OpenAI said that this message
[00:02:21.600 --> 00:02:28.140]   somehow didn't get through to OpenAI, maybe it wasn't relayed to them. We don't know but this explains why
[00:02:28.140 --> 00:02:34.600]   we don't yet have the Google DeepMind results which I believe are coming out on the 28th of July and some
[00:02:34.600 --> 00:02:42.400]   other results from a company called Harmonic. Third way to misread this gold medal headline, that none of this
[00:02:42.400 --> 00:02:50.620]   is relevant to whether AI will reduce entry-level white collar jobs. I frankly disagree. I think it is relevant.
[00:02:50.620 --> 00:02:56.880]   One of the leads on OpenAI's new secretive model, Jerry Tworek, if I'm pronouncing that right, revealed that it is
[00:02:56.880 --> 00:03:04.740]   not specialised for mathematics and draws on the same research technique used to power most of OpenAI's other offerings.
[00:03:04.740 --> 00:03:11.280]   This is bigger news than it sounds, because it means that this secret model did not use tools or specialised fine tuning
[00:03:11.280 --> 00:03:19.560]   to optimise for the mathematics use case. Even one of OpenAI's chief critics at a rival lab and an IMO gold medalist himself
[00:03:19.560 --> 00:03:28.400]   conceded that for this result to be achieved by a pure language model was impressive. To the degree he said that this was indicative of
[00:03:28.400 --> 00:03:33.920]   general reasoning training without specialisation, that's significant. But many of you will still be
[00:03:33.920 --> 00:03:40.900]   saying, nah, none of this is relevant, but let me try to put the strongest case yet. Remember, this reinforcement
[00:03:40.900 --> 00:03:48.400]   learning system within OpenAI was the same one responsible for that general purpose computer using agent whose
[00:03:48.400 --> 00:03:54.160]   headlines you may have seen recently. I'll play the clip now because it's soon going to be rolled out to all
[00:03:54.160 --> 00:04:01.440]   plus users. But it's that system that can browse the web and perform deep research for you. Millions of
[00:04:01.440 --> 00:04:06.640]   people saw the headlines about OpenAI's agent mode that can spin up its own virtual computer, operate the
[00:04:06.640 --> 00:04:13.680]   mouse, navigate the browser visually. Now, yes, that agent is a bit jank, but this same researcher revealed
[00:04:13.680 --> 00:04:22.160]   that the agent mode system is an earlier version of the same one that performs so exceptionally at the IMO.
[00:04:22.160 --> 00:04:29.360]   The thing is that more limited agent mode drawing on an older base model is approaching human baselines in
[00:04:29.360 --> 00:04:37.760]   a range of real world domains. This is what I mean then when I say that this headline is not irrelevant
[00:04:37.760 --> 00:04:44.080]   to the impact on white collar jobs. The agent mode released just a few days ago and just to stress again
[00:04:44.080 --> 00:04:50.640]   make sure that the name is not irrelevant. It's just a few days ago that was tested on real world professional
[00:04:50.640 --> 00:04:57.440]   work, such as preparing a competitive analysis of on demand urgent care providers and identifying
[00:04:57.440 --> 00:05:05.200]   viable water wells for a new green hydrogen facility. Pay attention to the bars in blue because that's the
[00:05:05.200 --> 00:05:14.240]   win rate of ChatGPT agent versus humans. As you can see for a variety of tasks, it's approaching a 50%
[00:05:14.240 --> 00:05:19.920]   win rate. You don't need me to make the obvious point that if this is ChatGPT agent, what about this
[00:05:19.920 --> 00:05:26.080]   model we're getting at the end of the year? Suddenly models exceeding most human participants in the IMO
[00:05:26.080 --> 00:05:33.520]   competition doesn't seem so irrelevant. Then there is data science tasks in which OpenAI claim to actually
[00:05:33.520 --> 00:05:40.240]   have a superior system to most human performers. The emphasis there should be on most performers because
[00:05:40.240 --> 00:05:46.800]   again remember these questions were designed by human experts. Therefore there must be some humans by
[00:05:46.800 --> 00:05:51.920]   definition who can ace these questions comfortably. Now what is more white collar unfortunately than
[00:05:51.920 --> 00:05:58.320]   filling out spreadsheets or editing them in the case of spreadsheet bench. In this case as you can see
[00:05:58.320 --> 00:06:05.920]   here human performance on average is still far superior to ChatGPT agent. But it is barely speculative
[00:06:05.920 --> 00:06:12.880]   at this point to surmise that the model we're getting at the end of the year might score say 75% or 80%
[00:06:12.880 --> 00:06:20.160]   on spreadsheet bench. The obvious point to be made is that surely expert spreadsheeters will just
[00:06:20.160 --> 00:06:25.840]   increase their productivity by using these tools. And that's true but it does beg the question about what
[00:06:25.840 --> 00:06:32.960]   the incentives will be at that point to hire entry level helpers. If entry level human white collar
[00:06:32.960 --> 00:06:39.680]   workers can no longer complement the systems then that could really start showing up in the data. How
[00:06:39.680 --> 00:06:46.160]   about the headlines meaning that we are actually close then to fully eliminating white collar jobs? The logic
[00:06:46.160 --> 00:06:52.960]   would go if it can get gold in the IMO then isn't it just better than us at everything? This leads us
[00:06:52.960 --> 00:06:59.040]   to the fourth way that many might misread the headline which is that if we're getting gold in the
[00:06:59.040 --> 00:07:03.840]   international math olympiad we are actually really quite close to eliminating white collar jobs.
[00:07:03.840 --> 00:07:11.120]   Well if you have read the 42 page system card for these latest systems like ChatGPT agent and frankly who
[00:07:11.120 --> 00:07:18.800]   hasn't read that 42 page system card then you'll see that the hallucination rate of these new agents
[00:07:18.800 --> 00:07:25.840]   drawing on the same techniques again as the MathWiz went up. To repeat that same single reinforcement
[00:07:25.840 --> 00:07:33.120]   learning system in the words of the OpenAI researcher produced higher hallucinations within ChatGPT agent.
[00:07:33.120 --> 00:07:39.440]   On simple QA which is one benchmark measuring hallucinations you can see a drop of around four
