
[00:00:00.000 --> 00:00:03.200]   Well, good morning.
[00:00:03.200 --> 00:00:09.000]   Well, thank you both of you. Good morning.
[00:00:09.000 --> 00:00:10.960]   Oh, that's much better.
[00:00:10.960 --> 00:00:12.120]   You're awake now.
[00:00:12.120 --> 00:00:16.120]   It's good to see you after a very busy evening.
[00:00:16.120 --> 00:00:18.560]   You guys are the die-hards that are back.
[00:00:18.560 --> 00:00:21.840]   So, up early and ready to go.
[00:00:21.840 --> 00:00:25.240]   Of course, this is the session which I know your wife drug you
[00:00:25.240 --> 00:00:30.280]   to because it's about the husbands and this is usually
[00:00:30.280 --> 00:00:36.040]   the session where the women themselves take copious notes.
[00:00:36.040 --> 00:00:40.880]   So, this is probably what's going to happen here today anyhow.
[00:00:40.880 --> 00:00:42.680]   Let me see if I can get this up straight.
[00:00:42.680 --> 00:00:49.280]   Okay, good. So, we want to jump right into God's design for husbands.
[00:00:49.280 --> 00:00:51.880]   What is the role? The Bible clearly outlines.
[00:00:51.880 --> 00:00:55.600]   You know, I'm afraid that I have had the opportunity over the last 40,
[00:00:55.600 --> 00:00:59.400]   45 years to counsel a lot of people in a variety of different churches,
[00:00:59.400 --> 00:01:01.720]   variety of different settings, and it's amazing.
[00:01:01.720 --> 00:01:06.080]   Even from churches that are very solid Bible-believing,
[00:01:06.080 --> 00:01:12.800]   Bible-teaching churches, how unclear this is in men's minds.
[00:01:12.800 --> 00:01:16.400]   One of my things here is to make it very clear.
[00:01:16.400 --> 00:01:18.120]   I want to make this very memorable.
[00:01:18.120 --> 00:01:20.360]   I want you to be able to walk away and you
[00:01:20.360 --> 00:01:22.520]   don't even have to have a Bible in your hand.
[00:01:22.520 --> 00:01:25.960]   All you have to think about is some really key principles there
[00:01:25.960 --> 00:01:29.360]   to just see how you're doing in order to be a godly husband.
[00:01:29.360 --> 00:01:31.960]   So, this is really key.
[00:01:31.960 --> 00:01:33.920]   In order to get started here,
[00:01:33.920 --> 00:01:35.880]   remember how we said last night,
[00:01:35.880 --> 00:01:37.240]   Romans chapter 12, verse 9,
[00:01:37.240 --> 00:01:39.840]   the whole theme of the conference is,
[00:01:39.840 --> 00:01:42.440]   somebody asked you at the end of this weekend, what did you do?
[00:01:42.440 --> 00:01:45.520]   I went to a marriage conference and I learned how to hate more.
[00:01:45.520 --> 00:01:48.840]   I learned how to hate my own sin more.
[00:01:48.840 --> 00:01:52.360]   That's exactly what Romans 12, 9 talks about.
