
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:14.040]   - Hey everybody, welcome back to the WNB Salon Series.
[00:00:14.040 --> 00:00:16.040]   This has not happened for a long time,
[00:00:16.040 --> 00:00:18.240]   but we're super excited to bring it back.
[00:00:18.240 --> 00:00:20.320]   And I'm super excited about the fact
[00:00:20.320 --> 00:00:22.080]   that you have a better host today.
[00:00:22.080 --> 00:00:25.720]   Hamil Hussain will be hosting today's session on AutoML.
[00:00:25.720 --> 00:00:26.920]   What does that word even mean?
[00:00:26.920 --> 00:00:30.240]   And how is it going to impact our lives?
[00:00:30.240 --> 00:00:32.640]   The awesome panel here will be discussing that
[00:00:32.640 --> 00:00:35.600]   and Hamil will be leading this discussion.
[00:00:35.600 --> 00:00:38.920]   Hamil is currently building ML tools at Autobounce.
[00:00:38.920 --> 00:00:42.440]   He's one of those triple six contributors of FastAI,
[00:00:42.440 --> 00:00:44.640]   one of the core maintainers.
[00:00:44.640 --> 00:00:47.720]   Previously he was at GitHub, Airbnb and DataRobot.
[00:00:47.720 --> 00:00:51.600]   So he has a good amount of experience in AutoML tools
[00:00:51.600 --> 00:00:52.960]   and tools generally speaking.
[00:00:52.960 --> 00:00:55.420]   With that, Hamil I'd like to hand it over to you.
[00:00:56.420 --> 00:00:58.580]   - Thanks a lot, Sanyam.
[00:00:58.580 --> 00:01:02.460]   So yeah, I'm really excited to be here to talk about AutoML.
[00:01:02.460 --> 00:01:06.900]   But first I wanna introduce the all-star panel that we have.
[00:01:06.900 --> 00:01:09.060]   So I'll start with Shreya.
[00:01:09.060 --> 00:01:11.500]   So Shreya is here.
[00:01:11.500 --> 00:01:15.300]   She builds systems that operationalize ML workflows
[00:01:15.300 --> 00:01:18.780]   and has conducted lots of research on ML systems,
[00:01:18.780 --> 00:01:21.780]   including end-to-end observability.
[00:01:21.780 --> 00:01:23.540]   She has done ML and software engineering
[00:01:23.540 --> 00:01:26.060]   at Google Brain, Facebook and Viaduct
[00:01:26.060 --> 00:01:30.100]   and is currently doing a PhD at UC Berkeley,
[00:01:30.100 --> 00:01:32.940]   where she's taking a deeper look into databases.
[00:01:32.940 --> 00:01:36.700]   And it's really exciting to have her here
[00:01:36.700 --> 00:01:38.020]   to talk about AutoML.
[00:01:38.020 --> 00:01:40.460]   Next we have Zach Mayer.
[00:01:40.460 --> 00:01:42.760]   So Zach actually is the person
[00:01:42.760 --> 00:01:44.780]   that got me into data science.
[00:01:44.780 --> 00:01:49.780]   I was kind of just a lost consultant at one point.
[00:01:50.620 --> 00:01:54.460]   And Zach was kind of like one of the people that came in
[00:01:54.460 --> 00:01:59.460]   and kind of showed me what ML and data science is all about.
[00:01:59.460 --> 00:02:02.340]   He's actually one of the core contributors
[00:02:02.340 --> 00:02:05.500]   to a package called Carrot, which is an R package,
[00:02:05.500 --> 00:02:07.260]   which is my first experience with something
[00:02:07.260 --> 00:02:10.180]   that felt like AutoML.
[00:02:10.180 --> 00:02:12.100]   It was really interesting. - I did.
[00:02:12.100 --> 00:02:16.900]   - And it's a software that allows you to quickly try
[00:02:16.900 --> 00:02:19.980]   many different types of models and like a consistent API.
[00:02:20.940 --> 00:02:24.820]   And it was kind of was the thing in the time
[00:02:24.820 --> 00:02:27.220]   where there was this like classic ML,
[00:02:27.220 --> 00:02:30.820]   like classic ML before deep learning.
[00:02:30.820 --> 00:02:33.220]   It helped to kind of make sense of that space.
[00:02:33.220 --> 00:02:35.900]   So it's really exciting to have him here.
[00:02:35.900 --> 00:02:39.500]   Zach is currently leading data science at DataRobot.
[00:02:39.500 --> 00:02:42.740]   Next we have Ted Kortler.
[00:02:42.740 --> 00:02:46.340]   Ted is a data science educator.
[00:02:46.340 --> 00:02:49.640]   He's also done a lot of work with applied ML,
[00:02:49.640 --> 00:02:51.220]   especially in insurance.
[00:02:51.220 --> 00:02:55.460]   He specifically works on fairness and bias
[00:02:55.460 --> 00:02:57.260]   in ML systems as well,
[00:02:57.260 --> 00:02:59.660]   which is a very important topic for AutoML.
[00:02:59.660 --> 00:03:04.180]   And I've generally found that Ted is really good
[00:03:04.180 --> 00:03:07.140]   at focusing on the business impact of machine learning.
[00:03:07.140 --> 00:03:11.500]   And he's currently leading this genre of work at DataRobot.
[00:03:11.500 --> 00:03:15.460]   Next we have Robert Nishihara.
[00:03:15.460 --> 00:03:18.060]   He's a CEO of AnyScale, which is a framework
[00:03:18.060 --> 00:03:20.620]   that helps you scale and deploy ML,
[00:03:20.620 --> 00:03:24.140]   and which is built on the open source library Ray.
[00:03:24.140 --> 00:03:28.260]   He's also a member of RiseLab and Amplab at UC Berkeley,
[00:03:28.260 --> 00:03:31.620]   which has been the incubator of all kinds
[00:03:31.620 --> 00:03:36.280]   of cool technologies like Spark and Ray and other things.
[00:03:36.280 --> 00:03:40.140]   Next we have Dan Becker.
[00:03:40.140 --> 00:03:43.260]   He's currently the VP of product at DataRobot.
[00:03:43.260 --> 00:03:46.700]   But before this, he founded Decision AI,
