
[00:00:00.000 --> 00:00:02.420]   [silence]
[00:00:02.420 --> 00:00:04.900]   Now, a topic that is sure to be a bit controversial,
[00:00:04.900 --> 00:00:06.620]   but it really shouldn't be because the data,
[00:00:06.620 --> 00:00:08.320]   at least to me, are very clear,
[00:00:08.320 --> 00:00:13.300]   is this issue of phone use and sperm quality.
[00:00:13.300 --> 00:00:17.140]   Now, this can open up a whole array of issues
[00:00:17.140 --> 00:00:18.900]   related to things like EMFs,
[00:00:18.900 --> 00:00:20.860]   and you've got people out there that have, you know,
[00:00:20.860 --> 00:00:23.660]   ideas about 5G and all of this stuff.
[00:00:23.660 --> 00:00:25.500]   That is not what this discussion is about.
[00:00:25.500 --> 00:00:27.580]   The discussion I'm about to have with you
[00:00:27.580 --> 00:00:30.500]   relates to the fact that the electromagnetic fields
[00:00:30.500 --> 00:00:34.460]   and the heat-related effects of smartphones
[00:00:34.460 --> 00:00:37.940]   can indeed have a detrimental effect on sperm quality,
[00:00:37.940 --> 00:00:41.000]   and yes, indeed, on testosterone levels as well.
[00:00:41.000 --> 00:00:42.660]   I'm going to refer you to a paper.
[00:00:42.660 --> 00:00:44.180]   We will link it in the show note captions.
[00:00:44.180 --> 00:00:45.380]   The title of this paper is
[00:00:45.380 --> 00:00:48.500]   "Effects of Mobile Phone Usage on Sperm Quality.
[00:00:48.500 --> 00:00:51.080]   No Time-Dependent Relationship on Usage.
[00:00:51.080 --> 00:00:53.500]   A Systematic Review and Updated Meta-Analysis."
[00:00:53.500 --> 00:00:56.660]   This is a paper that came out in 2021,
[00:00:56.660 --> 00:00:58.340]   and talks about the fact
[00:00:58.340 --> 00:01:01.380]   that phones emit a radio frequency electromagnetic waves,
[00:01:01.380 --> 00:01:03.740]   which are called RF radio frequency,
[00:01:03.740 --> 00:01:05.980]   EMWs, electromagnetic waves,
[00:01:05.980 --> 00:01:10.060]   at a low level between 80 and 2,200 megahertz
[00:01:10.060 --> 00:01:11.660]   that can be absorbed by the human body.
[00:01:11.660 --> 00:01:13.900]   We know this, okay, this is not controversial,
[00:01:13.900 --> 00:01:16.020]   and have potential adverse effects on brain, heart,
[00:01:16.020 --> 00:01:17.580]   endocrine system, and reproductive function.
[00:01:17.580 --> 00:01:19.540]   That has been established.
[00:01:19.540 --> 00:01:22.620]   Keep in mind, there is basically no controversy
[00:01:22.620 --> 00:01:24.900]   that radio frequency waves and EMFs
[00:01:24.900 --> 00:01:27.060]   can have a negative impact on biological tissues.
[00:01:27.060 --> 00:01:29.540]   The question is how intense
[00:01:29.540 --> 00:01:32.220]   are those radio frequency waves and EMFs,
[00:01:32.220 --> 00:01:36.300]   and how detrimental are those on those biological tissues?
[00:01:36.300 --> 00:01:38.140]   Okay, it's a matter of degrees,
[00:01:38.140 --> 00:01:39.740]   but there is very little controversy
[00:01:39.740 --> 00:01:41.120]   as to whether or not they have an effect
[00:01:41.120 --> 00:01:42.140]   on biological tissues,
[00:01:42.140 --> 00:01:44.420]   and I'm aware of absolutely zero data
[00:01:44.420 --> 00:01:45.820]   showing that they can have a positive effect
[00:01:45.820 --> 00:01:47.260]   on biological tissues.
[00:01:47.260 --> 00:01:49.880]   Since what we're mainly talking about now are smartphones,
