
[00:00:00.000 --> 00:00:01.440]   [MUSIC PLAYING]
[00:00:01.440 --> 00:00:02.240]   Hey, everyone.
[00:00:02.240 --> 00:00:04.200]   Welcome to the Latent Space Podcast.
[00:00:04.200 --> 00:00:06.640]   This is Alessio, partner and CTO on Residents
[00:00:06.640 --> 00:00:07.600]   at Decibel Partners.
[00:00:07.600 --> 00:00:10.760]   And I'm joined by my co-host, Sweets, founder of Small.ai.
[00:00:10.760 --> 00:00:14.560]   Hey, and today we're christening our new podcast studio
[00:00:14.560 --> 00:00:16.200]   in the Newton.
[00:00:16.200 --> 00:00:19.380]   And we have Biang and Steve from Sourcegraph.
[00:00:19.380 --> 00:00:19.880]   Welcome.
[00:00:19.880 --> 00:00:21.560]   Hey, thanks for having us.
[00:00:21.560 --> 00:00:23.040]   So this has been a long time coming.
[00:00:23.040 --> 00:00:24.480]   I'm very excited to have you.
[00:00:24.480 --> 00:00:28.240]   We also are just celebrating the one year anniversary of ChatGPT
[00:00:28.240 --> 00:00:30.360]   yesterday.
[00:00:30.360 --> 00:00:34.480]   But also we'll be talking about the GA of Cody later on today.
[00:00:34.480 --> 00:00:37.320]   But we'll just do a quick intros of both of you.
[00:00:37.320 --> 00:00:39.960]   Obviously, people can research you and check the show notes
[00:00:39.960 --> 00:00:40.880]   for more.
[00:00:40.880 --> 00:00:43.200]   But Biang, you worked in computer vision at Stanford,
[00:00:43.200 --> 00:00:44.640]   and then you worked at Palantir.
[00:00:44.640 --> 00:00:45.440]   I did, yeah.
[00:00:45.440 --> 00:00:47.120]   You also interned at Google, which is--
[00:00:47.120 --> 00:00:48.920]   I did back in the day, where I get to use
[00:00:48.920 --> 00:00:51.880]   Steve's system, dev tool.
[00:00:51.880 --> 00:00:53.400]   Right.
[00:00:53.400 --> 00:00:54.280]   What was it called?
[00:00:54.280 --> 00:00:55.120]   It was called Grok.
[00:00:55.120 --> 00:00:58.100]   Well, the end user thing was Google Code Search.
[00:00:58.100 --> 00:01:00.680]   That's what everyone called it, or just like CS.
[00:01:00.680 --> 00:01:06.160]   But the brains of it were really the Trigram index and then
[00:01:06.160 --> 00:01:08.720]   Grok, which provided the reference graph.
[00:01:08.720 --> 00:01:11.400]   Today it's called Kythe, the open source Google one.
[00:01:11.400 --> 00:01:13.080]   It's sort of like Grok v3.
[00:01:13.080 --> 00:01:15.640]   On your podcast, which you've had me on,
[00:01:15.640 --> 00:01:18.760]   you've interviewed a bunch of other code search developers,
[00:01:18.760 --> 00:01:21.560]   including the current developer of Kythe, right?
[00:01:21.560 --> 00:01:24.200]   No, we didn't have any Kythe people on,
[00:01:24.200 --> 00:01:27.480]   although we would love to if they're up for it.
[00:01:27.480 --> 00:01:32.840]   We had Kelly Norton, who built a similar system at Etsy.
[00:01:32.840 --> 00:01:35.340]   It's an open source project called Hound.
[00:01:35.340 --> 00:01:39.480]   We also had Han-Wen Nienhaus, who
[00:01:39.480 --> 00:01:41.000]   created Zooked, which is--
[00:01:41.000 --> 00:01:43.120]   That's the name I'm thinking about.
[00:01:43.120 --> 00:01:46.360]   --I think heavily inspired by the Trigram index that
[00:01:46.360 --> 00:01:49.520]   powered Google's original code search,
[00:01:49.520 --> 00:01:51.380]   and that we also now use at Sourcegraph.
[00:01:51.380 --> 00:01:51.880]   Yeah.
[00:01:51.880 --> 00:01:54.240]   So you teamed up with Quinn over 10 years
[00:01:54.240 --> 00:01:57.040]   ago to start Sourcegraph.
[00:01:57.040 --> 00:02:00.040]   And I kind of view it like--
[00:02:00.040 --> 00:02:01.320]   we'll talk more about this.
[00:02:01.320 --> 00:02:05.080]   You were indexing all code on the internet,
[00:02:05.080 --> 00:02:07.000]   and now you're in the perfect spot
[00:02:07.000 --> 00:02:10.440]   to create a coding intelligence startup.
[00:02:10.440 --> 00:02:11.040]   Yeah, yeah.
[00:02:11.040 --> 00:02:15.160]   I guess the back story was, I used Google Code Search
[00:02:15.160 --> 00:02:16.120]   while I was an intern.
[00:02:16.120 --> 00:02:19.360]   And then after I left that internship
[00:02:19.360 --> 00:02:22.800]   and worked elsewhere, it was the single dev tool
[00:02:22.800 --> 00:02:23.840]   that I missed the most.
[00:02:23.840 --> 00:02:27.760]   I felt like my job was just a lot more tedious and much more
[00:02:27.760 --> 00:02:29.840]   of a hassle without it.
[00:02:29.840 --> 00:02:32.420]   And so when Quinn and I started working together at Palantir,
[00:02:32.420 --> 00:02:37.040]   he had also used various code search engines in open source
[00:02:37.040 --> 00:02:38.440]   over the years.
[00:02:38.440 --> 00:02:41.000]   And it was just a pain point that we both felt,
[00:02:41.000 --> 00:02:44.840]   both working on code at Palantir and also
[00:02:44.840 --> 00:02:46.520]   working within Palantir's clients, which
[00:02:46.520 --> 00:02:49.120]   were a lot of Fortune 500 companies,
[00:02:49.120 --> 00:02:51.960]   large financial institutions, folks like that.
[00:02:51.960 --> 00:02:55.880]   And if anything, the pains they felt
[00:02:55.880 --> 00:02:57.840]   in dealing with large, complex code bases
[00:02:57.840 --> 00:03:01.800]   made our pain points feel small by comparison.
[00:03:01.800 --> 00:03:03.160]   And so that was really the impetus
[00:03:03.160 --> 00:03:05.160]   for starting Sourcegraph.
[00:03:05.160 --> 00:03:07.000]   Yeah, excellent.
[00:03:07.000 --> 00:03:10.280]   Steve, you famously worked at Amazon.
[00:03:10.280 --> 00:03:11.960]   I did, yep.
[00:03:11.960 --> 00:03:15.160]   And revealed-- and you've told many, many stories.
[00:03:15.160 --> 00:03:17.040]   I want every single listener of "Latent Space"
[00:03:17.040 --> 00:03:20.640]   to check out Steve's YouTube, because he effectively
[00:03:20.640 --> 00:03:23.400]   had a podcast that you didn't tell anyone
[00:03:23.400 --> 00:03:25.240]   about or something.
[00:03:25.240 --> 00:03:28.880]   You just hit record and just went on a few rants.
[00:03:28.880 --> 00:03:31.160]   I'm always here for a Stevie rant.
[00:03:31.160 --> 00:03:34.640]   Then you moved to Google, where you also
[00:03:34.640 --> 00:03:36.920]   had some interesting thoughts on just the overall Google
[00:03:36.920 --> 00:03:38.320]   culture versus Amazon.
[00:03:38.320 --> 00:03:40.720]   You joined Grab as head of Eng for a couple of years.
[00:03:40.720 --> 00:03:44.480]   I'm from Singapore, so I have actually personally
[00:03:44.480 --> 00:03:46.560]   used a lot of Grab's features.
[00:03:46.560 --> 00:03:48.280]   And it was very interesting to see
[00:03:48.280 --> 00:03:50.800]   you talk so highly of Grab's engineering
[00:03:50.800 --> 00:03:53.320]   and overall prospects, because--
[00:03:53.320 --> 00:03:55.320]   Because as a customer, it sucked.
[00:03:55.320 --> 00:03:57.080]   No, it's just like--
[00:03:57.080 --> 00:03:59.400]   no, well, being from a smaller country,
[00:03:59.400 --> 00:04:02.760]   you never see anyone from our home country
[00:04:02.760 --> 00:04:04.560]   being on a global stage or talked
[00:04:04.560 --> 00:04:08.880]   about as a good startup that people admire or look up
[00:04:08.880 --> 00:04:14.520]   to, on the league that you, with all your legendary experience,
[00:04:14.520 --> 00:04:16.760]   would consider equivalent.
[00:04:16.760 --> 00:04:18.440]   Yeah, no, absolutely.
[00:04:18.440 --> 00:04:21.320]   They actually didn't even know that they were as good
[00:04:21.320 --> 00:04:22.600]   as they were, in a sense.
[00:04:22.600 --> 00:04:25.360]   They started hiring a bunch of people from Silicon Valley
[00:04:25.360 --> 00:04:26.680]   to come in and fix it.
[00:04:26.680 --> 00:04:28.880]   And we came in and we were like, oh, we
[00:04:28.880 --> 00:04:30.360]   could have been a little better, operational excellence
[00:04:30.360 --> 00:04:31.080]   and stuff.
[00:04:31.080 --> 00:04:32.680]   But by and large, they're really sharp.
[00:04:32.680 --> 00:04:37.160]   And the only thing about Grab is that they get criticized a lot
[00:04:37.160 --> 00:04:39.320]   for being too Westernized.
[00:04:39.320 --> 00:04:41.240]   Oh, by who?
[00:04:41.240 --> 00:04:44.400]   By Singaporeans who don't want to work there.
[00:04:44.400 --> 00:04:47.800]   OK, well, I guess I'm biased because I'm here,
[00:04:47.800 --> 00:04:51.920]   but I don't see that as a problem.
[00:04:51.920 --> 00:04:54.520]   And if anything, they've had their success
[00:04:54.520 --> 00:04:56.760]   because they were more Westernized than the Sanders
[00:04:56.760 --> 00:04:57.880]   Singaporean tech company.
[00:04:57.880 --> 00:05:01.240]   I mean, they had their success because they are laser-focused.
[00:05:01.240 --> 00:05:02.960]   They copy to Amazon.
[00:05:02.960 --> 00:05:07.080]   I mean, they're executing really, really, really well.
[00:05:07.080 --> 00:05:08.480]   For a giant--
[00:05:08.480 --> 00:05:11.880]   I was on a Slack with 2,500 engineers.
[00:05:11.880 --> 00:05:14.160]   It was like this giant waterfall that you
[00:05:14.160 --> 00:05:15.200]   could dip your toe into.
[00:05:15.200 --> 00:05:16.640]   You'd never catch up with them.
[00:05:16.640 --> 00:05:18.160]   Actually, the AI summarizers would
[00:05:18.160 --> 00:05:21.200]   have been really helpful there.
[00:05:21.200 --> 00:05:23.200]   But yeah, no, I think Grab is successful
[00:05:23.200 --> 00:05:25.880]   because they're just out there with their sleeves rolled up,
[00:05:25.880 --> 00:05:27.360]   just making it happen.
[00:05:27.360 --> 00:05:27.920]   Yeah.
[00:05:27.920 --> 00:05:29.320]   And for those who don't know, it's
[00:05:29.320 --> 00:05:31.160]   not just like Uber of Southeast Asia.
[00:05:31.160 --> 00:05:33.000]   It's also a super app.
[00:05:33.000 --> 00:05:35.400]   PayPal plus.
[00:05:35.400 --> 00:05:38.000]   Yeah, in the way that super apps don't exist in the West.
[00:05:38.000 --> 00:05:40.840]   It's one of the greatest mysteries, enduring mysteries
[00:05:40.840 --> 00:05:42.820]   of B2C, that super apps work in the East
[00:05:42.820 --> 00:05:43.960]   and don't work in the West.
[00:05:43.960 --> 00:05:44.840]   Don't understand it.
[00:05:44.840 --> 00:05:46.760]   Yeah, it's just kind of curious.
[00:05:46.760 --> 00:05:48.160]   They didn't work in India either.
[00:05:48.160 --> 00:05:50.200]   And it was primarily because of bandwidth reasons
[00:05:50.200 --> 00:05:51.920]   and smaller phones.
[00:05:51.920 --> 00:05:53.320]   That should change now.
[00:05:53.320 --> 00:05:53.840]   Should.
[00:05:53.840 --> 00:05:55.360]   And maybe we'll see a super app here.
[00:05:55.360 --> 00:05:55.920]   Yeah.
[00:05:55.920 --> 00:05:56.840]   Yeah.
[00:05:56.840 --> 00:05:59.200]   You worked on-- you retired-ish?
[00:05:59.200 --> 00:06:00.200]   I did, yeah.
[00:06:00.200 --> 00:06:02.960]   You worked on your own video game.
[00:06:02.960 --> 00:06:04.760]   Which-- any fun stories about that?
[00:06:04.760 --> 00:06:07.160]   Any-- I think-- and that's also where you discover some need
[00:06:07.160 --> 00:06:09.000]   for code search, right?
[00:06:09.000 --> 00:06:09.840]   Yeah.
[00:06:09.840 --> 00:06:11.320]   Sure, a need for a lot of stuff.
[00:06:11.360 --> 00:06:14.040]   Better programming languages, better databases,
[00:06:14.040 --> 00:06:15.000]   better everything.
[00:06:15.000 --> 00:06:19.480]   I mean, I started in '95, where there was kind of nothing.
[00:06:19.480 --> 00:06:20.200]   Yeah.
[00:06:20.200 --> 00:06:21.400]   I just want to say, I remember when
[00:06:21.400 --> 00:06:23.640]   you first went to Grab, because you wrote that blog post,
[00:06:23.640 --> 00:06:25.480]   talking about why you were excited about it,
[00:06:25.480 --> 00:06:27.440]   about the expanding Asian market.
[00:06:27.440 --> 00:06:29.160]   And our reaction was like, oh, man.
[00:06:29.160 --> 00:06:32.000]   Why didn't-- how did we miss stealing it?
