
[00:00:00.000 --> 00:00:01.000]   SRABH SINGH:
[00:00:01.000 --> 00:00:14.100]   Cool.
[00:00:14.100 --> 00:00:17.020]   I'd originally titled this talk,
[00:00:17.020 --> 00:00:20.320]   "Connect real-time data to your AI," et cetera, et cetera.
[00:00:20.320 --> 00:00:21.960]   But really, it's more existential, right?
[00:00:21.960 --> 00:00:24.080]   The AI overlords are coming for us.
[00:00:24.080 --> 00:00:27.400]   And to help them be good rulers, to help us,
[00:00:27.400 --> 00:00:29.960]   let's just give them the data they need
[00:00:29.960 --> 00:00:33.880]   so that they can do a good job, right?
[00:00:33.880 --> 00:00:35.820]   Hopefully, this talk is going to be the simplest talk
[00:00:35.820 --> 00:00:37.840]   that you heard at this conference.
[00:00:37.840 --> 00:00:40.560]   If it's not, I'll go back to using GPT-4 for coding
[00:00:40.560 --> 00:00:42.280]   instead of Sonnet.
[00:00:42.280 --> 00:00:48.640]   But the real pain that I have as I work with LLMs
[00:00:48.640 --> 00:00:52.840]   is that they can ride a flappy bird for me with my face going up
[00:00:52.840 --> 00:00:55.280]   and down in 30 seconds.
[00:00:55.280 --> 00:00:58.980]   But they can't talk to my data intelligently.
[00:00:58.980 --> 00:01:01.220]   It's really stupid.
[00:01:01.220 --> 00:01:07.160]   If I want to connect it to my calendar and I just
[00:01:07.160 --> 00:01:11.040]   want to say, how many one-on-ones did I have last week?
[00:01:11.040 --> 00:01:15.500]   What's a good number to have with my team given their roles?
[00:01:15.500 --> 00:01:19.800]   Help me stagger them better and plan it out.
[00:01:19.800 --> 00:01:23.260]   I want to connect it to my sales force and say, why is this deal
[00:01:23.260 --> 00:01:25.160]   with Acme stuck in stage three?
[00:01:25.160 --> 00:01:26.600]   And I needed to do the right thing.
[00:01:26.600 --> 00:01:30.100]   I needed to figure out the things between stage two and stage three
[00:01:30.100 --> 00:01:34.300]   in my sales pipeline and tell me why that particular deal is blocked.
[00:01:34.300 --> 00:01:37.140]   I wanted to connect to my tickets and my product data and say,
[00:01:37.140 --> 00:01:39.060]   is this ticket from an enterprise customer?
[00:01:39.060 --> 00:01:40.680]   What's the name of their project?
[00:01:40.680 --> 00:01:48.380]   Can you tell me what the status of that project is and what part of the product funnel this project is in?
[00:01:48.380 --> 00:01:52.080]   I went to Amazon today in the morning and they have this Rufus thing.
[00:01:52.080 --> 00:01:54.580]   And I was like, OK, cool.
[00:01:54.580 --> 00:01:58.080]   Is this product - I'm going to tell you what that product is in a second -
[00:01:58.080 --> 00:02:03.080]   but is this product available for one-day delivery at my Harrison Street address?
[00:02:03.080 --> 00:02:07.780]   And just doesn't - like, what is this, right?
[00:02:07.780 --> 00:02:09.480]   Like, it's right here.
[00:02:09.480 --> 00:02:11.080]   Just do it.
[00:02:11.080 --> 00:02:12.780]   And it doesn't work.
[00:02:12.780 --> 00:02:15.080]   And you all know why it doesn't work, right?
[00:02:15.080 --> 00:02:18.180]   There's like a death by a thousand cuts and it's not secure,
