
[00:00:00.000 --> 00:00:09.820]   All right, welcome to lesson six where we're going to do a deep dive into computer vision,
[00:00:09.820 --> 00:00:18.040]   convolutional neural networks, what is a convolution, and we're also going to learn the final regularization
[00:00:18.040 --> 00:00:27.520]   tricks after last lesson learning about weight decay and slash L2 regularization.
[00:00:27.520 --> 00:00:35.960]   I want to start by showing you something that I'm really excited about and I've had a small hand in helping to create.
[00:00:35.960 --> 00:00:44.440]   For those of you that saw my talk on TED.com, you might have noticed this really interesting demo that we did about four
[00:00:44.440 --> 00:00:52.160]   years ago showing a way to quickly build models with unlabeled data.
[00:00:52.160 --> 00:00:59.000]   It's been four years, but we're finally at a point where we're ready to put this out in the world and let people use it.
[00:00:59.000 --> 00:01:04.160]   And the first people we're going to let use it are you folks.
[00:01:04.160 --> 00:01:06.080]   So the company is called platform.
[00:01:06.080 --> 00:01:14.520]   I and the reason I'm mentioning it here is that it's going to let you create models on different types of data sets to what you can do now.
[00:01:14.520 --> 00:01:18.400]   That is to say data sets that you don't have labels for yet.
[00:01:18.400 --> 00:01:20.760]   We're actually going to help you label them.
[00:01:20.760 --> 00:01:23.720]   So this is the first time.
[00:01:23.720 --> 00:01:28.120]   This has been shown before.
[00:01:28.120 --> 00:01:33.000]   So I'm pretty thrilled about it.
[00:01:33.000 --> 00:01:39.560]   And let me give you a quick demo when you so if you go to platform.
[00:01:39.560 --> 00:01:44.280]   I and choose get started.
[00:01:44.280 --> 00:01:48.240]   You'll be able to create a new project and if you create a new project,
[00:01:48.240 --> 00:01:52.240]   you can either upload your own images.
[00:01:52.240 --> 00:01:55.400]   Uploading at 500 or so works pretty well.
[00:01:55.400 --> 00:01:57.040]   You can upload a few thousand,
[00:01:57.040 --> 00:02:03.600]   but to start upload 500 or so they all have to be in a single folder.
[00:02:03.600 --> 00:02:07.680]   And so we're assuming that you've got a whole bunch of images that you haven't got any labels for.
[00:02:07.680 --> 00:02:11.080]   Or you can start with one of the existing collections if you want to play around.
[00:02:11.080 --> 00:02:17.640]   So I've started with the cars collection kind of going back to what we did four years ago.
[00:02:17.640 --> 00:02:21.840]   And so this is what happens when you first.
[00:02:21.840 --> 00:02:29.840]   Go into platform AI and look at the collection of images you uploaded a random sample of them will appear on the screen.
[00:02:29.840 --> 00:02:34.920]   And as you'll recognize probably they are projected.
[00:02:34.920 --> 00:02:41.000]   From a deep learning space into a 2D space using a pre-trained model.
[00:02:41.000 --> 00:02:49.720]   And for this initial version, it's an image net model we're using as things move along will be adding more and more pre-trained models.
[00:02:49.720 --> 00:02:58.200]   And what I'm going to do is I want to add labels to this data set representing which angle a photo of the car was taken from,
[00:02:58.200 --> 00:03:03.080]   which is something that actually image that's going to be really bad at isn't it?
[00:03:03.080 --> 00:03:13.400]   Because image net has learned to recognize the difference between cars versus bicycles and image net knows that the angle you take a photo on actually doesn't matter.
[00:03:13.400 --> 00:03:20.560]   So we want to try and create labels using the kind of thing that actually image net specifically learn to ignore.
[00:03:20.560 --> 00:03:31.440]   So the projection that you see we can click these layer buttons at the top to switch to user projection using a different layer of the neural net.
[00:03:31.440 --> 00:03:41.760]   Right and so here's the last layer which is going to be a total waste of time for us because it's really going to be projecting things based on what kind of thing it thinks it is.
[00:03:41.760 --> 00:03:49.040]   And the first player is probably going to be a waste of time for us as well because there's very little interesting semantic content there.
[00:03:49.040 --> 00:03:56.240]   But if I go into the middle in layer three, we may well be able to find some some some differences there.
[00:03:56.240 --> 00:04:08.840]   So then what you can do is you can click on the projection button here and you can actually just press up and down rather than just pressing the other arrows at the top to switch between projections or left and right switch between layers.
[00:04:08.840 --> 00:04:18.040]   And what you can do is you can basically look around until you notice that there's a projection which is kind of separated out things you're interested in.
[00:04:18.040 --> 00:04:34.600]   And so this one actually I notice that it's got a whole bunch of cars that are kind of from the top front front right over here.
[00:04:34.600 --> 00:04:39.560]   OK, so if we zoom in a little bit, we can double check because like, yeah, that looks pretty good.
[00:04:39.560 --> 00:04:46.800]   They're all kind of front right. So we can click on here to go to selection mode and we can kind of grab a few.
[00:04:46.800 --> 00:04:53.200]   And then you should check. And so what we're doing here is we're trying to take advantage of the combination of human plus machine.
[00:04:53.200 --> 00:05:01.800]   The machine is pretty good at quickly doing calculations, but as a human, I'm pretty good at looking at a lot of things at once and seeing the odd one out.
[00:05:01.800 --> 00:05:07.320]   So in this case, I'm looking for cars that aren't front right. And so by laying them all in front of me, I can do that really quickly.
[00:05:07.320 --> 00:05:13.640]   It's like, OK, definitely that one. So just click on the ones that you don't want.
[00:05:13.640 --> 00:05:23.640]   All right, so good. So then you can just go back. And so then what you can do is you can either put them into a new category by typing create new label or you can click on one of the existing ones.
[00:05:23.640 --> 00:05:29.120]   So before I came, I just created a few. So here's front right. So I just click on it here.
[00:05:29.120 --> 00:05:39.520]   There we go. OK, and so that's the basic idea is that you kind of keep flicking through different layers or projections to try and find groups that represent the things you're interested in.
[00:05:39.520 --> 00:05:45.240]   And then over time, you'll start to realize that there are some things that are a little bit harder.
[00:05:45.240 --> 00:05:51.840]   So, for example, I'm having trouble finding sides. So what I can do is I can see over here, there's a few sides.
[00:05:51.840 --> 00:06:00.880]   So I can zoom in here and click on a couple of them like this one and this one.
[00:06:00.880 --> 00:06:06.840]   That one. OK, I mean, I'll say find similar.
[00:06:06.840 --> 00:06:14.680]   And so this is going to basically look in that that projection space and not just at the images that are currently displayed,
[00:06:14.680 --> 00:06:22.800]   but all of the images that you uploaded. And hopefully I might be able to label now a few more side images at that point.
[00:06:22.800 --> 00:06:35.760]   So it's going through and checking all of the images that you uploaded to see if any of them have projections in this space which are similar to the ones I've selected.
[00:06:35.760 --> 00:06:43.280]   And hopefully we'll find a few more of what I'm interested in.
[00:06:43.280 --> 00:06:52.440]   OK, so now if I want to try to find a projection that separates the sides from the front right, I can click on each of those two.
[00:06:52.440 --> 00:06:57.840]   And then over here, this button is now called switch to the projection that maximizes the distance between the labels.
[00:06:57.840 --> 00:07:03.560]   So now what this is going to do is try and find the best projection that separates out those classes.
[00:07:03.560 --> 00:07:13.800]   And so the goal here is to help me visually inspect and quickly find a bunch of things that I can use to label.
[00:07:13.800 --> 00:07:18.200]   So like they're the kind of the key features and it's done a good job.
[00:07:18.200 --> 00:07:26.120]   You can see down here, we've now got a whole bunch of sides which I can now grab because I was having a lot of trouble finding them before.
[00:07:26.120 --> 00:07:31.760]   And it's always worth double checking.
[00:07:31.760 --> 00:07:38.440]   And it's kind of interesting to see how the neural nets behave like there seems to be more sports cars in this group than average as well.
[00:07:38.440 --> 00:07:42.720]   So it's kind of found side angles of sports cars. So that's kind of interesting.
[00:07:42.720 --> 00:07:47.920]   So then I can click. All right. So I've got those. So now I'll click side and there we go.
[00:07:47.920 --> 00:08:01.720]   So once you've done that a few times, I find if you've got, you know, a hundred or so labels, you can then click on the train model button and it'll take a couple of minutes and come back and show you your train model.
[00:08:01.720 --> 00:08:14.120]   And after it's trained, which I did it on a smaller number of labels earlier, you can then switch this very opacity button and it'll actually kind of fade out the ones that are already predicted pretty well.
[00:08:14.120 --> 00:08:19.240]   And it'll also give you an estimate as to how accurate it thinks the model is.
[00:08:19.240 --> 00:08:26.640]   The main reason I mentioned this for you is that so that you can now click the download button and it'll download the predictions.
[00:08:26.640 --> 00:08:33.640]   Which is what we hope will be interesting to most people. But what I think will be interesting to you as deep learning students is it will download your labels.
[00:08:33.640 --> 00:08:47.160]   So now you can use that labeled subset of data along with the unlabeled set that you haven't labeled yet to see if you can, you know, see if you can build a better model and platform AI is done for you.
[00:08:47.160 --> 00:08:55.400]   See if you can use that initial set of data to kind of get going, creating models of stuff which you weren't able to label before.
[00:08:55.400 --> 00:09:02.040]   Clearly, there are some things that this system is better than others for things that require.
[00:09:02.040 --> 00:09:06.440]   You know, really zooming in closely and taking a very, very close inspection.
[00:09:06.440 --> 00:09:12.880]   This isn't going to work very well. This is really designed for things that the human eye can kind of pick up fairly readily.
[00:09:12.880 --> 00:09:19.240]   But we'd love to get feedback as well, and you can click on the help button to get feedback and give feedback.
[00:09:19.240 --> 00:09:27.840]   And also, there's a platform AI discussion topic in our forum. So, Arshak, if you can stand up, Arshak's the CEO of the company.
[00:09:27.840 --> 00:09:33.440]   He'll be there helping out answering questions and so forth.
[00:09:33.440 --> 00:09:47.480]   So, yeah, I hope people find that useful. It's been many years getting to this point and I'm glad we're finally there.
[00:09:47.480 --> 00:09:56.160]   OK, so one of the reasons I wanted to mention this today is that we're going to be doing a big dive into convolutions later in this lesson.
[00:09:56.160 --> 00:10:04.160]   So I'm going to circle back to this to try and explain a little bit more about how that is working under the hood and give you a kind of a sense of what's what's going on.
[00:10:04.160 --> 00:10:10.280]   But before we do, we have to finish off last week's discussion of regularization.
[00:10:10.280 --> 00:10:19.600]   And so we were talking about regularization specifically in the context of the Tabular Learner because the Tabular Learner, this was the forward method.
[00:10:19.600 --> 00:10:26.920]   Sorry, this is the init method in the Tabular Learner. And our goal was to understand everything here.
[00:10:26.920 --> 00:10:38.440]   And we're not quite there yet. Last week, we were looking at the adult dataset, which is a really simple kind of oversimple dataset that's just for toy purposes.
[00:10:38.440 --> 00:10:43.040]   So this week, let's look at a dataset that's much more interesting, a Kaggle competition dataset.
[00:10:43.040 --> 00:10:51.880]   So we know kind of what the best in the world and Kaggle competition results tend to be much harder to beat than academics data.
[00:10:51.880 --> 00:10:57.320]   The art results tend to be because a lot more people work on Kaggle competitions than most academic datasets.
[00:10:57.320 --> 00:11:01.880]   So it's a really good challenge to try and do well on a Kaggle competition dataset.
[00:11:01.880 --> 00:11:15.720]   So this one, the Rossman dataset, they've got 3000 drugstores in Europe and you're trying to predict how many products they're going to sell in the next couple of weeks.
[00:11:15.720 --> 00:11:25.600]   So one of the interesting things about this is that the test set for this is from a time period that is more recent than the training set.
[00:11:25.600 --> 00:11:30.480]   And this is really common, right? If you want to predict things, there's no point predicting things that are in the middle of your training set.
[00:11:30.480 --> 00:11:34.440]   You want to predict things in the future.
[00:11:34.440 --> 00:11:40.640]   Another interesting thing about it is the evaluation metric they provided is the root mean squared percent error.
[00:11:40.640 --> 00:11:46.360]   So this is just a normal root mean squared error, except we go actual minus prediction divided by actual.
[00:11:46.360 --> 00:11:52.000]   So in other words, it's the percent error that we're taking the root mean squared of.
[00:11:52.000 --> 00:11:56.400]   So there's a couple of interesting features, always interesting to look at the leaderboard.
[00:11:56.400 --> 00:12:00.760]   So the leaderboard, the winner, was 0.1.
[00:12:00.760 --> 00:12:16.480]   The paper that we've roughly replicated was 0.105, 0.106, and tenth place out of 3000 was 0.11-ish, a bit less.
[00:12:16.480 --> 00:12:23.360]   All right. So we're going to skip over a little bit,
[00:12:23.360 --> 00:12:30.480]   which is that the data that was provided here was they provided a small number of files,
[00:12:30.480 --> 00:12:37.840]   but they also let competitors provide additional external data as long as they shared it with all the competitors.
[00:12:37.840 --> 00:12:44.520]   And so in practice, the data set we're going to use contains, I can't remember, six or seven tables.
[00:12:44.520 --> 00:12:50.560]   The way that you join tables and stuff isn't really part of a deep learning course, so I'm going to skip over it.
[00:12:50.560 --> 00:12:54.280]   And instead, I'm going to refer you to introduction to machine learning for coders,
[00:12:54.280 --> 00:12:58.960]   which will take you step by step through the data preparation for this.
[00:12:58.960 --> 00:13:10.720]   We've provided it for you in Rossman Data Clean, so you'll see the whole process there.
[00:13:10.720 --> 00:13:17.600]   And so you'll need to run through that notebook to create these pickle files that we read here.
[00:13:17.600 --> 00:13:22.840]   Can you see this in the back? OK, great.
[00:13:22.840 --> 00:13:29.280]   I just want to mention one particularly interesting part of the Rossman Data Clean notebook,
[00:13:29.280 --> 00:13:34.520]   which is you'll see there's something that says add date part, and I wanted to explain what's going on here.
[00:13:34.520 --> 00:13:38.000]   I've been mentioning for a while that we're going to look at time series,
[00:13:38.000 --> 00:13:43.600]   and pretty much everybody who I've spoken to about it has assumed that I'm going to do some kind of recurrent neural network.
[00:13:43.600 --> 00:13:51.360]   But I'm not. Interestingly, the kind of the main academic group that studies time series is econometrics.
[00:13:51.360 --> 00:13:54.800]   And but they tend to study one very specific kind of time series,
[00:13:54.800 --> 00:14:00.800]   which is where the only data you have is a sequence of time points of one thing.
