
[00:00:00.000 --> 00:00:04.000]   [Music]
[00:00:04.000 --> 00:00:09.000]   Well, it's no secret that God has designed this world and he has designed us
[00:00:09.000 --> 00:00:14.000]   that we can improve as we listen to the criticism of others.
[00:00:14.000 --> 00:00:19.000]   Just look at the theme of rebuke in the book of Proverbs for one example.
[00:00:19.000 --> 00:00:22.000]   Rebuke is essential to our lives, clearly.
[00:00:22.000 --> 00:00:26.000]   But receiving critique from others means overcoming the fear of criticism.
[00:00:26.000 --> 00:00:30.000]   It means overcoming the condemnation of criticism.
[00:00:30.000 --> 00:00:34.000]   It means discerning the truthfulness of criticism.
[00:00:34.000 --> 00:00:39.000]   Knowing how to benefit from criticism requires a high degree of skill,
[00:00:39.000 --> 00:00:43.000]   skills that every Christian needs to develop.
[00:00:43.000 --> 00:00:47.000]   And that leads us to today's question from an anonymous young woman who lives in Munich, Germany.
[00:00:47.000 --> 00:00:51.000]   She wants to overcome her fear of others. Here's what she writes.
[00:00:51.000 --> 00:00:56.000]   Pastor John, thank you for this outlet to ask my question. I'll get right to it.
[00:00:56.000 --> 00:01:00.000]   I think too much about what people think of me.
[00:01:00.000 --> 00:01:04.000]   In particular, when people criticize me, I really take it to heart.
[00:01:04.000 --> 00:01:07.000]   I know I should focus on Jesus, but I fail.
[00:01:07.000 --> 00:01:11.000]   Sometimes I cannot sleep as I think about what people have said about me.
[00:01:11.000 --> 00:01:17.000]   It is worst at work. I really take my office job to heart and cannot deal with it
[00:01:17.000 --> 00:01:20.000]   when my boss criticizes anything about what I do.
[00:01:20.000 --> 00:01:25.000]   I might look cool and stay calm and polite, but I wilt inside.
[00:01:25.000 --> 00:01:29.000]   What can I do to overcome this feeling of hurt?
[00:01:29.000 --> 00:01:33.000]   How can I focus on Jesus instead of myself?
[00:01:33.000 --> 00:01:40.000]   Sometimes it helps in a situation like this, I find, whether it's in myself or others,
[00:01:40.000 --> 00:01:44.000]   to break the problem down into parts.
[00:01:44.000 --> 00:01:46.000]   So let's try to do that.
[00:01:46.000 --> 00:02:00.000]   It seems to me that there are four kinds of criticism that our German friend might get at any given time.
[00:02:00.000 --> 00:02:08.000]   First, there is criticism that is deserved and is given in kindness and goodwill.
[00:02:08.000 --> 00:02:17.000]   Second, there is criticism that is deserved and is given in harsh and demeaning ways.
[00:02:17.000 --> 00:02:25.000]   Third, there's criticism that is not deserved and is given in kindness and goodwill.
[00:02:25.000 --> 00:02:28.000]   It's a real mistake. It's an honest mistake.
[00:02:28.000 --> 00:02:38.000]   And fourth, there is criticism that is undeserved and is given in harsh and demeaning ways
[00:02:38.000 --> 00:02:42.000]   and may have real ill will behind it.
[00:02:42.000 --> 00:02:47.000]   Now, we could break it down further. Those aren't the only categories.
[00:02:47.000 --> 00:02:53.000]   I mean, it makes a difference whether the person who speaks in a harsh and demeaning way
[00:02:53.000 --> 00:02:58.000]   does that because he or she really wants to hurt you, that's really abusive,
[00:02:58.000 --> 00:03:06.000]   or there may be extenuating circumstances like a bad day at home or personality issues
[00:03:06.000 --> 00:03:11.000]   and the harsh person doesn't really mean to hurt you at all.
[00:03:11.000 --> 00:03:17.000]   But let's keep it simple for now. We'll just stay with these four categories of criticism.
[00:03:17.000 --> 00:03:24.000]   The first suggestion is simply that our friend think about these categories
[00:03:24.000 --> 00:03:30.000]   and not just about her own hurt feelings.
[00:03:30.000 --> 00:03:40.000]   And I'm not suggesting that if the criticism she gets is deserved or delivered with kindness,
[00:03:40.000 --> 00:03:42.000]   that it doesn't hurt.
