
[00:00:00.600 --> 00:00:01.560]   Guess what's back?
[00:00:01.560 --> 00:00:19.900]   Let's see if I still have my timing.
[00:00:19.900 --> 00:00:22.740]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge,
[00:00:22.740 --> 00:00:27.020]   skills, insight, and encouragement you need to live a rich and meaningful life now while
[00:00:27.020 --> 00:00:29.280]   building a plan for financial freedom in 10 years or less.
[00:00:29.280 --> 00:00:30.560]   My name is Joshua Sheets.
[00:00:30.560 --> 00:00:31.520]   I am your host.
[00:00:31.520 --> 00:00:37.880]   And on today's podcast, I guess I'll tell you the story of what happened to the music.
[00:00:37.880 --> 00:00:43.300]   And I'll also tell you about the importance of phases and stages in life.
[00:00:43.300 --> 00:00:52.640]   I was recently shamed by a listener.
[00:00:52.640 --> 00:00:53.920]   That's not right.
[00:00:53.920 --> 00:00:56.020]   The listener said, Joshua, I really miss the music.
[00:00:56.020 --> 00:00:59.060]   And I made another effort after a long saga.
[00:00:59.060 --> 00:01:02.240]   I went with the missing music to go and find the file.
[00:01:02.240 --> 00:01:05.640]   The reality of why the music has been away for a while.
[00:01:05.640 --> 00:01:10.580]   And for new listeners who may not know, this is the song that I used to introduce
[00:01:10.580 --> 00:01:14.060]   probably 600 episodes of Radical Personal Finance, something like that.
[00:01:14.060 --> 00:01:18.820]   And what happened was that over the years, I had bought this piece of music.
[00:01:18.820 --> 00:01:22.340]   And I had several backup files from when I first bought it.
[00:01:22.340 --> 00:01:26.400]   And I would put it on my devices and use it as kind of the intro music, etc.
[00:01:26.400 --> 00:01:28.760]   And then at one point in time,
[00:01:28.760 --> 00:01:34.640]   I had swapped out various devices and I had wiped the card and I went to go put it back
[00:01:34.640 --> 00:01:36.380]   on the device and it disappeared from a computer.
[00:01:36.380 --> 00:01:39.580]   To this day, I don't know how it disappeared because I had so many copies of it.
[00:01:39.580 --> 00:01:41.060]   I had it stored in various formats.
[00:01:41.060 --> 00:01:43.500]   It's a mystery to me of where it disappeared to.
[00:01:43.500 --> 00:01:45.140]   But I searched and searched, couldn't find it.
[00:01:45.140 --> 00:01:45.940]   So I said, no problem.
[00:01:45.940 --> 00:01:48.320]   I'll just go and get it off of my backup hard drive.
[00:01:48.320 --> 00:01:54.740]   Well, lo and behold, my backup hard drive was inaccessible to me because I made myself
[00:01:54.740 --> 00:01:58.280]   a beautiful, enormous, fancy password that then...
[00:01:58.280 --> 00:01:59.560]   Then I forgot.
[00:01:59.560 --> 00:02:01.760]   And I didn't write it down.
[00:02:01.760 --> 00:02:04.320]   Stupid security issues and whatnot.
[00:02:04.320 --> 00:02:06.080]   So I lost access to that hard drive.
[00:02:06.080 --> 00:02:10.160]   And of course, it was quintuple encrypted and inaccessible, etc.
[00:02:10.160 --> 00:02:12.740]   So no problem.
[00:02:12.740 --> 00:02:14.260]   I'll just get it off of another hard drive.
[00:02:14.260 --> 00:02:17.200]   Well, the problem is all the other backup hard drives were in another country.
[00:02:17.200 --> 00:02:18.740]   So I don't even have them.
[00:02:18.740 --> 00:02:20.460]   So I just didn't have it, didn't have it.
[00:02:20.460 --> 00:02:24.300]   And I thought, well, I'll just go to the website where I got it originally, which is danosongs.com.
[00:02:24.300 --> 00:02:28.240]   But Dano, of course, has every song on the website.
[00:02:28.240 --> 00:02:29.980]   Except for my song.
[00:02:29.980 --> 00:02:33.480]   So I wrote to him and I said, can I have a copy of it?
[00:02:33.480 --> 00:02:34.360]   Didn't hear back.
[00:02:34.360 --> 00:02:35.480]   And no problem.
[00:02:35.480 --> 00:02:35.960]   Well, fine.
[00:02:35.960 --> 00:02:36.700]   I just couldn't...
[00:02:36.700 --> 00:02:37.240]   Didn't find it.
[00:02:37.240 --> 00:02:42.800]   Well, anyway, after the listener saying that I really like the song and I miss it, I made
[00:02:42.800 --> 00:02:45.280]   another effort and I have found the song again.
[00:02:45.280 --> 00:02:47.720]   I don't have a high fidelity version of it, unfortunately.
[00:02:47.720 --> 00:02:53.260]   So it's a little bit muddy and not quite as crisp as the original beautiful Dano songs
[00:02:53.260 --> 00:02:55.320]   version, but that's okay.
[00:02:55.320 --> 00:02:56.680]   I'm glad to have it back.
[00:02:56.680 --> 00:02:57.640]   And I will play it.
[00:02:57.700 --> 00:02:58.920]   I'll play it from time to time.
[00:02:58.920 --> 00:03:03.840]   Part of the reason I stopped playing it was just out of a desire to get to the point.
[00:03:03.840 --> 00:03:07.820]   I think with any kind of audio or any kind of video, et cetera, you need to get to the
[00:03:07.820 --> 00:03:08.000]   point.
[00:03:08.000 --> 00:03:12.360]   You have a little bit more time with a podcast, especially a long running podcast, but still
[00:03:12.360 --> 00:03:13.100]   got to get to the point.
[00:03:13.100 --> 00:03:17.380]   And so having a less than 10 second intro is a good way of getting to the point.
[00:03:17.380 --> 00:03:21.180]   And even if I do an ad or something at the beginning, I generally within 45 to 60 seconds,
[00:03:21.180 --> 00:03:22.780]   I'm right into the meat of the content.
[00:03:22.780 --> 00:03:27.500]   And in line with that, let's move into the point of today's show.
[00:03:27.660 --> 00:03:32.660]   On today's podcast, I want to talk to you about the phases of life.
[00:03:32.660 --> 00:03:36.740]   And I'm going to do this in the context of talking about it with regard to marriage.
[00:03:36.740 --> 00:03:40.500]   But this is something that's applicable to those who are married, who have children and
[00:03:40.500 --> 00:03:42.840]   those who do not and are not.
[00:03:42.840 --> 00:03:49.160]   Because this is something that is a lot easier for married people with children to look forward
[00:03:49.160 --> 00:03:56.840]   to, but it is something that is vital for the unmarried to also integrate into their
[00:03:56.840 --> 00:03:57.640]   life.
[00:03:57.640 --> 00:04:03.320]   And so I want to share with you why I'm talking about this first.
[00:04:03.320 --> 00:04:08.640]   As I introduced in a podcast last week, I want to talk about marriage because marriage
[00:04:08.640 --> 00:04:10.600]   is core to finance.
[00:04:10.600 --> 00:04:16.660]   I want to tackle a whole slew of financial related questions and issues related to marriage,
[00:04:16.660 --> 00:04:20.780]   how to get a great deal on an engagement ring and how much money you should spend on it,
[00:04:20.780 --> 00:04:22.400]   how you should spend on a wedding, et cetera.
[00:04:22.400 --> 00:04:27.620]   But when you think about the topic of marriage, what you will see is that in the first place,
