
[00:00:00.000 --> 00:00:29.000]   [no sound]
[00:00:29.000 --> 00:00:32.000]   Hey everybody, can you guys hear me okay?
[00:00:32.000 --> 00:00:40.000]   [no sound]
[00:00:40.000 --> 00:00:44.000]   Excellent.
[00:00:44.000 --> 00:00:53.000]   Cool. So then today, welcome everybody. Today we're going to start with session four, and basically we're looking at chapter four.
[00:00:53.000 --> 00:01:12.000]   So last time we looked at chapter two, we finished chapter two and I'm skipping over the chapter three for now, it is the, it's based on ethics, but I'm skipping over chapter three, purely because to keep, purely because to keep the timelines intact and we want to cover the book in next 20-25 weeks.
[00:01:12.000 --> 00:01:27.000]   We will come back to chapter three though, which is on ethics, but today we'll be starting with computer vision, and we'll be looking at basically everything that will be, will be going deep under the hood and we'll be looking at stochastic gradient descent, we'll be looking at
[00:01:27.000 --> 00:01:31.000]   PyTorch tensors, and a lot more.
[00:01:31.000 --> 00:01:40.000]   So something really exciting is Parul is joining us today. Hey Parul.
[00:01:40.000 --> 00:01:42.000]   Hi Aman, how are you?
[00:01:42.000 --> 00:01:49.000]   Good thanks. I'm really excited to have you with us today. And thanks for joining. Thanks for finding the time.
[00:01:49.000 --> 00:01:57.000]   So everybody this is Parul Pandey, she has, I've been following her work for quite some time and I'm really excited that she's here with us today.
[00:01:57.000 --> 00:02:04.000]   I think I started following her work from Kaggle, but she does a lot more writing and she has her own personal blog.
[00:02:04.000 --> 00:02:12.000]   And she's going to be talking to us today about this report that we've already shared with everybody about building a compelling data science portfolio with writing.
[00:02:12.000 --> 00:02:25.000]   So she'll be our guest lecture, guest speaker for today and towards the end, similar as Tanish, she'll be presenting how you can, how everybody should continue with writing and how we can have a compelling data science career.
[00:02:25.000 --> 00:02:27.000]   So thanks for joining us Parul.
[00:02:27.000 --> 00:02:36.000]   Thanks Aman for having me and a big hi to everyone who's joining and good morning and evening and afternoon, depending upon the times on your end.
[00:02:36.000 --> 00:02:45.000]   I'm really excited to be here and I'll just like to catch up with you all at the end of the session and maybe even after that.
[00:02:45.000 --> 00:02:48.000]   And just like to share my two cents with you all.
[00:02:48.000 --> 00:02:57.000]   Even though I know all of you are doing great in your respective careers, but whatever I have gained over my experience, I love to share with you all. Thanks.
[00:02:57.000 --> 00:03:04.000]   Thanks Parul. I'm sure I'm going to benefit a lot from that experience. So thanks for doing this for us.
[00:03:04.000 --> 00:03:06.000]   Yeah, sure.
[00:03:06.000 --> 00:03:15.000]   Same as every Fastbook session this week, we're going to use the 1db.me/fastbook for URL. So if I go to that.
[00:03:15.000 --> 00:03:19.000]   Let me bring it up. This will take us to the report.
[00:03:19.000 --> 00:03:27.000]   As usual, post your questions
[00:03:27.000 --> 00:03:33.000]   at this URL. So I'll share this in chat. Oh, Angelica shared it with everybody. Thanks Angelica.
[00:03:33.000 --> 00:03:41.000]   So yes, if you go to this report, this is where we'll have, there's already a question but please instead of posting on the zoom chat please post them here.
[00:03:41.000 --> 00:03:58.000]   The only reason why I won't be monitoring the zoom chat is because we also live on YouTube and then it gets really hard to monitor zoom chat and YouTube chat and it's just better to have it all in one place.
[00:03:58.000 --> 00:04:04.000]   Cool. We've had a really, really exciting week, and I'm super excited how this week has turned out.
[00:04:04.000 --> 00:04:10.000]   You know, for everybody who participated in everybody who built their projects. Thanks for doing that.
[00:04:10.000 --> 00:04:24.000]   Sai Amrit, he's built his landscape classification, which can classify basically buildings, forest, glacier, mountain, sea and street. He's also, I tried it out, it really did work well.
[00:04:24.000 --> 00:04:29.000]   So thanks for building and hopefully you enjoyed the experience Sai.
[00:04:29.000 --> 00:04:44.000]   And Ravi, Ravi has been part of, he's been blogging I think almost every week now but he's also started his own personal blog which is over here so that he's sharing his reading notes on chapter two in fastbook.
[00:04:44.000 --> 00:04:48.000]   He's also built his own rock paper scissor classifier.
[00:04:48.000 --> 00:04:58.000]   And that, which I did try, which did look really fun I think just I was trying a bit of a rock images I think there was some.
[00:04:58.000 --> 00:05:07.000]   I think I, when I tried it there was some incorrect labels with the rocks but thanks for, thanks for trying this and hope you hope you did enjoy the journey.
[00:05:07.000 --> 00:05:13.000]   We've also had Vinayak, Vinayak's built a cartoon classifier which is really exciting to see.
[00:05:13.000 --> 00:05:24.000]   I'm not sure exactly on how many cartoons this can classify I was trying to find the answer but hopefully Vinayak you can post in the chat as to how many cartoons this can classify.
[00:05:24.000 --> 00:05:37.000]   And he's started his own personal blog, and he's been sharing his blog at bits and biases, or he's got his own blog, and the URLs of which I will post in that single report straight after this talk.
[00:05:37.000 --> 00:05:41.000]   And then finally we've had Brinda and we've had Rashmi, Brinda's builder.
[00:05:41.000 --> 00:05:45.000]   She's built a food classifier so this is again really exciting.
[00:05:45.000 --> 00:06:02.000]   It's a dosa and then you upload an image and then you can tell it look it's 99.6% sure that's a dosa which is really exciting to see Rashmi she's built a, she's built a yoga pose classifier I think there was some initial questions with Charles did help
[00:06:02.000 --> 00:06:12.000]   in the forums and slack. So really excited to see all these projects that are being done as part of the part of last week.
[00:06:12.000 --> 00:06:15.000]   And I'm even more excited for the forums being used.
[00:06:15.000 --> 00:06:31.000]   You know last week we sort of decided that we're going to have one central place to have all the discussions and all the questions. And it's really exciting to see that Korean he's he's gone in and I think I did have a slide on you as well Korean I can't.
[00:06:31.000 --> 00:06:44.000]   I can't find it but I think there was Korean has also shared his blog he's he's been sharing his learnings on Twitter, and he's he's also been asking the question and out so I'm really excited to see the questionnaire doubts being discussed.
[00:06:44.000 --> 00:06:51.000]   And I'm really excited to see people coming together when I coming in and probably coming in and answering those questions for him.
[00:06:51.000 --> 00:07:08.000]   So I think we need to discuss the questions a bit more I'm really, I feel that the questions on the question it was the end of each chapter aren't being discussed as much as I would hope them to be like there's only one or two couple people generally discussing
[00:07:08.000 --> 00:07:22.000]   the question so going forward let's make it a habit that we we discuss the questionnaire a lot more so if I ping everybody on slack that let's discuss the questionnaire I'll create a maybe a forum post and then we can discuss the questionnaires, but going forward let's let's spend
[00:07:22.000 --> 00:07:26.000]   more time discussing more questions.
[00:07:26.000 --> 00:07:27.000]   So that's that.
[00:07:27.000 --> 00:07:32.000]   With that being said, let's get started with.
[00:07:32.000 --> 00:07:52.000]   I do have a different setup today so I think if things go wrong or buggy. Bear with me.
[00:07:52.000 --> 00:08:07.000]   Alright, so today we're going to be looking at MNIST basics. It's called MNIST basics. So, what is MNIST.
[00:08:07.000 --> 00:08:14.000]   As I said, I do have a different setup today so things are going to be a bit harder for me today.
[00:08:14.000 --> 00:08:30.000]   So what is MNIST. MNIST is just a basic 10 digit classifier, it's considered a, it's considered basic because it's considered a very basic problem to solve so we're going to start with a really simple toy problem today, we're going to learn the idea is not to
[00:08:30.000 --> 00:08:44.000]   solve the problem in the best possible way but the idea is to learn the basics the idea is to learn everything that we need to know about, about computer vision and about what it takes, what is training and what does it mean to train a digit classifier and deep
[00:08:44.000 --> 00:08:51.000]   learning so we will slowly be digging down into more and more deep learning as part of this chapter.
[00:08:51.000 --> 00:08:55.000]   So as I said, we're going to be looking into.
[00:08:55.000 --> 00:09:02.000]   We're going to be looking under the hood, and we'll start by using computer vision as an example today.
[00:09:02.000 --> 00:09:20.000]   So, typically, I think to be able to run all these image classifiers or to be able to train a digit classifier, we need to be able to be comfortable with coding and then the two main libraries that most people use, or will you'll see being used on NumPy and
[00:09:20.000 --> 00:09:36.000]   NumPy are arrays and tensors. So if it's a NumPy array, basically arrays are more commonly referred to for the NumPy and tensors are more commonly referred to for PyTorch, but today we'll be looking at what they mean and how, how they help create it.
[00:09:36.000 --> 00:09:44.000]   How can we have all these arrays and tensors and how do they come into this big picture of training a digit classifier.
[00:09:44.000 --> 00:09:56.000]   So we've already looked at stochastic gradient descent briefly we know that it is some method that we can use to be able to, to be able to improve the model weights, so it can help increase the performance.
[00:09:56.000 --> 00:10:05.000]   But today we'll be looking at more deeply into the stochastic gradient descent. We'll also be looking at loss function and finally we'll be looking at many batches.
[00:10:05.000 --> 00:10:14.000]   So that's the basic. That's, that's, that's basically all that we'll be covering today's and that is all that there is in chapter four.
[00:10:14.000 --> 00:10:27.000]   So then, the first thing is the foundations of computer vision, I mean, the first thing we need to understand to be able to build an image classifier. The first thing that we need to be look at is that we need to understand how computers can handle images.
[00:10:27.000 --> 00:10:38.000]   So if this is say a JPEG image, then a computer wouldn't know that there's a man in it or there's a cat in it. All that a computer can see is zeros and ones are basically numbers.
[00:10:38.000 --> 00:10:44.000]   So then we need to be able to know how computers handle, how computers handles images.
[00:10:44.000 --> 00:10:50.000]   So that's where we'll start with today.
[00:10:50.000 --> 00:11:02.000]   And to keep things simple, the very first model that we're going to look into is we're going to classify a digit three or a seven. So we have basically, we have two sets of images.
[00:11:02.000 --> 00:11:10.000]   One set belongs to the digit three and the second set belongs to the digit seven. And we've already looked at untar data in the past.
[00:11:10.000 --> 00:11:20.000]   So all that untar data will do, if we say untar data and we pass in MNIST sample, then this will download these images for us.
[00:11:20.000 --> 00:11:33.000]   But yeah, basically we've looked at untar data. All it does is you pass in a URL, it will download that URL and it will unzip it or untar it and then it returns a path on where that data exists, basically.
[00:11:33.000 --> 00:11:43.000]   So if I go in a list, what's in that path, I can see there's a train folder. I can see there's a labels.csv and I can see there's a valid folder.
[00:11:43.000 --> 00:11:57.000]   And if I go in and if I look into what's in my training folder, I can see that there's a folder basically called three and there's a folder basically called seven, which just means that my training and validation images are separated by folder.
[00:11:57.000 --> 00:12:08.000]   This comes from here. Because all my training images are going to be in the train folder and all my valid images are going to be in the valid folder.
[00:12:08.000 --> 00:12:37.000]   So the next thing I can do is I can just go into this path train three and I can just list them. So if it is helpful, let me just also bring up the code.
[00:12:37.000 --> 00:13:01.000]   So as I said, when we go path untar data, it returns a path object. So that path object basically looks at this.
[00:13:01.000 --> 00:13:16.000]   In my computer, the one that I'm using, it says at this place, this is where you have this data set downloaded. So I could just use a bash command and I could say list whatever there is on this at this specific folder.
[00:13:16.000 --> 00:13:24.000]   So it says there's three things. There's a train folder, there's a valid folder and I could also say, okay, please tell me what's in the train folder.
[00:13:24.000 --> 00:13:34.000]   So in the train folder, you have two more folders. So you have a folder for three, for all the images that belong to three and then you have a folder for all the images that belong to seven.
[00:13:34.000 --> 00:13:49.000]   And then I could just finally say, okay, can you please tell me what's all there in this folder in basically MNIST sample train and then inside the folder for the images three. And you can see there's a long list of images.
[00:13:49.000 --> 00:13:59.000]   An easier way to check the folder structure is to use something called a tree command. So I could just say home.
[00:13:59.000 --> 00:14:07.000]   I could just pass in the path and I can say,
[00:14:07.000 --> 00:14:20.000]   passing in a D at the end, we'll just say only list the directories and don't list the exact file names. So you can see that this is how this folder structure looks like. There's two folders. One of them is a three. The second one is a, sorry, one of them is train.
[00:14:20.000 --> 00:14:35.000]   Second one is valid. In train, there's three and seven and in valid, there's also three and seven. So then basically the main thing to know is that our images, they are separated by folders.
[00:14:35.000 --> 00:14:48.000]   So then, yeah, I can just have a, I can get the parts of all my images that are in the three folder in threes. I can get all the parts of the folders of all the images that are in the seventh, basically in the folder seven, and then I can call it seven.
[00:14:48.000 --> 00:15:03.000]   And if I have a look at the parts and this is what this part looks like. There's all these image names, train/3/1000.png and all that. So you basically have six, one, three, one images that belong to digit three.
[00:15:03.000 --> 00:15:16.000]   And then if I want to sort of, if I want to visualize this, I can just say, okay, give me the first part. So what is this threes.one going to do?
[00:15:16.000 --> 00:15:26.000]   So if you have a look at threes and you go in and you have a look at the first, basically this element, it's the second element. The first one is indexed zero.
[00:15:26.000 --> 00:15:38.000]   But anyway, the idea is that it returns a part. So I can just say, please open that. That's what goes into this image three part. And I can just say, please open that as an image and then display it.
[00:15:38.000 --> 00:15:51.000]   So then we get this image being displayed. And something really, something that's new today that we're looking at today that's a bit new is this, is this basically we're using image.open.
[00:15:51.000 --> 00:16:02.000]   So image comes from PIL or PILO. It's the Python Imaging Library. It's the most standard library that you'll see for opening and basically manipulating images.
[00:16:02.000 --> 00:16:09.000]   You'll also see CV2 being used. You'll also see PyTorch image IO being used in the wild.
[00:16:09.000 --> 00:16:20.000]   But these are the three main ones that I kind of use in my day to day life. But definitely PILO is one of the easiest and the fast, basically just the easiest to get started with.
[00:16:20.000 --> 00:16:27.000]   And it's the one that you'll see being used majority of the time.
[00:16:27.000 --> 00:16:37.000]   So then next thing is right now, Jupyter can display this as an image, but maybe you want to train an image classifier that can classify digits three from seven.
[00:16:37.000 --> 00:16:45.000]   Then a computer doesn't know that this is how a three looks like. A computer doesn't know what seven looks like. In a computer, everything is represented as a number.
[00:16:45.000 --> 00:16:53.000]   So this is something. So then if you want to convert this image into a number, all we can do is we can just call and say array.
[00:16:53.000 --> 00:17:02.000]   What this array will do, it will convert this image three into a NumPy array. So this is just a NumPy array.
