
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.420]   - Did you actually, when you decided to leave,
[00:00:07.420 --> 00:00:09.440]   get Financial Samurai to a place
[00:00:09.440 --> 00:00:11.880]   that it was gonna replace your job?
[00:00:11.880 --> 00:00:13.400]   Or did you more just get it to a place
[00:00:13.400 --> 00:00:17.220]   that you saw an opportunity to do something different?
[00:00:17.220 --> 00:00:20.960]   - So my goal, first of all, was to save and invest
[00:00:20.960 --> 00:00:25.960]   at least 50% of my after-tax income every year until age 40.
[00:00:26.520 --> 00:00:30.360]   But I didn't last till age 40, I lasted till age 34.
[00:00:30.360 --> 00:00:32.600]   And the reason why was because I was able
[00:00:32.600 --> 00:00:34.360]   to negotiate a severance.
[00:00:34.360 --> 00:00:36.320]   Because during the global financial crisis,
[00:00:36.320 --> 00:00:38.240]   you know, talk about making lemonade,
[00:00:38.240 --> 00:00:40.100]   I saw many people get laid off,
[00:00:40.100 --> 00:00:41.560]   and some of them were my friends.
[00:00:41.560 --> 00:00:44.040]   So I asked them, "Hey, is everything okay?
[00:00:44.040 --> 00:00:45.240]   "Can I help you find a job?
[00:00:45.240 --> 00:00:46.620]   "Do you wanna interview with me?
[00:00:46.620 --> 00:00:48.160]   "You know, I'm still surviving."
[00:00:48.160 --> 00:00:50.420]   And a lot of them were thankful, and we tried.
[00:00:50.420 --> 00:00:52.080]   But I also asked them, "Are they okay?"
[00:00:52.080 --> 00:00:53.000]   And they said, "Yeah, I'm okay,
[00:00:53.000 --> 00:00:54.700]   "because I got a severance equal
[00:00:54.700 --> 00:00:57.000]   "to two to three weeks per year work,
[00:00:57.000 --> 00:00:59.080]   "two to three weeks worth of pay."
[00:00:59.080 --> 00:01:03.560]   And that was when I realized, oh, well, come 2012,
[00:01:03.560 --> 00:01:05.440]   I will have been at my previous firm,
[00:01:05.440 --> 00:01:07.920]   Credit Suisse, for 11 years.
[00:01:07.920 --> 00:01:11.080]   So if they gave me two to three weeks worth of severance,
[00:01:11.080 --> 00:01:14.560]   you know, that's 22 to 33 weeks,
[00:01:14.560 --> 00:01:17.840]   and if they could give me my deferred compensation,
[00:01:17.840 --> 00:01:19.400]   because I was an executive director then,
[00:01:19.400 --> 00:01:22.480]   and I had three years of deferred compensation
[00:01:22.480 --> 00:01:26.260]   in stock and cash, and a private investment
[00:01:26.260 --> 00:01:28.380]   that they made us buy in 2010,
[00:01:28.380 --> 00:01:31.420]   which were full of those, quote, toxic assets.
[00:01:31.420 --> 00:01:32.420]   If I could get that severance
