
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.380]   - Is there anything happening right now
[00:00:07.380 --> 00:00:10.100]   that you know about 'cause you're in the industry
[00:00:10.100 --> 00:00:12.380]   that maybe other people will hear about
[00:00:12.380 --> 00:00:15.180]   over the next few years, but would be good to know now?
[00:00:15.180 --> 00:00:19.140]   - Well, let's go through some of the scams that exist
[00:00:19.140 --> 00:00:21.940]   and sort of match them to what's going on.
[00:00:21.940 --> 00:00:23.740]   First of all, there are healthcare scams
[00:00:23.740 --> 00:00:25.940]   that have been going on for forever,
[00:00:25.940 --> 00:00:30.780]   but in particular, COVID was a petri dish for them
[00:00:30.780 --> 00:00:34.420]   and now monkey pox is becoming a problem as well.
[00:00:34.420 --> 00:00:37.820]   And that could be anything from updates,
[00:00:37.820 --> 00:00:42.460]   to tracking, to notifications,
[00:00:42.460 --> 00:00:45.140]   to here's where you get your vaccine,
[00:00:45.140 --> 00:00:49.420]   here's where you schedule your test, these kinds of things.
[00:00:49.420 --> 00:00:52.080]   So you have to be on the lookout for this.
[00:00:52.080 --> 00:00:56.460]   Again, as you said, run your cursor over the email address
[00:00:56.460 --> 00:01:00.620]   to make sure that where it's coming from looks legitimate.
[00:01:00.620 --> 00:01:04.260]   And even then, wherever it's coming from,
[00:01:04.260 --> 00:01:07.100]   even if it's a phone calls from someone saying
[00:01:07.100 --> 00:01:09.180]   they're from the health department,
[00:01:09.180 --> 00:01:12.060]   thank them, hang up, independently confirm
[00:01:12.060 --> 00:01:14.380]   the right number for your county health department
[00:01:14.380 --> 00:01:17.740]   or your state health department, or even the CDC,
[00:01:17.740 --> 00:01:20.380]   if you think you're getting a call from the CDC,
[00:01:20.380 --> 00:01:22.520]   which I really haven't heard of too many calls
[00:01:22.520 --> 00:01:24.220]   coming from the CDC.
[00:01:24.220 --> 00:01:28.640]   But, and then call the real number and speak to somebody
[00:01:28.640 --> 00:01:32.400]   and confirm whatever that information
[00:01:32.400 --> 00:01:35.120]   that they're providing you.
[00:01:35.120 --> 00:01:37.760]   And remember, in most of these cases,
[00:01:37.760 --> 00:01:40.000]   they are never supposed to ask you
[00:01:40.000 --> 00:01:43.440]   what your social security number is
[00:01:43.440 --> 00:01:46.280]   or getting credit card information from you.
[00:01:46.280 --> 00:01:48.760]   You know, you can't pay to get to the head of the line
[00:01:48.760 --> 00:01:49.740]   with these.
[00:01:49.740 --> 00:01:53.360]   If it's a legitimate government situation
[00:01:53.360 --> 00:01:54.960]   and it's involving healthcare,
[00:01:54.960 --> 00:01:57.760]   there is a protocol to use.
[00:01:57.760 --> 00:02:01.960]   And in no protocol that I know of and have ever known of,
[00:02:01.960 --> 00:02:04.040]   are you paying something in advance
[00:02:04.040 --> 00:02:07.960]   in order to advance your prospects with that?
[00:02:07.960 --> 00:02:11.840]   So you have health, job scams all the time,
[00:02:11.840 --> 00:02:15.100]   especially during the great resignation
[00:02:15.100 --> 00:02:18.860]   and now with inflation and now with the concerns
[00:02:18.860 --> 00:02:21.500]   about whether or not there's going to be a recession.
[00:02:21.500 --> 00:02:25.020]   You know, people may be looking for additional jobs.
[00:02:25.020 --> 00:02:29.060]   There, go to legitimate, well-vetted websites
[00:02:29.060 --> 00:02:31.940]   and make sure that you're communicating
[00:02:31.940 --> 00:02:33.620]   with the right organization.
[00:02:33.620 --> 00:02:38.740]   If someone asks you to provide your social security number
[00:02:38.740 --> 00:02:41.980]   right off the bat, that's not legitimate.
[00:02:41.980 --> 00:02:43.740]   Don't walk, run.
[00:02:43.740 --> 00:02:45.460]   - So this could be a job board.
[00:02:45.460 --> 00:02:47.500]   You see a job you're interested in.
[00:02:47.500 --> 00:02:49.220]   You're like, ooh, this company's interesting.
[00:02:49.220 --> 00:02:50.820]   Maybe I should apply for it.
[00:02:50.820 --> 00:02:52.580]   It could just be a totally a fake company
[00:02:52.580 --> 00:02:56.260]   that's leading you down a path of interviewing for a job
[00:02:56.260 --> 00:02:58.820]   with the purpose of just collecting information about you.
[00:02:58.820 --> 00:02:59.660]   Is that-
[00:02:59.660 --> 00:03:00.500]   - Absolutely.
[00:03:00.500 --> 00:03:04.180]   Or getting financial information by way of, you know,
[00:03:04.180 --> 00:03:06.500]   giving you, giving them your credit card information.
[00:03:06.500 --> 00:03:10.860]   Let's say it's a secret shopper job and they say, well,
[00:03:10.860 --> 00:03:13.620]   you know, to get you started, you know,
[00:03:13.620 --> 00:03:14.860]   we're going to be laying out some money,
[00:03:14.860 --> 00:03:17.180]   but we'd like you to sort of reimburse us for this.
[00:03:17.180 --> 00:03:18.020]   So be careful.
[00:03:18.020 --> 00:03:20.580]   You don't want to get involved in anything like that
[00:03:20.580 --> 00:03:22.980]   unless you can confirm the legitimacy of it.
[00:03:22.980 --> 00:03:25.940]   So always independently confirm.
[00:03:25.940 --> 00:03:28.420]   Also confirm that that particular company
