
[00:00:00.320 --> 00:00:15.440]   All right.
[00:00:15.440 --> 00:00:16.560]   Welcome, everybody.
[00:00:16.560 --> 00:00:20.000]   I'm Jeff Huber, the co-founder and CEO of Chroma,
[00:00:20.000 --> 00:00:21.080]   and I'm joined by Jason.
[00:00:21.080 --> 00:00:22.200]   We're going to do a two-parter here.
[00:00:22.200 --> 00:00:23.960]   We're really going to pack in the content.
[00:00:23.960 --> 00:00:25.760]   It's the last session of the day,
[00:00:25.760 --> 00:00:28.560]   and so we thought I'd give you a lot.
[00:00:28.560 --> 00:00:30.100]   Everything in this presentation today
[00:00:30.100 --> 00:00:32.140]   is open source and code available,
[00:00:32.140 --> 00:00:34.560]   so we're also not selling you any tools.
[00:00:34.560 --> 00:00:36.100]   And so there'll be QR codes and stuff throughout
[00:00:36.100 --> 00:00:37.600]   to grab the code.
[00:00:37.600 --> 00:00:41.240]   So let's talk about how to look at your data.
[00:00:41.240 --> 00:00:43.340]   All of you are AI practitioners.
[00:00:43.340 --> 00:00:48.040]   You're all building stuff, and these questions probably
[00:00:48.040 --> 00:00:49.780]   resonate quite deeply with you.
[00:00:49.780 --> 00:00:51.680]   What chunking strategy should I use?
[00:00:51.680 --> 00:00:55.620]   Is my embedding model the best embedding model for my data?
[00:00:55.620 --> 00:00:56.480]   And more.
[00:00:56.480 --> 00:00:59.560]   And our contention is that you can really only manage
[00:00:59.560 --> 00:01:00.060]   what you measure.
[00:01:00.060 --> 00:01:02.660]   Again, I think Peter Drucker is the original who coined that,
[00:01:02.660 --> 00:01:04.220]   so I can't take too much credit.
[00:01:04.220 --> 00:01:06.620]   But it certainly is still true today.
[00:01:06.620 --> 00:01:08.540]   So we have a very simple hypothesis here,
[00:01:08.540 --> 00:01:10.640]   which is you should look at your data.
[00:01:10.640 --> 00:01:12.820]   The goal is to say look at your data, I think,
[00:01:12.820 --> 00:01:14.440]   at least 15 times this presentation.
[00:01:14.440 --> 00:01:16.360]   So that's two.
[00:01:16.360 --> 00:01:18.240]   And great measurement ultimately is what
[00:01:18.240 --> 00:01:20.200]   makes systematic improvement easy.
[00:01:20.200 --> 00:01:21.480]   And it really can be easy.
[00:01:21.480 --> 00:01:23.980]   It doesn't have to be super complicated.
[00:01:23.980 --> 00:01:26.960]   So I'm going to talk about part one, how to look at your inputs.
[00:01:26.960 --> 00:01:28.660]   And then Jason's going to talk about part two,
[00:01:28.660 --> 00:01:30.920]   how to look at your outputs.
[00:01:30.920 --> 00:01:32.500]   So let's get into it.
[00:01:32.500 --> 00:01:34.040]   All right, looking at your inputs.
[00:01:34.040 --> 00:01:37.420]   How do you know whether or not your retrieval system is good?
[00:01:37.420 --> 00:01:40.460]   And how do you know how to make it better?
[00:01:40.460 --> 00:01:42.000]   There are a few options.
[00:01:42.000 --> 00:01:44.980]   There is guess and cross your fingers.
[00:01:44.980 --> 00:01:47.260]   That's certainly one option.
[00:01:47.260 --> 00:01:49.900]   Another option is to use an LLM as a judge.
[00:01:49.900 --> 00:01:51.800]   You're using some of these frameworks
[00:01:51.800 --> 00:01:54.000]   where you're checking factuality and other metrics
[00:01:54.000 --> 00:01:54.540]   like this.
[00:01:54.540 --> 00:01:57.760]   And they cost $600 and take three hours to run.
[00:01:57.760 --> 00:02:00.820]   If that is your preference, you certainly can do that.
[00:02:00.820 --> 00:02:02.060]   You can use public benchmarks.
[00:02:02.060 --> 00:02:04.300]   So you can look at things like MTEB to figure out, oh,
[00:02:04.300 --> 00:02:06.920]   which embedding model is the best on English?
[00:02:06.920 --> 00:02:08.340]   That's another option.
[00:02:08.340 --> 00:02:10.900]   But our contention is you should use fast evals.
[00:02:10.900 --> 00:02:14.080]   And I will tell you exactly what fast evals are.
[00:02:14.080 --> 00:02:16.620]   All right, so what is a fast eval?
[00:02:16.620 --> 00:02:21.720]   A fast eval is simply a set of query and document pairs.
[00:02:21.720 --> 00:02:24.600]   So the first step is, if this query is put in,
[00:02:24.600 --> 00:02:27.160]   this document should come out.
[00:02:27.160 --> 00:02:30.380]   A set of those is called a golden data set.
[00:02:30.380 --> 00:02:33.080]   And then the way that you measure your system
[00:02:33.080 --> 00:02:35.040]   is you put all the queries in.
[00:02:35.040 --> 00:02:38.200]   And then you see, do those documents come out?
[00:02:38.200 --> 00:02:41.180]   And obviously, you can retrieve 5 or retrieve 10 or retrieve 20.
[00:02:41.180 --> 00:02:43.000]   It kind of depends on your application.
[00:02:43.000 --> 00:02:45.540]   It's very fast and very inexpensive to run.
[00:02:45.540 --> 00:02:50.640]   And this is very important because it enables you to run a lot of experiments quickly and cheaply.
[00:02:50.640 --> 00:03:01.280]   I'm sure all of you know that experimentation time and your energy to do experimentation goes down significantly when you have to click, go, and then come back six hours later.
[00:03:01.280 --> 00:03:04.540]   All of these metrics should run extremely quickly for pennies.
[00:03:04.540 --> 00:03:12.920]   So maybe you don't have yet-- you have your documents, you have your chunks, you have your stuff in your retrieval system, but you don't have queries yet.
[00:03:12.920 --> 00:03:14.560]   That's OK.
[00:03:14.560 --> 00:03:20.560]   We found that you can actually use an LLM to write questions and write good questions.
[00:03:20.560 --> 00:03:27.260]   You know, I think just doing naive, like, hey, LLM, write me a question for this document, not a great strategy.
[00:03:27.260 --> 00:03:31.060]   However, we found that you can actually teach LLMs how to write queries.
[00:03:31.060 --> 00:03:33.600]   These slides are getting a little bit cropped.
[00:03:33.600 --> 00:03:36.200]   I'm not sure why, but we'll make the most of it.
[00:03:36.200 --> 00:03:46.140]   To give you an example, so this is actually an example from one of the MTEB, kind of the golden data sets around embedding models of benchmark data sets.
[00:03:46.140 --> 00:03:50.140]   This also points to the fact that, like, many of these benchmark data sets are overly clean, right?
[00:03:50.140 --> 00:03:52.580]   What is a pergola used for in a garden?
[00:03:52.580 --> 00:03:57.580]   And then the beginning of that sentence is a pergola in a garden, dot, dot, dot, dot, dot.
[00:03:57.580 --> 00:04:00.300]   Real-world data is never this clean.
[00:04:00.300 --> 00:04:11.040]   So what we did in this report-- the link is in a few slides-- we did a huge deep dive into how can we actually align queries that are representative of real-world queries?
[00:04:11.040 --> 00:04:17.680]   It's too easy to trick yourself into thinking that your system's working really well with synthetic queries that are overly specific to your data.
[00:04:17.680 --> 00:04:29.680]   And so what these graphs show is that we're actually able to semantically align the specificity of queries synthetically generated to real queries that users might ask of your system.
[00:04:29.680 --> 00:04:37.740]   So what this enables is, you know, if a new, cool, sexy embedding model comes out and it's doing really well in the MTEB score and everybody on Twitter is talking about it,
[00:04:37.740 --> 00:04:43.380]   instead of just, you know, going into your code and changing it and guessing and checking and hoping that it's going to work,
[00:04:43.380 --> 00:04:48.640]   you now can empirically say whether it's good, better or not, for your data.
[00:04:48.640 --> 00:04:53.740]   And, you know, the kind of example here is quite contrived and simple, you know, but you can actually look at the actual success rate.
[00:04:53.740 --> 00:04:54.480]   OK, great.
[00:04:54.480 --> 00:04:55.880]   These are the queries that I care about.
[00:04:55.880 --> 00:04:58.040]   Do I get back more documents than I did before?
[00:04:58.040 --> 00:05:00.320]   If so, maybe you should consider changing.
[00:05:00.320 --> 00:05:02.220]   Now, of course, you need to re-embed your data.
[00:05:02.220 --> 00:05:03.880]   That service can be more expensive.
[00:05:03.880 --> 00:05:05.240]   It can be slower.
[00:05:05.240 --> 00:05:07.220]   The API for that service can be flaky.
[00:05:07.220 --> 00:05:18.080]   There's a lot of considerations, obviously, when making very good engineering decisions, but clearly the north star of, like, success rate, of how many documents that I get from my queries, super fast and super useful,
[00:05:18.080 --> 00:05:22.580]   and makes your improvement of your system much more systematic and deterministic.
[00:05:22.580 --> 00:05:30.480]   All right, so we actually worked with Weights and Biases, looking at their chatbot, to kind of ground a lot of this work.
[00:05:30.480 --> 00:05:36.280]   So what you see here is, for the Weights and Biases chatbot, you can see four different embedding models.
[00:05:36.280 --> 00:05:40.480]   And you can see the recall at 10 across those four different embedding models.
[00:05:40.480 --> 00:05:42.980]   And then I'll point out that blue is ground truth.
[00:05:42.980 --> 00:05:47.580]   So these are actual queries that were logged in Weave and then sent over.
[00:05:47.580 --> 00:05:48.580]   And then there's generated.
[00:05:48.580 --> 00:05:50.480]   These are the ones that are synthetically generated.
[00:05:50.480 --> 00:05:51.740]   And what we want to see is a few things.
[00:05:51.740 --> 00:05:53.720]   We want to see that those are pretty close.
[00:05:53.720 --> 00:05:57.720]   And we want to see that they are always the same kind of in order of accuracy, right?
[00:05:57.720 --> 00:06:02.080]   We don't want to see any, like, big flips between ground truth and generated.
[00:06:02.080 --> 00:06:05.460]   And we're really happy to see that we found that answer.
[00:06:05.460 --> 00:06:10.020]   Now, there are a few fun findings here, which is-- and of course, they're going to get cropped
[00:06:10.020 --> 00:06:11.660]   out, but that's OK.
[00:06:11.660 --> 00:06:17.060]   Number one, the original embedding model used for this application was actually text embedding
[00:06:17.060 --> 00:06:18.520]   three small.
[00:06:18.520 --> 00:06:22.480]   This actually performed the worst out of all the embedding models that we evaluated just for
[00:06:22.480 --> 00:06:23.480]   in this case.
[00:06:23.480 --> 00:06:25.760]   And so it probably wasn't the best choice.
[00:06:25.760 --> 00:06:30.120]   The second one was that, actually, if you look at MTEB, Gina embeddings v3 does very
[00:06:30.120 --> 00:06:31.120]   well in English.
[00:06:31.120 --> 00:06:33.120]   It's, like, you know, way better than anything else.
[00:06:33.120 --> 00:06:36.500]   But for this application, it didn't actually perform that well.
[00:06:36.500 --> 00:06:40.420]   It was actually the Voyage 3 large model which performed the best.
[00:06:40.420 --> 00:06:45.320]   And that was empirically determined by actually running this fast eval and looking at your data.
[00:06:45.320 --> 00:06:46.540]   That's number three.
[00:06:46.540 --> 00:06:50.900]   All right, so if you'd like access to the full report, you can scan this QR code.
[00:06:50.900 --> 00:06:51.900]   It's at research.truck.com.
[00:06:51.900 --> 00:06:55.840]   There's also an adjoining video, which is kind of screenshotted here, which goes into much
[00:06:55.840 --> 00:06:56.840]   more detail.
[00:06:56.840 --> 00:06:58.280]   There are full notebooks of all the code.
[00:06:58.280 --> 00:06:59.280]   It's all open source.
[00:06:59.280 --> 00:07:00.900]   You can run it on your own data.
[00:07:00.900 --> 00:07:04.900]   And hopefully this is helpful for you all thinking about how, again, you can systematically
[00:07:04.900 --> 00:07:06.900]   and deterministically improve your retrieval systems.
[00:07:06.900 --> 00:07:09.940]   And with that, I'll hand it over to Jason.
[00:07:09.940 --> 00:07:12.940]   Thank you.
[00:07:12.940 --> 00:07:16.140]   So if you're working with some kind of system, there's always going to be the inputs that we
[00:07:16.140 --> 00:07:17.140]   look at.
[00:07:17.140 --> 00:07:19.760]   And this is what we talked about, maybe thinking about things like retrieval, how does the embeddings
[00:07:19.760 --> 00:07:20.760]   work?
[00:07:20.760 --> 00:07:22.900]   But ultimately, we also have to look at the outputs, right?
[00:07:22.900 --> 00:07:27.620]   And the outputs of many systems might be the outputs of a conversation that has happened,
[00:07:27.620 --> 00:07:29.640]   an agent execution that has happened.
[00:07:29.640 --> 00:07:33.580]   And the idea is that if you can look at these outputs, maybe we can do some kind of analysis
[00:07:33.580 --> 00:07:36.180]   that figures out what kind of products should we build?
