
[00:00:00.000 --> 00:00:05.360]   [AUDIO OUT]
[00:00:05.360 --> 00:00:06.320]   OK, hello.
[00:00:06.320 --> 00:00:08.360]   I'm Jeremy from Answer.ai.
[00:00:08.360 --> 00:00:11.880]   And Hamel, who as of today--
[00:00:11.880 --> 00:00:14.680]   also, where are you from, Hamel?
[00:00:14.680 --> 00:00:15.880]   Hi.
[00:00:15.880 --> 00:00:17.880]   Where am I from?
[00:00:17.880 --> 00:00:18.920]   I'm from Answer.ai.
[00:00:18.920 --> 00:00:20.840]   Where are you from as of today?
[00:00:20.840 --> 00:00:22.080]   Oh, Answer.ai, yes.
[00:00:22.080 --> 00:00:23.480]   Oh, there you go.
[00:00:23.480 --> 00:00:23.980]   Nice.
[00:00:23.980 --> 00:00:24.480]   Yeah.
[00:00:27.760 --> 00:00:31.120]   And since you just started today,
[00:00:31.120 --> 00:00:36.160]   I am going to help you understand first HTML.
[00:00:36.160 --> 00:00:37.760]   Is that the plan?
[00:00:37.760 --> 00:00:38.720]   That's great.
[00:00:38.720 --> 00:00:39.560]   OK.
[00:00:39.560 --> 00:00:41.560]   And specifically, we're going to look
[00:00:41.560 --> 00:00:52.760]   at the idiomatic CRUD app, advapp.py.
[00:00:52.760 --> 00:01:00.880]   What's special about this app is that it's really
[00:01:00.880 --> 00:01:05.520]   designed to go through everything
[00:01:05.520 --> 00:01:12.880]   you might come across in a normal CRUD database app.
[00:01:12.880 --> 00:01:17.680]   So if you understand every line of code here,
[00:01:17.680 --> 00:01:20.880]   then nothing should be too mysterious
[00:01:20.880 --> 00:01:22.740]   for this style of application.
[00:01:22.740 --> 00:01:30.000]   So maybe let's start by running it.
[00:01:30.000 --> 00:01:36.680]   So when you run a fast HTML application,
[00:01:36.680 --> 00:01:39.080]   you just run Python and the name of the application.
[00:01:39.080 --> 00:01:40.360]   And then it says link.
[00:01:40.360 --> 00:01:41.600]   And it pops up a link.
[00:01:41.600 --> 00:01:44.720]   So you can click on that.
[00:01:44.720 --> 00:01:47.200]   And so we've got a username and password.
[00:01:52.000 --> 00:01:55.000]   And so we've got here a application
[00:01:55.000 --> 00:02:00.240]   where I can add a to-do.
[00:02:00.240 --> 00:02:01.520]   I can edit the to-do.
[00:02:01.520 --> 00:02:09.120]   You can view it.
[00:02:09.120 --> 00:02:13.360]   You can see it's using markdown.
[00:02:13.360 --> 00:02:16.480]   You can mark it done.
[00:02:16.480 --> 00:02:19.480]   You can drag it to be a different priority.
[00:02:20.400 --> 00:02:23.440]   You can delete it.
[00:02:23.440 --> 00:02:29.080]   You can log out.
[00:02:29.080 --> 00:02:30.680]   OK, so that's the app, right?
[00:02:30.680 --> 00:02:34.960]   So it covers quite a lot of behavior.
[00:02:34.960 --> 00:02:46.520]   So I recommend, ideally, Cloud projects
[00:02:46.520 --> 00:02:49.120]   are the best for this, creating a Cloud project in which
[00:02:49.120 --> 00:02:59.080]   you grab the llms-ctx.txt file and dump it into this project.
[00:02:59.080 --> 00:03:04.200]   You don't have to remember that.
[00:03:04.200 --> 00:03:09.720]   It's here, linked to it.
[00:03:09.720 --> 00:03:11.920]   And you can basically ask anything at that point.
[00:03:11.920 --> 00:03:18.920]   So can you give me a basic skeleton fastHTML app
[00:03:18.920 --> 00:03:21.960]   to get started with?
[00:03:21.960 --> 00:03:32.120]   That's a bit more than a skeleton, but that's cool.
[00:03:32.120 --> 00:03:36.240]   Yeah, so that can make life a lot easier.
[00:03:39.400 --> 00:03:44.240]   And one of the inputs to that context file
[00:03:44.240 --> 00:03:48.280]   is actually the application we're looking at.
[00:03:48.280 --> 00:03:54.760]   OK, so we follow the same pattern
[00:03:54.760 --> 00:03:57.560]   that, actually, the fastHTML standard library itself
[00:03:57.560 --> 00:04:01.840]   does for UI toolkits, which is just to import star.
[00:04:01.840 --> 00:04:04.040]   That's actually what the official Python docs
[00:04:04.040 --> 00:04:06.880]   do for the Python TK module.
[00:04:06.880 --> 00:04:08.640]   And we've been pretty careful to make sure
[00:04:08.640 --> 00:04:13.000]   that only the stuff you actually need are going to appear.
[00:04:13.000 --> 00:04:15.800]   You can also import everything manually
[00:04:15.800 --> 00:04:16.960]   if you really wanted to.
[00:04:16.960 --> 00:04:19.920]   So there they all are.
[00:04:19.920 --> 00:04:28.280]   OK, so a to-do list needs to store the to-do somewhere.
[00:04:28.280 --> 00:04:32.400]   We use SQLite and--
[00:04:32.400 --> 00:04:35.840]   What is compareDigest?
[00:04:35.840 --> 00:04:37.920]   We haven't got to that bit yet.
[00:04:37.920 --> 00:04:42.600]   So I'll show you when we get there, if that's OK.
[00:04:42.600 --> 00:04:47.720]   So for SQLite, we do most things using this tiny little library
[00:04:47.720 --> 00:04:50.760]   called fastLite, which is a thin wrapper over really
[00:04:50.760 --> 00:04:51.800]   most of the good work.
[00:04:51.800 --> 00:04:53.960]   This is done by Simon Willison, who created something
[00:04:53.960 --> 00:04:56.400]   called SQLiteUtils.
[00:04:56.400 --> 00:04:59.640]   But basically, it kind of makes your database
[00:04:59.640 --> 00:05:01.000]   look a lot like a dictionary.
[00:05:04.880 --> 00:05:09.760]   So there's a few different ways to use it.
[00:05:09.760 --> 00:05:16.600]   Actually, there's a way I kind of prefer nowadays,
[00:05:16.600 --> 00:05:18.720]   which people might find a bit less weird.
[00:05:18.720 --> 00:05:20.800]   So maybe we'll use that.
[00:05:20.800 --> 00:05:22.960]   So fastHTMLExample is a good place
[00:05:22.960 --> 00:05:27.400]   to see lots of examples, as is gallery.fastHT.ml.
[00:05:27.400 --> 00:05:45.120]   Yeah, so-- and there's a to-dos here, as well.
