
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:08.000]   Today's question is about quarantine habits.
[00:00:08.000 --> 00:00:12.000]   We've all had a lot of time at home this year, and this is
[00:00:12.000 --> 00:00:16.000]   a searching question from a young woman who wants to know what her quarantine
[00:00:16.000 --> 00:00:20.000]   entertainment habits revealed about the state of her own
[00:00:20.000 --> 00:00:24.000]   soul. Here's her email. "Hello Pastor John, it has taken this
[00:00:24.000 --> 00:00:28.000]   period of total pandemic lockdown for me to realize that I don't read the
[00:00:28.000 --> 00:00:32.000]   Bible and pray when I'm stressed out. I had never noticed that
[00:00:32.000 --> 00:00:36.000]   all I do is eat, sleep, and watch movies in my most
[00:00:36.000 --> 00:00:40.000]   stressful times. This is exactly what I did in the first
[00:00:40.000 --> 00:00:44.000]   two weeks of quarantine. I thought it would change, but after months
[00:00:44.000 --> 00:00:48.000]   I still have found little time to commune with God.
[00:00:48.000 --> 00:00:52.000]   It's both scary, sad, and I'm really
[00:00:52.000 --> 00:00:56.000]   unhappy and tired. My question is this, if I went
[00:00:56.000 --> 00:01:00.000]   so long without communion with God in this season of
[00:01:00.000 --> 00:01:04.000]   anxiousness, does this mean I don't really love or trust
[00:01:04.000 --> 00:01:08.000]   God to begin with?" I'm going to break that
[00:01:08.000 --> 00:01:12.000]   into two questions. One is,
[00:01:12.000 --> 00:01:16.000]   I think the least we can say is that your
[00:01:16.000 --> 00:01:20.000]   experience in the last two months has shown that you do not love
[00:01:20.000 --> 00:01:24.000]   and trust God the way you should. And my
[00:01:24.000 --> 00:01:28.000]   question is, why would I say that? Why is there
[00:01:28.000 --> 00:01:32.000]   a correlation between eating and sleeping and movie watching and saying
[00:01:32.000 --> 00:01:36.000]   you haven't trusted and loved God the way you should? That's my first question.
[00:01:36.000 --> 00:01:40.000]   Why would I even go there? And the other question is,
[00:01:40.000 --> 00:01:44.000]   how would we go about discerning whether you
[00:01:44.000 --> 00:01:48.000]   don't really love and trust God at all
[00:01:48.000 --> 00:01:52.000]   and are not a Christian, not born again? How would we do that?
[00:01:52.000 --> 00:01:56.000]   So let's take these one at a time, because both
[00:01:56.000 --> 00:02:00.000]   are, you can see, really important. Heaven
[00:02:00.000 --> 00:02:04.000]   and hell important. So first question, why would I say
[00:02:04.000 --> 00:02:08.000]   that a young woman who devotes her discretionary time, especially
[00:02:08.000 --> 00:02:12.000]   stressful times, to eating and sleeping and watching
[00:02:12.000 --> 00:02:16.000]   movies, rather than say to solid
[00:02:16.000 --> 00:02:20.000]   reading, meditating, praying over God's Word
[00:02:20.000 --> 00:02:24.000]   and over rich food of good books that
[00:02:24.000 --> 00:02:28.000]   mature and insightful people have written over the centuries
[00:02:28.000 --> 00:02:32.000]   as well as other wholesome tasks, why would I say
[00:02:32.000 --> 00:02:36.000]   that such a person does not love and trust God the way she
[00:02:36.000 --> 00:02:40.000]   should? And the answer is, because loving God
[00:02:40.000 --> 00:02:44.000]   means that God holds a place of
[00:02:44.000 --> 00:02:48.000]   value in our heart, that it makes us
[00:02:48.000 --> 00:02:52.000]   want to know him better and enjoy him
[00:02:52.000 --> 00:02:56.000]   more and be near him in friendship and fellowship.
[00:02:56.000 --> 00:03:00.000]   Movies are not well designed to do that. In fact,
[00:03:00.000 --> 00:03:04.000]   most of them are well designed to hinder that
[00:03:04.000 --> 00:03:08.000]   and to undermine the very thing that the
[00:03:08.000 --> 00:03:12.000]   love of God implies, namely a passion to know him, a passion to
