
[00:00:00.000 --> 00:00:02.420]   [silence]
[00:00:02.420 --> 00:00:04.340]   How do we actually measure dehydration?
[00:00:04.340 --> 00:00:05.220]   Now, you hear different things.
[00:00:05.220 --> 00:00:07.220]   Like if you pinch the skin on the top of your hand
[00:00:07.220 --> 00:00:09.400]   and it takes more than three seconds
[00:00:09.400 --> 00:00:12.260]   to lay down again flat, then you're dehydrated.
[00:00:12.260 --> 00:00:13.100]   You hear that.
[00:00:13.100 --> 00:00:16.660]   You hear, okay, if you are to press on your fingernail
[00:00:16.660 --> 00:00:19.980]   and see a change in the color of the tissue
[00:00:19.980 --> 00:00:23.140]   just below your fingernail, which indeed does happen,
[00:00:23.140 --> 00:00:26.060]   and it does not go back to its original color
[00:00:26.060 --> 00:00:28.580]   within one to three seconds, then you're dehydrated.
[00:00:28.580 --> 00:00:29.420]   You hear things like this.
[00:00:29.420 --> 00:00:31.580]   If your ankles are swollen when you're wearing socks,
[00:00:31.580 --> 00:00:33.700]   you take off the socks and you can see the imprint
[00:00:33.700 --> 00:00:36.540]   of the socks on your lower limbs,
[00:00:36.540 --> 00:00:37.380]   that means you're dehydrated.
[00:00:37.380 --> 00:00:38.740]   You hear this kind of stuff,
[00:00:38.740 --> 00:00:41.820]   and you should probably be wondering, is any of that true?
[00:00:41.820 --> 00:00:44.020]   To some extent, it is true,
[00:00:44.020 --> 00:00:46.660]   although it can vary quite a bit by how old you are,
[00:00:46.660 --> 00:00:49.180]   whether or not the skin on the top of your hand
[00:00:49.180 --> 00:00:50.700]   tends to be looser or not,
[00:00:50.700 --> 00:00:53.020]   depending on whether or not you're leaner or not.
[00:00:53.020 --> 00:00:55.300]   So in other words, those are not
[00:00:55.300 --> 00:00:57.820]   absolutely objective measures of dehydration.
[00:00:57.820 --> 00:01:01.180]   Now, it is true that if normally you can pinch the skin
[00:01:01.180 --> 00:01:02.020]   on the top of your hand
[00:01:02.020 --> 00:01:03.980]   and it returns to its normal flattened position
[00:01:03.980 --> 00:01:06.660]   within about one to two or three seconds,
