
[00:00:00.000 --> 00:00:21.720]   Good afternoon, everyone. My name is Ola Mabadeje. I'm a product guy from Cisco. So,
[00:00:21.720 --> 00:00:26.880]   my presentation is going to be a little more producty than techy, but I think you're going
[00:00:26.880 --> 00:00:34.620]   to enjoy it. So, I've been at Cisco working on AI for the last three years, and I work
[00:00:34.620 --> 00:00:40.120]   in this group called OutShift. So, OutShift is Cisco's incubation group. Our charter is
[00:00:40.120 --> 00:00:44.340]   to help Cisco look at emerging technologies and see how these emerging technologies can
[00:00:44.340 --> 00:00:52.760]   help us accelerate the roadmaps of our traditional business units. And so, by training, I'm an
[00:00:52.760 --> 00:00:58.340]   electrical engineer, doubled into network engineering, enjoyed it, and I've been doing
[00:00:58.340 --> 00:01:03.980]   that for a while. But over the last three years, focused on AI. Our group also focuses on quantum
[00:01:03.980 --> 00:01:08.540]   technology. So, quantum networking is something that we're focused on. And if you want to learn
[00:01:08.540 --> 00:01:15.140]   more about what we do with OutShift at Cisco, you can learn more about that. So, for today,
[00:01:15.140 --> 00:01:20.660]   we're going to dive into this real quick. And like I said, I'm a product guy. So, I usually start with my
[00:01:20.660 --> 00:01:24.920]   customers' problems, trying to understand what are they trying to solve for, and then from that work
[00:01:24.920 --> 00:01:30.720]   backwards towards creating a solution for that. So, as part of the process for us, we usually go through
[00:01:30.720 --> 00:01:35.700]   this incubation phase where we ask customers a lot of questions, and then we come up with prototypes. We
[00:01:35.700 --> 00:01:41.940]   do A testing, B testing, and then we kind of deliver an MVP into a production environment. And once we get
[00:01:41.940 --> 00:01:47.480]   product market fit, that product graduates into the Cisco's businesses. So, this customer had this issue.
[00:01:47.480 --> 00:01:54.420]   They said, "When we do change management, we have a lot of challenges with failures in production. How can we
[00:01:54.420 --> 00:01:59.580]   reduce that? Can we use AI to reduce that problem?" So, we double-clicked on that problem statement, and we
[00:01:59.580 --> 00:02:04.380]   realized it was a major problem across the industry. I won't go into the details here, but it's a big
[00:02:04.380 --> 00:02:09.660]   problem. Now, for us to solve the problem, we wanted to understand, does AI really have a place
[00:02:09.660 --> 00:02:14.460]   here, or it's just going to be rule-based automation to solve this problem? And when we looked at the
[00:02:14.460 --> 00:02:19.820]   workflow, we realized that there are specific spots in the workflow where AI agents can actually help
[00:02:19.820 --> 00:02:24.780]   address a problem. And so, we kind of highlighted three, four, and five, where we believe that AI agents
[00:02:24.780 --> 00:02:29.400]   can help increase the value for customers and reduce the pain points that they were
