
[00:00:00.000 --> 00:00:01.560]   Hi, I'm Cal Newport.
[00:00:01.560 --> 00:00:03.440]   Of the things I am known for,
[00:00:03.440 --> 00:00:05.320]   perhaps the most prominent is the fact
[00:00:05.320 --> 00:00:09.740]   that I have never had a social media account.
[00:00:09.740 --> 00:00:12.800]   No Facebook, no Twitter, no Instagram,
[00:00:12.800 --> 00:00:14.520]   no TikTok, no Snapchat.
[00:00:14.520 --> 00:00:19.040]   Now, as someone who writes about technology
[00:00:19.040 --> 00:00:19.920]   and its impact for culture,
[00:00:19.920 --> 00:00:22.240]   this has been a really big advantage for me.
[00:00:22.240 --> 00:00:26.560]   It gives me distance from the culture I'm writing about.
[00:00:26.560 --> 00:00:28.520]   I can observe with some clarity
[00:00:28.520 --> 00:00:31.580]   the impact of these tools on our lives
[00:00:31.580 --> 00:00:34.240]   without actually having to be completely overwhelmed
[00:00:34.240 --> 00:00:35.880]   by these tools myself.
[00:00:35.880 --> 00:00:37.760]   I have become convinced over the years, however,
[00:00:37.760 --> 00:00:41.640]   that there are perks to not using social media
[00:00:41.640 --> 00:00:44.520]   that are applicable to everyone,
[00:00:44.520 --> 00:00:45.840]   not just to people like me
[00:00:45.840 --> 00:00:47.720]   who write about technology for a living.
[00:00:47.720 --> 00:00:50.000]   So that's what I wanna talk about in this video,
[00:00:50.000 --> 00:00:54.780]   four perks to not using social media.
[00:00:55.840 --> 00:00:59.240]   Number one, more boredom.
[00:00:59.240 --> 00:01:01.480]   Now, this might be surprising at first,
[00:01:01.480 --> 00:01:02.920]   but follow with me here.
[00:01:02.920 --> 00:01:03.920]   One of the things that happens
[00:01:03.920 --> 00:01:08.600]   when you have these highly addictive applications
[00:01:08.600 --> 00:01:10.120]   on your phone is that your phone
[00:01:10.120 --> 00:01:13.760]   becomes a default mode of distraction.
[00:01:13.760 --> 00:01:15.160]   At the slightest hint of boredom,
[00:01:15.160 --> 00:01:16.160]   you whip this thing out
[00:01:16.160 --> 00:01:18.760]   and start scrolling through those social media apps.
[00:01:18.760 --> 00:01:20.240]   I can't blame you for doing that.
[00:01:20.240 --> 00:01:21.520]   They have been engineered
[00:01:21.520 --> 00:01:23.400]   by some of the smartest people in the world
[00:01:23.400 --> 00:01:25.420]   to be incredibly compelling.
[00:01:25.420 --> 00:01:28.260]   So why sit there in line and just be bored
[00:01:28.260 --> 00:01:31.140]   when you can have tens of billions of dollars
[00:01:31.140 --> 00:01:34.220]   worth of attention engineering at your service
[00:01:34.220 --> 00:01:36.620]   to give you that perfect moment of distraction?
[00:01:36.620 --> 00:01:40.620]   There is, however, a cost to having this perfect,
[00:01:40.620 --> 00:01:43.780]   always accessible distraction there in your pocket.
[00:01:43.780 --> 00:01:46.660]   That means there is no more boredom in your life.
[00:01:46.660 --> 00:01:50.020]   The slightest hint of boredom, you're looking at that phone.
[00:01:50.020 --> 00:01:53.160]   This can be a problem.
[00:01:53.160 --> 00:01:55.580]   So what happens when you're alone with your own thoughts?
[00:01:55.580 --> 00:01:56.980]   Because you don't use social media,
[00:01:56.980 --> 00:01:58.220]   so there is nothing on that phone
[00:01:58.220 --> 00:02:00.100]   that's all that interesting to look at.
[00:02:00.100 --> 00:02:02.260]   It's a situation I find myself in all the time.
[00:02:02.260 --> 00:02:04.580]   You're now left to just think about the world around you,
[00:02:04.580 --> 00:02:05.980]   what's going on in your head.
[00:02:05.980 --> 00:02:07.700]   That might sound scary at first,
[00:02:07.700 --> 00:02:11.420]   but it's actually critical to your development as a human.
[00:02:11.420 --> 00:02:14.180]   It is when you are alone with your own thoughts
[00:02:14.180 --> 00:02:16.820]   in the state that is known as solitude,
[00:02:16.820 --> 00:02:18.820]   that you can actually take those experiences
[00:02:18.820 --> 00:02:21.980]   you're having in your life and fit them into a framework,
[00:02:21.980 --> 00:02:24.480]   a common framework by which you understand your experience.
[00:02:24.480 --> 00:02:26.920]   It's where you can reflect on yourself,
[00:02:26.920 --> 00:02:28.400]   what's going well, what's not going well,
[00:02:28.400 --> 00:02:29.980]   what's resonating with you,
[00:02:29.980 --> 00:02:31.560]   what you're worried about in your life,
[00:02:31.560 --> 00:02:35.200]   and make progress in your identity, in your self-definition.
[00:02:35.200 --> 00:02:37.320]   It is in this time alone with our mind
[00:02:37.320 --> 00:02:38.880]   that we evolve as humans.
[00:02:38.880 --> 00:02:41.120]   And if you rob yourself of that solitude
[00:02:41.120 --> 00:02:45.620]   by always looking at that shiny, highly distracting treat
[00:02:45.620 --> 00:02:46.680]   sitting there in your pocket
[00:02:46.680 --> 00:02:48.340]   represented by the apps on that phone,
[00:02:48.340 --> 00:02:50.780]   you miss out on that solitude.
[00:02:51.840 --> 00:02:55.540]   The other advantage of the boredom you will encounter
[00:02:55.540 --> 00:02:57.060]   not having these apps on your phone
[00:02:57.060 --> 00:02:58.640]   is that it will push you to do
[00:02:58.640 --> 00:03:02.560]   higher quality leisure activities.
[00:03:02.560 --> 00:03:04.380]   You're sitting there, it's the afternoon,
[00:03:04.380 --> 00:03:05.400]   you don't have anything to look at,
[00:03:05.400 --> 00:03:06.540]   you don't have anything to watch.
[00:03:06.540 --> 00:03:09.380]   This might drive you to read,
[00:03:09.380 --> 00:03:11.980]   the exercise to pick up that new hobby,
[00:03:11.980 --> 00:03:12.920]   to go for the walk,
[00:03:12.920 --> 00:03:15.780]   to go join some sort of organization and club.
[00:03:15.780 --> 00:03:18.140]   Boredom is a very useful instinct.
[00:03:18.140 --> 00:03:21.100]   Typically when it comes to human nature,
[00:03:21.100 --> 00:03:23.940]   whenever there's a very strong or disagreeable feeling
