
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:13.440]   - Welcome back to Ask the Compound.
[00:00:13.440 --> 00:00:16.660]   Remember our email here is askthecompoundshow@gmail.com.
[00:00:16.660 --> 00:00:18.540]   It's a new year, same old questions.
[00:00:18.540 --> 00:00:20.660]   We even got a bunch of questions over the holidays.
[00:00:20.660 --> 00:00:22.460]   People still care about their finances over the holidays.
[00:00:22.460 --> 00:00:24.380]   Maybe there was some deep introspection.
[00:00:24.380 --> 00:00:26.720]   Duncan is calling in today from Disney.
[00:00:26.720 --> 00:00:28.960]   World, land, I always get 'em confused.
[00:00:28.960 --> 00:00:30.120]   What's one in Florida, World?
[00:00:30.120 --> 00:00:31.160]   - Disney World.
[00:00:31.160 --> 00:00:32.000]   - Okay.
[00:00:32.000 --> 00:00:34.440]   - Yeah, I ran a 5K at 5 a.m. this morning.
[00:00:34.440 --> 00:00:35.760]   - Why so early?
[00:00:35.760 --> 00:00:36.900]   Was it like through Disney?
[00:00:36.900 --> 00:00:40.080]   - Because they want everyone done before the parks open.
[00:00:40.080 --> 00:00:41.440]   - Okay, let's get into Disney in a minute.
[00:00:41.440 --> 00:00:44.680]   First, today's show is sponsored by Rocket Money.
[00:00:44.680 --> 00:00:46.200]   Rocket Money is a personal finance app
[00:00:46.200 --> 00:00:48.000]   that fines and cancels your unwanted subscriptions,
[00:00:48.000 --> 00:00:50.560]   monitors your spending, helps lower your bills.
[00:00:50.560 --> 00:00:51.880]   I've used it already.
[00:00:51.880 --> 00:00:53.240]   You know what the best part about Rocket Money is?
[00:00:53.240 --> 00:00:55.280]   Not only do they negotiate bills for you,
[00:00:55.280 --> 00:00:57.180]   they negotiate how much you pay them.
[00:00:58.380 --> 00:00:59.920]   They were charging me like $10 a month,
[00:00:59.920 --> 00:01:00.880]   but they said, "What do you wanna pay?"
[00:01:00.880 --> 00:01:01.720]   I said, "How about three?"
[00:01:01.720 --> 00:01:04.420]   They said three, 'cause that's how much I used it.
[00:01:04.420 --> 00:01:08.080]   Five million users that use the service.
[00:01:08.080 --> 00:01:09.920]   People save an average of $720 a year
[00:01:09.920 --> 00:01:12.960]   with over 500 million in canceled subscriptions in total.
[00:01:12.960 --> 00:01:15.800]   I'm gonna let them try to negotiate
[00:01:15.800 --> 00:01:17.400]   with AT&T this year for me.
[00:01:17.400 --> 00:01:18.960]   I've done it every year for eight or nine years
[00:01:18.960 --> 00:01:20.540]   for my cable and my internet.
[00:01:20.540 --> 00:01:22.320]   I'm gonna let Rocket Money do it.
[00:01:22.320 --> 00:01:23.840]   Stop wasting money on the things you don't use.
[00:01:23.840 --> 00:01:25.300]   Cancel unwanted subscriptions.
[00:01:25.300 --> 00:01:27.520]   Go into rocketmoney.com/atc.
[00:01:27.520 --> 00:01:29.960]   That's rocketmoney.com/atc.
[00:01:29.960 --> 00:01:30.800]   I use this.
[00:01:30.800 --> 00:01:32.480]   I get emails a couple times a week.
[00:01:32.480 --> 00:01:34.760]   Here's your summary of all your bills.
[00:01:34.760 --> 00:01:36.440]   Here's this unwanted expense.
[00:01:36.440 --> 00:01:37.280]   It's really nice.
[00:01:37.280 --> 00:01:38.100]   They get your inbox.
[00:01:38.100 --> 00:01:39.520]   It's great.
[00:01:39.520 --> 00:01:42.240]   All right, Duncan, what's the heat check at Disney?
[00:01:42.240 --> 00:01:47.480]   - Well, yeah, I messaged you the other day.
[00:01:47.480 --> 00:01:48.940]   I was like, I gotta ask you some questions
[00:01:48.940 --> 00:01:50.120]   about Disney stock.
[00:01:50.120 --> 00:01:51.000]   I don't understand.
[00:01:51.000 --> 00:01:54.160]   I'm a long-term shareholder, I think, like you are.
[00:01:54.160 --> 00:01:57.080]   I don't understand how so many people are here
[00:01:57.080 --> 00:01:58.800]   and spending so much money
[00:01:58.800 --> 00:02:01.300]   and the stock still looks the way it does.
[00:02:01.300 --> 00:02:04.000]   I guess it's streaming.
[00:02:04.000 --> 00:02:05.520]   Is that maybe the answer?
[00:02:05.520 --> 00:02:07.480]   What's your explanation?
[00:02:07.480 --> 00:02:08.760]   - It would be interesting to see
[00:02:08.760 --> 00:02:11.080]   if we could do the counterfactual of Disney,
[00:02:11.080 --> 00:02:12.480]   if they never did Disney+.
[00:02:12.480 --> 00:02:14.080]   'Cause at the time, it seemed like a home run.
[00:02:14.080 --> 00:02:15.440]   They had so many people sign up
[00:02:15.440 --> 00:02:16.920]   and I think they just didn't realize
[00:02:16.920 --> 00:02:20.280]   how much they were really putting themselves
[00:02:20.280 --> 00:02:22.400]   on the hook for spending money.
[00:02:22.400 --> 00:02:24.020]   And it is all streaming.
[00:02:24.020 --> 00:02:25.400]   I think all the streamers
[00:02:25.400 --> 00:02:26.920]   and all the entertainment companies
[00:02:26.920 --> 00:02:29.000]   got whacked besides Netflix.
[00:02:29.000 --> 00:02:31.720]   And I guess it doesn't matter how much people spend.
[00:02:31.720 --> 00:02:34.120]   The movies have also been underperforming as well.
[00:02:34.120 --> 00:02:36.000]   They haven't been doing as well.
[00:02:36.000 --> 00:02:39.360]   We watched the new "Indiana Jones" with my son last week.
[00:02:39.360 --> 00:02:40.660]   I don't know.
[00:02:40.660 --> 00:02:41.860]   Did that need to be made?
[00:02:41.860 --> 00:02:42.700]   Probably not.
[00:02:42.700 --> 00:02:43.960]   I don't know, they spent a couple hundred million dollars
[00:02:43.960 --> 00:02:44.800]   on it, so.
[00:02:44.800 --> 00:02:45.620]   - I didn't even know it had come out.
[00:02:45.620 --> 00:02:47.100]   - Yeah, it's on Disney+ now.
[00:02:47.100 --> 00:02:50.660]   Unfortunately, yes, I bought Disney for my kids.
[00:02:50.660 --> 00:02:52.600]   So hey, let's buy some shares
[00:02:52.600 --> 00:02:54.080]   and teach you up the stock market.
[00:02:54.080 --> 00:02:56.020]   I taught them right.
[00:02:56.020 --> 00:02:57.880]   I think they're only down 40% or so.
[00:02:57.880 --> 00:03:01.960]   So yeah, people keep spending at the park.
[00:03:01.960 --> 00:03:02.800]   If it would have just been the park--
[00:03:02.800 --> 00:03:04.280]   - Should have called them a Target Dave Fund.
[00:03:04.280 --> 00:03:06.240]   - Yeah, and merchandise,
[00:03:06.240 --> 00:03:07.880]   maybe Disney would be doing better.
[00:03:07.880 --> 00:03:09.720]   But alas.
[00:03:09.720 --> 00:03:10.880]   - Hey, up first today we have,
[00:03:10.880 --> 00:03:12.680]   hey guys, I figured I'd present a scenario
[00:03:12.680 --> 00:03:16.240]   for normal folk like myself for the not-to-brags.
[00:03:16.240 --> 00:03:18.040]   I like the idea of a modified version
[00:03:18.040 --> 00:03:19.180]   of the fire movement-- - He's an anti-not-to-brag guy.
[00:03:19.180 --> 00:03:20.660]   - Known as Coast Fire,
[00:03:20.660 --> 00:03:22.360]   where you hit a principal savings goal
[00:03:22.360 --> 00:03:25.300]   and then never have to save a dollar again for retirement.
[00:03:25.300 --> 00:03:27.600]   For example, currently I have no debt
[00:03:27.600 --> 00:03:30.320]   and $50,000 earmarked for retirement.
[00:03:30.320 --> 00:03:32.440]   I'm 30 years old and it's highly unlikely
