
[00:00:00.880 --> 00:00:07.680]   yo what's going on y'all is curious mike back with another video i know i ain't talked to
[00:00:07.680 --> 00:00:13.680]   y'all for a while but you know something interesting happened i'm out here in capri right now actually
[00:00:13.680 --> 00:00:19.520]   um i'm out here with some friends and some family i was on the way out here
[00:00:19.520 --> 00:00:29.360]   when i got the news that i was traded um i was on a plane ride here and yeah i found out
[00:00:30.240 --> 00:00:34.160]   i'm gonna try to do this video in one take so i might be a little all over the place
[00:00:34.160 --> 00:00:42.240]   but i want to start off expressing my gratitude to the nuggets organization um i remember when i
[00:00:42.240 --> 00:00:47.120]   was first drafted i remember draft night um i remember the whole week leading up to draft i was
[00:00:47.120 --> 00:00:52.640]   in a ton of a ton of pain dealing with some some back stuff that i had dealt with in college and
[00:00:52.640 --> 00:00:58.160]   then all the way leading up to the to the draft and i remember getting a phone call from tim conley
[00:00:58.160 --> 00:01:04.320]   um probably the day before the draft and i had no idea where i was going to land because of the
[00:01:04.320 --> 00:01:11.280]   injury history and um you know tim me and him had the first conversation we had the day before the
[00:01:11.280 --> 00:01:17.600]   draft we never had any any interview um i interviewed with a lot of other teams and nuggets were not one
[00:01:17.600 --> 00:01:22.800]   but i talked to tim the day before and um you know then draft night comes around
[00:01:23.040 --> 00:01:29.280]   and uh i always expected to be the number one pick in the draft prior to my injury history so
[00:01:29.280 --> 00:01:36.000]   the draft night did not go as i expected as i kept kind of dropping dropping dropping until i got selected
[00:01:36.000 --> 00:01:42.160]   by the nuggets with the 14th pick and um and one of these videos i'll go into more depth about that whole
[00:01:42.160 --> 00:01:49.520]   draft story but um the point of this video is to express my gratitude to the nuggets organization
[00:01:49.520 --> 00:01:55.360]   um tim conley josh kronke stan kronke and the whole front office they took a chance on me that day
[00:01:55.360 --> 00:02:01.920]   um they drafted me with the 14th pick and my life was forever changed you know i went out to denver
[00:02:01.920 --> 00:02:07.760]   and uh the journey started as a young as a young kid i think i was 18 years old you know just
[00:02:07.760 --> 00:02:14.000]   not even really experiencing college much because of the injury stuff that had gone on and um now i'm in
[00:02:14.000 --> 00:02:24.080]   the nba um so my first thanks is to you know josh stan um tim conley and the whole front office for
[00:02:24.080 --> 00:02:30.080]   taking a chance on me and changing my life you know and then from there when i got to denver i had to
[00:02:30.080 --> 00:02:35.920]   deal with all the injury stuff that i had had prior to the draft and uh ended up having to get another
[00:02:35.920 --> 00:02:39.440]   surgery my second back surgery before i had played a game in a nuggets uniform
[00:02:40.160 --> 00:02:44.880]   and uh so my second thanks i want to thank to the medical team and you know specifically
[00:02:44.880 --> 00:02:52.000]   the physical therapists and the trainers over there with the nuggets um steve short you know dan my boy
[00:02:52.000 --> 00:02:57.600]   dan my boy jay who helped me a lot through this process and you know everyone else who helped who
[00:02:57.600 --> 00:03:03.760]   helped out you guys were tremendous in getting me back into a place where i was able to play the game i
[00:03:03.760 --> 00:03:11.680]   loved and um i just want to say thank you for that um you know and then from there it's all the it's all
[00:03:11.680 --> 00:03:17.760]   the the little people as some would say that i want to express my gratitude to you know from the equipment
[00:03:17.760 --> 00:03:22.720]   managers to the ball boys to the the chef every day you know i developed a relationship with a lot of
[00:03:22.720 --> 00:03:29.280]   you guys and um i just want to express my gratitude for every single day showing up for me and being there
[00:03:29.280 --> 00:03:35.840]   for me and um you know becoming my friends you know sparky shout out to my guy sparky equipment manager
[00:03:35.840 --> 00:03:46.160]   who was there 40 years who recently retired um gene i appreciate you bro uh yeah everybody it's been
[00:03:46.160 --> 00:03:52.880]   it's been a treat to to grow up and play in denver from there i want to thank my teammates you know i came
[00:03:52.880 --> 00:03:59.200]   in and i had a whole different group of teammates than than the teammates i ended up with but um you
[00:03:59.200 --> 00:04:04.880]   know the two guys that were with me along the whole journey jamal murray and nicole yokich um
[00:04:04.880 --> 00:04:09.920]   i appreciate you guys you know accepting me coming into the team you know you guys already had
[00:04:09.920 --> 00:04:16.320]   your two-man game going on your very potent two-man game and you know when i came there you guys
[00:04:16.320 --> 00:04:23.040]   immediately made me feel comfortable with my game and um you guys put me in a position to succeed
[00:04:23.040 --> 00:04:28.320]   so i want to thank all my teammates throughout the years over there in denver you know it's been great
[00:04:28.320 --> 00:04:33.600]   getting to getting to play with you guys and um eventually win a championship
[00:04:33.600 --> 00:04:39.120]   so i appreciate you guys i appreciate you coach malone thank you man for um
[00:04:40.960 --> 00:04:46.160]   just for helping me grow up you know and teaching me how to play play the game the right way like i
[00:04:46.160 --> 00:04:51.680]   said i pretty much went from high school to the nba because i never got to play i never got to really
[00:04:51.680 --> 00:04:58.560]   play college basketball because of the injuries so coach malone i appreciate you um you know helping
[00:04:58.560 --> 00:05:04.560]   me out helping me grow as a player and uh really i remember i really broke out in the bubble um
[00:05:06.080 --> 00:05:11.600]   it was really my rookie year my rookie year i did not play but then my second year in the nba was
[00:05:11.600 --> 00:05:17.680]   really considered my rookie year because um it was my first year playing so we played for a while and
[00:05:17.680 --> 00:05:23.440]   then we had that hiatus because of covid i don't even know if you say hi i don't even know if i said
[00:05:23.440 --> 00:05:29.520]   hiatus right but we had that break because of covid and then we went out to the bubble and um i actually
[00:05:29.520 --> 00:05:34.400]   got a lot of playing time for the first time because a lot of guys were injured or not injured a lot of
[00:05:34.400 --> 00:05:40.880]   guys had covid so when i went out there i immediately was starting and um i really broke out you know
[00:05:40.880 --> 00:05:47.360]   i think i had three 30 point games in a row um and coach malone really threw me into the fire in those
[00:05:47.360 --> 00:05:59.840]   playoffs really as a as a rookie um so i appreciate you coach malone as well so i'm really excited for
[00:05:59.840 --> 00:06:04.320]   this next chapter out here in brooklyn i think um over there in denver i felt like my my ceiling had
