
[00:00:00.000 --> 00:00:04.000]   [Music]
[00:00:04.000 --> 00:00:08.480]   Today's question is about depression, and it comes to us from an anonymous listener.
[00:00:08.480 --> 00:00:13.520]   "Pastor John, about a year ago I was going through one of the lowest times of depression in my entire
[00:00:13.520 --> 00:00:18.880]   life. During this time I was reading scripture. I came across Proverbs 31, verses 6 and 7, which say
[00:00:18.880 --> 00:00:27.280]   this, "Give strong drink to him who is perishing, and wine to him whose life is bitter. Let him
[00:00:27.280 --> 00:00:34.960]   drink and forget his poverty, and remember his trouble no more." That seems like exactly what
[00:00:34.960 --> 00:00:41.680]   I didn't need. Does this passage teach us to use alcohol in numbing the pain of depression?"
[00:00:41.680 --> 00:00:53.680]   Let's read these verses, Proverbs 31, 6 and 7, in context. So here's verses 4 through 9,
[00:00:53.680 --> 00:01:02.080]   and they're very short. "It is not for kings, O Lemuel." So this is Lemuel's mother. You know that
[00:01:02.080 --> 00:01:07.520]   early in the context. This is Lemuel's mother teaching him about how to be a king.
[00:01:07.520 --> 00:01:17.600]   "It is not for kings, O Lemuel. It is not for kings to drink wine, or for rulers to take strong drink,
[00:01:18.240 --> 00:01:26.000]   lest they drink and forget what has been decreed, and pervert the rights of all the afflicted.
[00:01:26.000 --> 00:01:33.520]   Give strong drink to the one who's perishing, and wine to those in bitter distress.
[00:01:33.520 --> 00:01:42.080]   Let them drink and forget their poverty, and remember their misery no more. Open your mouth
[00:01:42.080 --> 00:01:48.960]   for the mute, for the rights of all who are destitute. Open your mouth, judge righteously,
[00:01:48.960 --> 00:01:56.160]   defend the rights of the poor and needy." So there's the context. On both sides of the verse
[00:01:56.160 --> 00:02:02.880]   about giving drink to the one who's perishing, the stress is, "Don't pervert the rights of the
[00:02:02.880 --> 00:02:10.320]   afflicted. Judge righteously, defend the poor, and as a means to that end, watch out for strong drink.
[00:02:11.120 --> 00:02:16.160]   It unfits the mind for the kind of thinking that leaders have to do in order to do justice.
[00:02:16.160 --> 00:02:23.840]   So Lemuel's mother is picking up on a theme that runs through the Old Testament
[00:02:23.840 --> 00:02:35.760]   about alcohol and how it distorts reality and unfits the mind for responsible action and therefore
[00:02:35.760 --> 00:02:41.440]   should be used with the greatest caution. Let me just give you a taste of that theme that she's
[00:02:41.440 --> 00:02:51.520]   picking up on. Ecclesiastes 10, 17, "Happy are you, O land, when your king is the son of the nobility
