
[00:00:00.000 --> 00:00:05.000]   [Music]
[00:00:05.000 --> 00:00:09.000]   Theologian Michael Reeves joins us again from the UK, filling in this week for John Piper.
[00:00:09.000 --> 00:00:15.000]   And today's question is rather simple. It's profoundly important, but the question itself is rather simple.
[00:00:15.000 --> 00:00:19.000]   Michael, how do we pursue our happiness in Jesus?
[00:00:19.000 --> 00:00:28.000]   First, I'd want to say this is important, pursuing our happiness in Jesus, that joy in Christ isn't an optional extra.
[00:00:28.000 --> 00:00:34.000]   We were made to share the Father's eternal pleasure in his Son.
[00:00:34.000 --> 00:00:38.000]   The Father is always delighted in his Son, eternally found pleasure in him.
[00:00:38.000 --> 00:00:44.000]   And we were created to share the Father's sweet pleasure in his Son.
[00:00:44.000 --> 00:00:50.000]   To love Jesus is to be made more like God himself, more like the Father.
[00:00:50.000 --> 00:00:59.000]   So this is important. Now, I confess personally that wasn't a message that I knew well when growing up as a young Christian.
[00:00:59.000 --> 00:01:08.000]   I think the message that I thought the gospel was, was I am a sinner.
[00:01:08.000 --> 00:01:19.000]   Christ dies for my sins in order to buy me heaven, which meant I was grateful to Christ for redeeming me from hell and bringing me to heaven.
[00:01:19.000 --> 00:01:28.000]   But the real reward of the gospel, I believed, was heaven, not Christ, not God himself.
[00:01:28.000 --> 00:01:34.000]   And that changed personally for me through reading Jonathan Edwards.
[00:01:34.000 --> 00:01:45.000]   And I was torn by his description of the hypocrite in the Religious Affections, where he says that's a good description of the hypocrite, that you are using God to get something else.
[00:01:45.000 --> 00:01:50.000]   Your delight is not in God himself, the one we are made for.
[00:01:50.000 --> 00:01:56.000]   So I think this is very important as an issue, and I feel the personal significance of it.
[00:01:56.000 --> 00:01:59.000]   It's changed what the Christian life looks like to me.
[00:01:59.000 --> 00:02:05.000]   It means sanctification has a rationale to it that it didn't before to me.
[00:02:05.000 --> 00:02:10.000]   So we need to pursue our happiness in Jesus. And I want to use that word "pursue."
[00:02:10.000 --> 00:02:13.000]   This is something we can't simply sit back on.
[00:02:13.000 --> 00:02:19.000]   Paul in Philippians 3.14 uses strong, striving language.
[00:02:19.000 --> 00:02:25.000]   I press on towards the goal for the prize of the upward call of God in Christ Jesus.
[00:02:25.000 --> 00:02:28.000]   It's an active thing. He wants to press in to know him.
[00:02:28.000 --> 00:02:33.000]   I think the question is, so how then do we do this?
[00:02:33.000 --> 00:02:36.000]   First thing I'd say is this. I'd say two things.
[00:02:36.000 --> 00:02:42.000]   First thing is know him. Grow in your knowledge of Christ.
[00:02:42.000 --> 00:02:50.000]   For it is knowing Christ that is why the Father so delights in him, because he is simply delightful.
[00:02:50.000 --> 00:03:00.000]   Now, a past generation, the Puritans I think of, this seemed to be in the mainstream in a way that it's not today so much.
[00:03:00.000 --> 00:03:07.000]   So you see a number of Puritan works, for example, Thomas Goodwin's The Heart of Christ in Heaven.
[00:03:07.000 --> 00:03:17.000]   There's a great work to read and to consider the ascended, glorified Jesus, to fill your vision with him so that you know him.
[00:03:17.000 --> 00:03:25.000]   And I want to say fill your vision, not simply so that you know about him, but so that he eclipses other concerns for you,
[00:03:25.000 --> 00:03:31.000]   so that his glory is of greater concern than your glory or your worries.
[00:03:31.000 --> 00:03:38.000]   So we need to fill our minds, our vision with him. Goodwin's Heart of Christ would be something I'd recommend.
[00:03:38.000 --> 00:03:47.000]   Owen's The Glory of Christ I'd recommend as well. Charles Spurgeon, Christ's Glorious Achievements.
[00:03:47.000 --> 00:03:58.000]   I would read some of these older, rich works. They help you see how a Christ-focused generation of the past read Scripture to know Christ better.
[00:03:58.000 --> 00:04:05.000]   Fill out your knowledge of him. I try to think of something John Owen said on this.
