
[00:00:00.000 --> 00:00:01.400]   OK, hi, everybody.
[00:00:01.400 --> 00:00:02.360]   I'm Jeremy.
[00:00:02.360 --> 00:00:09.480]   And this is the first of our Answer.ai developer chats,
[00:00:09.480 --> 00:00:12.320]   where I guess we have two audiences.
[00:00:12.320 --> 00:00:17.040]   One is our fellow R&D folks at Answer.ai,
[00:00:17.040 --> 00:00:19.600]   who hopefully this will be a useful little summary of what
[00:00:19.600 --> 00:00:20.840]   we've been working on for them.
[00:00:20.840 --> 00:00:23.960]   But we thought we'd also make it public because why not?
[00:00:23.960 --> 00:00:26.040]   That way everybody can see it.
[00:00:26.040 --> 00:00:27.960]   So we've got Jono here.
[00:00:27.960 --> 00:00:29.080]   We've got Alexis here.
[00:00:29.080 --> 00:00:30.560]   We've got Griffin here.
[00:00:30.560 --> 00:00:31.560]   Hi, all.
[00:00:31.560 --> 00:00:33.400]   Hey.
[00:00:33.400 --> 00:00:37.720]   And we're going to be talking about a new library I've
[00:00:37.720 --> 00:00:43.480]   been working on called Claudette, which is Claude's
[00:00:43.480 --> 00:00:45.440]   friend.
[00:00:45.440 --> 00:00:49.360]   And Jono has been helping me a bit with the library,
[00:00:49.360 --> 00:00:51.640]   but he's going to, I think, largely feign ignorance
[00:00:51.640 --> 00:00:56.800]   about it today in order to be an interviewer to attempt
[00:00:56.800 --> 00:00:59.320]   to extract all its secrets out of my head.
[00:00:59.320 --> 00:01:01.840]   Does that sound about right, Jono?
[00:01:01.840 --> 00:01:03.360]   I think so, yeah.
[00:01:03.360 --> 00:01:04.440]   OK.
[00:01:04.440 --> 00:01:06.520]   I'm ready when you are.
[00:01:06.520 --> 00:01:07.000]   Cool.
[00:01:07.000 --> 00:01:08.960]   Well, maybe we should start with--
[00:01:08.960 --> 00:01:11.520]   do you want to pull up the landing page?
[00:01:11.520 --> 00:01:14.640]   And then I think there's a few different directions
[00:01:14.640 --> 00:01:16.040]   that I'd love to hear from you.
[00:01:16.040 --> 00:01:20.000]   One is the specifics of this library, how does it work?
[00:01:20.000 --> 00:01:22.640]   But maybe also, since especially this is the first developer
[00:01:22.640 --> 00:01:25.720]   chat and preview, we can also go into some of the meta questions
[00:01:25.720 --> 00:01:29.720]   like, when does something become a library like this?
[00:01:29.720 --> 00:01:32.200]   How is it built? What's the motivation?
[00:01:32.200 --> 00:01:33.400]   Et cetera, et cetera.
[00:01:33.400 --> 00:01:34.360]   Sounds good.
[00:01:34.360 --> 00:01:34.840]   All right.
[00:01:34.840 --> 00:01:40.720]   So here we are, the landing page.
[00:01:40.720 --> 00:01:43.480]   So it's a GitHub repo.
[00:01:43.480 --> 00:01:45.640]   It's a public repo.
[00:01:45.640 --> 00:01:51.160]   And in the top right is a link to the documentation.
[00:01:51.160 --> 00:01:53.600]   And the documentation that you see here, the index,
[00:01:53.600 --> 00:01:57.880]   is identical to the README.
[00:01:57.880 --> 00:02:02.800]   But it's better to read it here because it looks a bit better.
[00:02:02.800 --> 00:02:03.360]   Cool.
[00:02:03.360 --> 00:02:03.840]   Fantastic.
[00:02:03.840 --> 00:02:07.040]   And this is a library that people can pip install?
[00:02:07.040 --> 00:02:08.240]   Yep, exactly.
[00:02:08.240 --> 00:02:10.920]   Here it is, pip install Claudette.
[00:02:10.920 --> 00:02:14.960]   And you can just follow along.
[00:02:14.960 --> 00:02:18.080]   Hopefully, when you type the things in here,
[00:02:18.080 --> 00:02:20.280]   you'll get the same thing.
[00:02:20.280 --> 00:02:28.840]   Or you could-- so that main page is actually
[00:02:28.840 --> 00:02:31.760]   also an index.ipynb.
[00:02:31.760 --> 00:02:36.400]   So you could also open that up in Colab, for example.
