
[00:00:00.000 --> 00:00:18.000]   Thanks so much for having me. It's great to be here.
[00:00:18.000 --> 00:00:24.000]   My name is Grant. I am one of the co-founders and the CEO of Gamma.
[00:00:24.000 --> 00:00:28.000]   We are basically, as alluded to, building the anti-PowerPoint.
[00:00:28.000 --> 00:00:32.000]   So we are trying to reimagine how people create and share content.
[00:00:32.000 --> 00:00:34.000]   We want to make that dead simple.
[00:00:34.000 --> 00:00:38.000]   And this all started with kind of just trying to solve my own problem.
[00:00:38.000 --> 00:00:42.000]   I was previously doing consulting and, like many of us,
[00:00:42.000 --> 00:00:46.000]   have probably seen a page or a slide that looks like this, the blank slide,
[00:00:46.000 --> 00:00:50.000]   and just had this feeling like there's got to be a better way.
[00:00:50.000 --> 00:00:54.000]   And so we've been spending the past four years just really trying to reimagine the building blocks.
[00:00:54.000 --> 00:01:00.000]   How can we make it dramatically simpler so that we're not spending all this time designing, formatting boxes,
[00:01:00.000 --> 00:01:04.000]   aligning boxes, resizing them, figuring out the right layers.
[00:01:04.000 --> 00:01:10.000]   We can focus on the content itself and let it feel more like a content-first approach versus a design-first approach.
[00:01:10.000 --> 00:01:14.000]   And so, you know, we have grown over the years.
[00:01:14.000 --> 00:01:18.000]   And for us, we're really trying to deliver both speed and power to our users.
[00:01:18.000 --> 00:01:26.000]   A lot of what we pride ourselves in is giving people simple tools to really mold and shape their presentations, their content much simpler.
[00:01:26.000 --> 00:01:31.000]   And longer term, we're trying to build what we call tools for imagination.
[00:01:31.000 --> 00:01:40.000]   So this is the whole notion of how can we help people really sort of stretch, shape their ideas in a way that's way easier for them to share.
[00:01:40.000 --> 00:01:44.000]   And if we can do that, maybe we can help kind of push innovation forward in general.
[00:01:44.000 --> 00:01:54.000]   But this talk isn't about any of that because, you know, most of the talks today, really great talks around really innovation, obviously AI.
[00:01:54.000 --> 00:01:58.000]   It's very much a product, you know, centric lens that people are applying, which is amazing.
[00:01:58.000 --> 00:02:06.000]   I want to take a step back and, you know, I think a lot of founders are great at applying sort of first principles to thinking about how do I build product.
[00:02:06.000 --> 00:02:12.000]   And I would encourage everyone to think about we're in an era where we can also apply those first principles to think about how do we build a team?
[00:02:12.000 --> 00:02:14.000]   How do we innovate on org design?
[00:02:14.000 --> 00:02:25.000]   And we're obviously still learning ourselves, but I just want to share, you know, some of those lessons along the way to hopefully inspire you to all think about maybe there's a different way about building teams in the future.
[00:02:25.000 --> 00:02:28.000]   This is the old way. We're all used to this.
[00:02:28.000 --> 00:02:31.000]   You know, there's many, many different flavors of this.
[00:02:31.000 --> 00:02:39.000]   Once an organization starts getting big, inevitably you have a bunch of hierarchy and that could take shape in itself in many, many ways.
[00:02:39.000 --> 00:02:46.000]   And, you know, what traditionally happens is once a startup starts scaling, you'll bring on the sort of VP.
[00:02:46.000 --> 00:02:52.000]   The VP will go on and hire their directors. Directors will go on and hire their direct reports and you get this sort of cascading effect.
[00:02:52.000 --> 00:02:59.000]   And this happens across every single function. And you can go from a small team, a tiny team to a team that ends up becoming much, much bigger.
[00:02:59.000 --> 00:03:04.000]   And that can happen overnight. I mean, we've all lived probably through the blitz scaling phase of startups.
[00:03:04.000 --> 00:03:10.000]   And, you know, some of that still exists, but I do think there today can be maybe a new way.
[00:03:10.000 --> 00:03:16.000]   And for us, you know, we've reached over 50 million users now. We're still a team of 30.
[00:03:16.000 --> 00:03:19.000]   And in fact, this is only more recently that we've become a team of 30.
[00:03:19.000 --> 00:03:30.000]   And so, you know, again, these are things that we're still learning along the way and trying to think about what are some of the themes that we're starting to see that we can start talking about and sharing and obviously getting input from you all.
[00:03:30.000 --> 00:03:35.000]   And then for us to continue to learn, learn and adapt. So this kind of impacts three different pillars.
[00:03:35.000 --> 00:03:39.000]   The first pillar is obvious. Where do you begin? Who do you even hire for us?
[00:03:39.000 --> 00:03:42.000]   I want to talk a little bit about kind of the rise of the generalist.
[00:03:42.000 --> 00:03:47.000]   What does that look like in practice? The second is, OK, now that you have a team, how do you manage that team?
[00:03:47.000 --> 00:03:54.000]   I want to talk about this notion of introducing the player coach, something that is very critical to how we build and manage the team.
[00:03:54.000 --> 00:04:01.000]   And then the last is, how do you scale? You actually have a team, whether it's 10, 30 more, how do you actually prepare for the next phase?
[00:04:01.000 --> 00:04:07.000]   It doesn't mean you don't hire at all. It just means relative to maybe where you were to companies before, you're just much smaller.
[00:04:07.000 --> 00:04:14.000]   For us, you know, at our scale, I would say we're probably one tenth the size of what we would have been if we were started just a few years ago.
[00:04:14.000 --> 00:04:18.000]   So it's just a different way of like framing it.
[00:04:18.000 --> 00:04:24.000]   So let's first talk about kind of what I call the rise of the generalist and what does that mean?
[00:04:24.000 --> 00:04:31.000]   This notion of a generalist is, you know, in engineering, you might have an idea, this notion of like a full stack engineer.
[00:04:31.000 --> 00:04:33.000]   It applies to many different disciplines.
[00:04:33.000 --> 00:04:39.000]   This one concrete example I'll provide is, you know, a generalist on our team is our head of design.
[00:04:39.000 --> 00:04:42.000]   He was also happens to be our first hire.
[00:04:42.000 --> 00:04:46.000]   He is a designer that is both, you know, super visual.
[00:04:46.000 --> 00:04:48.000]   He actually knows how to code as well.
[00:04:48.000 --> 00:04:52.000]   And in addition to that, he can actually really go deep on the core UX.
[00:04:52.000 --> 00:04:55.000]   So he loves researching, talking to users, doing all of that.
[00:04:55.000 --> 00:04:59.000]   So that empowers him to really what I call kind of connect all the dots.
[00:04:59.000 --> 00:05:09.000]   You might be able to pull in and really empathize with, you know, your engineering counterpart by knowing like, okay, deeply what is, what are we actually capable of building?
[00:05:09.000 --> 00:05:15.000]   So that when you go off and vibe, go to prototype, it's actually something you can ship and actually deliver in production.
[00:05:15.000 --> 00:05:21.000]   And so understanding that comes with just being able to actually play with everything and have much deeper empathy for what you're building.
[00:05:21.000 --> 00:05:27.000]   He also has this really willingness to sort of adapt and reinvent himself.
[00:05:27.000 --> 00:05:33.000]   So every phase of growth, he's had to kind of change it up a little bit like early on when, you know, there's really no product itself.
[00:05:33.000 --> 00:05:39.000]   Like you're trying to think about, okay, what is the basic, most simple UI UX that we can deliver to a user?
[00:05:39.000 --> 00:05:43.000]   As a, as the product becomes much more complex, you need to iterate really fast.
[00:05:43.000 --> 00:05:52.000]   He's the one coding prototypes, getting in the hands of users, setting up user tests, interviewing them, getting feedback, getting that back into the hands of users, iterating that a ton.
[00:05:52.000 --> 00:05:59.000]   And then we're also at a scale now where he's also able to look across the team and actually provide, you know, guidance and mentorship.
[00:05:59.000 --> 00:06:03.000]   And I'll get into sort of player coach in a second, because he's actually one of those as well.
[00:06:03.000 --> 00:06:08.000]   Inherently, I think what makes a strong generalist is someone that both likes to learn.
[00:06:08.000 --> 00:06:10.000]   And likes to teach.
[00:06:10.000 --> 00:06:16.000]   And I think learning, it's one of those things like if you're a continuous learner, especially in this age, it's very valuable.
[00:06:16.000 --> 00:06:17.000]   There's so much innovation happening.
[00:06:17.000 --> 00:06:19.000]   Can you pick up new skills?
[00:06:19.000 --> 00:06:24.000]   And I think the counterpart of that is like people that are usually are great at learning can also be a great teacher.
[00:06:24.000 --> 00:06:29.000]   When we look for an interview process is someone that can teach someone else a new skill.
[00:06:29.000 --> 00:06:37.000]   Like that is baked into how we approach finding people is can they not only be deep, you know, domain experts in a space, can they articulate that in the way?
[00:06:37.000 --> 00:06:39.000]   Do they really have deep understanding?
[00:06:39.000 --> 00:06:42.000]   Can they convey and persuade others to kind of share in that understanding?
[00:06:42.000 --> 00:06:49.000]   Those are all things I think a great generalist can encapsulate and certainly stuff that we try to suss out during the interview process.
[00:06:49.000 --> 00:06:54.000]   The second notion is just introducing the notion of player coach.
[00:06:54.000 --> 00:07:03.000]   And some of you may have heard of this before this metaphor analogy comes from sports and American football.
[00:07:03.000 --> 00:07:10.000]   You have you have a sport that there is so much action going on all the time is the game on the field is moving incredibly fast.
[00:07:10.000 --> 00:07:16.000]   And what you can do is rather than just having the head coach make all the calls, make all the play, call all the plays.
[00:07:16.000 --> 00:07:21.000]   You can have a player coach some that's actually on the field help make some adjustments.
