
[00:00:00.000 --> 00:00:12.000]   these are
[00:00:12.000 --> 00:00:24.960]   there was a lot of big news um obviously this past week uh when a leaked draft of the supreme court's
[00:00:24.960 --> 00:00:34.320]   roe v wade decision uh was published uh by politico the draft opinion written by justice delito
[00:00:34.320 --> 00:00:40.320]   uh would turn roe v wade from a federal issue to a state issue now this is a bit above uh all of our
[00:00:40.320 --> 00:00:46.080]   pay grades so chamath had a really great idea to tap some people who are actual experts and
[00:00:46.080 --> 00:00:51.680]   uh in the supreme court uh chamath maybe you could introduce our guests i will and cue this up for us
[00:00:51.680 --> 00:00:54.880]   thank you great um so first i'd like to introduce you to the supreme court uh the supreme court uh
[00:00:54.880 --> 00:00:59.120]   is a very well-known and well-known media outlet for the supreme court and i'm going to introduce
[00:00:59.120 --> 00:01:07.520]   amy howe um amy uh until 2016 served as the editor and a reporter for scotus blog which is the um the
[00:01:07.520 --> 00:01:11.840]   premier blog that covers the supreme court she continues to serve as an independent contractor
[00:01:11.840 --> 00:01:18.400]   and reporter for scotus blog she also writes for her blog called how on the court and before
[00:01:18.400 --> 00:01:23.600]   turning to full-time blogging she was a counsel in over two dozen merits cases at the supreme court
[00:01:23.600 --> 00:01:24.800]   and argued two cases there
[00:01:24.800 --> 00:01:30.080]   and i'd also like to introduce her partner in scotus and also her partner in life tom goldstein
[00:01:30.080 --> 00:01:34.480]   another dear friend of mine over the past 15 years tom has served as one of the lawyers for
[00:01:34.480 --> 00:01:40.000]   one of the parties in just under 10 percent of all the cases argued before the supreme court he has
[00:01:40.000 --> 00:01:45.360]   argued 43 cases himself and two that i've seen in the past year and two that i've seen in the past
[00:01:45.360 --> 00:01:49.520]   year and two that i've seen in the past year and two that i've seen in the past year and two that
[00:01:49.520 --> 00:01:54.720]   i've seen in the past year and two that i've seen in the past year and two that i've seen in the past year
[00:01:54.720 --> 00:01:54.960]   and two that i've seen in the past year and two that i've seen in the past year and two that i've
[00:01:54.960 --> 00:01:55.040]   seen in the past year and two that i've seen in the past year and two that i've seen in the past year
[00:01:55.040 --> 00:02:00.480]   are probably a little bit near and dear to all of our hearts uh in 2000 tom served as second chair
[00:02:00.480 --> 00:02:05.520]   for lawrence tribe and david bowies on behalf of vice president al gore and bush v gore
[00:02:05.520 --> 00:02:12.480]   and most recently he represented google in a fair use copyright infringement case
[00:02:12.480 --> 00:02:19.680]   google versus oracle um about the use of java apis um and so tom and amy thank you guys for
[00:02:19.680 --> 00:02:24.640]   giving us um your precious time welcome to the pod thanks for having us thanks for having us
[00:02:24.640 --> 00:02:28.720]   i was a little nervous about what the introduction was going to be like so thank you so guys there's a
[00:02:28.720 --> 00:02:35.120]   there's a million questions um to start with or that we can go but uh maybe just to frame the
[00:02:35.120 --> 00:02:41.760]   issue um can you guys just first walk us through the original roe v wade decision
[00:02:41.760 --> 00:02:48.320]   um how it was made and the rights that it conferred and then maybe we can go from there
[00:02:48.320 --> 00:02:53.920]   and talk about um what has happened as a result of the way it was written and the and and the
[00:02:54.560 --> 00:03:01.920]   the the judgment as it as it stood sure roe v wade back in the early 1970s was a decision by
[00:03:01.920 --> 00:03:09.440]   justice harry blackman in which the court held for the first time that there is a constitutional right
[00:03:09.440 --> 00:03:17.200]   to an abortion and at that point the court ruled that it was regulated by time up through the
[00:03:17.200 --> 00:03:22.640]   trimesters am i getting this right tom yeah and then in 1992 in a case called planned parenthood
[00:03:22.640 --> 00:03:24.480]   versus casey that was the time when the court ruled that it was a constitutional right to an abortion
[00:03:24.480 --> 00:03:30.800]   and that was an earlier effort to overrule roe versus wade because abortion opponents started
[00:03:30.800 --> 00:03:37.520]   pretty quickly trying to overturn roe versus wade and so in 1992 in a case called planned
[00:03:37.520 --> 00:03:43.680]   parenthood versus casey the supreme court did not overrule rowe in fact reaffirmed it
[00:03:43.680 --> 00:03:47.280]   but switched the test a little bit the constitutional test to decide whether
[00:03:47.280 --> 00:03:54.400]   other abortion restrictions can stand and this was a decision by justices david sue
[00:03:54.400 --> 00:04:00.320]   andrew day o'connor who were all appointed by republican presidents and they said there's a
[00:04:00.320 --> 00:04:05.920]   constitutional right to an abortion up until the point at which the fetus becomes viable which these
[00:04:05.920 --> 00:04:12.800]   days is somewhere around 24 the 24th week of pregnancy but states can regulate abortions as
[00:04:12.800 --> 00:04:18.160]   long as they don't impose an undue burden on the woman's right to an abortion i was just going to
[00:04:18.160 --> 00:04:24.320]   tack on like what's sitting underneath roe because that ends up being a big deal these days but i'm
[00:04:24.320 --> 00:04:28.160]   not sure what the contrarian approach is but i think that's a really important question and i'm
[00:04:28.160 --> 00:04:31.280]   going to ask roe so i'm going to ask roe about the constitutional right to an abortion and i'm going
[00:04:31.280 --> 00:04:34.240]   to ask roe about the constitutional right to an abortion and i'm going to ask roe about the
[00:04:34.240 --> 00:04:36.160]   constitutional right to an abortion and i'm going to ask roe about the constitutional right to an
[00:04:36.160 --> 00:04:38.160]   abortion and i'm going to ask roe about the constitutional right to an abortion and i'm going
[00:04:38.160 --> 00:04:40.160]   to ask roe about the constitutional right to an abortion and i'm going to ask roe about the
[00:04:40.160 --> 00:04:42.880]   constitutional right to an abortion and i'm going to ask roe about the constitutional right to an
[00:04:42.880 --> 00:04:45.360]   abortion and i'm going to ask roe about the constitutional right to an abortion and i'm going
[00:04:45.360 --> 00:04:46.960]   to ask roe about the constitutional right to an abortion and i'm going to ask roe about the
[00:04:46.960 --> 00:04:48.960]   constitutional right to an abortion and i'm going to ask roe about the constitutional right to an
[00:04:48.960 --> 00:04:50.960]   abortion and i'm going to ask roe about the constitutional right to an abortion and i'm going
[00:04:50.960 --> 00:04:53.760]   to ask roe about the constitutional right to an abortion and i'm going to ask roe about the
[00:04:53.760 --> 00:04:54.880]   constitutional right to an abortion and i'm going to ask roe about the constitutional right to an
[00:04:54.880 --> 00:04:55.840]   abortion and i'm going to ask roe about the constitutional right to an abortion and i'm going
[00:04:55.840 --> 00:04:57.840]   to ask roe about the constitutional right to an abortion and i'm going to ask roe about the
[00:04:57.840 --> 00:04:58.880]   constitutional right to an abortion and i'm going to ask roe about the constitutional right to an
[00:04:58.880 --> 00:04:59.920]   abortion and i'm going to ask roe about the constitutional right to an abortion and i'm
[00:04:59.920 --> 00:05:01.840]   going to ask roe about the constitutional right to an abortion and i'm going to ask roe about the
[00:05:01.840 --> 00:05:03.920]   constitutional right to an abortion and i'm going to ask roe about the constitutional right to an
[00:05:03.920 --> 00:05:05.920]   abortion and i'm going to ask roe about the constitutional right to an abortion and i'm going
[00:05:05.920 --> 00:05:07.760]   to ask roe about the constitutional right to an abortion and i'm going to ask roe about the
[00:05:07.760 --> 00:05:09.120]   constitutional right to an abortion and i'm going to ask roe about the constitutional right to an
[00:05:09.120 --> 00:05:12.160]   abortion and i'm going to ask roe about the constitutional right to an abortion and i'm going
[00:05:12.160 --> 00:05:15.040]   to ask roe about the constitutional right to an abortion and i'm going to ask roe about the
[00:05:15.040 --> 00:05:16.000]   constitutional right to an abortion and i'm going to ask roe about the constitutional right to an
[00:05:16.000 --> 00:05:16.880]   abortion and i'm going to ask roe about the constitutional right to an abortion and i'm going
[00:05:16.880 --> 00:05:17.680]   to ask roe about the constitutional right to an abortion and i'm going to ask roe about the
[00:05:17.680 --> 00:05:18.560]   constitutional right to an abortion and i'm going to ask roe about the constitutional right to an
[00:05:18.560 --> 00:05:19.520]   abortion and i'm going to ask roe about the constitutional right to an abortion and i'm going
[00:05:19.520 --> 00:05:24.640]   kind of thing like you made this up it's not in the constitution and those two threads have come
[00:05:24.640 --> 00:05:30.180]   together and have been at the root of this 50-year battle over rome in fact before we unpack that
[00:05:30.180 --> 00:05:33.860]   maybe you want to just define for people as i understood as i've been learning about this this
[00:05:33.860 --> 00:05:39.660]   week there's this one sort of moral spectrum between liberalism and conservatism but then
[00:05:39.660 --> 00:05:45.200]   there's this orthogonal form of like originalism i guess is what folks call it can you just define
[00:05:45.200 --> 00:05:49.400]   those terms so everybody understands what what we're talking about sure so you know in ordinary
[00:05:49.400 --> 00:05:55.580]   politics we do think of um conservatism and then kind of more libertarianism a kind of peter teal
[00:05:55.580 --> 00:06:00.300]   uh get the government out of my life and conservatives do believe that the government
[00:06:00.300 --> 00:06:04.760]   has an important role frequently conservatives believe this an important role in regulating
[00:06:04.760 --> 00:06:09.060]   abortion and prohibiting an abortion whereas a libertarian be more likely to say no this is my
[00:06:09.060 --> 00:06:14.380]   body my choice for example and so that's kind of along the political spectrum in the legal spectrum
[00:06:14.380 --> 00:06:19.280]   you have this sense of people there are a set of conservatives in particular
[00:06:19.280 --> 00:06:23.920]   principally who think that the constitution should be interpreted today the way that it
[00:06:23.920 --> 00:06:27.680]   would have been understood the day that it was enacted or that an amendment to the constitution
[00:06:27.680 --> 00:06:33.600]   was enacted so that the 14th amendment to the constitution for example prohibits depriving
[00:06:33.600 --> 00:06:39.360]   someone of liberty or property without due process of law and they would say well what
[00:06:39.360 --> 00:06:45.040]   was due process of law at that time what was liberty at that time whereas a more progressive
[00:06:45.040 --> 00:06:49.160]   constitutionalist somebody more on the left would say look no uh the
[00:06:49.160 --> 00:06:52.100]   There are lots of things that aren't enumerated in the constitution, including,
