
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:05.360]   - Well, happy new year.
[00:00:05.360 --> 00:00:08.440]   As we enter 2019 on this podcast,
[00:00:08.440 --> 00:00:10.680]   our seventh year now of Pastor John,
[00:00:10.680 --> 00:00:12.880]   you're about to head off to the cross conference
[00:00:12.880 --> 00:00:15.080]   in Louisville, which begins a Wednesday night.
[00:00:15.080 --> 00:00:19.600]   Over 7,000 are registered, which is super encouraging,
[00:00:19.600 --> 00:00:22.480]   and I just pray that God would bless the conference
[00:00:22.480 --> 00:00:25.960]   and he would use it to raise up hundreds of missionaries
[00:00:25.960 --> 00:00:29.000]   that will give their lives to the nations.
[00:00:29.000 --> 00:00:30.720]   Which is what the conference is about.
[00:00:30.720 --> 00:00:32.760]   There, Pastor John, you're going to deliver
[00:00:32.760 --> 00:00:35.000]   a missionary biography and a plenary session.
[00:00:35.000 --> 00:00:36.800]   But before you head off to the airport,
[00:00:36.800 --> 00:00:39.680]   we're talking about Bible reading in 2019.
[00:00:39.680 --> 00:00:41.280]   And here's today's question.
[00:00:41.280 --> 00:00:44.160]   Hello, Pastor John, I am Kennedy from Uganda.
[00:00:44.160 --> 00:00:45.640]   I have been listening to your sermons
[00:00:45.640 --> 00:00:47.920]   and I thank God for using you to impact our lives
[00:00:47.920 --> 00:00:49.420]   through the word that you preach.
[00:00:49.420 --> 00:00:52.400]   My question, whenever I'm reading the Bible,
[00:00:52.400 --> 00:00:54.580]   I find it hard to understand what the author intended
[00:00:54.580 --> 00:00:56.800]   for me to understand when he wrote it.
[00:00:56.800 --> 00:00:59.280]   Currently, I'm doing my devotions in the book of Genesis,
[00:00:59.280 --> 00:01:01.840]   but I so often find myself totally blank
[00:01:01.840 --> 00:01:03.760]   after I've read a text.
[00:01:03.760 --> 00:01:06.520]   What's the first basic skill in Bible reading
[00:01:06.520 --> 00:01:09.480]   to find meaning for myself?
[00:01:09.480 --> 00:01:13.080]   - Now, I know that our friend from Uganda
[00:01:13.080 --> 00:01:17.440]   is asking about the first basic skill
[00:01:17.440 --> 00:01:20.080]   to use his language in Bible reading.
[00:01:20.080 --> 00:01:23.720]   But based on the description of what's happening
[00:01:23.720 --> 00:01:26.260]   when he reads, I want to come at his question
[00:01:26.260 --> 00:01:27.360]   a little differently.
[00:01:27.360 --> 00:01:32.800]   Instead of giving just one basic skill,
[00:01:32.800 --> 00:01:36.520]   since I don't think that's the key
[00:01:36.520 --> 00:01:39.400]   when in our devotions we find ourselves blank,
[00:01:39.400 --> 00:01:43.520]   which he says he does, he's not the only one, by the way.
[00:01:43.520 --> 00:01:47.240]   It's not just a problem for beginners,
[00:01:47.240 --> 00:01:50.280]   but for me as well at times.
[00:01:50.280 --> 00:01:54.720]   So let me point to three things that are essential
[00:01:54.720 --> 00:01:58.800]   to ongoing fruitful encounter with God
[00:01:58.800 --> 00:02:02.840]   and his intended truth through the Bible.
[00:02:02.840 --> 00:02:05.400]   And I can describe these three things
[00:02:05.400 --> 00:02:08.740]   that I hope will be helpful in three ways.
[00:02:08.740 --> 00:02:13.640]   I could call them motivation, skill, and illumination,
[00:02:13.640 --> 00:02:17.120]   or I could call them the want to,
[00:02:17.120 --> 00:02:22.000]   and the able to, and the see-through.
[00:02:22.000 --> 00:02:27.000]   Or I could call them the desire, and the act,
