
[00:00:00.000 --> 00:00:03.080]   (projector whirring)
[00:00:03.080 --> 00:00:18.280]   - Welcome back to Portfolio Rescue.
[00:00:18.280 --> 00:00:19.900]   Most people are outside enjoying the sun right now.
[00:00:19.900 --> 00:00:22.440]   We're in here talking finance, 'cause that's what we do.
[00:00:22.440 --> 00:00:25.840]   Today's Portfolio Rescue is sponsored by Innovator ETFs.
[00:00:25.840 --> 00:00:27.840]   Duncan, the second quarter of 2022
[00:00:27.840 --> 00:00:29.240]   was one of the worst quarterly returns
[00:00:29.240 --> 00:00:30.440]   in the history of the US stock market.
[00:00:30.440 --> 00:00:32.040]   John, throw up this chart here.
[00:00:32.040 --> 00:00:33.680]   I looked back, going back to the late 1920s.
[00:00:33.680 --> 00:00:34.880]   The worst quarterly returns, you can see,
[00:00:34.880 --> 00:00:39.140]   16% and change as of 6/30/2022.
[00:00:39.140 --> 00:00:42.880]   Some of the worst ones are out a lot in the '30s, 1987.
[00:00:42.880 --> 00:00:45.800]   You can see there's only been, by my count,
[00:00:45.800 --> 00:00:48.920]   a handful of times that it's ever gone over 20%.
[00:00:48.920 --> 00:00:52.740]   Going back to the 1920s, it's like 2% of the time, right?
[00:00:52.740 --> 00:00:55.560]   Now, Innovator ETFs has this defined outcome ETF
[00:00:55.560 --> 00:00:58.480]   called the Innovator Defined Wealth Shield ETF.
[00:00:58.480 --> 00:01:01.320]   Basically, it tracks the return of the S&P to a cap,
[00:01:01.320 --> 00:01:02.520]   and it's on a quarterly basis,
[00:01:02.520 --> 00:01:04.680]   so we're looking at a three-month outcome.
[00:01:04.680 --> 00:01:07.800]   And basically, you get 2.4% of upside,
[00:01:07.800 --> 00:01:11.640]   but you're protected to 20% downside every quarter.
[00:01:11.640 --> 00:01:13.040]   So, their thinking here is,
[00:01:13.040 --> 00:01:14.940]   most of the time, the stock market goes up,
[00:01:14.940 --> 00:01:18.400]   and you're gonna get at least 2.4% per quarter,
[00:01:18.400 --> 00:01:20.420]   and you're protected to 20% downside,
[00:01:20.420 --> 00:01:21.840]   which, again, happens roughly,
[00:01:21.840 --> 00:01:24.280]   they looked back to 1950, and it happens 4% of the time.
[00:01:24.280 --> 00:01:26.720]   Then, going back to 1928, it's 2%.
[00:01:26.720 --> 00:01:28.400]   So, basically, if you're looking
[00:01:28.400 --> 00:01:30.200]   just to get a smaller return
[00:01:30.200 --> 00:01:31.800]   and be really protected to the downside,
[00:01:31.800 --> 00:01:32.900]   you really think the stock market
[00:01:32.900 --> 00:01:33.920]   is gonna roll over again, right?
[00:01:33.920 --> 00:01:35.720]   You're one of these people that thinks it's gonna crash.
[00:01:35.720 --> 00:01:36.800]   This is your thing.
[00:01:36.800 --> 00:01:41.240]   You're protected for a 20% buffer over a three-month period.
[00:01:41.240 --> 00:01:42.520]   Pretty interesting.
[00:01:42.520 --> 00:01:45.840]   Sorry, to learn more, InnovatorETFs.com
[00:01:45.840 --> 00:01:47.760]   to learn more about their defined outcome strategies.
[00:01:47.760 --> 00:01:48.960]   A lot of people have questions about these.
[00:01:48.960 --> 00:01:51.720]   A lot of people like how they define the ranges.
[00:01:51.720 --> 00:01:53.620]   Go there to learn more, they have a lot of tools.
[00:01:53.620 --> 00:01:54.460]   All right, Duncan.
[00:01:54.460 --> 00:01:56.040]   - Yeah, and if you're interested in them,
[00:01:56.040 --> 00:01:57.960]   be sure to click the link.
[00:01:57.960 --> 00:01:59.400]   It makes us look good, yeah, right?
[00:01:59.400 --> 00:02:00.880]   Sending traffic their way, yeah.
[00:02:00.880 --> 00:02:01.840]   - Yes, Duncan likes it
[00:02:01.840 --> 00:02:04.360]   when you hit all the stuff below here in YouTube.
[00:02:04.360 --> 00:02:06.440]   All right, Duncan, since just before the onset
[00:02:06.440 --> 00:02:08.400]   of the pandemic, July 2020,
[00:02:08.400 --> 00:02:11.380]   think about much simpler times, right?
[00:02:11.380 --> 00:02:15.380]   The S&P 500 is up since then, 27% in total.
[00:02:15.380 --> 00:02:18.560]   On an annualized basis, that's roughly 10% per year, right?
[00:02:18.560 --> 00:02:20.960]   Over the last two and a half years and change,
[00:02:20.960 --> 00:02:22.320]   10% per year, right?
[00:02:22.320 --> 00:02:23.960]   Not bad, right?
[00:02:23.960 --> 00:02:24.960]   - Sounds good. - We'll take it.
[00:02:24.960 --> 00:02:26.800]   Just think about all we've gone through in that time.
[00:02:26.800 --> 00:02:30.600]   Pandemics, lockdowns, negative oil prices, supply shocks,
[00:02:30.600 --> 00:02:33.320]   geopolitical crises, 40-year high inflation, all this stuff,
[00:02:33.320 --> 00:02:35.700]   and yet the stock market has returned 10% a year.
[00:02:35.700 --> 00:02:36.600]   People in the comments will probably say,
[00:02:36.600 --> 00:02:39.440]   "Yeah, we gave $6 trillion at it," whatever.
