
[00:00:00.000 --> 00:00:14.120]   Welcome to Boogleheads on Investing, episode number 73.
[00:00:14.120 --> 00:00:19.300]   In this episode, I'll be talking with Christine Benz, the Director of Personal Finance and
[00:00:19.300 --> 00:00:23.240]   Retirement Planning for Morningstar and a Senior Columnist for Morningstar.com.
[00:00:23.240 --> 00:00:26.680]   And we'll be discussing her new book, How to Retire.
[00:00:26.680 --> 00:00:43.340]   Hi, everyone. My name is Rick Ferry, and I am the host of Boogleheads on Investing.
[00:00:43.340 --> 00:00:49.980]   This episode, as with all episodes, is brought to you by the John C. Boogle Center for Financial
[00:00:49.980 --> 00:00:55.140]   Literacy, a nonprofit organization that is building a world of well-informed, capable,
[00:00:55.140 --> 00:01:01.980]   and empowered investors. Visit the Boogle Center at booglecenter.net, where you will find a
[00:01:01.980 --> 00:01:07.820]   treasure trove of information, including transcripts of these podcasts. Before we begin, I have one
[00:01:07.820 --> 00:01:15.220]   announcement. Tickets for the 2024 Boogleheads Conference in Minneapolis, Minnesota are on sale
[00:01:15.220 --> 00:01:20.580]   at booglecenter.net, and I'll be discussing the incredible agenda with Christine in a couple of
[00:01:20.580 --> 00:01:26.260]   minutes. Our repeat guest today is Christine Benz, the Director of Personal Finance and Retirement
[00:01:26.260 --> 00:01:32.740]   Planning for Morningstar and a Senior Columnist for Morningstar.com. She also co-hosts a podcast for
[00:01:32.740 --> 00:01:38.200]   Morningstar, The Long View. She is widely quoted in the media, including the New York Times, Wall Street
[00:01:38.200 --> 00:01:46.300]   Journal, Barron's, CNBC, and PBS. Barron's named her to a list of the 100 Most Influential Women in Finance
[00:01:46.300 --> 00:01:53.840]   in 2020 and 2021, and as one of the 10 Most Influential Women in Wealth Management in 2021.
[00:01:53.840 --> 00:01:59.880]   She is the author of The 30-Minute Money Solution and co-author of Morningstar's Guide to Mutual Fund's
[00:01:59.880 --> 00:02:06.500]   Five Star Strategies for Success. Her new book, coming out on September 17th, is called How to Retire.
[00:02:06.500 --> 00:02:08.960]   And that's what our discussion is going to be about today.
[00:02:09.140 --> 00:02:15.320]   So with no further ado, let's welcome back Christine Benz. Welcome back to the Bogleheads
[00:02:15.320 --> 00:02:17.100]   on Investing podcast, Christine.
[00:02:17.100 --> 00:02:22.440]   Rick, it's so great to be with you. It's my honor to be here, and you know I love the Bogleheads,
[00:02:22.440 --> 00:02:26.160]   so I love having the chance to talk about this book with them.
[00:02:26.160 --> 00:02:32.420]   You are not just helping the Bogleheads, you are the president of the John C. Bogle Center for Financial
[00:02:32.420 --> 00:02:39.820]   Literacy, who happens to be putting on a conference next month in Minneapolis. And tell us a little bit
[00:02:39.820 --> 00:02:40.300]   about that.
[00:02:40.300 --> 00:02:47.300]   Sure. And Rick, you are my co-collaborator on this conference, and I succeeded you as president of the
[00:02:47.300 --> 00:02:54.120]   Bogle Center. But this conference is an expansion of a conference that we did for many years, mainly in
[00:02:54.120 --> 00:02:59.980]   the Philadelphia area when Jack Bogle was still alive. We have decided to move it from city to city
[00:02:59.980 --> 00:03:07.380]   since Jack passed away and since we came through the post-COVID period. So this year's conference is
[00:03:07.380 --> 00:03:14.660]   going to be up in Minneapolis. We have a lively Bogleheads chapter in the Minneapolis area, and they
[00:03:14.660 --> 00:03:22.220]   had indicated that they were happy to help us identify the venue and source volunteers. So we want it to be
[00:03:22.220 --> 00:03:28.060]   kind of a grassroots effort because we have these fantastic chapters that are doing wonderful work
[00:03:28.060 --> 00:03:35.720]   already. So we have, I think, one of our best rosters ever. Each year, I think, well, this is the best we've
[00:03:35.720 --> 00:03:42.860]   ever done. But this year, it really is just a fabulous lineup of individuals, all of whom have volunteered
[00:03:42.860 --> 00:03:49.100]   their time to be there. I think that's an important component of this Bogleheads conference. There's no pay to
[00:03:49.100 --> 00:03:54.940]   play, there are no booths, there's no marketing, no advertising, none of the things for people who have
[00:03:54.940 --> 00:04:00.780]   been to any sort of financial conference, none of those trappings. You won't see the breakfast breaks
[00:04:00.780 --> 00:04:07.820]   sponsored by iShares or anything like nothing against iShares, but we do not have any of those sponsorships.
[00:04:07.820 --> 00:04:15.580]   It's just paid for by each attendee's registration fee, and each of the speakers has volunteered their
[00:04:15.580 --> 00:04:22.620]   time to be there. And in many cases, these are speakers who fetch a pretty good speaker fee
[00:04:22.620 --> 00:04:27.660]   on the open market when they are speaking at various financial conferences. But everyone's there for free,
[00:04:27.660 --> 00:04:34.540]   so it's all in the spirit of education and improving all of the conference attendees' financial well-being.
[00:04:34.540 --> 00:04:42.380]   So I always learn a lot. I think people will learn a lot. Last year in Washington DC, that was a near sellout, maybe a sellout.
[00:04:42.380 --> 00:04:56.220]   We had close to 500 attendees. I'm expecting the same mish for Minneapolis, so people shouldn't tarry. I expect that we at some point may fully sell out, which would be about 500 people.
[00:04:56.220 --> 00:05:04.060]   Oh, that's fantastic. Oh, I'm looking forward to it. There's a tremendous roster of speakers there, and you get to meet all the speakers too. Everybody is
[00:05:04.060 --> 00:05:14.060]   there walking around, milling around, and corner them if you can, and ask them whatever questions you wish to ask. So, again, that's in Minneapolis, Minnesota. The dates?
[00:05:14.060 --> 00:05:23.900]   September 27th through 29th. And one thing, Rick, I would mention for this year's conference, a couple of interesting emphases.
[00:05:23.900 --> 00:05:50.380]   One is, I know a lot of Vogelheads are interested in safe withdrawal rates, and we just have a power team to discuss safe withdrawal rates. William Bangian, who many people know as the father of the 4% guideline, will be there. Karsten Geske, who is a FIRE participant. He's financial independence, retire early, but talks about safe spending guidelines when you have a very long time horizon.
