
[00:00:00.000 --> 00:00:04.000]   [Music]
[00:00:04.000 --> 00:00:07.000]   Don't fight sin like a victim of sin.
[00:00:07.000 --> 00:00:12.000]   Fight sin like the victor over sin that you are in Jesus Christ.
[00:00:12.000 --> 00:00:16.000]   That's the punchline of a powerful sermon clip sent to us by Nathan.
[00:00:16.000 --> 00:00:18.000]   Nathan is a podcast listener.
[00:00:18.000 --> 00:00:22.000]   He emailed me the clip calling it "one of the most influential clips I have ever come across."
[00:00:22.000 --> 00:00:26.000]   And he goes on to say, "The most impactful line that hit my heart two summers ago," he writes,
[00:00:26.000 --> 00:00:31.000]   "was the line about fighting sin like a victor, not a victim.
[00:00:31.000 --> 00:00:37.000]   Rather than feel defeated, God wants us to have confidence that the war is won in Him."
[00:00:37.000 --> 00:00:38.000]   Amen, Nathan.
[00:00:38.000 --> 00:00:44.000]   It's a good summary of a really good clip from Pastor John's 2001 sermon on Romans 8, verses 1-4.
[00:00:44.000 --> 00:00:46.000]   Here's Pastor John.
[00:00:46.000 --> 00:00:51.000]   In Christ, now, we see there are two things true of us.
[00:00:51.000 --> 00:00:56.000]   Verse 1 has the same phrase, "In Christ Jesus."
[00:00:56.000 --> 00:00:58.000]   Verse 2, "In Christ Jesus."
[00:00:58.000 --> 00:00:59.000]   What are we?
[00:00:59.000 --> 00:01:01.000]   In Christ Jesus in verse 1.
[00:01:01.000 --> 00:01:05.000]   "There is therefore now no condemnation to those who are in Christ Jesus."
[00:01:05.000 --> 00:01:12.000]   So the first thing we can say about being in Christ Jesus is that the verdict is delivered and we are not condemned.
[00:01:12.000 --> 00:01:14.000]   It's passed. The trial is over.
[00:01:14.000 --> 00:01:17.000]   No condemnation in Christ Jesus.
[00:01:17.000 --> 00:01:23.000]   And then verse 2 says, "The law of the Spirit of life in Christ Jesus has set you free."
[00:01:23.000 --> 00:01:29.000]   So we have pardon and we now have power in Christ Jesus.
[00:01:29.000 --> 00:01:34.000]   You don't get into Christ Jesus without having both of those made over to you.
[00:01:34.000 --> 00:01:37.000]   There's pardon in Christ. There's power in Christ.
[00:01:37.000 --> 00:01:41.000]   You don't get into Christ and say, "I've got the pardon and not the power. I've got the power and not the pardon."
[00:01:41.000 --> 00:01:45.000]   In Christ, you get them both or you don't get them.
[00:01:45.000 --> 00:01:46.000]   You're not in Christ.
[00:01:46.000 --> 00:01:54.000]   If you put your faith in Jesus, you get united to Jesus and in Jesus there's no condemnation and there is power.
[00:01:54.000 --> 00:01:57.000]   Now, here's the question.
[00:01:57.000 --> 00:02:10.000]   How does the working of the power towards liberation and transformation relate to the declaration that I have no condemnation?
[00:02:10.000 --> 00:02:13.000]   And this is not nitpicking.
[00:02:13.000 --> 00:02:15.000]   This is your life.
[00:02:15.000 --> 00:02:19.000]   You get these backwards, you die.
[00:02:19.000 --> 00:02:23.000]   You get them right and live it, you live.
[00:02:23.000 --> 00:02:29.000]   So, what's the order between verses 1 and 2?
[00:02:29.000 --> 00:02:34.000]   Notice the word "for" at the beginning of verse 2.
[00:02:34.000 --> 00:02:38.000]   You might wish it weren't there.
[00:02:38.000 --> 00:02:42.000]   There is now no condemnation for those who are in Christ Jesus.
[00:02:42.000 --> 00:02:49.000]   NIV says "because." The other versions say "for." They mean the same thing.
[00:02:49.000 --> 00:02:58.000]   "For" or "because" the law of the Spirit of life in Christ Jesus sets you free from the law of sin and death.
[00:02:58.000 --> 00:03:05.000]   So, what's the relationship between justification in verse 1 and sanctification in verse 2?
[00:03:05.000 --> 00:03:10.000]   Well, before you answer too quickly, take something into account.
[00:03:10.000 --> 00:03:19.000]   The meaning of "for" or "because" both in English and Greek, both in apostolic language and your language, has two meanings.
[00:03:19.000 --> 00:03:30.000]   One is "for" or "because" can introduce a basis or ground or reason that something is.
[00:03:30.000 --> 00:03:36.000]   Or it can introduce the evidence that you know something is.
[00:03:36.000 --> 00:03:39.000]   Give you an example from your language.
[00:03:39.000 --> 00:03:45.000]   "I'm really hungry because my stomach is growling."
[00:03:45.000 --> 00:03:51.000]   Or you can say, "I'm really hungry because I skipped breakfast."
[00:03:51.000 --> 00:03:58.000]   And "because" in those two sentences have radically different meanings.
[00:03:58.000 --> 00:04:03.000]   A growling stomach is not the basis of hunger.
[00:04:03.000 --> 00:04:07.000]   It's the effect and evidence of hunger.
[00:04:07.000 --> 00:04:10.000]   And we use the word "because."
[00:04:10.000 --> 00:04:14.000]   "I'm really hungry because my stomach is growling."
[00:04:14.000 --> 00:04:19.000]   But if I say, "I'm really hungry because I skipped breakfast."
[00:04:19.000 --> 00:04:25.000]   Well, we know that skipping breakfast is the cause of the hunger and is the ground and basis of the hunger.
[00:04:25.000 --> 00:04:32.000]   So, here's my question for the relationship between verses 1 and 2 of Romans 8.
[00:04:32.000 --> 00:04:38.000]   Which meaning of "because" is here?
[00:04:38.000 --> 00:04:52.000]   Is he saying, "There is therefore now no condemnation because look, you are being transformed by the Spirit of God bearing witness that you are free."
