
[00:00:00.000 --> 00:00:01.080]   That's today's deep question.
[00:00:01.080 --> 00:00:03.260]   The deep question we're gonna explore today,
[00:00:03.260 --> 00:00:05.360]   how can I significantly decrease the footprint
[00:00:05.360 --> 00:00:10.360]   of my remote job without anyone noticing?
[00:00:10.360 --> 00:00:12.940]   (upbeat music)
[00:00:12.940 --> 00:00:19.880]   I'm Cal Newport, and this is Deep Questions,
[00:00:19.880 --> 00:00:21.840]   the show about living and working deeply
[00:00:21.840 --> 00:00:24.440]   in an increasingly distracted world.
[00:00:28.600 --> 00:00:31.400]   I'm here at my Deep Work HQ,
[00:00:31.400 --> 00:00:34.900]   joined as always by my producer, Jesse.
[00:00:34.900 --> 00:00:36.400]   Jesse, we're coming up to a milestone,
[00:00:36.400 --> 00:00:39.920]   a random milestone for the show, but one nonetheless.
[00:00:39.920 --> 00:00:41.320]   10 million downloads.
[00:00:41.320 --> 00:00:42.680]   Really? Yeah.
[00:00:42.680 --> 00:00:43.920]   Wow.
[00:00:43.920 --> 00:00:46.440]   We'll be there in a month or so.
[00:00:46.440 --> 00:00:47.840]   That's a lot.
[00:00:47.840 --> 00:00:48.840]   Yeah, I mean, I don't know,
[00:00:48.840 --> 00:00:49.980]   these numbers are kind of arbitrary,
[00:00:49.980 --> 00:00:52.960]   but as someone who was on my publishing team,
[00:00:52.960 --> 00:00:56.640]   they needed updated numbers for internal whatever,
[00:00:56.640 --> 00:00:58.920]   'cause my book, and I was sitting along the numbers,
[00:00:58.920 --> 00:01:00.300]   and they said, "That's a lot of zeros."
[00:01:00.300 --> 00:01:02.840]   So we're adding, we're about to add a new zero
[00:01:02.840 --> 00:01:04.820]   to our list of downloads.
[00:01:04.820 --> 00:01:05.660]   Wow.
[00:01:05.660 --> 00:01:08.360]   Little known fact,
[00:01:08.360 --> 00:01:10.900]   podcasts monetize at about $10 per download,
[00:01:10.900 --> 00:01:15.040]   so we've made $100 million off of this show.
[00:01:15.040 --> 00:01:16.040]   That's how it works.
[00:01:16.040 --> 00:01:19.700]   Oh, well.
[00:01:19.700 --> 00:01:22.160]   Anyways, I saw something.
[00:01:22.160 --> 00:01:24.760]   I saw something in the newspaper recently
[00:01:24.760 --> 00:01:28.840]   that was doing what we could think of as a reality check
[00:01:28.840 --> 00:01:30.760]   on some predictions I've been making,
[00:01:30.760 --> 00:01:32.920]   and I think it's good for us to hold ourselves accountable,
[00:01:32.920 --> 00:01:34.520]   so I wanted to load this up real quick.
[00:01:34.520 --> 00:01:39.320]   I saw this in my hometown paper, "The Washington Post,"
[00:01:39.320 --> 00:01:41.240]   and this was, I don't know, a week or two ago
[00:01:41.240 --> 00:01:42.080]   that I saw this.
[00:01:42.080 --> 00:01:43.000]   I've loaded it on the screen,
[00:01:43.000 --> 00:01:47.640]   so if you're watching this at youtube.com/calnewportmedia,
[00:01:47.640 --> 00:01:50.720]   this is episode 236, you'll see this on the screen,
[00:01:50.720 --> 00:01:52.880]   but I'll narrate it for those who are listening.
[00:01:52.880 --> 00:01:55.880]   It was a cover article, actually, in the paper version,
[00:01:55.880 --> 00:01:58.440]   the business section of the paper version of the paper,
[00:01:58.440 --> 00:01:59.280]   and the headline is,
[00:01:59.280 --> 00:02:01.960]   "America's offices are now half full.
[00:02:01.960 --> 00:02:04.320]   They may not get much fuller."
[00:02:04.320 --> 00:02:08.560]   It's based off new data about office occupancy,
[00:02:08.560 --> 00:02:09.660]   and then they talk to some experts
[00:02:09.660 --> 00:02:11.860]   about what they think this means and what's gonna come.
[00:02:11.860 --> 00:02:14.320]   This is a good chance to hold myself accountable,
[00:02:14.320 --> 00:02:17.360]   so starting in May of 2020,
[00:02:17.360 --> 00:02:18.640]   I began making predictions
[00:02:18.640 --> 00:02:21.320]   about what I thought was gonna happen with remote work,
[00:02:21.320 --> 00:02:23.960]   and the trajectory of my predictions was twofold.
[00:02:23.960 --> 00:02:26.680]   Early in the pandemic, in May of 2020,
