
[00:00:00.000 --> 00:00:05.080]   All right. So jumping into it.
[00:00:05.080 --> 00:00:11.640]   So just general, yeah, intro yourself. Don't forget. We want to know about you and your personal
[00:00:11.640 --> 00:00:13.480]   why. Okay. Yeah, there you go.
[00:00:13.480 --> 00:00:20.040]   Yeah, for sure. Yeah, so I'm currently a master student at Georgia Tech. I know a handful of
[00:00:20.040 --> 00:00:27.100]   folks in this community have also taken some classes there. But yeah, I quit my job about a
[00:00:27.100 --> 00:00:31.120]   year ago to go full time just to speed up the process and take some harder classes and kind
[00:00:31.120 --> 00:00:39.280]   of dig a little deeper. So I've got about a year left trying to focus on machine learning stuff
[00:00:39.280 --> 00:00:44.440]   and a bunch of systems courses. I didn't have like a CS undergrad, so I'm really trying to fill in
[00:00:44.440 --> 00:00:50.080]   some gaps there. But did some web dev stuff, some data engineering, some information retrieval stuff
[00:00:50.080 --> 00:00:53.600]   at a legal company, and then at Rose set a stone before that.
[00:00:54.200 --> 00:01:02.700]   Let's see. So I guess sort of the motivation for this is definitely like the Gemini diffusion
[00:01:02.700 --> 00:01:10.680]   announcement. I know that Mercury got introduced by Inception Labs, I think back in January,
[00:01:10.680 --> 00:01:19.020]   which they're not a big outfit. But one of the people on some of these papers is one of the founders
[00:01:19.020 --> 00:01:25.520]   there. And one of their big claims is just like they can achieve similar levels of accuracy at much
[00:01:25.520 --> 00:01:34.360]   faster output speed. So I think that's just an interesting dimension. I guess sort of for the
[00:01:34.360 --> 00:01:42.260]   structure of this task, I think about this as like, how do we teach in general, spend a little bit of time
[00:01:42.260 --> 00:01:48.060]   as teaching at a coding boot camp. And I'm trying to keep you guys in that flow state between boredom and
[00:01:48.060 --> 00:01:52.580]   anxiety. So, you know, if it's going too fast, feel free to ask questions. If you're bored, I'm sorry.
[00:01:52.580 --> 00:01:58.580]   You know, take a look at some of the papers that are referenced. This is definitely optimized for
[00:01:58.580 --> 00:02:03.620]   exploration as opposed to exploitation. So I'm going over a bunch of different papers, but not very deep,
[00:02:03.620 --> 00:02:08.420]   but happy to kind of pause and redirect as needed. Don't want to keep this like super formal.
[00:02:08.420 --> 00:02:13.620]   nice.
[00:02:13.620 --> 00:02:19.780]   Did he freeze?
[00:02:19.780 --> 00:02:24.260]   Did in fact freeze. Oh, no.
[00:02:24.260 --> 00:02:26.260]   Yeah. Okay. It's okay.
[00:02:26.260 --> 00:02:27.620]   We broke out a flow.
[00:02:27.620 --> 00:02:34.260]   Flow is still going. Keep keep it going. Who's seen Gemini diffusion? Thousands of tokens per second.
[00:02:34.260 --> 00:02:35.060]   So smart.
[00:02:35.060 --> 00:02:38.420]   I don't think thousands. I think I think a thousand, right?
[00:02:38.420 --> 00:02:48.420]   We shall see. Let's ask Gemini. How many tokens per second is Gemini diffusion?
[00:02:48.420 --> 00:02:52.660]   Yeah, let's let's also ping him on discord.
[00:02:52.660 --> 00:03:00.100]   I think that there's quite a few ways to still optimize it. Wow. Gemini is so smart. Gemini says that
[00:03:00.100 --> 00:03:09.300]   it says it is 1479 tokens per second. But there's a brief overhead delay of 0.84 seconds.
[00:03:09.300 --> 00:03:14.020]   That's rough. You got to wait a second for your thousand tokens per second.
[00:03:15.380 --> 00:03:21.860]   There's a question here from IO about are diffusion models auto-regressive? Typically not. But you can
[00:03:21.860 --> 00:03:27.540]   have an auto-regressive body and a diffusion head.
[00:03:27.540 --> 00:03:39.540]   Okay. Sorry about that. I think Zoom crashed on me. That's the last of it. Cool. So I'll try to run
[00:03:39.540 --> 00:03:45.860]   through this. So really just kind of motivating this with some of the foundations. What is a generative
[00:03:45.860 --> 00:03:52.580]   model in the abstract? We're trying to model kind of an underlying probability distribution of data
[00:03:53.140 --> 00:03:58.340]   that's unknown. And then once we learned the distribution, then we're able to do stuff with
[00:03:58.340 --> 00:04:06.020]   it. So this slide is based on a talk from Yang Song, who did some foundational stuff starting kind of
[00:04:06.020 --> 00:04:13.380]   in 2019 and has been a big contributor to diffusion models in general since then. But I thought his graphic
[00:04:13.380 --> 00:04:32.420]   was pretty cool. So we've got our probability of a data point X given the -- based on the probability
[00:04:32.420 --> 00:04:39.700]   of the data. And then we're trying to find a model that's able to learn that distribution based on a
[00:04:39.700 --> 00:04:46.580]   laminal parameters theta. And during training, the p theta X is treated as a likelihood function and
[00:04:46.580 --> 00:04:52.020]   measuring it that deserves observed data under the current parameters theta. We can think about this
[00:04:52.020 --> 00:04:57.460]   as a KL divergence between the two probability distributions and sort of the optimization function
[00:04:57.460 --> 00:05:03.940]   we're trying to do is minimize the difference between these two distributions. Another equivalent
[00:05:03.940 --> 00:05:12.100]   framing is to say that we're trying to find the parameters theta that maximize the likelihood of
[00:05:12.100 --> 00:05:18.020]   estimating expected data. And then we can do this equivalence relation. The problem is that the
[00:05:18.020 --> 00:05:28.340]   for most data distributions that we care about, the shape of the distribution is really complex and
[00:05:28.340 --> 00:05:36.180]   hard to model. And then it's also hard to find a set of weights that are able to appropriately model it.
[00:05:36.180 --> 00:05:46.020]   So in that naive case, we can say we're using a Gaussian distribution, which isn't very expressive and
[00:05:46.020 --> 00:05:56.420]   isn't able to model complex spaces. Or we can use kind of a neural net, which is based on universal approximation
[00:05:56.420 --> 00:06:02.420]   theorem is able to model our data. And then we can sample from it. Sort of the challenge becomes, you know,
[00:06:02.420 --> 00:06:12.820]   how do we make sure that it's appropriately expressive, but isn't too expressive. So another view of this is
[00:06:12.820 --> 00:06:25.140]   just like a narrow slice of a two-dimensional mapping of sort of the feature space that Claude 3 learns.
[00:06:25.140 --> 00:06:30.980]   So just another kind of perspective into what the general modeling task is. We're trying to learn this
[00:06:30.980 --> 00:06:37.060]   distribution or a distribution that's able to model the true space of the data that we care about.
[00:06:40.100 --> 00:06:48.980]   Cool. So jumping into a bunch of different types of general models. Again, this is sort of more
[00:06:48.980 --> 00:06:58.500]   background information. This is inspired by an old talk by Ian Goodfellow, but breaking down the
[00:06:58.500 --> 00:07:04.020]   general models into explicit densities of implicit density. I'm starting kind of on the left branch here.
[00:07:04.740 --> 00:07:10.100]   We're saying that a generative model aims to learn the underlying probability distribution data. Cool.
[00:07:10.100 --> 00:07:13.780]   So that's what we just discussed. And then the explicit density
[00:07:13.780 --> 00:07:25.380]   is we're defining p theta x. Again, using the maximum likelihood. These are split, again,
[00:07:25.380 --> 00:07:32.660]   into tractable density models and approximate density models. The tractable density models include
[00:07:32.660 --> 00:07:40.260]   auto-aggressive models and normalizing flows. So sort of the classic formulation for auto-aggressive models.
[00:07:40.260 --> 00:07:55.300]   RNNs, LSTMs, GPT, et cetera, kind of follows this joint probability distribution of a single token,
[00:07:55.300 --> 00:07:59.140]   given the previous tokens. And that just kind of continues auto-aggressively.
[00:07:59.140 --> 00:08:16.340]   For explicit density functions, they're modifying the density itself, but it's intractable to compute
[00:08:16.340 --> 00:08:27.060]   that directly. So we use an approximation on that. And so these both use lower bounds on what the density
[00:08:27.060 --> 00:08:36.900]   function we're trying to learn is. So we talked about VAE or VQVAE recently. I think Ted did a talk on that.
[00:08:36.900 --> 00:08:43.300]   And then today we're getting into diffusion models, but this is sort of just like framing it with other
[00:08:43.300 --> 00:08:49.860]   types. And then, you know, going back up to our tree, we've got implicit density functions, which includes
[00:08:50.740 --> 00:08:58.900]   GANs, energy-based models, which aren't used a ton, but sort of inspire or motivate a lot of the -- or some of the
[00:08:58.900 --> 00:08:59.780]   approaches that are used.
[00:08:59.780 --> 00:09:09.380]   So with GANs, you've got a generator discriminator, and you're trying to
[00:09:09.380 --> 00:09:13.380]   generate a sample that's able to fool the discriminator.
[00:09:14.500 --> 00:09:24.180]   GANs, but with each of all of these, we can view it as forming some sort of lean representation of
[00:09:24.180 --> 00:09:34.900]   what our model -- our data distribution is, compressing it into a different form and then trying to learn
[00:09:34.900 --> 00:09:44.500]   how to reassemble it from that later representation. There's a lot of kind of back and forth between
[00:09:44.500 --> 00:09:54.020]   the different generative modeling approaches. The space is pretty rich and people pollinate ideas
[00:09:54.020 --> 00:09:59.860]   between all of this stuff. Again, this is sort of hopefully not too much in the boredom side of
[00:09:59.860 --> 00:10:06.260]   things. But for folks that are newer to the space, I think it's helpful to kind of have the preliminaries.
[00:10:06.260 --> 00:10:12.820]   So jumping into diffusion models foundations. Actually, let me pause for questions real quick and check chat.
[00:10:18.420 --> 00:10:22.020]   Just let me know if anybody's got something I can pause for.
[00:10:22.020 --> 00:10:27.300]   There's a question about elbow. I vaguely remember elbow. I forget what elbows are.
[00:10:27.300 --> 00:10:36.900]   Yeah, I think it's the expression lower bounds. So it comes up in VE's and saw it in some of the diffusion stuff.
[00:10:40.100 --> 00:10:48.340]   But it's sort of a trick for how to work around learning, like the true probability distribution,
[00:10:48.340 --> 00:10:54.180]   because that's intractable. So we're saying we can get as close as this approximation
[00:10:54.180 --> 00:10:58.180]   of what the distribution should be.
[00:11:02.980 --> 00:11:09.780]   On my side, I didn't super get implicit versus explicit. I guess like we're used to explicit.
[00:11:09.780 --> 00:11:13.460]   Yeah, for sure.
[00:11:13.460 --> 00:11:16.180]   Also, how did you make these?
[00:11:16.180 --> 00:11:22.900]   This was an obsidian canvas. And I just took screenshots of it.
[00:11:22.900 --> 00:11:24.100]   God.
[00:11:24.100 --> 00:11:24.100]   Yeah.
[00:11:24.100 --> 00:11:25.620]   It looks great.
[00:11:25.620 --> 00:11:26.740]   Thanks.
[00:11:30.100 --> 00:11:34.740]   Like, everyone is explicit, right? Based on the diagram that you...
[00:11:34.740 --> 00:11:38.020]   Everyone except for GANs.
[00:11:38.020 --> 00:11:39.780]   Yeah. Okay.
[00:11:39.780 --> 00:11:48.260]   Because they do like the weird generator discriminator min/max game to like try to optimize.
[00:11:48.260 --> 00:11:53.620]   I don't think it's weird at all. I think we're about to see that with multi-agent. That's basically
[00:11:53.620 --> 00:11:54.580]   what OpenAI is working on.
[00:11:54.580 --> 00:11:56.100]   Oh, really? That's cool.
[00:11:58.900 --> 00:12:00.100]   Well, I'll bite my tongue.
[00:12:00.100 --> 00:12:06.660]   It's a little spoiler that we recorded an episode with Gnome Brown.
[00:12:06.660 --> 00:12:08.100]   Damn. That's cool.
[00:12:08.100 --> 00:12:08.100]   Anyway.
[00:12:08.100 --> 00:12:20.260]   So, trying to go back as far as I could. The first reference I found to kind of iteratively
[00:12:20.260 --> 00:12:25.940]   applying noise was in extracting this paper, extracting and composing robust features with denoising autoencoders.
[00:12:26.820 --> 00:12:29.140]   So, this is before like diffusion became a thing.
[00:12:29.140 --> 00:12:31.380]   Yashio Bengio's one here.
[00:12:31.380 --> 00:12:37.860]   And then Pascal Vincent also shows up a lot of kind of earlier work out of University of Montreal.
[00:12:37.860 --> 00:12:46.500]   So, a quote from the paper is destruction. For each input X, a fixed number of VD of components are
[00:12:46.500 --> 00:12:51.780]   chosen at random and their value is forced to zero while the others are left untouched. All information
[00:12:51.780 --> 00:12:56.820]   about the chosen components is thus removed from the particular input pattern. The autoencoder will be
[00:12:56.820 --> 00:12:59.220]   trained to fill in those particular introduced blanks.
[00:13:02.020 --> 00:13:12.180]   So, they're just randomly picking elements and masking them out and then trying to learn a representation
[00:13:12.180 --> 00:13:16.660]   based on the mask stuff. They found that it improves sort of the performance.
[00:13:16.660 --> 00:13:24.820]   Benjio picked that up a couple of years later. So, that was 2008. He had a handful of papers between this.
[00:13:25.700 --> 00:13:35.140]   And then, in 2013, this one I thought was kind of interesting where definitely in the same vein,
[00:13:35.140 --> 00:13:39.380]   but they've taken a bit further. We have proven that training a model to denoise is a way to
[00:13:39.380 --> 00:13:45.380]   implicitly estimate the underlying data generating process and that a simple Markov chain that alternates
[00:13:45.380 --> 00:13:50.420]   sampling from the denoising model and from the corrupting process converges to the estimator.
[00:13:50.420 --> 00:13:57.620]   This provides a mean for generating data from any denoising autoencoder. So, they've got, you know,
[00:13:57.620 --> 00:14:07.060]   they had a figure from MNIST where they're iteratively applying noise on one side and then walking it back
[00:14:07.060 --> 00:14:13.380]   on the other side. So, can we take a noisy image and reconstruct it? Which definitely leaves the
[00:14:13.380 --> 00:14:19.300]   foundation for some of the stuff to come. This was like the first paper that people associate with
[00:14:19.300 --> 00:14:30.740]   Diffusion process. So, kind of like the past ones, a lot of this comes from physics. Like a lot of
[00:14:30.740 --> 00:14:40.500]   old school ML, like early 2000s and before is like statistics and statistical mechanics. So, one of the
[00:14:40.500 --> 00:14:47.700]   examples I've heard to describe this is like how do you like a stochastic process is like dropping a drop
[00:14:47.700 --> 00:14:52.660]   of ink in water and seeing it kind of like spread out. And then the reverse process is like how would you
[00:14:52.660 --> 00:15:09.220]   like imagine where the drop came from? Shit. Okay. Okay. So, similar to the past ones, they iteratively add
[00:15:09.220 --> 00:15:17.860]   noise. They talk about stochastic differential equations, which the math is deeper than I fully
[00:15:17.860 --> 00:15:23.540]   understand or want to try to get into. But it's the underpinnings are just kind of on these stochastic
[00:15:23.540 --> 00:15:32.100]   processes, which were heavily inspired by physics and some of the stuff into like how do particles move?
[00:15:32.820 --> 00:15:37.860]   How does heat and entropy associated with heat kind of perform?
[00:15:37.860 --> 00:15:50.420]   And some of the examples from that paper, they've got like on the left, figure A, we've got C410 holdout
[00:15:50.420 --> 00:15:57.540]   images. They corrupt them in figure B with like Gaussian noise. And then they denoise the images
[00:16:00.420 --> 00:16:06.020]   and try to reconstruct them. And we can see that the reconstructions are pretty decent. And I think
[00:16:06.020 --> 00:16:12.900]   this was with a two layer network. So, not a ton of parameters, but they're still able to get some
[00:16:12.900 --> 00:16:19.540]   interesting results. And again, yeah, we're gradually applying noise in the forward diffusion and the
[00:16:19.540 --> 00:16:26.900]   reverse diffusion, recovering the distribution. Kind of speed summary of 2015 to 2019.
[00:16:26.900 --> 00:16:35.460]   2017. GANs got released. I think Bingio was also on the GAN paper with Ian Goodfellow, I think around 2014.
[00:16:35.460 --> 00:16:46.420]   They blew up, they had kind of leading results for the Fisher inception, just to whatever the FID score
[00:16:47.620 --> 00:16:59.300]   for a while. Their GANs kind of struggle with a mode collapse. So, I did a project on GANs a few months ago.
[00:16:59.300 --> 00:17:05.460]   And I was trying to reconstruct the fashion in this. And like half of my results came out as boots.
[00:17:08.180 --> 00:17:19.060]   when there should be shirts and hats and all kinds of stuff. VQVAE was released, I think, 2018. We talked
[00:17:19.060 --> 00:17:24.740]   about that recently. But it compresses images into a discrete one-dimensional space. And then tries to
[00:17:24.740 --> 00:17:34.100]   predict it from the compressed space. And these kind of like went back and forth on what the state-of-the-art
[00:17:34.100 --> 00:17:47.700]   results were. Then in 2020, Song and Ehrman took another stab at diffusion models. They framed it in
[00:17:47.700 --> 00:17:59.540]   terms of this thing called score matching. Where their approach to this was very math heavy. But they're
[00:17:59.540 --> 00:18:04.820]   trying to understand how a diffusion process is able to learn a function to score
[00:18:04.820 --> 00:18:13.940]   the data in a high-dimensional space. And then they also introduced some processes for scaling that.
[00:18:13.940 --> 00:18:21.940]   And then they introduced a slightly larger network. And based on their principled approach, we're able to
[00:18:24.340 --> 00:18:30.740]   increase the sample size and quality of the images that they could generate. So just a snapshot from this.
[00:18:30.740 --> 00:18:39.940]   So still kind of look bad, but better. And then their FID score was 10.
[00:18:39.940 --> 00:18:51.140]   The big breakout paper for diffusion was this one, which is usually called DDPMs, but denoising diffusion
[00:18:51.140 --> 00:18:59.860]   of probabilistic models. Similar to previous work. This one uses a forward and refuse deversion process.
[00:18:59.860 --> 00:19:09.860]   One of the key breakouts here was that they restricted this to only predicting the mean of the Gaussian
[00:19:09.860 --> 00:19:17.700]   distribution from the noise was added. And then we're able to show with a bunch of math that the mean,
[00:19:19.460 --> 00:19:24.980]   predicting the mean is equivalent to predicting the sample X or the image sample that they're trying
[00:19:24.980 --> 00:19:37.460]   to find. So they effectively, they're trying to predict the sample X, but they do that by predicting
[00:19:37.460 --> 00:19:45.380]   the noise applied to X. And then they also introduced a much larger network. So this is a unit that they pulled
[00:19:45.380 --> 00:19:54.100]   from image segmentation tasks. And they achieved a state of the art for FID. Again, this is 2020.
[00:19:54.100 --> 00:20:10.580]   I'm not going to go through all this. Song came back pretty shortly afterwards. And it iterated on his last
[00:20:10.580 --> 00:20:17.220]   framework. More stuff with stochastic differential equations. Some of these papers or all these papers
[00:20:17.220 --> 00:20:22.420]   that I've talked about sort of form the underpinnings for current work. They're really kind of like the
[00:20:22.420 --> 00:20:28.980]   landmark ones. And people keep referencing particularly this, the DDPM paper.
[00:20:33.220 --> 00:20:39.700]   And again, the results look even better. You can see here, this is the score function in the middle.
[00:20:39.700 --> 00:20:43.700]   From the song paper.
[00:20:50.340 --> 00:20:59.060]   Okay. So jumping ahead to actually pause there. Any questions? A lot of the stuff is kind of
[00:20:59.060 --> 00:21:03.540]   background, so trying to go through quickly. But that doesn't mean it's not interesting or important.
[00:21:03.540 --> 00:21:10.020]   I had a side tangent on video diffusion.
[00:21:10.020 --> 00:21:16.740]   And then also, I think the other thing I was waiting for you to cover, but it looks like you
[00:21:16.740 --> 00:21:21.300]   stopped it like 2020, right? Did the paper be covered?
[00:21:21.300 --> 00:21:23.620]   Yeah, I think so.
[00:21:23.620 --> 00:21:28.500]   2021. You didn't cover latent diffusion? Was that latent diffusion?
[00:21:28.500 --> 00:21:29.620]   No, I didn't.
[00:21:29.620 --> 00:21:34.900]   Well, latent diffusion is very important. And then consistency models and flow matching.
[00:21:34.900 --> 00:21:39.300]   Those are the three things that I think the last three years of diffusion have kind of thought taught us.
[00:21:39.300 --> 00:21:45.940]   For sure. Yeah.
[00:21:45.940 --> 00:21:51.620]   We've covered those things in previous paperclips.
[00:21:51.620 --> 00:21:57.780]   Yeah, I think that the background was super helpful. Thank you, Tyler.
[00:21:57.780 --> 00:21:59.860]   It was a good catch up for me.
